date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-207.4,-15.23,89.1,6.1,249.0,69.87235,47.03757,1932.15
2021-11-25 01:00:00,2021,25,11,1,-206.8,-15.73,88.7,5.8,239.4,69.87232,47.03751,1932.15
2021-11-25 02:00:00,2021,25,11,2,-206.5,-16.25,88.4,4.8,227.7,69.87231,47.03736,1932.15
2021-11-25 03:00:00,2021,25,11,3,-206.2,-16.75,88.1,4.7,221.9,69.87228,47.03738,1932.15
2021-11-25 04:00:00,2021,25,11,4,-205.7,-17.12,87.5,4.1,214.1,69.87233,47.03752,1932.15
2021-11-25 05:00:00,2021,25,11,5,-205.2,-17.3,87.4,4.4,215.9,69.87228,47.03761,1932.15
2021-11-25 06:00:00,2021,25,11,6,-204.7,-17.83,86.8,4.2,202.7,69.87239,47.03749,1932.15
2021-11-25 07:00:00,2021,25,11,7,-203.9,-18.38,85.9,3.3,183.8,69.87224,47.03765,1932.15
2021-11-25 08:00:00,2021,25,11,8,-203.2,-18.32,85.9,3.1,189.3,69.87229,47.03758,1932.15
2021-11-25 09:00:00,2021,25,11,9,-202.7,-18.27,86.0,2.6,189.4,69.87234,47.03742,1932.15
2021-11-25 10:00:00,2021,25,11,10,-201.9,-18.37,86.1,2.4,192.2,69.87229,47.03749,1932.15
2021-11-25 11:00:00,2021,25,11,11,-201.4,-18.2,86.1,2.5,184.9,69.87231,47.03753,1932.15
2021-11-25 12:00:00,2021,25,11,12,-200.8,-17.95,86.1,2.8,181.9,69.87229,47.03762,1932.15
2021-11-25 13:00:00,2021,25,11,13,-200.2,-19.0,85.7,2.2,158.8,69.87240,47.03739,1932.15
2021-11-25 14:00:00,2021,25,11,14,-200.0,-18.82,85.4,3.8,159.3,69.87227,47.03736,1932.15
2021-11-25 15:00:00,2021,25,11,15,-200.0,-18.62,85.5,4.2,138.3,69.87232,47.03741,1932.15
2021-11-25 16:00:00,2021,25,11,16,-199.0,-18.38,85.6,4.4,162.2,69.87230,47.03753,1932.15
2021-11-25 17:00:00,2021,25,11,17,-199.0,-18.08,85.8,4.3,166.3,69.87228,47.03751,1932.15
2021-11-25 18:00:00,2021,25,11,18,-199.0,-18.55,85.4,4.9,156.6,69.87234,47.03738,1932.15
2021-11-25 19:00:00,2021,25,11,19,-199.0,-19.13,84.9,6.0,154.9,69.87227,47.03761,1932.15
2021-11-25 20:00:00,2021,25,11,20,-199.0,-20.73,83.8,6.8,141.9,69.87227,47.03765,1932.15
2021-11-25 21:00:00,2021,25,11,21,-199.0,-21.82,83.2,7.3,140.4,69.87233,47.03760,1932.15
2021-11-25 22:00:00,2021,25,11,22,-200.0,-22.33,83.0,8.1,133.3,69.87216,47.03787,1932.15
2021-11-25 23:00:00,2021,25,11,23,-200.0,-22.53,82.8,8.2,131.1,69.87231,47.03752,1932.15
2021-11-26 00:00:00,2021,26,11,0,-200.4,-21.53,83.4,8.7,144.6,69.87233,47.03759,1932.16
2021-11-26 01:00:00,2021,26,11,1,-200.9,-20.33,83.9,9.4,144.3,69.87227,47.03761,1932.16
2021-11-26 02:00:00,2021,26,11,2,-201.4,-20.32,83.9,9.9,139.0,69.87232,47.03754,1932.16
2021-11-26 03:00:00,2021,26,11,3,-202.1,-19.6,84.4,10.5,145.2,69.87229,47.03758,1932.16
2021-11-26 04:00:00,2021,26,11,4,-202.8,-20.1,84.0,9.7,137.9,69.87230,47.03757,1932.16
2021-11-26 05:00:00,2021,26,11,5,-203.6,-19.27,84.3,9.8,146.8,69.87215,47.03761,1932.16
2021-11-26 06:00:00,2021,26,11,6,-203.9,-18.78,84.0,9.8,151.9,69.87219,47.03754,1932.16
2021-11-26 07:00:00,2021,26,11,7,-204.5,-17.25,85.8,8.7,153.9,69.87229,47.03747,1932.16
