date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-58.5,-5.596,90.6,1.6,119.4,67.09406,49.96301,634.14
2021-11-26 00:00:00,2021,26,11,0,-55.0,-6.465,79.0,3.6,148.5,67.09406,49.96302,634.15
2021-11-27 00:00:00,2021,27,11,0,-63.0,-3.22,89.7,1.2,158.7,67.09406,49.96302,634.16
2021-11-28 00:00:00,2021,28,11,0,-74.6,-7.48,91.8,6.5,56.4,67.09405,49.96304,634.17
2021-11-29 00:00:00,2021,29,11,0,-82.3,2.52,92.2,4.3,145.8,67.09405,49.96305,634.19
2021-11-30 00:00:00,2021,30,11,0,-77.8,-2.118,72.4,7.7,133.1,67.09403,49.96308,634.20
2021-12-01 00:00:00,2021,1,12,0,-67.0,-6.061,67.6,8.1,108.7,67.09402,49.96310,634.21
2021-12-02 00:00:00,2021,2,12,0,-93.7,-3.814,49.9,13.7,149.6,67.09404,49.96304,634.22
2021-12-03 00:00:00,2021,3,12,0,-75.8,-9.69,71.4,4.3,131.2,67.09403,49.96306,634.23
2021-12-04 00:00:00,2021,4,12,0,-77.4,-15.28,68.6,11.5,114.5,67.09404,49.96305,634.25
2021-12-05 00:00:00,2021,5,12,0,-109.4,-4.471,89.0,31.2,119.3,67.09406,49.96307,634.26
2021-12-06 00:00:00,2021,6,12,0,-96.0,-7.588,74.1,7.1,139.3,67.09407,49.96308,634.27
2021-12-07 00:00:00,2021,7,12,0,-78.0,-12.11,72.6,4.8,127.5,67.09406,49.96310,634.28
2021-12-08 00:00:00,2021,8,12,0,-86.6,-21.23,53.7,9.2,78.2,67.09406,49.96312,634.30
2021-12-09 00:00:00,2021,9,12,0,-91.0,-4.874,47.8,8.1,100.9,67.09404,49.96309,634.31
2021-12-10 00:00:00,2021,10,12,0,-77.5,-10.94,70.6,5.3,113.9,67.09406,49.96310,634.32
2021-12-11 00:00:00,2021,11,12,0,-86.0,-9.22,52.1,12.6,119.8,67.09405,49.96309,634.33
2021-12-12 00:00:00,2021,12,12,0,-81.3,-14.28,76.6,3.1,89.0,67.09406,49.96311,634.35
2021-12-13 00:00:00,2021,13,12,0,-85.0,-16.71,62.8,5.8,99.3,67.09405,49.96312,634.36
2021-12-14 00:00:00,2021,14,12,0,-95.7,-5.45,47.7,8.3,120.2,67.09403,49.96312,634.37
2021-12-15 00:00:00,2021,15,12,0,-88.4,-10.37,58.6,3.7,105.4,67.09402,49.96312,634.38
2021-12-16 00:00:00,2021,16,12,0,-77.2,-16.41,80.5,3.3,93.2,67.09404,49.96313,634.40
2021-12-17 00:00:00,2021,17,12,0,-72.5,-14.3,90.5,0.4,128.0,67.09402,49.96317,634.41
2021-12-18 00:00:00,2021,18,12,0,-65.0,-11.33,45.2,9.2,119.3,67.09406,49.96313,634.42
2021-12-19 00:00:00,2021,19,12,0,-72.2,-0.911,56.5,12.8,128.9,67.09407,49.96313,634.43
2021-12-20 00:00:00,2021,20,12,0,-61.0,0.635,45.6,7.8,137.3,67.09405,49.96314,634.45
2021-12-21 00:00:00,2021,21,12,0,-66.7,5.695,42.5,15.2,131.8,67.09405,49.96312,634.46
2021-12-22 00:00:00,2021,22,12,0,-66.4,-0.021,49.5,8.9,130.7,67.09407,49.96311,634.47
2021-12-23 00:00:00,2021,23,12,0,-64.0,0.275,50.4,12.3,129.6,67.09405,49.96314,634.48
2021-12-24 00:00:00,2021,24,12,0,-60.5,-5.7,70.7,6.6,106.7,67.09405,49.96314,634.50
2021-12-25 00:00:00,2021,25,12,0,-71.4,-8.63,53.2,7.2,114.0,67.09406,49.96315,634.51
2021-12-26 00:00:00,2021,26,12,0,-72.2,-1.61,47.2,9.8,127.9,67.09403,49.96313,634.52
2021-12-27 00:00:00,2021,27,12,0,-69.0,-9.41,51.6,8.1,100.5,67.09405,49.96315,634.53
2021-12-28 00:00:00,2021,28,12,0,-70.6,-11.33,44.0,4.5,105.5,67.09406,49.96319,634.55
2021-12-29 00:00:00,2021,29,12,0,-64.9,-14.6,55.2,3.6,104.7,67.09403,49.96318,634.56
2021-12-30 00:00:00,2021,30,12,0,-65.9,-20.13,61.6,2.3,73.8,67.09401,49.96317,634.57
2021-12-31 00:00:00,2021,31,12,0,-70.1,-16.86,56.5,5.4,106.7,67.09403,49.96318,634.58
