date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-130.4,-11.16,91.7,5.8,190.7,67.06785,48.84760,1262.61
2021-11-26 00:00:00,2021,26,11,0,-128.8,-9.29,78.2,7.6,153.1,67.06784,48.84761,1262.64
2021-11-27 00:00:00,2021,27,11,0,-135.4,-4.62,96.9,1.7,137.4,67.06784,48.84761,1262.66
2021-11-28 00:00:00,2021,28,11,0,-146.0,-0.506,100.0,6.9,187.2,67.06785,48.84759,1262.69
2021-11-29 00:00:00,2021,29,11,0,-150.7,0.0,100.0,10.3,190.1,67.06785,48.84761,1262.71
2021-11-30 00:00:00,2021,30,11,0,-147.2,-9.46,85.8,9.7,129.8,67.06786,48.84763,1262.74
2021-12-01 00:00:00,2021,1,12,0,-140.9,-13.87,82.5,9.8,81.0,67.06787,48.84766,1262.77
2021-12-02 00:00:00,2021,2,12,0,-164.3,-11.43,88.1,18.8,132.1,67.06785,48.84764,1262.79
2021-12-03 00:00:00,2021,3,12,0,-147.4,-17.25,85.1,6.9,194.3,67.06785,48.84767,1262.82
2021-12-04 00:00:00,2021,4,12,0,-150.9,-20.26,81.4,12.6,118.0,67.06786,48.84767,1262.84
2021-12-05 00:00:00,2021,5,12,0,-172.7,-9.99,92.0,29.3,115.3,67.06785,48.84765,1262.87
2021-12-06 00:00:00,2021,6,12,0,-163.5,-13.97,84.2,7.6,155.8,67.06784,48.84766,1262.89
2021-12-07 00:00:00,2021,7,12,0,-149.1,-17.81,84.3,6.3,153.6,67.06785,48.84767,1262.92
2021-12-08 00:00:00,2021,8,12,0,-162.3,-19.1,82.2,10.0,134.7,67.06784,48.84768,1262.95
2021-12-09 00:00:00,2021,9,12,0,-160.2,-11.65,67.8,14.9,114.8,67.06785,48.84767,1262.97
2021-12-10 00:00:00,2021,10,12,0,-148.9,-19.94,67.1,10.0,127.7,67.06784,48.84769,1263.00
2021-12-11 00:00:00,2021,11,12,0,-154.7,-12.2,68.4,3.5,187.6,67.06784,48.84771,1263.02
2021-12-12 00:00:00,2021,12,12,0,-153.7,-23.05,77.9,2.8,118.8,67.06784,48.84770,1263.05
2021-12-13 00:00:00,2021,13,12,0,-157.7,-16.28,76.5,8.1,144.0,67.06784,48.84774,1263.07
2021-12-14 00:00:00,2021,14,12,0,-164.1,-15.23,66.5,13.5,119.7,67.06783,48.84769,1263.10
2021-12-15 00:00:00,2021,15,12,0,-158.1,-18.93,68.5,7.3,129.3,67.06783,48.84769,1263.13
2021-12-16 00:00:00,2021,16,12,0,-151.5,-21.9,76.7,5.0,145.7,67.06786,48.84775,1263.15
2021-12-17 00:00:00,2021,17,12,0,-145.1,-21.85,80.6,2.8,123.7,67.06785,48.84775,1263.18
2021-12-18 00:00:00,2021,18,12,0,-135.9,-18.99,71.6,11.9,125.7,67.06785,48.84772,1263.20
