date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-96.5,-39.96,63.9,3.6,299.2,79.83496,25.16282,862.30
2021-11-26 00:00:00,2021,26,11,0,-92.9,-28.31,68.1,7.0,35.4,79.83495,25.16288,862.31
2021-11-27 00:00:00,2021,27,11,0,-94.5,-30.44,59.9,4.7,354.5,79.83496,25.16279,862.32
2021-11-28 00:00:00,2021,28,11,0,-92.5,-26.91,65.5,5.2,13.1,79.83497,25.16270,862.33
2021-11-29 00:00:00,2021,29,11,0,-89.2,-30.52,68.9,5.2,8.7,79.83496,25.16282,862.34
2021-11-30 00:00:00,2021,30,11,0,-98.7,-36.5,64.5,5.3,308.9,79.83496,25.16271,862.35
2021-12-01 00:00:00,2021,1,12,0,-99.9,-24.19,63.0,3.8,339.5,79.83497,25.16268,862.37
2021-12-02 00:00:00,2021,2,12,0,-106.2,-26.09,67.3,3.1,282.7,79.83497,25.16277,862.38
2021-12-03 00:00:00,2021,3,12,0,-121.1,-24.13,71.3,8.1,49.4,79.83497,25.16263,862.39
2021-12-04 00:00:00,2021,4,12,0,-104.0,-19.09,68.5,9.7,16.2,79.83497,25.16274,862.40
2021-12-05 00:00:00,2021,5,12,0,-97.9,-30.91,70.7,4.0,304.7,79.83496,25.16285,862.41
2021-12-06 00:00:00,2021,6,12,0,-116.6,-20.1,67.6,1.8,342.6,79.83497,25.16280,862.42
2021-12-07 00:00:00,2021,7,12,0,-110.4,-13.46,69.8,6.4,21.6,79.83497,25.16268,862.43
2021-12-08 00:00:00,2021,8,12,0,-96.8,-20.51,68.3,3.7,327.2,79.83494,25.16286,862.44
2021-12-09 00:00:00,2021,9,12,0,-107.5,-19.43,62.7,4.9,322.2,79.83496,25.16274,862.45
2021-12-10 00:00:00,2021,10,12,0,-106.1,-21.33,57.8,7.1,23.2,79.83497,25.16260,862.47
2021-12-11 00:00:00,2021,11,12,0,-100.8,-25.74,63.2,5.9,0.0,79.83496,25.16286,862.48
2021-12-12 00:00:00,2021,12,12,0,-102.0,-26.0,64.9,5.9,340.7,79.83497,25.16276,862.49
2021-12-13 00:00:00,2021,13,12,0,-101.2,-26.26,63.6,4.4,330.2,79.83497,25.16281,862.50
2021-12-14 00:00:00,2021,14,12,0,-110.9,-24.74,63.8,5.6,313.6,79.83496,25.16290,862.51
