date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-246.8,-12.7,90.1,9.2,272.7,66.47773,42.49354,2381.91
2021-11-25 01:00:00,2021,25,11,1,-246.7,-13.38,89.7,7.1,274.3,66.47773,42.49358,2381.91
2021-11-25 02:00:00,2021,25,11,2,-246.8,-15.05,88.6,5.3,291.7,66.47776,42.49358,2381.91
2021-11-25 03:00:00,2021,25,11,3,-246.9,-17.52,87.0,3.9,301.0,66.47774,42.49352,2381.91
2021-11-25 04:00:00,2021,25,11,4,-246.8,-21.62,84.9,3.5,306.3,66.47775,42.49356,2381.91
2021-11-25 05:00:00,2021,25,11,5,-247.0,-22.12,83.5,4.6,303.3,66.47772,42.49351,2381.91
2021-11-25 06:00:00,2021,25,11,6,-246.9,-22.37,83.1,6.3,305.2,66.47775,42.49352,2381.91
2021-11-25 07:00:00,2021,25,11,7,-246.6,-21.7,83.3,7.8,304.3,66.47775,42.49351,2381.91
2021-11-25 08:00:00,2021,25,11,8,-246.0,-20.27,84.1,8.3,301.5,66.47774,42.49353,2381.91
2021-11-25 09:00:00,2021,25,11,9,-245.5,-20.05,84.2,8.1,307.9,66.47777,42.49354,2381.91
2021-11-25 10:00:00,2021,25,11,10,-245.0,-19.95,84.2,8.9,309.5,66.47775,42.49351,2381.91
2021-11-25 11:00:00,2021,25,11,11,-244.0,-20.58,83.8,8.5,306.5,66.47775,42.49354,2381.91
2021-11-25 12:00:00,2021,25,11,12,-243.5,-21.6,83.3,7.4,309.5,66.47775,42.49357,2381.91
2021-11-25 13:00:00,2021,25,11,13,-242.9,-22.97,82.5,7.3,308.4,66.47775,42.49354,2381.91
2021-11-25 14:00:00,2021,25,11,14,-242.5,-22.58,82.4,8.0,308.1,66.47772,42.49357,2381.91
2021-11-25 15:00:00,2021,25,11,15,-242.0,-21.95,82.5,8.1,306.3,66.47774,42.49355,2381.91
2021-11-25 16:00:00,2021,25,11,16,-241.7,-22.97,81.8,7.4,310.1,66.47775,42.49356,2381.91
2021-11-25 17:00:00,2021,25,11,17,-241.7,-23.58,82.1,7.6,313.5,66.47774,42.49358,2381.91
2021-11-25 18:00:00,2021,25,11,18,-241.1,-23.9,82.1,6.8,307.5,66.47775,42.49353,2381.91
2021-11-25 19:00:00,2021,25,11,19,-240.9,-23.97,82.0,7.6,318.3,66.47772,42.49351,2381.91
2021-11-25 20:00:00,2021,25,11,20,-240.7,-23.18,82.4,7.6,316.5,66.47775,42.49353,2381.91
2021-11-25 21:00:00,2021,25,11,21,-240.7,-22.18,82.9,7.7,322.7,66.47777,42.49355,2381.91
2021-11-25 22:00:00,2021,25,11,22,-240.4,-24.18,81.9,6.9,313.9,66.47771,42.49356,2381.91
2021-11-25 23:00:00,2021,25,11,23,-239.8,-26.53,81.2,4.2,334.3,66.47775,42.49353,2381.91
2021-11-26 00:00:00,2021,26,11,0,-238.9,-27.07,81.1,3.4,357.6,66.47772,42.49353,2381.93
2021-11-26 01:00:00,2021,26,11,1,-239.1,-28.1,81.4,3.9,20.9,66.47775,42.49351,2381.93
2021-11-26 02:00:00,2021,26,11,2,-239.5,-28.03,80.4,4.1,4.0,66.47774,42.49355,2381.93
2021-11-26 03:00:00,2021,26,11,3,-240.0,-26.67,80.7,3.5,10.1,66.47774,42.49352,2381.93
2021-11-26 04:00:00,2021,26,11,4,-240.3,-25.45,82.2,2.8,30.7,66.47775,42.49351,2381.93
2021-11-26 05:00:00,2021,26,11,5,-240.7,-24.83,82.8,3.5,47.6,66.47776,42.49353,2381.93
2021-11-26 06:00:00,2021,26,11,6,-241.1,-24.88,83.0,3.1,45.2,66.47775,42.49354,2381.93
2021-11-26 07:00:00,2021,26,11,7,-241.7,-25.73,82.7,3.2,25.2,66.47774,42.49352,2381.93
2021-11-26 08:00:00,2021,26,11,8,-242.1,-25.47,82.1,3.0,31.7,66.47775,42.49354,2381.93
2021-11-26 09:00:00,2021,26,11,9,-242.2,-23.45,83.0,2.1,56.3,66.47773,42.49352,2381.93
2021-11-26 10:00:00,2021,26,11,10,-242.9,-21.65,83.8,1.8,70.4,66.47773,42.49357,2381.93
2021-11-26 11:00:00,2021,26,11,11,-243.4,-20.43,84.9,1.9,73.9,66.47773,42.49352,2381.93
2021-11-26 12:00:00,2021,26,11,12,-243.9,-19.47,85.4,2.1,96.0,66.47774,42.49363,2381.93
2021-11-26 13:00:00,2021,26,11,13,-244.3,-19.08,85.6,2.0,126.0,66.47775,42.49353,2381.93
2021-11-26 14:00:00,2021,26,11,14,-244.5,-19.55,85.2,1.2,144.1,66.47775,42.49355,2381.93
2021-11-26 15:00:00,2021,26,11,15,-244.9,-20.8,84.8,0.2,145.1,66.47774,42.49356,2381.93
2021-11-26 16:00:00,2021,26,11,16,-245.4,-21.32,84.3,0.1,145.1,66.47775,42.49355,2381.93
2021-11-26 17:00:00,2021,26,11,17,-245.6,-21.05,84.5,0.1,145.1,66.47775,42.49351,2381.93
2021-11-26 18:00:00,2021,26,11,18,-246.0,-20.85,84.6,0.8,145.1,66.47774,42.49352,2381.93
2021-11-26 19:00:00,2021,26,11,19,-246.2,-20.08,84.6,2.4,164.9,66.47774,42.49351,2381.93
2021-11-26 20:00:00,2021,26,11,20,-246.2,-13.72,89.0,4.6,294.7,66.47773,42.49355,2381.93
