date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-64.7,-5.146,99.2,0.0,0.0,64.16229,51.35865,699.67
2021-11-26 00:00:00,2021,26,11,0,-63.2,-2.541,100.5,3.2,153.3,64.16230,51.35865,699.67
2021-11-27 00:00:00,2021,27,11,0,-71.7,0.973,101.0,2.8,188.0,64.16233,51.35872,699.67
2021-11-28 00:00:00,2021,28,11,0,-82.3,3.636,101.0,2.4,196.6,64.16231,51.35862,699.68
2021-11-29 00:00:00,2021,29,11,0,-86.6,0.698,94.6,8.1,195.3,64.16229,51.35865,699.68
2021-11-30 00:00:00,2021,30,11,0,-87.1,-3.027,92.7,5.5,138.9,64.16226,51.35867,699.68
2021-12-01 00:00:00,2021,1,12,0,-79.9,-5.825,93.9,3.4,67.0,64.16229,51.35866,699.69
2021-12-02 00:00:00,2021,2,12,0,-105.6,-1.313,60.0,1.1,163.5,64.16227,51.35867,699.69
2021-12-03 00:00:00,2021,3,12,0,-80.6,-8.82,93.4,4.3,162.6,64.16228,51.35868,699.70
2021-12-04 00:00:00,2021,4,12,0,-89.4,-8.82,48.7,4.0,68.1,64.16227,51.35867,699.70
2021-12-05 00:00:00,2021,5,12,0,-117.6,-0.508,50.1,5.6,35.9,64.16229,51.35870,699.70
2021-12-06 00:00:00,2021,6,12,0,-100.4,-9.62,93.1,8.6,180.2,64.16231,51.35865,699.71
2021-12-07 00:00:00,2021,7,12,0,-83.5,-11.9,79.7,3.4,207.1,64.16232,51.35866,699.71
2021-12-08 00:00:00,2021,8,12,0,-100.7,-15.66,85.3,6.7,62.8,64.16229,51.35866,699.72
2021-12-09 00:00:00,2021,9,12,0,-102.1,-4.428,41.5,4.3,83.9,64.16230,51.35868,699.72
2021-12-10 00:00:00,2021,10,12,0,-83.8,-7.476,97.3,1.4,207.1,64.16236,51.35863,699.72
2021-12-11 00:00:00,2021,11,12,0,-94.5,-10.4,88.0,0.3,15.8,64.16226,51.35872,699.73
2021-12-12 00:00:00,2021,12,12,0,-88.7,-8.96,95.7,3.7,303.9,64.16227,51.35870,699.73
2021-12-13 00:00:00,2021,13,12,0,-97.3,-10.48,83.9,3.2,95.3,64.16229,51.35867,699.73
2021-12-14 00:00:00,2021,14,12,0,-106.1,-4.455,39.2,0.8,170.5,64.16228,51.35869,699.74
2021-12-15 00:00:00,2021,15,12,0,-96.2,-4.196,49.6,3.6,182.2,64.16228,51.35867,699.74
2021-12-16 00:00:00,2021,16,12,0,-88.9,-9.01,95.6,1.8,13.4,64.16230,51.35866,699.75
2021-12-17 00:00:00,2021,17,12,0,-80.9,-12.56,90.3,0.0,0.0,64.16230,51.35866,699.75
2021-12-18 00:00:00,2021,18,12,0,-73.8,-10.73,38.8,0.4,159.6,64.16227,51.35870,699.75
2021-12-19 00:00:00,2021,19,12,0,-81.1,0.91,53.5,4.5,130.3,64.16229,51.35865,699.76
2021-12-20 00:00:00,2021,20,12,0,-73.6,4.524,43.1,6.1,49.8,64.16231,51.35865,699.76
2021-12-21 00:00:00,2021,21,12,0,-78.8,5.348,35.2,2.1,316.0,64.16230,51.35865,699.77
2021-12-22 00:00:00,2021,22,12,0,-78.0,-2.563,85.3,1.9,186.5,64.16228,51.35865,699.77
2021-12-23 00:00:00,2021,23,12,0,-71.6,2.201,54.1,1.8,59.1,64.16229,51.35865,699.77
2021-12-24 00:00:00,2021,24,12,0,-71.9,-1.82,93.1,8.3,18.3,64.16228,51.35863,699.78
2021-12-25 00:00:00,2021,25,12,0,-83.8,-3.902,29.7,1.6,136.0,64.16228,51.35865,699.78
2021-12-26 00:00:00,2021,26,12,0,-80.3,1.102,40.9,3.7,105.1,64.16229,51.35865,699.79
2021-12-27 00:00:00,2021,27,12,0,-77.1,-4.388,52.9,2.8,148.7,64.16227,51.35865,699.79
2021-12-28 00:00:00,2021,28,12,0,-77.2,-6.471,59.1,0.7,144.5,64.16225,51.35864,699.79
2021-12-29 00:00:00,2021,29,12,0,-73.0,-7.196,58.6,2.1,132.6,64.16226,51.35864,699.80
2021-12-30 00:00:00,2021,30,12,0,-76.7,-9.65,55.2,0.5,197.7,64.16229,51.35865,699.80
2021-12-31 00:00:00,2021,31,12,0,-77.5,-11.95,93.1,1.6,208.9,64.16227,51.35865,699.80
2022-01-01 00:00:00,2022,1,1,0,-74.5,-10.95,89.3,0.2,178.1,64.16230,51.35861,699.81
2022-01-02 00:00:00,2022,2,1,0,-71.4,-10.7,79.9,1.2,180.7,64.16230,51.35863,699.81
2022-01-03 00:00:00,2022,3,1,0,-78.9,-6.04,60.8,1.3,163.2,64.16230,51.35868,699.82
2022-01-04 00:00:00,2022,4,1,0,-92.2,-2.414,59.5,1.5,259.3,64.16228,51.35866,699.82
2022-01-05 00:00:00,2022,5,1,0,-108.9,-0.656,52.5,5.6,113.8,64.16229,51.35869,699.82
2022-01-06 00:00:00,2022,6,1,0,-101.5,-10.73,82.5,3.3,172.3,64.16227,51.35873,699.83
2022-01-07 00:00:00,2022,7,1,0,-98.1,-12.24,71.8,2.6,120.5,64.16229,51.35868,699.83
2022-01-08 00:00:00,2022,8,1,0,-92.8,-13.7,89.2,3.2,200.3,64.16228,51.35864,699.84
2022-01-09 00:00:00,2022,9,1,0,-89.0,-18.41,83.7,3.1,139.3,64.16229,51.35867,699.84
2022-01-10 00:00:00,2022,10,1,0,-99.4,-15.43,87.0,1.0,311.9,64.16230,51.35865,699.84
2022-01-11 00:00:00,2022,11,1,0,-111.4,-15.77,86.4,2.4,79.0,64.16228,51.35867,699.85
2022-01-12 00:00:00,2022,12,1,0,-101.2,-12.0,92.4,3.5,304.9,64.16229,51.35867,699.85
2022-01-13 00:00:00,2022,13,1,0,-78.8,-14.98,87.5,1.9,164.9,64.16229,51.35869,699.86
2022-01-14 00:00:00,2022,14,1,0,-78.2,-13.62,88.7,8.8,170.1,64.16231,51.35865,699.86
2022-01-15 00:00:00,2022,15,1,0,-71.4,-13.23,89.1,3.8,143.6,64.16224,51.35867,699.86
2022-01-16 00:00:00,2022,16,1,0,-87.7,-11.83,91.0,4.9,33.2,64.16231,51.35865,699.87
2022-01-17 00:00:00,2022,17,1,0,-103.8,-11.81,91.5,5.1,58.1,64.16234,51.35866,699.87
2022-01-18 00:00:00,2022,18,1,0,-78.5,-13.69,84.2,1.4,143.2,64.16230,51.35862,699.87
2022-01-19 00:00:00,2022,19,1,0,-82.4,-6.469,91.5,6.3,118.5,64.16229,51.35864,699.88
2022-01-20 00:00:00,2022,20,1,0,-91.9,-0.933,100.9,7.1,96.1,64.16226,51.35862,699.88
2022-01-21 00:00:00,2022,21,1,0,-90.2,-14.96,88.4,2.8,197.9,64.16231,51.35857,699.89
2022-01-22 00:00:00,2022,22,1,0,-85.6,-18.53,84.1,2.0,153.4,64.16228,51.35866,699.89
2022-01-23 00:00:00,2022,23,1,0,-86.7,-14.71,88.1,2.8,182.6,64.16226,51.35867,699.89
