date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-42.5,-2.741,-0.2,0.0,0.0,64.48365,49.54818,503.36
2021-11-26 00:00:00,2021,26,11,0,-40.0,-1.414,-0.4,0.0,0.0,64.48365,49.54817,503.40
2021-11-27 00:00:00,2021,27,11,0,-50.1,1.687,-0.2,1.3,117.5,64.48364,49.54816,503.43
2021-11-28 00:00:00,2021,28,11,0,-59.9,6.996,-0.3,3.1,168.1,64.48363,49.54814,503.46
2021-11-29 00:00:00,2021,29,11,0,-65.0,5.901,-0.4,5.8,142.2,64.48363,49.54814,503.50
2021-11-30 00:00:00,2021,30,11,0,-63.5,1.476,-0.5,6.4,142.5,64.48364,49.54816,503.53
2021-12-01 00:00:00,2021,1,12,0,-57.6,-3.376,-0.6,1.5,124.1,64.48364,49.54816,503.56
2021-12-02 00:00:00,2021,2,12,0,-83.0,1.413,-0.5,6.3,131.3,64.48364,49.54824,503.59
2021-12-03 00:00:00,2021,3,12,0,-57.4,-7.366,-0.4,1.6,166.8,64.48365,49.54825,503.63
2021-12-04 00:00:00,2021,4,12,0,-66.6,-7.391,-0.4,6.4,115.9,64.48365,49.54823,503.66
2021-12-05 00:00:00,2021,5,12,0,-97.1,-1.413,-0.2,25.5,79.2,64.48364,49.54821,503.69
2021-12-06 00:00:00,2021,6,12,0,-77.0,-6.944,-0.5,5.7,159.9,64.48365,49.54824,503.73
2021-12-07 00:00:00,2021,7,12,0,-60.7,-9.9,-0.3,0.6,155.8,64.48366,49.54822,503.76
2021-12-08 00:00:00,2021,8,12,0,-77.1,-15.31,-0.5,2.0,142.7,64.48365,49.54823,503.79
2021-12-09 00:00:00,2021,9,12,0,-79.8,-3.861,-0.5,3.2,121.4,64.48365,49.54824,503.83
2021-12-10 00:00:00,2021,10,12,0,-61.7,-6.67,-0.5,3.7,143.5,64.48363,49.54826,503.86
2021-12-11 00:00:00,2021,11,12,0,-72.5,-8.19,-0.5,2.1,102.2,64.48361,49.54826,503.89
2021-12-12 00:00:00,2021,12,12,0,-66.4,-11.41,-0.4,2.3,121.3,64.48365,49.54828,503.93
2021-12-13 00:00:00,2021,13,12,0,-74.3,-10.96,-0.4,1.5,255.5,64.48364,49.54828,503.96
2021-12-14 00:00:00,2021,14,12,0,-83.7,-4.58,-0.5,9.3,137.7,64.48364,49.54824,503.99
2021-12-15 00:00:00,2021,15,12,0,-74.3,-3.738,-0.6,0.7,17.5,64.48367,49.54827,504.03
2021-12-16 00:00:00,2021,16,12,0,-66.7,-9.29,-0.6,6.3,141.0,64.48365,49.54830,504.06
2021-12-17 00:00:00,2021,17,12,0,-58.3,-10.69,-0.5,2.2,170.2,64.48365,49.54829,504.09
2021-12-18 00:00:00,2021,18,12,0,-50.8,-9.08,-0.6,7.5,152.1,64.48364,49.54831,504.13
2021-12-19 00:00:00,2021,19,12,0,-57.3,2.656,-0.5,4.5,176.1,64.48364,49.54832,504.16
2021-12-20 00:00:00,2021,20,12,0,-49.9,4.657,-0.5,15.9,162.1,64.48363,49.54834,504.19
2021-12-21 00:00:00,2021,21,12,0,-55.2,6.532,-0.5,7.9,146.2,64.48365,49.54832,504.23
2021-12-22 00:00:00,2021,22,12,0,-56.1,5.269,-0.6,5.8,206.2,64.48364,49.54833,504.26
2021-12-23 00:00:00,2021,23,12,0,-49.4,3.31,-0.5,7.3,143.8,64.48365,49.54833,504.29
2021-12-24 00:00:00,2021,24,12,0,-48.9,-3.925,-0.5,6.7,153.6,64.48366,49.54834,504.33
