date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-113.5,-4.273,100.0,0.3,113.5,64.50944,49.28052,1113.22
2021-11-26 00:00:00,2021,26,11,0,-110.2,-7.216,71.4,1.2,75.4,64.50944,49.28054,1113.28
2021-11-27 00:00:00,2021,27,11,0,-118.2,1.465,100.0,0.3,95.2,64.50944,49.28055,1113.34
2021-11-28 00:00:00,2021,28,11,0,-126.8,2.659,100.0,0.2,115.6,64.50946,49.28050,1113.40
2021-11-29 00:00:00,2021,29,11,0,-131.5,1.172,100.0,1.2,108.3,64.50945,49.28055,1113.46
2021-11-30 00:00:00,2021,30,11,0,-131.7,-4.043,77.9,1.8,108.6,64.50945,49.28055,1113.52
2021-12-01 00:00:00,2021,1,12,0,-126.7,-6.456,59.4,1.3,91.3,64.50945,49.28056,1113.58
2021-12-02 00:00:00,2021,2,12,0,-149.7,-5.363,70.9,1.9,78.6,64.50945,49.28054,1113.64
2021-12-03 00:00:00,2021,3,12,0,-128.2,-13.34,92.9,0.7,125.8,64.50944,49.28056,1113.70
2021-12-04 00:00:00,2021,4,12,0,-135.6,-11.61,56.1,1.8,83.1,64.50946,49.28057,1113.76
2021-12-05 00:00:00,2021,5,12,0,-162.6,-8.49,89.5,0.5,61.1,64.50944,49.28064,1113.82
2021-12-06 00:00:00,2021,6,12,0,-145.9,-12.96,79.5,0.0,0.0,64.50945,49.28060,1113.89
2021-12-07 00:00:00,2021,7,12,0,-131.9,-14.92,89.5,0.0,0.0,64.50943,49.28060,1113.95
2021-12-08 00:00:00,2021,8,12,0,-146.8,-14.8,67.5,0.0,0.0,64.50942,49.28061,1114.01
2021-12-09 00:00:00,2021,9,12,0,-148.2,-8.17,48.3,0.0,0.0,64.50943,49.28060,1114.07
2021-12-10 00:00:00,2021,10,12,0,-132.1,-11.91,76.7,0.0,0.0,64.50942,49.28061,1114.13
2021-12-11 00:00:00,2021,11,12,0,-141.6,-9.1,51.2,0.0,0.0,64.50941,49.28064,1114.19
2021-12-12 00:00:00,2021,12,12,0,-137.1,-17.98,78.3,0.0,0.0,64.50941,49.28064,1114.25
2021-12-13 00:00:00,2021,13,12,0,-143.9,-9.98,56.7,0.0,0.0,64.50942,49.28063,1114.31
2021-12-14 00:00:00,2021,14,12,0,-151.3,-8.37,51.0,0.0,0.0,64.50943,49.28063,1114.37
2021-12-15 00:00:00,2021,15,12,0,-143.0,-10.25,64.3,0.0,0.0,64.50942,49.28067,1114.43
2021-12-16 00:00:00,2021,16,12,0,-137.2,-14.86,68.8,0.0,0.0,64.50943,49.28067,1114.49
2021-12-17 00:00:00,2021,17,12,0,-129.9,-15.77,79.1,0.0,0.0,64.50943,49.28066,1114.56
2021-12-18 00:00:00,2021,18,12,0,-121.4,-13.26,52.6,0.0,0.0,64.50941,49.28069,1114.62
2021-12-19 00:00:00,2021,19,12,0,-126.4,-3.959,54.7,0.0,0.0,64.50943,49.28068,1114.68
2021-12-20 00:00:00,2021,20,12,0,-118.2,-1.655,53.2,0.1,73.2,64.50943,49.28068,1114.74
2021-12-21 00:00:00,2021,21,12,0,-125.2,0.733,51.0,0.2,64.8,64.50943,49.28070,1114.80
2021-12-22 00:00:00,2021,22,12,0,-126.8,-2.953,55.9,0.3,54.1,64.50942,49.28068,1114.86
2021-12-23 00:00:00,2021,23,12,0,-118.5,-2.534,47.1,0.2,67.0,64.50942,49.28068,1114.92
2021-12-24 00:00:00,2021,24,12,0,-119.6,-8.09,65.9,0.0,71.7,64.50941,49.28069,1114.98
2021-12-25 00:00:00,2021,25,12,0,-130.5,-7.085,44.7,0.3,63.8,64.50941,49.28069,1115.04
2021-12-26 00:00:00,2021,26,12,0,-126.0,-4.777,51.8,0.1,72.2,64.50941,49.28072,1115.10
2021-12-27 00:00:00,2021,27,12,0,-124.5,-8.96,43.5,0.1,75.9,64.50940,49.28068,1115.16
2021-12-28 00:00:00,2021,28,12,0,-125.0,-11.31,37.8,0.1,79.6,64.50942,49.28072,1115.22
2021-12-29 00:00:00,2021,29,12,0,-121.6,-14.5,46.1,0.0,73.5,64.50941,49.28073,1115.29
