date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-5.6,1.8,100.1,3.6,78.6,61.03054,46.84962,245.18
2021-11-26 00:00:00,2021,26,11,0,-5.9,2.032,100.1,5.1,81.3,61.03052,46.84966,245.20
2021-11-28 00:00:00,2021,28,11,0,-23.6,4.636,100.1,4.2,67.4,61.03051,46.84964,245.24
2021-11-29 00:00:00,2021,29,11,0,-25.8,1.799,100.1,2.8,101.3,61.03051,46.84960,245.26
2021-11-30 00:00:00,2021,30,11,0,-21.8,-0.572,100.2,7.2,174.7,61.03059,46.84956,245.28
2021-12-01 00:00:00,2021,1,12,0,-25.1,0.254,100.2,12.0,64.8,61.03054,46.84963,245.30
2021-12-04 00:00:00,2021,4,12,0,-30.6,-5.702,48.7,6.3,83.4,61.03052,46.84961,245.36
2021-12-09 00:00:00,2021,9,12,0,-56.4,-3.136,63.5,8.1,31.5,61.03052,46.84963,245.46
2021-12-10 00:00:00,2021,10,12,0,-30.4,-5.807,73.4,5.2,47.8,61.03053,46.84960,245.48
2021-12-11 00:00:00,2021,11,12,0,-47.9,-3.71,55.0,0.7,212.8,61.03050,46.84966,245.50
2021-12-12 00:00:00,2021,12,12,0,-43.2,-6.365,59.0,3.9,68.7,61.03052,46.84964,245.52
2021-12-13 00:00:00,2021,13,12,0,-42.5,-9.17,73.6,5.9,98.9,61.03051,46.84976,245.53
2021-12-14 00:00:00,2021,14,12,0,-56.3,0.148,56.8,6.0,40.4,61.03050,46.84968,245.55
2021-12-15 00:00:00,2021,15,12,0,-43.2,-0.974,55.7,4.0,72.2,61.03051,46.84961,245.57
2021-12-17 00:00:00,2021,17,12,0,-31.0,-8.38,45.4,5.6,32.8,61.03048,46.84970,245.61
2021-12-19 00:00:00,2021,19,12,0,-24.0,2.223,71.4,3.3,58.8,61.03043,46.84970,245.65
2021-12-20 00:00:00,2021,20,12,0,-22.6,4.486,55.3,18.5,83.3,61.03049,46.84969,245.67
2021-12-21 00:00:00,2021,21,12,0,-28.7,6.37,47.4,14.0,91.0,61.03048,46.84968,245.69
2021-12-22 00:00:00,2021,22,12,0,-28.5,-0.275,100.2,2.0,297.2,61.03046,46.84964,245.71
2021-12-23 00:00:00,2021,23,12,0,-21.7,4.084,54.9,11.8,79.4,61.03047,46.84974,245.73
2021-12-24 00:00:00,2021,24,12,0,-21.7,0.995,41.2,11.4,64.2,61.03050,46.84970,245.75
2021-12-25 00:00:00,2021,25,12,0,-33.6,3.726,42.5,12.7,65.6,61.03050,46.84960,245.77
2021-12-26 00:00:00,2021,26,12,0,-31.6,3.958,47.9,14.6,71.5,61.03046,46.84961,245.79
2021-12-28 00:00:00,2021,28,12,0,-22.8,-8.08,42.5,5.6,43.8,61.03051,46.84966,245.83
2021-12-29 00:00:00,2021,29,12,0,-19.5,-8.76,38.7,5.5,32.8,61.03051,46.84962,245.85
2021-12-30 00:00:00,2021,30,12,0,-22.4,-11.25,47.1,4.9,38.5,61.03049,46.84968,245.87
2022-01-02 00:00:00,2022,2,1,0,-15.7,-5.025,55.4,3.2,68.6,61.03048,46.84968,245.93
2022-01-03 00:00:00,2022,3,1,0,-21.2,-3.348,72.3,5.5,111.2,61.03049,46.84966,245.95
2022-01-04 00:00:00,2022,4,1,0,-46.5,-0.381,74.6,17.3,82.0,61.03052,46.84973,245.97
2022-01-05 00:00:00,2022,5,1,0,-54.5,-1.651,100.2,6.2,263.5,61.03050,46.84969,245.99
2022-01-06 00:00:00,2022,6,1,0,-49.8,-9.42,56.8,2.2,318.5,61.03053,46.84972,246.01
2022-01-08 00:00:00,2022,8,1,0,-40.1,-6.89,65.0,9.5,304.0,61.03071,46.84980,246.05
2022-01-09 00:00:00,2022,9,1,0,-41.6,-11.66,41.8,2.7,66.8,61.03055,46.84962,246.07
2022-01-10 00:00:00,2022,10,1,0,-59.5,-8.16,94.6,2.6,111.3,61.03050,46.84974,246.09
2022-01-12 00:00:00,2022,12,1,0,-47.1,-12.38,62.8,8.2,359.4,61.03053,46.84966,246.13
2022-01-15 00:00:00,2022,15,1,0,-11.0,-8.63,57.6,4.4,54.3,61.03050,46.84962,246.19
2022-01-17 00:00:00,2022,17,1,0,-44.5,-1.694,100.2,8.8,135.0,61.03050,46.84970,246.23
2022-01-18 00:00:00,2022,18,1,0,-24.3,-6.889,83.1,2.2,253.0,61.03044,46.84979,246.25
2022-01-19 00:00:00,2022,19,1,0,-14.6,-3.984,85.0,10.5,83.8,61.03053,46.84970,246.27
2022-01-20 00:00:00,2022,20,1,0,-31.1,0.487,100.2,7.3,97.2,61.03046,46.84984,246.29
2022-01-21 00:00:00,2022,21,1,0,-34.0,-6.654,100.3,0.0,0.0,61.03049,46.84969,246.31
2022-01-22 00:00:00,2022,22,1,0,-31.9,-12.54,51.4,4.2,88.5,61.03050,46.84956,246.33
2022-01-26 00:00:00,2022,26,1,0,-25.9,-4.301,94.6,6.5,94.0,61.03051,46.84971,246.41
2022-01-27 00:00:00,2022,27,1,0,-22.0,-10.14,71.8,10.5,73.0,61.03049,46.84965,246.43
2022-01-28 00:00:00,2022,28,1,0,-24.1,-12.1,68.5,7.5,72.6,61.03045,46.84970,246.45
2022-01-30 00:00:00,2022,30,1,0,-11.2,-11.06,96.2,1.4,254.3,61.03050,46.84968,246.49
2022-02-02 00:00:00,2022,2,2,0,-16.0,-19.25,68.8,12.9,7.5,61.03051,46.84970,246.55
2022-02-04 00:00:00,2022,4,2,0,-27.6,-6.38,99.9,2.9,106.8,61.03047,46.84971,246.59
2022-02-05 00:00:00,2022,5,2,0,-28.2,-20.57,67.4,5.7,317.4,61.03051,46.84967,246.61
2022-02-06 00:00:00,2022,6,2,0,-25.6,-19.89,59.6,4.8,37.7,61.03050,46.84966,246.63
2022-02-07 00:00:00,2022,7,2,0,-57.6,-12.6,82.6,13.5,341.6,61.03048,46.84968,246.65
2022-02-08 00:00:00,2022,8,2,0,-29.7,-17.37,72.1,11.5,291.4,61.03052,46.84962,246.67
2022-02-13 00:00:00,2022,13,2,0,-24.6,-3.156,100.3,3.0,139.9,61.03052,46.84961,246.76
2022-02-15 00:00:00,2022,15,2,0,-43.7,-16.35,71.3,9.0,265.4,61.03067,46.84993,246.80
2022-02-16 00:00:00,2022,16,2,0,-47.9,-19.11,59.3,8.3,287.8,61.03047,46.84966,246.82
2022-02-17 00:00:00,2022,17,2,0,-42.2,-17.5,58.4,3.2,305.7,61.03048,46.84972,246.84
2022-02-18 00:00:00,2022,18,2,0,-36.2,-17.46,63.2,7.4,59.9,61.03051,46.84972,246.86
2022-02-20 00:00:00,2022,20,2,0,-40.9,-13.2,76.7,11.8,303.9,61.03049,46.84969,246.90
2022-02-21 00:00:00,2022,21,2,0,-28.2,-19.3,66.7,7.1,36.6,61.03049,46.84967,246.92
2022-02-22 00:00:00,2022,22,2,0,-40.1,-21.6,44.9,4.5,20.2,61.03049,46.84967,246.94
2022-02-25 00:00:00,2022,25,2,0,-52.8,-9.08,67.9,0.3,254.9,61.03049,46.84966,247.00
2022-02-27 00:00:00,2022,27,2,0,-51.9,-17.18,67.6,1.1,345.2,61.03049,46.84961,247.04
2022-02-28 00:00:00,2022,28,2,0,-40.2,-17.84,71.3,4.7,37.2,61.03050,46.84963,247.06
2022-03-04 00:00:00,2022,4,3,0,-31.2,-7.912,59.7,10.6,72.5,61.03044,46.84972,247.14
2022-03-05 00:00:00,2022,5,3,0,-49.2,-3.072,82.3,8.5,41.2,61.03052,46.84965,247.16
2022-03-07 00:00:00,2022,7,3,0,-25.0,-9.86,78.8,5.0,0.7,61.03050,46.84969,247.20
2022-03-09 00:00:00,2022,9,3,0,-40.1,-14.4,51.0,6.0,33.4,61.03047,46.84974,247.24
2022-03-11 00:00:00,2022,11,3,0,-43.3,-15.58,40.1,2.9,37.2,61.03048,46.84972,247.28
2022-03-12 00:00:00,2022,12,3,0,-51.4,-14.43,62.6,7.0,56.1,61.03047,46.84965,247.30
2022-03-13 00:00:00,2022,13,3,0,-35.1,-15.96,67.0,5.4,314.4,61.03046,46.84966,247.32
2022-03-14 00:00:00,2022,14,3,0,-88.8,-2.796,97.6,18.9,74.4,61.03051,46.84970,247.34
2022-03-15 00:00:00,2022,15,3,0,-52.1,-16.46,64.1,9.9,293.1,61.03047,46.84968,247.36
2022-03-16 00:00:00,2022,16,3,0,-43.5,-20.57,66.3,7.0,354.5,61.03050,46.84961,247.38
2022-03-17 00:00:00,2022,17,3,0,-38.7,-21.06,61.4,7.4,11.8,61.03041,46.84973,247.40
2022-03-18 00:00:00,2022,18,3,0,-25.7,-14.93,64.7,3.9,28.0,61.03047,46.84967,247.42
2022-03-19 00:00:00,2022,19,3,0,-24.1,-10.22,80.1,5.9,62.9,61.03048,46.84950,247.44
2022-03-21 00:00:00,2022,21,3,0,-12.7,-14.42,46.8,3.0,53.5,61.03050,46.84967,247.48
2022-03-22 00:00:00,2022,22,3,0,-11.1,-11.5,51.3,6.2,52.1,61.03047,46.84962,247.50
