date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-48.8,0.535,98.8,3.5,114.9,61.09835,46.83372,617.26
2021-11-26 00:00:00,2021,26,11,0,-48.6,1.841,98.8,4.7,46.8,61.09837,46.83367,616.84
2021-11-27 00:00:00,2021,27,11,0,-52.7,2.055,98.7,4.5,33.0,61.09837,46.83367,616.43
2021-11-28 00:00:00,2021,28,11,0,-65.6,3.017,98.8,4.1,86.6,61.09837,46.83370,616.02
2021-11-29 00:00:00,2021,29,11,0,-68.4,0.749,98.8,2.9,80.0,61.09836,46.83370,615.61
2021-11-30 00:00:00,2021,30,11,0,-65.0,-2.614,98.7,5.9,126.9,61.09839,46.83370,615.19
2021-12-01 00:00:00,2021,1,12,0,-67.0,-1.757,98.7,10.1,37.4,61.09836,46.83372,614.78
2021-12-02 00:00:00,2021,2,12,0,-87.4,-2.892,98.7,8.1,195.0,61.09836,46.83373,614.37
2021-12-03 00:00:00,2021,3,12,0,-82.7,-11.73,80.3,9.6,312.4,61.09838,46.83374,613.95
2021-12-04 00:00:00,2021,4,12,0,-74.0,-7.684,56.9,7.5,35.0,61.09837,46.83370,613.54
2021-12-05 00:00:00,2021,5,12,0,-100.2,-1.328,98.7,10.5,108.3,61.09837,46.83372,613.13
2021-12-06 00:00:00,2021,6,12,0,-83.4,-10.5,79.4,5.5,283.5,61.09834,46.83372,612.71
2021-12-07 00:00:00,2021,7,12,0,-73.5,-13.32,78.3,7.8,298.4,61.09835,46.83372,612.30
2021-12-08 00:00:00,2021,8,12,0,-87.1,-10.0,60.3,3.9,41.9,61.09836,46.83371,611.89
2021-12-09 00:00:00,2021,9,12,0,-98.0,-6.521,73.0,8.6,2.5,61.09833,46.83373,611.47
2021-12-11 00:00:00,2021,11,12,0,-90.0,-7.018,70.9,5.9,0.2,61.09835,46.83377,610.65
2021-12-12 00:00:00,2021,12,12,0,-86.2,-6.096,45.7,3.9,1.6,61.09834,46.83372,610.24
2021-12-13 00:00:00,2021,13,12,0,-85.5,-13.39,73.4,6.4,24.6,61.09835,46.83375,609.82
2021-12-14 00:00:00,2021,14,12,0,-97.0,-3.3,66.2,6.2,354.5,61.09835,46.83372,609.41
2021-12-15 00:00:00,2021,15,12,0,-85.0,-4.76,66.6,4.8,22.4,61.09833,46.83373,609.00
2021-12-16 00:00:00,2021,16,12,0,-83.0,-8.31,72.7,10.4,6.8,61.09831,46.83374,608.58
2021-12-17 00:00:00,2021,17,12,0,-74.2,-11.58,58.0,7.8,2.2,61.09832,46.83373,608.17
2021-12-18 00:00:00,2021,18,12,0,-62.6,-9.15,54.7,9.3,11.5,61.09832,46.83372,607.76
2021-12-19 00:00:00,2021,19,12,0,-66.5,0.3,71.0,4.9,63.9,61.09832,46.83374,607.34
2021-12-20 00:00:00,2021,20,12,0,-63.9,2.399,58.1,20.1,37.0,61.09834,46.83373,606.93
2021-12-21 00:00:00,2021,21,12,0,-70.3,2.89,63.0,14.9,39.5,61.09833,46.83373,606.52
2021-12-22 00:00:00,2021,22,12,0,-71.1,2.269,64.0,11.1,63.9,61.09830,46.83372,606.10
2021-12-23 00:00:00,2021,23,12,0,-63.9,1.563,63.8,11.8,37.1,61.09832,46.83377,605.69
