date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-106.6,-22.93,54.2,2.9,347.8,nan,nan,nan
2021-11-26 00:00:00,2021,26,11,0,-95.4,-14.93,44.7,7.7,225.8,nan,nan,nan
2021-11-27 00:00:00,2021,27,11,0,-104.5,-15.59,50.5,4.9,216.7,nan,nan,nan
2021-11-28 00:00:00,2021,28,11,0,-103.5,-23.25,41.1,8.1,250.9,nan,nan,nan
2021-11-29 00:00:00,2021,29,11,0,-100.8,-27.33,45.5,4.9,323.3,nan,nan,nan
2021-11-30 00:00:00,2021,30,11,0,-107.7,-28.27,37.5,7.2,284.8,nan,nan,nan
2021-12-01 00:00:00,2021,1,12,0,-106.6,-25.58,48.3,4.6,289.9,nan,nan,nan
2021-12-02 00:00:00,2021,2,12,0,-108.8,-16.36,69.2,2.1,307.5,nan,nan,nan
2021-12-03 00:00:00,2021,3,12,0,-129.8,-13.65,85.9,4.0,319.3,nan,nan,nan
2021-12-04 00:00:00,2021,4,12,0,-112.7,-12.54,66.1,8.3,238.0,nan,nan,nan
2021-12-05 00:00:00,2021,5,12,0,-103.7,-15.9,56.5,5.9,262.3,nan,nan,nan
2021-12-06 00:00:00,2021,6,12,0,-116.6,-11.11,86.4,1.5,299.4,nan,nan,nan
2021-12-07 00:00:00,2021,7,12,0,-116.7,-10.64,81.0,3.9,275.8,nan,nan,nan
2021-12-08 00:00:00,2021,8,12,0,-109.0,-9.17,91.1,4.1,312.1,nan,nan,nan
2021-12-09 00:00:00,2021,9,12,0,-111.6,-12.49,80.1,5.5,279.9,nan,nan,nan
2021-12-10 00:00:00,2021,10,12,0,-110.7,-16.08,61.6,7.1,246.9,nan,nan,nan
2021-12-11 00:00:00,2021,11,12,0,-106.7,-15.27,59.0,5.7,203.6,nan,nan,nan
2021-12-12 00:00:00,2021,12,12,0,-108.5,-9.87,89.1,4.7,293.1,nan,nan,nan
2021-12-13 00:00:00,2021,13,12,0,-109.5,-7.4,86.1,3.4,270.5,nan,nan,nan
2021-12-14 00:00:00,2021,14,12,0,-117.9,-9.84,75.1,5.6,286.0,nan,nan,nan
2021-12-15 00:00:00,2021,15,12,0,-122.6,-14.37,60.9,6.3,319.6,nan,nan,nan
2021-12-16 00:00:00,2021,16,12,0,-113.1,-17.89,48.8,6.7,265.7,nan,nan,nan
2021-12-17 00:00:00,2021,17,12,0,-110.3,-17.03,80.5,4.0,296.6,nan,nan,nan
2021-12-18 00:00:00,2021,18,12,0,-100.3,-17.26,55.5,9.5,242.1,nan,nan,nan
2021-12-19 00:00:00,2021,19,12,0,-85.1,-11.56,43.9,4.3,224.2,nan,nan,nan
2021-12-20 00:00:00,2021,20,12,0,-95.2,-7.467,58.3,9.7,244.9,nan,nan,nan
2021-12-21 00:00:00,2021,21,12,0,-86.0,-12.39,56.8,8.3,295.9,nan,nan,nan
2021-12-22 00:00:00,2021,22,12,0,-90.9,-10.18,54.7,4.6,246.0,nan,nan,nan
2021-12-23 00:00:00,2021,23,12,0,-87.7,-13.12,58.9,5.6,272.5,nan,nan,nan
2021-12-24 00:00:00,2021,24,12,0,-97.4,-12.68,34.7,7.5,287.3,nan,nan,nan
2021-12-25 00:00:00,2021,25,12,0,-100.7,-15.65,62.9,4.8,308.1,nan,nan,nan
2021-12-26 00:00:00,2021,26,12,0,-95.7,-20.52,49.6,5.3,277.9,nan,nan,nan
2021-12-27 00:00:00,2021,27,12,0,-108.9,-21.73,55.2,5.0,177.7,nan,nan,nan
2021-12-28 00:00:00,2021,28,12,0,-101.2,-24.67,42.5,5.8,215.1,nan,nan,nan
2021-12-29 00:00:00,2021,29,12,0,-106.9,-26.47,38.0,5.5,310.0,nan,nan,nan
2021-12-30 00:00:00,2021,30,12,0,-106.2,-22.66,44.9,6.5,281.3,nan,nan,nan
2021-12-31 00:00:00,2021,31,12,0,-107.2,-25.49,45.1,4.8,341.5,nan,nan,nan
2022-01-01 00:00:00,2022,1,1,0,-98.1,-24.62,37.1,4.5,322.0,nan,nan,nan
2022-01-02 00:00:00,2022,2,1,0,-104.9,-22.39,47.7,4.7,307.1,nan,nan,nan
2022-01-03 00:00:00,2022,3,1,0,-99.2,-17.32,47.0,7.9,276.3,nan,nan,nan
2022-01-04 00:00:00,2022,4,1,0,-100.6,-22.91,51.6,7.7,241.8,nan,nan,nan
2022-01-05 00:00:00,2022,5,1,0,-108.1,-25.98,49.7,4.1,180.4,nan,nan,nan
2022-01-06 00:00:00,2022,6,1,0,-120.3,-16.71,44.1,7.1,236.2,nan,nan,nan
2022-01-07 00:00:00,2022,7,1,0,-118.4,-13.12,51.7,4.5,235.8,nan,nan,nan
2022-01-08 00:00:00,2022,8,1,0,-114.7,-11.2,80.8,5.5,251.5,nan,nan,nan
2022-01-09 00:00:00,2022,9,1,0,-110.4,-15.06,53.9,5.8,265.2,nan,nan,nan
2022-01-10 00:00:00,2022,10,1,0,-108.8,-16.82,59.2,4.8,213.7,nan,nan,nan
2022-01-11 00:00:00,2022,11,1,0,-126.0,-14.4,54.8,6.4,258.7,nan,nan,nan
2022-01-12 00:00:00,2022,12,1,0,-136.0,-16.2,51.2,9.9,282.4,nan,nan,nan
2022-01-13 00:00:00,2022,13,1,0,-129.0,-14.52,54.6,5.4,258.0,nan,nan,nan
2022-01-14 00:00:00,2022,14,1,0,-104.5,-18.59,43.7,7.8,282.1,nan,nan,nan
2022-01-15 00:00:00,2022,15,1,0,-110.2,-22.46,44.2,6.5,198.8,nan,nan,nan
2022-01-16 00:00:00,2022,16,1,0,-115.0,-26.28,52.4,5.4,224.8,nan,nan,nan
2022-01-17 00:00:00,2022,17,1,0,-110.8,-27.11,46.8,2.2,264.7,nan,nan,nan
2022-01-18 00:00:00,2022,18,1,0,-129.4,-21.86,52.1,11.3,243.1,nan,nan,nan
2022-01-19 00:00:00,2022,19,1,0,-106.1,-24.41,50.4,8.2,244.5,nan,nan,nan
2022-01-20 00:00:00,2022,20,1,0,-104.9,-22.95,52.0,2.9,324.4,nan,nan,nan
2022-01-21 00:00:00,2022,21,1,0,-119.0,-8.34,55.8,5.1,250.5,nan,nan,nan
2022-01-22 00:00:00,2022,22,1,0,-150.1,-16.38,57.5,5.3,243.8,nan,nan,nan
2022-01-23 00:00:00,2022,23,1,0,-138.8,-19.57,52.3,6.5,263.5,nan,nan,nan
2022-01-24 00:00:00,2022,24,1,0,-118.1,-20.56,48.4,7.7,259.9,nan,nan,nan
2022-01-25 00:00:00,2022,25,1,0,-106.5,-22.39,39.0,6.5,308.3,nan,nan,nan
2022-01-26 00:00:00,2022,26,1,0,-112.3,-20.7,54.2,2.7,239.5,nan,nan,nan
2022-01-27 00:00:00,2022,27,1,0,-110.8,-25.33,47.9,6.6,319.4,nan,nan,nan
2022-01-28 00:00:00,2022,28,1,0,-111.9,-26.06,46.3,6.2,233.3,nan,nan,nan
2022-01-29 00:00:00,2022,29,1,0,-111.2,-23.04,51.8,5.9,282.9,nan,nan,nan
2022-01-30 00:00:00,2022,30,1,0,-115.7,-23.11,40.1,5.2,272.9,nan,nan,nan
2022-01-31 00:00:00,2022,31,1,0,-111.3,-26.23,38.5,8.3,265.4,nan,nan,nan
2022-02-01 00:00:00,2022,1,2,0,-115.2,-26.11,43.3,5.3,283.8,nan,nan,nan
2022-02-02 00:00:00,2022,2,2,0,-108.7,-19.09,61.6,5.3,270.6,nan,nan,nan
2022-02-03 00:00:00,2022,3,2,0,-104.6,-18.58,69.4,6.3,276.6,nan,nan,nan
2022-02-04 00:00:00,2022,4,2,0,-106.1,-16.42,65.7,5.5,271.4,nan,nan,nan
2022-02-05 00:00:00,2022,5,2,0,-113.0,-20.16,57.9,10.0,260.2,nan,nan,nan
2022-02-06 00:00:00,2022,6,2,0,-114.0,-21.32,49.9,8.3,231.7,nan,nan,nan
2022-02-07 00:00:00,2022,7,2,0,-109.2,-23.41,41.7,7.0,265.4,nan,nan,nan
2022-02-08 00:00:00,2022,8,2,0,-121.0,-22.84,39.2,5.4,253.0,nan,nan,nan
2022-02-09 00:00:00,2022,9,2,0,-119.0,-23.01,43.6,8.7,311.9,nan,nan,nan
2022-02-10 00:00:00,2022,10,2,0,-114.8,-24.26,43.4,8.1,231.5,nan,nan,nan
2022-02-11 00:00:00,2022,11,2,0,-115.3,-24.02,48.1,8.1,248.3,nan,nan,nan
2022-02-12 00:00:00,2022,12,2,0,-108.3,-26.22,36.9,4.4,299.5,nan,nan,nan
2022-02-13 00:00:00,2022,13,2,0,-112.5,-18.05,42.0,4.7,272.8,nan,nan,nan
2022-02-14 00:00:00,2022,14,2,0,-116.1,-18.74,43.0,6.6,242.4,nan,nan,nan
2022-02-15 00:00:00,2022,15,2,0,-116.6,-23.0,44.9,6.7,220.7,nan,nan,nan
2022-02-16 00:00:00,2022,16,2,0,-113.3,-18.55,56.0,5.3,258.4,nan,nan,nan
2022-02-17 00:00:00,2022,17,2,0,-110.5,-17.23,69.8,3.9,324.0,nan,nan,nan
2022-02-18 00:00:00,2022,18,2,0,-112.9,-21.79,44.3,5.3,290.0,nan,nan,nan
2022-02-19 00:00:00,2022,19,2,0,-110.8,-23.04,33.6,8.6,288.7,nan,nan,nan
2022-02-20 00:00:00,2022,20,2,0,-115.9,-27.48,39.4,8.4,167.2,nan,nan,nan
2022-02-21 00:00:00,2022,21,2,0,-113.3,-25.58,38.4,4.5,302.3,nan,nan,nan
2022-02-22 00:00:00,2022,22,2,0,-110.7,-31.02,45.4,3.9,207.5,nan,nan,nan
2022-02-23 00:00:00,2022,23,2,0,-112.2,-26.86,51.7,4.2,228.4,nan,nan,nan
2022-02-24 00:00:00,2022,24,2,0,-116.3,-22.44,43.0,5.1,310.9,nan,nan,nan
2022-02-25 00:00:00,2022,25,2,0,-111.8,-25.86,41.9,7.9,85.8,nan,nan,nan
2022-02-26 00:00:00,2022,26,2,0,-112.4,-26.2,33.4,5.8,134.6,nan,nan,nan
2022-02-27 00:00:00,2022,27,2,0,-116.2,-27.3,47.7,4.4,281.2,nan,nan,nan
2022-02-28 00:00:00,2022,28,2,0,-106.7,-25.81,49.3,6.5,246.9,nan,nan,nan
2022-03-01 00:00:00,2022,1,3,0,-111.8,-21.07,48.3,8.9,257.0,nan,nan,nan
2022-03-02 00:00:00,2022,2,3,0,-104.0,-23.71,42.0,5.7,239.1,nan,nan,nan
2022-03-03 00:00:00,2022,3,3,0,-95.8,-20.78,51.3,3.1,304.6,nan,nan,nan
2022-03-04 00:00:00,2022,4,3,0,-103.2,-16.95,79.8,4.6,298.9,nan,nan,nan
2022-03-05 00:00:00,2022,5,3,0,-106.6,-11.45,76.2,7.4,229.6,nan,nan,nan
2022-03-06 00:00:00,2022,6,3,0,-108.4,-14.78,51.9,6.3,255.1,nan,nan,nan
2022-03-07 00:00:00,2022,7,3,0,-131.5,-14.03,47.2,5.5,219.3,nan,nan,nan
2022-03-08 00:00:00,2022,8,3,0,-125.9,-20.28,43.4,7.1,240.8,nan,nan,nan
2022-03-09 00:00:00,2022,9,3,0,-113.6,-17.84,40.2,6.9,293.8,nan,nan,nan
2022-03-10 00:00:00,2022,10,3,0,-116.3,-16.19,79.3,4.2,299.9,nan,nan,nan
2022-03-11 00:00:00,2022,11,3,0,-109.5,-15.74,65.8,4.8,194.9,nan,nan,nan
2022-03-12 00:00:00,2022,12,3,0,-118.1,-11.98,87.9,4.2,284.0,nan,nan,nan
2022-03-13 00:00:00,2022,13,3,0,-123.5,-11.17,91.1,0.9,136.9,nan,nan,nan
2022-03-14 00:00:00,2022,14,3,0,-115.7,-18.01,58.0,5.5,269.0,nan,nan,nan
2022-03-15 00:00:00,2022,15,3,0,-137.1,-14.31,80.3,6.4,183.8,nan,nan,nan
2022-03-16 00:00:00,2022,16,3,0,-139.6,-15.6,86.1,4.0,246.6,nan,nan,nan
2022-03-17 00:00:00,2022,17,3,0,-130.6,-18.78,55.9,7.3,134.1,nan,nan,nan
2022-03-18 00:00:00,2022,18,3,0,-121.7,-15.28,38.1,5.1,296.9,nan,nan,nan
2022-03-19 00:00:00,2022,19,3,0,-117.0,-20.95,47.8,7.5,240.3,nan,nan,nan
2022-03-20 00:00:00,2022,20,3,0,-109.4,-24.66,42.0,9.3,211.0,nan,nan,nan
2022-03-21 00:00:00,2022,21,3,0,-110.5,-23.78,44.4,9.0,251.3,nan,nan,nan
2022-03-22 00:00:00,2022,22,3,0,-91.0,-26.49,42.7,7.6,166.7,nan,nan,nan
2022-03-23 00:00:00,2022,23,3,0,-95.7,-29.61,37.8,5.6,258.2,nan,nan,nan
2022-03-24 00:00:00,2022,24,3,0,-97.6,-27.96,45.0,5.4,229.5,nan,nan,nan
2022-03-25 00:00:00,2022,25,3,0,-92.0,-29.19,42.7,3.4,261.9,nan,nan,nan
2022-03-26 00:00:00,2022,26,3,0,-98.1,-23.2,51.9,2.8,251.2,nan,nan,nan
2022-03-27 00:00:00,2022,27,3,0,-97.9,-17.0,50.0,5.7,275.8,nan,nan,nan
2022-03-28 00:00:00,2022,28,3,0,-87.3,-18.99,47.3,4.9,339.1,nan,nan,nan
2022-03-29 00:00:00,2022,29,3,0,-88.6,-17.59,63.3,4.5,304.3,nan,nan,nan
2022-03-30 00:00:00,2022,30,3,0,-91.4,-18.33,65.9,4.6,229.9,nan,nan,nan
2022-03-31 00:00:00,2022,31,3,0,-95.6,-10.33,63.4,5.8,306.3,nan,nan,nan
2022-04-01 00:00:00,2022,1,4,0,-96.7,-10.86,56.6,6.2,346.4,nan,nan,nan
2022-04-02 00:00:00,2022,2,4,0,-96.7,-22.75,74.2,2.2,286.7,nan,nan,nan
2022-04-03 00:00:00,2022,3,4,0,-95.6,-28.0,67.8,4.0,174.9,nan,nan,nan
2022-04-04 00:00:00,2022,4,4,0,-99.9,-26.27,61.4,4.6,162.5,nan,nan,nan
2022-04-05 00:00:00,2022,5,4,0,-94.0,-21.66,50.7,5.9,315.4,nan,nan,nan
2022-04-06 00:00:00,2022,6,4,0,-102.4,-20.78,52.7,3.9,287.1,nan,nan,nan
2022-04-07 00:00:00,2022,7,4,0,-106.3,-18.26,65.2,2.7,301.0,nan,nan,nan
2022-04-08 00:00:00,2022,8,4,0,-101.4,-22.45,73.5,2.3,285.4,nan,nan,nan
2022-04-09 00:00:00,2022,9,4,0,-99.6,-24.78,50.9,8.5,225.1,nan,nan,nan
2022-04-10 01:00:00,2022,10,4,1,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 02:00:00,2022,10,4,2,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 03:00:00,2022,10,4,3,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 04:00:00,2022,10,4,4,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 05:00:00,2022,10,4,5,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 06:00:00,2022,10,4,6,-97.2,-24.93,47.8,8.0,204.8,nan,nan,nan
2022-04-10 07:00:00,2022,10,4,7,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 08:00:00,2022,10,4,8,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 09:00:00,2022,10,4,9,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 10:00:00,2022,10,4,10,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 11:00:00,2022,10,4,11,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 12:00:00,2022,10,4,12,-96.7,-21.1,41.2,4.9,288.5,nan,nan,nan
2022-04-10 13:00:00,2022,10,4,13,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 14:00:00,2022,10,4,14,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 15:00:00,2022,10,4,15,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 16:00:00,2022,10,4,16,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 17:00:00,2022,10,4,17,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 18:00:00,2022,10,4,18,-95.6,-19.32,41.2,4.4,285.1,nan,nan,nan
2022-04-10 19:00:00,2022,10,4,19,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 20:00:00,2022,10,4,20,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 21:00:00,2022,10,4,21,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 22:00:00,2022,10,4,22,nan,,nan,nan,nan,nan,nan,nan
2022-04-10 23:00:00,2022,10,4,23,nan,,nan,nan,nan,nan,nan,nan
