date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-291.6,-11.8,90.9,16.3,220.8,63.14900,44.81736,2889.31
2021-11-25 01:00:00,2021,25,11,1,-291.8,-11.07,91.6,16.9,227.1,63.14897,44.81739,2889.31
2021-11-25 02:00:00,2021,25,11,2,-291.9,-11.22,91.5,15.9,228.7,63.14896,44.81733,2889.31
2021-11-25 03:00:00,2021,25,11,3,-292.1,-11.72,91.1,14.7,229.6,63.14896,44.81737,2889.31
2021-11-25 04:00:00,2021,25,11,4,-292.0,-12.07,90.8,13.3,236.7,63.14901,44.81735,2889.31
2021-11-25 05:00:00,2021,25,11,5,-291.8,-12.37,90.5,12.7,244.3,63.14904,44.81741,2889.31
2021-11-25 06:00:00,2021,25,11,6,-291.1,-12.55,90.4,12.2,246.1,63.14901,44.81738,2889.31
2021-11-25 07:00:00,2021,25,11,7,-290.5,-12.7,90.3,11.1,254.5,63.14897,44.81741,2889.31
2021-11-25 08:00:00,2021,25,11,8,-289.8,-12.7,90.3,9.8,257.2,63.14897,44.81736,2889.31
2021-11-25 09:00:00,2021,25,11,9,-289.2,-12.57,90.5,9.2,252.7,63.14910,44.81739,2889.31
2021-11-25 10:00:00,2021,25,11,10,-288.7,-12.63,90.4,8.1,250.2,63.14908,44.81728,2889.31
2021-11-25 11:00:00,2021,25,11,11,-288.1,-12.97,90.1,8.5,248.1,63.14899,44.81736,2889.31
2021-11-25 12:00:00,2021,25,11,12,-287.7,-13.1,90.0,8.7,250.1,63.14900,44.81740,2889.31
2021-11-25 13:00:00,2021,25,11,13,-287.6,-13.33,89.8,8.9,253.6,63.14898,44.81746,2889.31
2021-11-25 14:00:00,2021,25,11,14,-287.3,-14.12,89.0,7.7,244.0,63.14902,44.81737,2889.31
2021-11-25 15:00:00,2021,25,11,15,-287.4,-14.62,88.5,7.3,247.2,63.14900,44.81743,2889.31
2021-11-25 16:00:00,2021,25,11,16,-287.4,-15.6,87.7,7.1,249.8,63.14900,44.81741,2889.31
2021-11-25 17:00:00,2021,25,11,17,-287.6,-16.87,86.7,6.6,258.1,63.14897,44.81741,2889.31
2021-11-25 18:00:00,2021,25,11,18,-287.6,-17.02,86.6,6.6,262.1,63.14903,44.81740,2889.31
2021-11-25 19:00:00,2021,25,11,19,-287.1,-16.78,86.8,6.8,257.1,63.14885,44.81740,2889.31
2021-11-25 20:00:00,2021,25,11,20,-286.7,-16.12,87.3,7.3,249.0,63.14899,44.81734,2889.31
2021-11-25 21:00:00,2021,25,11,21,-286.4,-16.08,87.3,6.4,245.6,63.14908,44.81740,2889.31
2021-11-25 22:00:00,2021,25,11,22,-286.4,-15.83,87.5,6.1,244.7,63.14899,44.81735,2889.31
2021-11-25 23:00:00,2021,25,11,23,-286.2,-14.65,88.5,7.3,232.1,63.14896,44.81736,2889.31
2021-11-26 00:00:00,2021,26,11,0,-286.1,-12.2,90.7,5.5,248.8,63.14903,44.81742,2889.32
2021-11-26 01:00:00,2021,26,11,1,-286.4,-9.75,92.9,8.2,238.2,63.14899,44.81730,2889.32
2021-11-26 02:00:00,2021,26,11,2,-286.7,-7.817,94.7,9.6,238.0,63.14899,44.81739,2889.32
2021-11-26 03:00:00,2021,26,11,3,-287.1,-7.067,95.4,10.2,230.4,63.14902,44.81737,2889.32
2021-11-26 04:00:00,2021,26,11,4,-287.4,-6.267,96.2,9.7,229.8,63.14896,44.81737,2889.32
2021-11-26 05:00:00,2021,26,11,5,-287.6,-6.117,96.4,9.2,223.0,63.14907,44.81748,2889.32
2021-11-26 06:00:00,2021,26,11,6,-287.7,-5.917,96.6,10.4,225.2,63.14902,44.81733,2889.32
2021-11-26 07:00:00,2021,26,11,7,-288.0,-5.6,97.0,11.1,224.2,63.14896,44.81741,2889.32
2021-11-26 08:00:00,2021,26,11,8,-288.3,-5.4,97.2,10.9,228.5,63.14899,44.81738,2889.32
2021-11-26 09:00:00,2021,26,11,9,-288.3,-5.4,97.2,12.6,229.2,63.14905,44.81734,2889.32
2021-11-26 10:00:00,2021,26,11,10,-288.2,-4.867,97.8,12.0,239.2,63.14895,44.81740,2889.32
2021-11-26 11:00:00,2021,26,11,11,-288.3,-4.567,98.0,11.9,245.1,63.14898,44.81737,2889.32
2021-11-26 12:00:00,2021,26,11,12,-288.3,-4.9,97.8,10.8,246.7,63.14902,44.81735,2889.32
2021-11-26 13:00:00,2021,26,11,13,-288.3,-5.017,97.7,11.6,248.4,63.14902,44.81740,2889.32
2021-11-26 14:00:00,2021,26,11,14,-288.1,-4.85,97.8,11.8,244.1,63.14902,44.81737,2889.32
2021-11-26 15:00:00,2021,26,11,15,-287.9,-4.95,97.8,11.3,245.1,63.14904,44.81740,2889.32
2021-11-26 16:00:00,2021,26,11,16,-287.9,-5.1,97.6,10.2,245.8,63.14900,44.81737,2889.32
2021-11-26 17:00:00,2021,26,11,17,-287.9,-5.1,97.7,9.1,246.8,63.14903,44.81734,2889.32
2021-11-26 18:00:00,2021,26,11,18,-287.8,-4.967,97.8,9.3,239.4,63.14898,44.81729,2889.32
2021-11-26 19:00:00,2021,26,11,19,-287.9,-4.583,98.2,9.7,244.5,63.14904,44.81733,2889.32
2021-11-26 20:00:00,2021,26,11,20,-287.9,-4.267,98.6,9.2,241.2,63.14904,44.81731,2889.32
2021-11-26 21:00:00,2021,26,11,21,-288.0,-3.6,99.3,11.0,236.0,63.14902,44.81734,2889.32
2021-11-26 22:00:00,2021,26,11,22,-288.4,-2.8,99.9,13.6,234.8,63.14899,44.81743,2889.32
2021-11-26 23:00:00,2021,26,11,23,-288.4,-2.4,100.0,13.3,242.1,63.14900,44.81739,2889.32
2021-11-27 00:00:00,2021,27,11,0,-288.5,-2.417,100.0,11.1,240.0,63.14905,44.81729,2889.33
2021-11-27 01:00:00,2021,27,11,1,-288.7,-2.917,99.9,12.7,231.0,63.14899,44.81738,2889.33
2021-11-27 02:00:00,2021,27,11,2,-288.8,-3.283,99.7,11.8,232.3,63.14896,44.81732,2889.33
2021-11-27 03:00:00,2021,27,11,3,-289.3,-3.15,99.8,13.6,228.9,63.14898,44.81739,2889.33
2021-11-27 04:00:00,2021,27,11,4,-289.7,-3.583,99.4,15.2,234.1,63.14897,44.81735,2889.33
2021-11-27 05:00:00,2021,27,11,5,-290.2,-3.7,99.3,14.0,239.8,63.14903,44.81740,2889.33
2021-11-27 06:00:00,2021,27,11,6,-290.4,-4.133,98.9,14.1,238.4,63.14900,44.81743,2889.33
2021-11-27 07:00:00,2021,27,11,7,-290.7,-4.517,98.5,14.0,245.4,63.14897,44.81739,2889.33
2021-11-27 08:00:00,2021,27,11,8,-290.6,-4.467,98.5,12.9,233.8,63.14899,44.81736,2889.33
2021-11-27 09:00:00,2021,27,11,9,-290.9,-3.933,99.1,14.0,233.2,63.14901,44.81731,2889.33
2021-11-27 10:00:00,2021,27,11,10,-290.9,-3.383,99.6,13.9,229.8,63.14887,44.81757,2889.33
2021-11-27 11:00:00,2021,27,11,11,-290.7,-3.05,99.9,11.8,237.0,63.14898,44.81737,2889.33
2021-11-27 12:00:00,2021,27,11,12,-290.9,-2.45,100.0,12.5,239.2,63.14905,44.81735,2889.33
2021-11-27 13:00:00,2021,27,11,13,-291.2,-2.45,100.0,13.0,244.7,63.14896,44.81746,2889.33
2021-11-27 14:00:00,2021,27,11,14,-291.1,-2.383,100.0,9.2,257.1,63.14900,44.81732,2889.33
2021-11-27 15:00:00,2021,27,11,15,-291.4,-2.317,100.0,8.0,246.3,63.14900,44.81733,2889.33
2021-11-27 16:00:00,2021,27,11,16,-291.7,-2.167,100.0,8.0,240.3,63.14901,44.81733,2889.33
2021-11-27 17:00:00,2021,27,11,17,-291.9,-2.483,100.0,8.8,234.3,63.14898,44.81742,2889.33
2021-11-27 18:00:00,2021,27,11,18,-292.2,-2.917,100.0,8.7,224.8,63.14901,44.81730,2889.33
2021-11-27 19:00:00,2021,27,11,19,-292.9,-3.283,99.9,9.0,223.9,63.14899,44.81737,2889.33
2021-11-27 20:00:00,2021,27,11,20,-293.0,-3.517,99.6,8.3,223.8,63.14895,44.81734,2889.33
2021-11-27 21:00:00,2021,27,11,21,-293.2,-4.4,98.8,6.8,220.2,63.14902,44.81732,2889.33
