date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-120.0,-9.07,93.7,9.4,34.0,69.55328,49.37274,1117.31
2021-11-25 01:00:00,2021,25,11,1,-119.0,-9.35,93.4,8.1,23.9,69.55330,49.37271,1117.31
2021-11-25 02:00:00,2021,25,11,2,-118.0,-9.47,93.4,6.8,7.7,69.55329,49.37273,1117.31
2021-11-25 03:00:00,2021,25,11,3,-118.0,-9.3,93.5,7.1,10.1,69.55331,49.37272,1117.31
2021-11-25 04:00:00,2021,25,11,4,-117.0,-9.38,93.4,7.2,10.3,69.55330,49.37277,1117.31
2021-11-25 05:00:00,2021,25,11,5,-117.0,-9.7,93.1,7.4,10.0,69.55329,49.37272,1117.31
2021-11-25 06:00:00,2021,25,11,6,-116.0,-9.97,92.9,6.6,1.2,69.55327,49.37272,1117.31
2021-11-25 07:00:00,2021,25,11,7,-115.0,-10.07,92.8,6.5,12.2,69.55330,49.37273,1117.31
2021-11-25 08:00:00,2021,25,11,8,-115.0,-10.02,92.8,6.7,21.9,69.55330,49.37278,1117.31
2021-11-25 09:00:00,2021,25,11,9,-114.0,-10.15,92.7,5.5,14.4,69.55330,49.37277,1117.31
2021-11-25 10:00:00,2021,25,11,10,-113.0,-10.58,92.4,5.1,4.9,69.55329,49.37274,1117.31
2021-11-25 11:00:00,2021,25,11,11,-112.0,-10.48,92.5,4.1,2.7,69.55329,49.37275,1117.31
2021-11-25 12:00:00,2021,25,11,12,-112.0,-10.58,92.5,3.3,358.6,69.55329,49.37274,1117.31
2021-11-25 13:00:00,2021,25,11,13,-111.0,-10.77,92.3,3.5,6.5,69.55328,49.37272,1117.31
2021-11-25 14:00:00,2021,25,11,14,-110.0,-10.85,92.3,3.7,334.7,69.55330,49.37276,1117.31
2021-11-25 15:00:00,2021,25,11,15,-110.0,-11.15,92.1,3.3,334.4,69.55328,49.37273,1117.31
2021-11-25 16:00:00,2021,25,11,16,-110.0,-12.08,91.6,3.4,318.5,69.55331,49.37274,1117.31
2021-11-25 17:00:00,2021,25,11,17,-109.0,-11.23,91.9,4.4,318.4,69.55328,49.37272,1117.31
2021-11-25 18:00:00,2021,25,11,18,-109.0,-11.48,91.8,4.6,314.0,69.55331,49.37270,1117.31
2021-11-25 19:00:00,2021,25,11,19,-109.0,-11.6,91.5,5.7,309.6,69.55329,49.37272,1117.31
2021-11-25 20:00:00,2021,25,11,20,-109.0,-12.32,91.0,5.7,307.6,69.55328,49.37274,1117.31
2021-11-25 21:00:00,2021,25,11,21,-110.0,-12.48,90.8,7.6,303.8,69.55331,49.37273,1117.31
2021-11-25 22:00:00,2021,25,11,22,-110.0,-14.4,89.1,10.5,299.7,69.55328,49.37274,1117.31
2021-11-25 23:00:00,2021,25,11,23,-110.0,-15.37,88.3,10.3,292.0,69.55331,49.37270,1117.31
2021-11-26 00:00:00,2021,26,11,0,-111.0,-15.45,88.1,9.8,289.4,69.55328,49.37276,1117.34
2021-11-26 01:00:00,2021,26,11,1,-112.0,-14.8,88.7,9.5,295.3,69.55327,49.37277,1117.34
2021-11-26 02:00:00,2021,26,11,2,-112.0,-12.65,90.4,9.2,305.4,69.55330,49.37272,1117.34
2021-11-26 03:00:00,2021,26,11,3,-113.0,-11.65,91.1,10.6,315.4,69.55330,49.37275,1117.34
2021-11-26 04:00:00,2021,26,11,4,-114.0,-11.25,91.5,9.8,313.9,69.55330,49.37274,1117.34
2021-11-26 05:00:00,2021,26,11,5,-114.0,-10.77,91.8,9.7,317.0,69.55328,49.37272,1117.34
2021-11-26 06:00:00,2021,26,11,6,-115.0,-10.57,91.3,9.8,315.7,69.55330,49.37274,1117.34
2021-11-26 07:00:00,2021,26,11,7,-116.0,-10.5,90.9,9.3,316.8,69.55329,49.37276,1117.34
2021-11-26 08:00:00,2021,26,11,8,-117.0,-10.38,90.1,8.4,313.5,69.55329,49.37274,1117.34
2021-11-26 09:00:00,2021,26,11,9,-117.0,-10.05,88.8,8.4,315.5,69.55330,49.37275,1117.34
2021-11-26 10:00:00,2021,26,11,10,-118.0,-9.9,90.9,7.3,328.6,69.55330,49.37272,1117.34
2021-11-26 11:00:00,2021,26,11,11,-118.0,-10.08,92.6,6.6,313.7,69.55331,49.37276,1117.34
2021-11-26 12:00:00,2021,26,11,12,-119.0,-9.85,91.3,5.9,325.6,69.55329,49.37274,1117.34
2021-11-26 13:00:00,2021,26,11,13,-119.0,-9.97,91.4,6.1,332.2,69.55330,49.37274,1117.34
2021-11-26 14:00:00,2021,26,11,14,-119.0,-10.1,92.6,5.9,336.9,69.55328,49.37274,1117.34
2021-11-26 15:00:00,2021,26,11,15,-119.0,-10.08,92.6,5.8,332.8,69.55331,49.37275,1117.34
2021-11-26 16:00:00,2021,26,11,16,-119.0,-9.9,92.8,5.6,331.8,69.55330,49.37275,1117.34
2021-11-26 17:00:00,2021,26,11,17,-119.0,-9.72,93.0,4.9,348.0,69.55327,49.37277,1117.34
2021-11-26 18:00:00,2021,26,11,18,-119.0,-9.7,93.0,4.8,0.5,69.55330,49.37275,1117.34
2021-11-26 19:00:00,2021,26,11,19,-119.0,-10.47,92.5,3.4,353.8,69.55329,49.37272,1117.34
2021-11-26 20:00:00,2021,26,11,20,-119.0,-11.03,92.0,2.7,338.0,69.55328,49.37276,1117.34
2021-11-26 21:00:00,2021,26,11,21,-118.0,-10.28,92.6,2.5,335.1,69.55330,49.37271,1117.34
2021-11-26 22:00:00,2021,26,11,22,-118.0,-10.8,92.5,2.2,311.1,69.55328,49.37273,1117.34
2021-11-26 23:00:00,2021,26,11,23,-118.0,-13.1,91.0,2.4,279.3,69.55327,49.37271,1117.34
2021-11-27 00:00:00,2021,27,11,0,-118.0,-13.08,90.5,3.1,284.5,69.55329,49.37275,1117.37
2021-11-27 01:00:00,2021,27,11,1,-118.0,-12.7,90.7,3.0,277.0,69.55328,49.37275,1117.37
2021-11-27 02:00:00,2021,27,11,2,-119.0,-12.55,90.8,3.6,297.1,69.55330,49.37275,1117.37
2021-11-27 03:00:00,2021,27,11,3,-119.0,-13.75,90.1,3.1,281.5,69.55332,49.37269,1117.37
2021-11-27 04:00:00,2021,27,11,4,-120.0,-14.05,89.7,3.2,279.9,69.55330,49.37278,1117.37
2021-11-27 05:00:00,2021,27,11,5,-120.0,-15.65,88.8,2.8,267.6,69.55328,49.37271,1117.37
2021-11-27 06:00:00,2021,27,11,6,-121.0,-15.3,88.7,3.1,266.2,69.55329,49.37274,1117.37
2021-11-27 07:00:00,2021,27,11,7,-121.0,-14.82,89.1,2.8,271.0,69.55329,49.37269,1117.37
2021-11-27 08:00:00,2021,27,11,8,-121.0,-13.27,89.8,2.5,282.7,69.55327,49.37275,1117.37
2021-11-27 09:00:00,2021,27,11,9,-121.0,-11.88,91.1,2.7,275.5,69.55330,49.37278,1117.37
2021-11-27 10:00:00,2021,27,11,10,-122.0,-11.85,91.5,2.3,272.5,69.55329,49.37275,1117.37
2021-11-27 11:00:00,2021,27,11,11,-122.0,-12.25,91.0,2.3,265.0,69.55329,49.37276,1117.37
2021-11-27 12:00:00,2021,27,11,12,-122.0,-12.9,90.7,2.4,250.8,69.55329,49.37273,1117.37
2021-11-27 13:00:00,2021,27,11,13,-123.0,-13.9,89.9,2.6,254.3,69.55329,49.37274,1117.37
2021-11-27 14:00:00,2021,27,11,14,-123.0,-13.95,89.5,2.5,242.0,69.55329,49.37279,1117.37
2021-11-27 15:00:00,2021,27,11,15,-124.0,-16.02,88.6,2.5,243.7,69.55331,49.37277,1117.37
2021-11-27 16:00:00,2021,27,11,16,-124.0,-15.8,88.3,2.2,234.7,69.55330,49.37272,1117.37
2021-11-27 17:00:00,2021,27,11,17,-124.0,-15.93,87.9,2.5,206.6,69.55329,49.37270,1117.37
2021-11-27 18:00:00,2021,27,11,18,-124.0,-16.28,87.4,3.2,200.1,69.55330,49.37273,1117.37
2021-11-27 19:00:00,2021,27,11,19,-125.0,-14.28,88.1,3.1,205.1,69.55329,49.37268,1117.37
2021-11-27 20:00:00,2021,27,11,20,-125.0,-14.48,88.0,3.1,210.2,69.55327,49.37275,1117.37
2021-11-27 21:00:00,2021,27,11,21,-126.0,-14.6,87.4,3.3,201.0,69.55330,49.37272,1117.37
2021-11-27 22:00:00,2021,27,11,22,-126.0,-14.23,87.5,3.5,198.9,69.55329,49.37274,1117.37
2021-11-27 23:00:00,2021,27,11,23,-127.0,-12.98,87.4,3.9,203.5,69.55329,49.37274,1117.37
2021-11-28 00:00:00,2021,28,11,0,-128.0,-12.97,87.7,4.0,203.1,69.55328,49.37283,1117.39
2021-11-28 01:00:00,2021,28,11,1,-128.0,-13.37,89.1,3.9,194.9,69.55327,49.37274,1117.39
2021-11-28 02:00:00,2021,28,11,2,-129.0,-15.05,88.7,3.6,185.1,69.55328,49.37277,1117.39
2021-11-28 03:00:00,2021,28,11,3,-130.0,-13.8,88.7,4.2,196.5,69.55330,49.37270,1117.39
2021-11-28 04:00:00,2021,28,11,4,-130.0,-14.0,86.8,4.5,195.1,69.55329,49.37275,1117.39
2021-11-28 05:00:00,2021,28,11,5,-131.0,-13.1,86.1,4.7,194.8,69.55329,49.37274,1117.39
2021-11-28 06:00:00,2021,28,11,6,-131.0,-12.35,85.7,4.3,193.7,69.55329,49.37277,1117.39
2021-11-28 07:00:00,2021,28,11,7,-131.0,-10.8,86.4,5.0,185.2,69.55330,49.37275,1117.39
2021-11-28 08:00:00,2021,28,11,8,-131.0,-10.57,81.0,4.7,190.9,69.55327,49.37277,1117.39
2021-11-28 09:00:00,2021,28,11,9,-131.0,-11.73,81.1,3.4,182.7,69.55330,49.37276,1117.39
2021-11-28 10:00:00,2021,28,11,10,-131.0,-12.4,84.3,3.5,194.5,69.55330,49.37273,1117.39
2021-11-28 11:00:00,2021,28,11,11,-131.0,-11.38,83.9,4.7,193.6,69.55328,49.37276,1117.39
2021-11-28 12:00:00,2021,28,11,12,-131.0,-12.25,85.1,4.3,195.5,69.55329,49.37274,1117.39
2021-11-28 13:00:00,2021,28,11,13,-131.0,-13.0,86.2,4.2,200.7,69.55329,49.37274,1117.39
2021-11-28 14:00:00,2021,28,11,14,-131.0,-13.1,85.2,4.0,200.3,69.55329,49.37276,1117.39
2021-11-28 15:00:00,2021,28,11,15,-130.0,-12.88,84.6,4.4,199.7,69.55330,49.37279,1117.39
2021-11-28 16:00:00,2021,28,11,16,-130.0,-13.63,87.0,4.6,219.3,69.55330,49.37276,1117.39
2021-11-28 17:00:00,2021,28,11,17,-130.0,-15.02,88.5,3.9,229.6,69.55326,49.37273,1117.39
2021-11-28 18:00:00,2021,28,11,18,-130.0,-14.9,88.8,4.2,236.8,69.55330,49.37273,1117.39
2021-11-28 19:00:00,2021,28,11,19,-130.0,-14.0,89.4,4.1,248.3,69.55329,49.37274,1117.39
2021-11-28 20:00:00,2021,28,11,20,-130.0,-13.47,90.0,4.7,253.8,69.55330,49.37280,1117.39
2021-11-28 21:00:00,2021,28,11,21,-130.0,-13.17,90.0,5.5,256.5,69.55329,49.37276,1117.39
2021-11-28 22:00:00,2021,28,11,22,-131.0,-13.62,89.3,6.2,251.1,69.55329,49.37273,1117.39
2021-11-28 23:00:00,2021,28,11,23,-132.0,-13.2,87.5,7.6,254.7,69.55329,49.37282,1117.39
2021-11-29 00:00:00,2021,29,11,0,-133.0,-11.83,88.6,7.6,259.3,69.55329,49.37274,1117.42
2021-11-29 01:00:00,2021,29,11,1,-134.0,-9.52,90.3,8.1,259.5,69.55329,49.37273,1117.42
2021-11-29 02:00:00,2021,29,11,2,-135.0,-7.8,91.4,7.5,273.9,69.55329,49.37278,1117.42
2021-11-29 03:00:00,2021,29,11,3,-136.0,-5.4,92.5,8.6,271.3,69.55328,49.37274,1117.42
2021-11-29 04:00:00,2021,29,11,4,-137.0,-3.4,92.3,8.7,283.8,69.55328,49.37277,1117.42
2021-11-29 05:00:00,2021,29,11,5,-137.0,-1.733,97.0,8.3,306.8,69.55328,49.37274,1117.42
2021-11-29 06:00:00,2021,29,11,6,-138.0,-1.167,99.9,6.3,321.8,69.55329,49.37277,1117.42
2021-11-29 07:00:00,2021,29,11,7,-138.0,-1.133,100.0,5.4,331.6,69.55328,49.37275,1117.42
2021-11-29 08:00:00,2021,29,11,8,-138.0,-1.65,99.9,5.8,352.5,69.55329,49.37276,1117.42
2021-11-29 09:00:00,2021,29,11,9,-138.0,-2.783,99.1,7.4,8.7,69.55329,49.37277,1117.42
2021-11-29 10:00:00,2021,29,11,10,-136.0,-3.683,98.3,8.2,24.9,69.55329,49.37275,1117.42
2021-11-29 11:00:00,2021,29,11,11,-135.0,-5.25,97.1,6.8,15.6,69.55326,49.37275,1117.42
2021-11-29 12:00:00,2021,29,11,12,-134.0,-5.467,96.9,5.5,4.2,69.55330,49.37277,1117.42
2021-11-29 13:00:00,2021,29,11,13,-134.0,-5.083,97.1,5.1,358.2,69.55329,49.37273,1117.42
2021-11-29 14:00:00,2021,29,11,14,-134.0,-5.15,97.0,4.8,337.8,69.55330,49.37274,1117.42
2021-11-29 15:00:00,2021,29,11,15,-134.0,-4.933,97.2,4.8,327.0,69.55329,49.37279,1117.42
2021-11-29 16:00:00,2021,29,11,16,-133.0,-4.6,97.5,4.0,316.8,69.55328,49.37274,1117.42
2021-11-29 17:00:00,2021,29,11,17,-133.0,-4.533,97.6,2.9,304.2,69.55332,49.37269,1117.42
2021-11-29 18:00:00,2021,29,11,18,-133.0,-4.883,97.6,2.2,270.5,69.55328,49.37278,1117.42
2021-11-29 19:00:00,2021,29,11,19,-133.0,-5.383,97.2,2.5,266.2,69.55328,49.37274,1117.42
2021-11-29 20:00:00,2021,29,11,20,-134.0,-5.117,97.1,3.2,249.9,69.55328,49.37275,1117.42
2021-11-29 21:00:00,2021,29,11,21,-134.0,-4.617,97.5,4.4,283.4,69.55330,49.37275,1117.42
2021-11-29 22:00:00,2021,29,11,22,-134.0,-5.217,96.8,7.7,316.5,69.55328,49.37273,1117.42
2021-11-29 23:00:00,2021,29,11,23,-134.0,-5.967,96.3,8.0,318.8,69.55328,49.37277,1117.42
2021-11-30 00:00:00,2021,30,11,0,-134.0,-6.4,95.9,8.9,320.1,69.55328,49.37283,1117.44
2021-11-30 01:00:00,2021,30,11,1,-134.0,-7.85,94.3,10.0,312.8,69.55327,49.37274,1117.44
2021-11-30 02:00:00,2021,30,11,2,-134.0,-8.08,94.1,10.2,310.1,69.55329,49.37276,1117.44
2021-11-30 03:00:00,2021,30,11,3,-134.0,-8.2,94.2,11.0,314.8,69.55327,49.37280,1117.44
2021-11-30 04:00:00,2021,30,11,4,-133.0,-8.4,93.9,11.1,315.2,69.55328,49.37275,1117.44
2021-11-30 05:00:00,2021,30,11,5,-133.0,-8.13,94.2,10.2,314.2,69.55330,49.37279,1117.44
2021-11-30 06:00:00,2021,30,11,6,-133.0,-7.967,93.6,9.6,310.1,69.55329,49.37278,1117.44
2021-11-30 07:00:00,2021,30,11,7,-133.0,-7.85,93.9,9.1,317.1,69.55328,49.37276,1117.44
2021-11-30 08:00:00,2021,30,11,8,-132.0,-8.22,93.4,9.3,310.6,69.55329,49.37279,1117.44
2021-11-30 09:00:00,2021,30,11,9,-132.0,-8.2,92.1,8.9,317.7,69.55328,49.37274,1117.44
2021-11-30 10:00:00,2021,30,11,10,-131.0,-8.32,90.8,8.0,312.1,69.55328,49.37274,1117.44
2021-11-30 11:00:00,2021,30,11,11,-131.0,-9.78,88.2,8.7,299.5,69.55328,49.37273,1117.44
2021-11-30 12:00:00,2021,30,11,12,-131.0,-9.92,88.3,8.7,287.7,69.55330,49.37271,1117.44
2021-11-30 13:00:00,2021,30,11,13,-130.0,-10.48,88.1,8.0,283.1,69.55329,49.37275,1117.44
2021-11-30 14:00:00,2021,30,11,14,-130.0,-10.65,90.5,6.4,291.1,69.55329,49.37275,1117.44
2021-11-30 15:00:00,2021,30,11,15,-129.0,-10.15,92.2,6.2,302.7,69.55329,49.37276,1117.44
2021-11-30 16:00:00,2021,30,11,16,-128.0,-9.42,93.5,6.0,314.3,69.55331,49.37275,1117.44
2021-11-30 17:00:00,2021,30,11,17,-127.0,-8.13,94.5,5.1,321.9,69.55328,49.37275,1117.44
2021-11-30 18:00:00,2021,30,11,18,-126.0,-7.367,95.0,4.6,337.9,69.55328,49.37276,1117.44
2021-11-30 19:00:00,2021,30,11,19,-125.0,-6.95,95.4,4.2,330.7,69.55328,49.37278,1117.44
2021-11-30 20:00:00,2021,30,11,20,-125.0,-7.017,95.4,5.0,336.0,69.55328,49.37275,1117.44
2021-11-30 21:00:00,2021,30,11,21,-124.0,-7.467,95.0,5.5,322.6,69.55327,49.37277,1117.44
2021-11-30 22:00:00,2021,30,11,22,-123.0,-8.38,94.2,5.9,315.4,69.55328,49.37274,1117.44
2021-11-30 23:00:00,2021,30,11,23,-123.0,-9.68,93.1,5.4,311.5,69.55327,49.37274,1117.44
2021-12-01 00:00:00,2021,1,12,0,-122.0,-8.55,94.1,5.3,307.3,69.55328,49.37277,1117.47
2021-12-01 01:00:00,2021,1,12,1,-122.0,-7.833,94.7,5.0,307.6,69.55329,49.37276,1117.47
2021-12-01 02:00:00,2021,1,12,2,-122.0,-7.05,95.3,6.5,323.3,69.55331,49.37279,1117.47
2021-12-01 03:00:00,2021,1,12,3,-122.0,-7.217,95.2,6.8,313.8,69.55329,49.37279,1117.47
2021-12-01 04:00:00,2021,1,12,4,-123.0,-7.917,94.6,6.8,298.1,69.55326,49.37276,1117.47
2021-12-01 05:00:00,2021,1,12,5,-123.0,-9.4,93.5,6.3,288.4,69.55328,49.37277,1117.47
2021-12-01 06:00:00,2021,1,12,6,-125.0,-11.02,92.2,7.7,276.1,69.55330,49.37276,1117.47
2021-12-01 07:00:00,2021,1,12,7,-127.0,-12.28,90.9,9.3,262.0,69.55327,49.37277,1117.47
2021-12-01 08:00:00,2021,1,12,8,-129.0,-12.22,90.7,11.9,266.4,69.55331,49.37280,1117.47
2021-12-01 09:00:00,2021,1,12,9,-132.0,-11.95,90.4,14.1,261.9,69.55329,49.37276,1117.47
2021-12-01 10:00:00,2021,1,12,10,-136.0,-11.92,90.7,18.3,272.2,69.55329,49.37276,1117.47
2021-12-01 11:00:00,2021,1,12,11,-139.0,-11.42,91.2,19.2,263.2,69.55330,49.37276,1117.47
2021-12-01 12:00:00,2021,1,12,12,-141.0,-8.67,92.8,18.7,277.9,69.55330,49.37278,1117.47
2021-12-01 13:00:00,2021,1,12,13,-144.0,-6.733,94.5,19.1,289.5,69.55319,49.37281,1117.47
2021-12-01 14:00:00,2021,1,12,14,-147.0,-5.833,95.3,19.6,300.7,69.55329,49.37276,1117.47
2021-12-01 15:00:00,2021,1,12,15,-149.0,-4.783,96.1,20.4,317.4,69.55330,49.37282,1117.47
2021-12-01 16:00:00,2021,1,12,16,-149.0,-4.467,96.3,20.5,318.1,69.55331,49.37275,1117.47
2021-12-01 17:00:00,2021,1,12,17,-149.0,-4.35,96.9,18.6,324.7,69.55328,49.37276,1117.47
2021-12-01 18:00:00,2021,1,12,18,-149.0,-4.333,97.2,16.5,326.3,69.55328,49.37278,1117.47
2021-12-01 19:00:00,2021,1,12,19,-149.0,-3.7,97.8,15.3,338.1,69.55328,49.37282,1117.47
2021-12-01 20:00:00,2021,1,12,20,-148.0,-5.633,95.6,16.3,321.1,69.55325,49.37273,1117.47
2021-12-01 21:00:00,2021,1,12,21,-146.0,-6.633,94.7,16.1,328.1,69.55336,49.37276,1117.47
2021-12-01 22:00:00,2021,1,12,22,-146.0,-6.917,94.9,14.9,336.7,69.55329,49.37274,1117.47
2021-12-01 23:00:00,2021,1,12,23,-144.0,-6.85,95.1,13.8,338.3,69.55327,49.37278,1117.47
2021-12-02 00:00:00,2021,2,12,0,-144.0,-7.633,93.1,13.7,326.7,69.55328,49.37279,1117.49
2021-12-02 01:00:00,2021,2,12,1,-144.0,-7.767,91.9,13.1,311.6,69.55328,49.37276,1117.49
2021-12-02 02:00:00,2021,2,12,2,-144.0,-7.733,90.5,12.0,325.3,69.55328,49.37275,1117.49
2021-12-02 03:00:00,2021,2,12,3,-145.0,-8.08,89.6,12.0,315.0,69.55329,49.37278,1117.49
2021-12-02 04:00:00,2021,2,12,4,-146.0,-7.883,89.3,12.7,311.0,69.55329,49.37276,1117.49
2021-12-02 05:00:00,2021,2,12,5,-146.0,-8.07,87.3,10.7,307.8,69.55330,49.37278,1117.49
2021-12-02 06:00:00,2021,2,12,6,-148.0,-9.28,87.6,11.8,308.9,69.55330,49.37277,1117.49
2021-12-02 07:00:00,2021,2,12,7,-149.0,-10.32,87.5,12.4,301.9,69.55329,49.37274,1117.49
2021-12-02 08:00:00,2021,2,12,8,-149.0,-11.17,87.0,12.2,302.4,69.55329,49.37279,1117.49
