date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-8.7,-5.56,83.6,2.7,343.8,65.63947,38.89889,232.99
2021-11-26 00:00:00,2021,26,11,0,-7.0,-4.336,66.7,14.8,360.0,65.63948,38.89889,233.01
2021-11-27 00:00:00,2021,27,11,0,-12.9,-4.584,80.2,1.3,223.2,65.63950,38.89892,233.02
2021-11-28 00:00:00,2021,28,11,0,-16.7,-2.612,89.1,0.3,286.8,65.63948,38.89893,233.03
2021-11-29 00:00:00,2021,29,11,0,-21.0,-4.334,99.1,2.2,62.3,65.63948,38.89893,233.05
2021-11-30 00:00:00,2021,30,11,0,-16.6,-7.386,76.5,3.7,9.0,65.63949,38.89894,233.06
2021-12-01 00:00:00,2021,1,12,0,-15.9,-3.07,56.3,3.7,32.1,65.63949,38.89897,233.07
2021-12-02 00:00:00,2021,2,12,0,-37.5,-2.385,86.5,5.0,93.8,65.63949,38.89892,233.09
2021-12-03 00:00:00,2021,3,12,0,-51.9,-6.72,94.5,27.3,2.9,65.63949,38.89890,233.10
2021-12-04 00:00:00,2021,4,12,0,-31.8,-6.807,59.0,7.5,19.2,65.63948,38.89892,233.12
2021-12-05 00:00:00,2021,5,12,0,-38.2,-2.903,95.8,18.0,65.2,65.63949,38.89893,233.13
2021-12-06 00:00:00,2021,6,12,0,-49.6,-0.332,81.4,7.0,70.6,65.63951,38.89891,233.14
2021-12-07 00:00:00,2021,7,12,0,-45.1,-2.53,71.5,4.9,28.8,65.63951,38.89888,233.16
2021-12-08 00:00:00,2021,8,12,0,-33.9,-5.337,56.5,2.6,25.4,65.63948,38.89892,233.17
2021-12-09 00:00:00,2021,9,12,0,-46.2,-0.829,77.4,13.3,55.0,65.63947,38.89894,233.18
2021-12-10 00:00:00,2021,10,12,0,-31.8,-7.678,53.6,4.9,11.6,65.63948,38.89892,233.20
2021-12-11 00:00:00,2021,11,12,0,-41.3,-0.747,61.4,0.6,102.9,65.63945,38.89892,233.21
2021-12-12 00:00:00,2021,12,12,0,-50.4,-0.456,74.6,3.9,51.2,65.63948,38.89895,233.22
2021-12-13 00:00:00,2021,13,12,0,-41.6,0.145,65.2,1.6,317.7,65.63949,38.89892,233.24
2021-12-14 00:00:00,2021,14,12,0,-48.6,2.219,64.6,8.3,69.4,65.63947,38.89894,233.25
2021-12-15 00:00:00,2021,15,12,0,-43.6,-1.328,52.1,7.1,12.0,65.63949,38.89894,233.27
2021-12-16 00:00:00,2021,16,12,0,-30.9,-3.236,73.7,5.5,33.3,65.63949,38.89894,233.28
2021-12-17 00:00:00,2021,17,12,0,-35.9,-0.622,100.2,1.7,150.0,65.63949,38.89893,233.29
2021-12-18 00:00:00,2021,18,12,0,-9.9,-6.391,66.7,7.2,29.9,65.63949,38.89892,233.31
2021-12-19 00:00:00,2021,19,12,0,-9.0,1.223,90.5,8.8,87.9,65.63946,38.89896,233.32
2021-12-20 00:00:00,2021,20,12,0,0.7,-2.408,57.4,2.0,15.8,65.63950,38.89894,233.33
2021-12-21 00:00:00,2021,21,12,0,-2.4,1.493,55.2,1.4,11.8,65.63949,38.89894,233.35
2021-12-22 00:00:00,2021,22,12,0,-5.2,-3.9,66.4,2.9,30.9,65.63947,38.89897,233.36
2021-12-23 00:00:00,2021,23,12,0,-1.9,-6.312,49.7,4.0,0.2,65.63948,38.89896,233.37
2021-12-24 00:00:00,2021,24,12,0,-7.4,-7.787,49.6,3.4,69.0,65.63948,38.89893,233.39
2021-12-25 00:00:00,2021,25,12,0,-17.4,-9.3,53.9,6.6,30.4,65.63949,38.89892,233.40
2021-12-26 00:00:00,2021,26,12,0,-9.1,-11.15,59.0,6.3,22.0,65.63948,38.89893,233.42
2021-12-27 00:00:00,2021,27,12,0,-19.0,-11.5,56.4,5.8,10.2,65.63947,38.89896,233.43
2021-12-28 00:00:00,2021,28,12,0,-15.8,-13.66,58.2,2.7,14.1,65.63950,38.89889,233.44
2021-12-29 00:00:00,2021,29,12,0,-14.7,-13.87,73.2,3.7,31.0,65.63948,38.89896,233.46
2021-12-30 00:00:00,2021,30,12,0,-18.8,-16.35,49.4,5.6,21.5,65.63948,38.89894,233.47
2021-12-31 00:00:00,2021,31,12,0,-19.1,-13.48,59.4,6.9,31.6,65.63947,38.89895,233.48
2022-01-01 00:00:00,2022,1,1,0,-12.0,-15.92,43.9,4.5,8.8,65.63948,38.89892,233.50
2022-01-02 00:00:00,2022,2,1,0,-13.6,-14.45,43.6,4.9,16.3,65.63948,38.89895,233.51
2022-01-03 00:00:00,2022,3,1,0,-20.2,-14.8,42.3,4.7,44.4,65.63948,38.89896,233.52
2022-01-04 00:00:00,2022,4,1,0,-13.1,-7.281,81.3,2.7,20.2,65.63947,38.89892,233.54
2022-01-05 00:00:00,2022,5,1,0,-33.0,-1.057,87.6,13.4,57.3,65.63948,38.89893,233.55
2022-01-06 00:00:00,2022,6,1,0,-55.8,-2.322,79.6,11.3,26.7,65.63948,38.89893,233.57
2022-01-07 00:00:00,2022,7,1,0,-64.5,0.228,68.4,7.7,13.0,65.63947,38.89890,233.58
2022-01-08 00:00:00,2022,8,1,0,-48.7,-0.435,88.8,3.1,53.6,65.63948,38.89896,233.59
2022-01-09 00:00:00,2022,9,1,0,-35.4,-2.385,65.6,5.6,33.0,65.63947,38.89890,233.61
2022-01-10 00:00:00,2022,10,1,0,-59.6,0.456,71.1,13.1,61.5,65.63947,38.89894,233.62
2022-01-11 00:00:00,2022,11,1,0,-52.7,-2.281,100.2,1.3,348.8,65.63947,38.89891,233.63
2022-01-12 00:00:00,2022,12,1,0,-57.5,-3.898,92.5,4.9,55.6,65.63948,38.89892,233.65
2022-01-13 00:00:00,2022,13,1,0,-44.6,-12.21,83.5,13.6,347.7,65.63947,38.89892,233.66
2022-01-14 00:00:00,2022,14,1,0,-16.9,-11.96,58.0,0.0,0.0,65.63945,38.89892,233.67
2022-01-15 00:00:00,2022,15,1,0,-16.6,-12.79,80.4,15.6,331.9,65.63945,38.89893,233.69
2022-01-16 00:00:00,2022,16,1,0,-22.4,-10.36,41.5,1.5,25.9,65.63945,38.89891,233.70
2022-01-17 00:00:00,2022,17,1,0,-31.4,-9.4,92.1,2.0,334.7,65.63947,38.89888,233.72
2022-01-18 00:00:00,2022,18,1,0,-37.0,-12.25,85.8,18.3,346.4,65.63946,38.89892,233.73
2022-01-19 00:00:00,2022,19,1,0,-9.7,-9.53,57.8,3.2,8.9,65.63947,38.89891,233.74
2022-01-20 00:00:00,2022,20,1,0,-12.5,-2.654,95.2,0.7,144.5,65.63946,38.89893,233.76
2022-01-21 00:00:00,2022,21,1,0,-47.0,0.643,100.2,9.2,137.0,65.63945,38.89899,233.77
2022-01-22 00:00:00,2022,22,1,0,-55.1,-14.09,87.1,28.1,0.2,65.63948,38.89895,233.78
2022-01-23 00:00:00,2022,23,1,0,-58.1,-17.05,85.2,36.5,359.8,65.63949,38.89896,233.80
2022-01-24 00:00:00,2022,24,1,0,-21.8,-10.21,58.3,5.2,0.4,65.63948,38.89890,233.81
2022-01-25 00:00:00,2022,25,1,0,-26.9,-7.139,60.6,2.9,11.6,65.63947,38.89888,233.82
2022-01-26 00:00:00,2022,26,1,0,-23.8,-10.8,46.8,5.4,324.1,65.63948,38.89892,233.84
2022-01-27 00:00:00,2022,27,1,0,-21.6,-10.11,87.4,3.0,37.3,65.63946,38.89893,233.85
2022-01-28 00:00:00,2022,28,1,0,-35.1,-8.13,97.9,2.2,2.8,65.63946,38.89894,233.87
2022-01-29 00:00:00,2022,29,1,0,-23.8,-11.6,56.2,3.8,30.0,65.63945,38.89893,233.88
2022-01-30 00:00:00,2022,30,1,0,-20.5,-14.29,51.9,4.7,0.0,65.63947,38.89894,233.89
2022-01-31 00:00:00,2022,31,1,0,-19.1,-15.7,71.4,13.0,1.4,65.63947,38.89892,233.91
2022-02-01 00:00:00,2022,1,2,0,-22.8,-12.33,63.6,2.4,10.2,65.63948,38.89892,233.92
