date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-88.0,-20.48,51.4,2.9,58.1,76.39028,68.11033,738.69
2021-11-26 00:00:00,2021,26,11,0,-74.9,-16.9,87.1,10.3,110.4,76.39025,68.11021,738.80
2021-11-27 00:00:00,2021,27,11,0,-81.8,-14.75,84.2,2.2,31.2,76.39029,68.11037,738.90
2021-11-28 00:00:00,2021,28,11,0,-76.9,-21.69,81.9,3.3,352.4,76.39027,68.11011,739.00
2021-11-29 00:00:00,2021,29,11,0,-79.0,-27.51,72.3,1.9,65.9,76.39030,68.11027,739.11
2021-11-30 00:00:00,2021,30,11,0,-95.5,-15.56,79.9,10.5,120.0,76.39030,68.11028,739.21
2021-12-01 00:00:00,2021,1,12,0,-83.9,-15.77,88.5,7.3,107.9,76.39026,68.10997,739.31
2021-12-02 00:00:00,2021,2,12,0,-111.9,-12.87,87.6,6.2,16.4,76.39027,68.11039,739.41
2021-12-03 00:00:00,2021,3,12,0,-105.0,-10.11,90.2,8.8,107.2,76.39024,68.11026,739.52
2021-12-04 00:00:00,2021,4,12,0,-86.5,-16.34,87.9,13.2,129.7,76.39025,68.10998,739.62
2021-12-05 00:00:00,2021,5,12,0,-113.3,-12.76,65.7,9.3,48.2,76.39030,68.11049,739.72
2021-12-06 00:00:00,2021,6,12,0,-113.0,-9.27,90.8,5.8,88.3,76.39023,68.11039,739.82
2021-12-07 00:00:00,2021,7,12,0,-96.2,-8.14,94.1,9.2,136.0,76.39028,68.11029,739.93
2021-12-08 00:00:00,2021,8,12,0,-87.8,-14.92,89.4,4.3,77.6,76.39035,68.11054,740.03
2021-12-09 00:00:00,2021,9,12,0,-104.0,-13.42,90.0,10.3,135.5,76.39026,68.11023,740.13
2021-12-10 00:00:00,2021,10,12,0,-89.7,-16.95,87.4,6.4,99.0,76.39021,68.11040,740.24
2021-12-11 00:00:00,2021,11,12,0,-89.7,-21.39,82.5,3.4,49.7,76.39024,68.11029,740.34
2021-12-12 00:00:00,2021,12,12,0,-94.8,-22.73,79.0,3.0,66.3,76.39019,68.11012,740.44
2021-12-13 00:00:00,2021,13,12,0,-93.4,-20.41,81.4,2.6,64.0,76.39029,68.11046,740.54
2021-12-14 00:00:00,2021,14,12,0,-103.3,-16.86,89.4,4.4,78.4,76.39024,68.11017,740.65
2021-12-15 00:00:00,2021,15,12,0,-99.5,-17.84,87.4,0.0,0.0,76.39025,68.11028,740.75
2021-12-16 00:00:00,2021,16,12,0,-90.8,-19.07,86.4,0.0,0.0,76.39024,68.11031,740.85
2021-12-17 00:00:00,2021,17,12,0,-92.1,-21.36,82.4,0.0,0.0,76.39020,68.11025,740.95
2021-12-18 00:00:00,2021,18,12,0,-75.9,-24.41,77.0,6.1,99.1,76.39023,68.11017,741.06
2021-12-19 00:00:00,2021,19,12,0,-82.6,-10.8,90.0,5.9,83.6,76.39027,68.11007,741.16
2021-12-20 00:00:00,2021,20,12,0,-71.1,-8.69,93.1,11.5,118.2,76.39023,68.11017,741.26
2021-12-21 00:00:00,2021,21,12,0,-81.5,-3.979,72.2,13.0,107.9,76.39026,68.11016,741.37
2021-12-22 00:00:00,2021,22,12,0,-76.5,-4.437,78.3,6.2,87.9,76.39028,68.11039,741.47
2021-12-23 00:00:00,2021,23,12,0,-79.4,-5.022,70.7,9.7,111.3,76.39029,68.11020,741.57
2021-12-24 00:00:00,2021,24,12,0,-74.1,-11.12,95.3,3.2,125.5,76.39027,68.11030,741.67
2021-12-25 00:00:00,2021,25,12,0,-68.7,-15.26,90.3,3.9,60.1,76.39030,68.11021,741.78
2021-12-26 00:00:00,2021,26,12,0,-77.5,-14.05,89.9,3.9,325.1,76.39028,68.11013,741.88
2021-12-27 00:00:00,2021,27,12,0,-73.3,-19.6,85.7,6.1,29.6,76.39027,68.11023,741.98
2021-12-28 00:00:00,2021,28,12,0,-80.8,-21.58,39.2,4.2,65.9,76.39028,68.11025,742.08
2021-12-29 00:00:00,2021,29,12,0,-79.0,-19.69,63.2,6.4,85.1,76.39025,68.11034,742.19
2021-12-30 00:00:00,2021,30,12,0,-75.4,-18.98,86.6,2.0,340.4,76.39029,68.11050,742.29
2021-12-31 00:00:00,2021,31,12,0,-75.0,-27.6,71.2,3.8,64.5,76.39028,68.11041,742.39
2022-01-01 00:00:00,2022,1,1,0,-81.5,-17.39,63.7,4.1,62.1,76.39027,68.11015,742.50
2022-01-02 00:00:00,2022,2,1,0,-79.8,-15.57,88.2,5.9,100.6,76.39025,68.11029,742.60
2022-01-03 00:00:00,2022,3,1,0,-74.2,-17.61,87.2,6.4,114.2,76.39027,68.11025,742.70
2022-01-04 00:00:00,2022,4,1,0,-91.5,-22.88,63.0,6.4,57.0,76.39026,68.11013,742.80
2022-01-05 00:00:00,2022,5,1,0,-95.2,-22.57,60.4,4.2,49.8,76.39027,68.11026,742.91
2022-01-06 00:00:00,2022,6,1,0,-106.9,-23.55,66.9,4.6,62.3,76.39028,68.11019,743.01
2022-01-07 00:00:00,2022,7,1,0,-106.3,-16.72,70.7,3.2,72.2,76.39028,68.11026,743.11
2022-01-08 00:00:00,2022,8,1,0,-102.4,-17.16,87.5,6.8,110.4,76.39028,68.11027,743.21
2022-01-09 00:00:00,2022,9,1,0,-90.6,-18.4,86.3,3.6,94.0,76.39029,68.11006,743.32
2022-01-10 00:00:00,2022,10,1,0,-100.6,-15.61,88.3,2.8,64.9,76.39026,68.11015,743.42
2022-01-11 00:00:00,2022,11,1,0,-111.3,-12.52,89.0,12.5,129.8,76.39027,68.11022,743.52
2022-01-12 00:00:00,2022,12,1,0,-111.7,-14.73,74.6,5.3,33.4,76.39034,68.11029,743.63
2022-01-13 00:00:00,2022,13,1,0,-91.5,-17.77,87.0,4.5,117.2,76.39034,68.11041,743.73
2022-01-14 00:00:00,2022,14,1,0,-78.4,-20.94,83.0,5.4,95.1,76.39031,68.11041,743.83
2022-01-15 00:00:00,2022,15,1,0,-83.7,-24.07,77.6,6.7,86.8,76.39028,68.11030,743.93
2022-01-16 00:00:00,2022,16,1,0,-83.8,-25.44,75.1,4.6,118.1,76.39032,68.11030,744.04
2022-01-17 00:00:00,2022,17,1,0,-104.1,-24.72,71.3,7.4,61.1,76.39032,68.11043,744.14
2022-01-18 00:00:00,2022,18,1,0,-94.5,-26.24,73.4,6.5,90.2,76.39029,68.11045,744.24
2022-01-19 00:00:00,2022,19,1,0,-81.4,-29.14,69.7,5.8,70.9,76.39026,68.11027,744.34
2022-01-20 00:00:00,2022,20,1,0,-97.2,-21.05,75.5,11.5,45.8,76.39028,68.11053,744.45
2022-01-21 00:00:00,2022,21,1,0,-111.0,-15.87,87.5,16.8,119.8,76.39025,68.11041,744.55
2022-01-22 00:00:00,2022,22,1,0,-98.7,-23.41,77.9,10.9,117.1,76.39031,68.11041,744.65
2022-01-23 00:00:00,2022,23,1,0,-89.9,-28.41,61.9,4.4,56.2,76.39034,68.11026,744.76
2022-01-24 00:00:00,2022,24,1,0,-83.6,-26.8,72.8,1.4,54.1,76.39026,68.11017,744.86
2022-01-25 00:00:00,2022,25,1,0,-89.4,-24.8,73.3,8.2,40.3,76.39039,68.11115,744.96
2022-01-26 00:00:00,2022,26,1,0,-83.2,-24.87,72.9,9.1,105.1,76.39025,68.11024,745.06
2022-01-27 00:00:00,2022,27,1,0,-88.3,-20.55,43.3,5.1,56.8,76.39029,68.11006,745.17
2022-01-28 00:00:00,2022,28,1,0,-93.7,-20.26,54.7,6.4,34.5,76.39018,68.11018,745.27
2022-01-29 00:00:00,2022,29,1,0,-90.7,-26.65,62.7,4.3,85.1,76.39021,68.11023,745.37
2022-01-30 00:00:00,2022,30,1,0,-88.7,-22.76,78.8,12.5,121.3,76.39026,68.11012,745.47
2022-01-31 00:00:00,2022,31,1,0,-80.6,-23.43,78.3,6.8,80.6,76.39022,68.11019,745.58
2022-02-01 00:00:00,2022,1,2,0,-97.7,-29.22,61.0,5.7,106.0,76.39028,68.11037,745.68
2022-02-02 00:00:00,2022,2,2,0,-79.0,-33.71,63.8,7.9,95.5,76.39025,68.11024,745.78
2022-02-03 00:00:00,2022,3,2,0,-82.1,-27.28,71.8,8.4,93.7,76.39025,68.11035,745.89
2022-02-04 00:00:00,2022,4,2,0,-97.2,-22.44,41.9,8.5,38.0,76.39033,68.10992,745.99
2022-02-05 00:00:00,2022,5,2,0,-97.4,-21.75,71.2,6.4,84.4,76.39027,68.11014,746.09
2022-02-06 00:00:00,2022,6,2,0,-84.1,-24.08,71.5,4.7,47.3,76.39021,68.11009,746.19
2022-02-07 00:00:00,2022,7,2,0,-96.0,-28.93,67.2,4.5,72.8,76.39021,68.11006,746.30
2022-02-08 00:00:00,2022,8,2,0,-101.5,-22.46,75.4,5.1,108.9,76.39026,68.11017,746.40
2022-02-09 00:00:00,2022,9,2,0,-82.0,-29.51,69.0,9.8,108.3,76.39032,68.11030,746.50
2022-02-10 00:00:00,2022,10,2,0,-89.4,-30.69,59.0,4.6,47.6,76.39027,68.11023,746.60
2022-02-11 00:00:00,2022,11,2,0,-80.5,-32.44,65.6,5.0,87.3,76.39028,68.11037,746.71
2022-02-12 00:00:00,2022,12,2,0,-90.8,-35.74,62.6,3.4,43.5,76.39023,68.11031,746.81
2022-02-13 00:00:00,2022,13,2,0,-99.5,-30.97,43.8,4.0,61.1,76.39026,68.11021,746.91
2022-02-14 00:00:00,2022,14,2,0,-100.7,-21.12,67.5,6.9,29.2,76.39029,68.11027,747.02
2022-02-15 00:00:00,2022,15,2,0,-98.5,-26.07,74.4,4.5,104.9,76.39028,68.11027,747.12
2022-02-16 00:00:00,2022,16,2,0,-102.1,-32.38,65.8,6.3,79.3,76.39026,68.11025,747.22
2022-02-17 00:00:00,2022,17,2,0,-96.6,-33.31,50.6,5.0,71.8,76.39029,68.11028,747.32
2022-02-18 00:00:00,2022,18,2,0,-92.4,-22.04,75.1,4.7,77.6,76.39028,68.11027,747.43
2022-02-19 00:00:00,2022,19,2,0,-92.0,-22.58,61.0,4.4,44.0,76.39027,68.11022,747.53
2022-02-20 00:00:00,2022,20,2,0,-95.3,-18.38,46.3,5.2,52.3,76.39029,68.11052,747.63
2022-02-21 00:00:00,2022,21,2,0,-84.1,-21.4,81.7,11.0,103.5,76.39034,68.11017,747.73
2022-02-22 00:00:00,2022,22,2,0,-92.8,-23.31,44.6,5.7,66.7,76.39028,68.11016,747.84
2022-02-23 00:00:00,2022,23,2,0,-92.0,-31.03,51.6,5.1,69.4,76.39028,68.11024,747.94
2022-02-24 00:00:00,2022,24,2,0,-79.4,-30.86,67.5,4.1,73.7,76.39031,68.11028,748.04
2022-02-25 00:00:00,2022,25,2,0,-88.3,-24.94,58.3,1.0,354.1,76.39022,68.11003,748.15
2022-02-26 00:00:00,2022,26,2,0,-99.7,-24.0,35.5,3.8,72.8,76.39029,68.11002,748.25
2022-02-27 00:00:00,2022,27,2,0,-107.3,-25.79,50.0,5.6,63.3,76.39029,68.11007,748.35
2022-02-28 00:00:00,2022,28,2,0,-90.0,-22.45,59.6,5.7,90.7,76.39032,68.11023,748.45
2022-03-01 00:00:00,2022,1,3,0,-86.9,-15.53,27.3,1.7,68.5,76.39031,68.11036,748.56
2022-03-02 00:00:00,2022,2,3,0,-91.4,-16.95,70.9,11.8,45.6,76.39025,68.11039,748.66
2022-03-03 00:00:00,2022,3,3,0,-93.1,-12.41,35.1,8.4,51.9,76.39026,68.11020,748.76
2022-03-04 00:00:00,2022,4,3,0,-88.4,-15.12,85.9,8.8,94.4,76.39025,68.11014,748.86
2022-03-05 00:00:00,2022,5,3,0,-87.1,-14.58,74.9,4.8,44.8,76.39024,68.11027,748.97
2022-03-06 00:00:00,2022,6,3,0,-98.2,-14.45,60.7,8.6,23.3,76.39026,68.11038,749.07
2022-03-07 00:00:00,2022,7,3,0,-105.3,-17.23,80.7,1.9,91.4,76.39024,68.11037,749.17
2022-03-08 00:00:00,2022,8,3,0,-93.0,-18.71,85.4,13.2,123.7,76.39028,68.11019,749.28
2022-03-09 00:00:00,2022,9,3,0,-87.6,-21.4,77.9,4.4,70.5,76.39027,68.11030,749.38
2022-03-10 00:00:00,2022,10,3,0,-102.3,-24.7,61.4,6.0,80.0,76.39023,68.11023,749.48
2022-03-11 00:00:00,2022,11,3,0,-95.2,-22.43,79.4,7.5,121.9,76.39021,68.11037,749.58
2022-03-12 00:00:00,2022,12,3,0,-96.0,-26.22,74.0,4.2,74.8,76.39029,68.11029,749.69
2022-03-13 00:00:00,2022,13,3,0,-97.8,-24.23,75.2,7.2,15.7,76.39027,68.11025,749.79
2022-03-14 00:00:00,2022,14,3,0,-105.3,-24.19,76.6,5.2,105.3,76.39028,68.11019,749.89
2022-03-15 00:00:00,2022,15,3,0,-133.4,-16.84,81.4,4.3,78.1,76.39029,68.11029,749.99
2022-03-16 00:00:00,2022,16,3,0,-112.8,-24.3,76.4,14.9,114.4,76.39020,68.11029,750.10
2022-03-17 00:00:00,2022,17,3,0,-103.7,-27.01,72.3,9.2,122.1,76.39025,68.11043,750.20
2022-03-18 00:00:00,2022,18,3,0,-94.9,-28.83,69.8,11.6,117.9,76.39030,68.11025,750.30
2022-03-19 00:00:00,2022,19,3,0,-89.7,-27.77,71.5,0.0,0.0,76.39029,68.11026,750.41
2022-03-20 00:00:00,2022,20,3,0,-80.3,-26.63,72.9,0.0,0.0,76.39028,68.11025,750.51
2022-03-21 00:00:00,2022,21,3,0,-72.7,-26.78,72.7,10.0,126.2,76.39031,68.11006,750.61
2022-03-22 00:00:00,2022,22,3,0,-68.9,-26.21,73.5,9.8,112.8,76.39032,68.11019,750.71
2022-03-23 00:00:00,2022,23,3,0,-72.1,-28.88,69.8,4.0,101.0,76.39032,68.11020,750.82
2022-03-24 00:00:00,2022,24,3,0,-67.6,-27.53,71.6,9.1,111.2,76.39034,68.11032,750.92
2022-03-25 00:00:00,2022,25,3,0,-76.7,-28.03,66.2,3.9,80.8,76.39035,68.11006,751.02
2022-03-26 00:00:00,2022,26,3,0,-80.2,-20.47,83.3,5.6,87.2,76.39029,68.11027,751.12
2022-03-27 00:00:00,2022,27,3,0,-72.0,-23.94,77.3,7.7,89.0,76.39025,68.11027,751.23
2022-03-28 00:00:00,2022,28,3,0,-78.1,-13.82,89.4,11.5,142.2,76.39026,68.11024,751.33
2022-03-29 00:00:00,2022,29,3,0,-71.4,-13.43,86.4,4.3,93.3,76.39024,68.11027,751.43
2022-03-30 00:00:00,2022,30,3,0,-69.8,-6.732,95.9,6.5,116.8,76.39028,68.11034,751.54
2022-03-31 00:00:00,2022,31,3,0,-72.3,-9.05,86.2,3.6,90.2,76.39033,68.11045,751.64
2022-04-01 00:00:00,2022,1,4,0,-78.2,-7.334,93.3,7.7,107.4,76.39033,68.11015,751.74
2022-04-02 00:00:00,2022,2,4,0,-73.6,-15.25,87.0,5.8,90.2,76.39032,68.11033,751.84
2022-04-03 00:00:00,2022,3,4,0,-78.6,-15.61,78.2,3.6,61.5,76.39032,68.11047,751.95
2022-04-04 00:00:00,2022,4,4,0,-75.2,-13.81,75.2,4.6,71.8,76.39029,68.11025,752.05
2022-04-05 00:00:00,2022,5,4,0,-84.2,-7.019,76.8,10.7,128.4,76.39030,68.11013,752.15
2022-04-06 00:00:00,2022,6,4,0,-77.8,-16.06,88.2,6.6,105.7,76.39030,68.11033,752.25
