date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-11-25 00:00:00,2021,25,11,0,-103.1,-7.819,96.6,7.1,208.8,72.88585,53.60746,907.12
2021-11-26 00:00:00,2021,26,11,0,-89.3,-10.28,81.6,7.8,129.9,72.88585,53.60749,907.13
2021-11-27 00:00:00,2021,27,11,0,-95.1,-13.07,87.0,3.0,127.9,72.88587,53.60752,907.14
2021-11-28 00:00:00,2021,28,11,0,-98.1,-22.68,66.5,9.0,87.7,72.88585,53.60751,907.16
2021-11-29 00:00:00,2021,29,11,0,-108.0,-18.09,69.1,11.8,117.0,72.88585,53.60754,907.17
2021-11-30 00:00:00,2021,30,11,0,-110.7,-4.908,91.2,3.5,154.5,72.88585,53.60750,907.19
2021-12-01 00:00:00,2021,1,12,0,-99.9,-10.99,75.1,9.0,131.8,72.88584,53.60752,907.20
2021-12-02 00:00:00,2021,2,12,0,-127.9,-5.135,95.0,2.4,91.4,72.88584,53.60751,907.22
2021-12-03 00:00:00,2021,3,12,0,-115.9,-10.65,93.2,5.4,216.9,72.88583,53.60757,907.23
2021-12-04 00:00:00,2021,4,12,0,-104.8,-19.23,68.0,10.1,119.3,72.88581,53.60757,907.25
2021-12-05 00:00:00,2021,5,12,0,-131.2,-5.656,87.7,11.1,165.9,72.88583,53.60757,907.26
2021-12-06 00:00:00,2021,6,12,0,-131.5,-6.26,79.5,14.6,146.3,72.88583,53.60763,907.28
2021-12-07 00:00:00,2021,7,12,0,-112.7,-13.5,88.0,3.9,160.4,72.88583,53.60761,907.29
2021-12-08 00:00:00,2021,8,12,0,-111.2,-16.49,76.7,6.4,125.3,72.88582,53.60758,907.30
2021-12-09 00:00:00,2021,9,12,0,-118.5,-11.91,92.2,1.2,76.2,72.88585,53.60765,907.32
2021-12-10 00:00:00,2021,10,12,0,-109.7,-14.56,54.9,9.6,124.2,72.88586,53.60766,907.33
2021-12-11 00:00:00,2021,11,12,0,-111.1,-16.83,60.4,9.8,133.3,72.88582,53.60763,907.35
2021-12-12 00:00:00,2021,12,12,0,-114.4,-11.6,56.4,6.1,177.4,72.88582,53.60769,907.36
2021-12-13 00:00:00,2021,13,12,0,-115.8,-8.41,66.6,4.4,106.0,72.88582,53.60772,907.38
2021-12-14 00:00:00,2021,14,12,0,-123.4,-11.16,66.0,10.1,148.5,72.88582,53.60771,907.39
2021-12-15 00:00:00,2021,15,12,0,-119.9,-11.26,58.2,6.5,174.0,72.88581,53.60772,907.41
2021-12-16 00:00:00,2021,16,12,0,-109.7,-16.76,65.7,7.9,127.3,72.88580,53.60771,907.42
2021-12-17 00:00:00,2021,17,12,0,-109.5,-20.25,79.5,1.0,206.8,72.88582,53.60779,907.44
2021-12-18 00:00:00,2021,18,12,0,-95.4,-16.41,75.8,7.6,116.3,72.88580,53.60782,907.45
2021-12-19 00:00:00,2021,19,12,0,-103.2,-3.577,83.8,12.6,144.2,72.88581,53.60781,907.46
2021-12-20 00:00:00,2021,20,12,0,-88.5,-7.593,80.2,13.8,123.1,72.88579,53.60787,907.48
