date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2020-09-26 04:00:00,2020,26,9,4,nan,,nan,0.0,0.0,nan,nan,898.94
2021-05-26 14:00:00,2021,26,5,14,-102.0,3.78,74.1,8.8,295.4,69.49248,49.71830,905.30
2021-05-26 15:00:00,2021,26,5,15,-102.0,4.15,72.9,10.9,297.3,69.49247,49.71832,905.30
2021-05-26 16:00:00,2021,26,5,16,-102.0,4.367,72.9,10.4,300.5,69.49248,49.71840,905.30
2021-05-26 17:00:00,2021,26,5,17,-102.0,4.567,73.0,9.7,303.0,69.49246,49.71834,905.30
2021-05-26 18:00:00,2021,26,5,18,-102.0,4.717,73.0,9.9,294.0,69.49248,49.71835,905.30
2021-05-26 19:00:00,2021,26,5,19,-101.0,4.817,71.4,10.7,297.9,69.49249,49.71832,905.30
2021-05-26 20:00:00,2021,26,5,20,-102.0,4.833,71.9,11.4,294.1,69.49248,49.71830,905.30
2021-05-26 21:00:00,2021,26,5,21,-101.0,4.767,72.8,12.5,297.3,69.49248,49.71833,905.30
2021-05-26 22:00:00,2021,26,5,22,-101.0,4.6,73.4,13.5,303.5,69.49246,49.71840,905.30
2021-05-26 23:00:00,2021,26,5,23,-100.0,4.35,73.1,14.4,308.9,69.49249,49.71831,905.30
2021-05-27 00:00:00,2021,27,5,0,-100.0,4.267,72.3,16.7,305.5,69.49248,49.71833,905.32
2021-05-27 01:00:00,2021,27,5,1,-100.0,4.35,70.0,16.9,304.5,69.49248,49.71837,905.32
2021-05-27 02:00:00,2021,27,5,2,-98.0,3.967,69.2,15.7,302.1,69.49247,49.71834,905.32
2021-05-27 03:00:00,2021,27,5,3,-97.0,3.433,71.7,14.9,313.1,69.49247,49.71836,905.32
2021-05-27 04:00:00,2021,27,5,4,-97.0,3.333,69.9,15.0,312.3,69.49246,49.71835,905.32
2021-05-27 05:00:00,2021,27,5,5,-96.0,3.317,64.5,15.4,316.3,69.49247,49.71836,905.32
2021-05-27 06:00:00,2021,27,5,6,-96.0,2.333,64.2,16.4,303.5,69.49246,49.71837,905.32
2021-05-27 07:00:00,2021,27,5,7,-95.0,1.383,63.0,16.5,306.6,69.49246,49.71836,905.32
2021-05-27 08:00:00,2021,27,5,8,-94.0,1.0,65.3,15.9,315.3,69.49248,49.71832,905.32
2021-05-27 09:00:00,2021,27,5,9,-94.0,1.3,67.0,15.8,306.4,69.49248,49.71837,905.32
2021-05-27 10:00:00,2021,27,5,10,-94.0,1.883,67.8,14.9,298.8,69.49248,49.71834,905.32
2021-05-27 11:00:00,2021,27,5,11,-94.0,2.5,67.8,14.1,305.8,69.49247,49.71834,905.32
2021-05-27 12:00:00,2021,27,5,12,-93.0,3.083,67.4,13.5,308.1,69.49246,49.71837,905.32
2021-05-27 13:00:00,2021,27,5,13,-92.0,3.167,69.6,10.4,310.1,69.49248,49.71832,905.32
2021-05-27 14:00:00,2021,27,5,14,-92.0,3.1,70.9,9.8,318.3,69.49247,49.71834,905.32
2021-05-27 15:00:00,2021,27,5,15,-92.0,3.5,68.0,11.0,316.7,69.49247,49.71834,905.32
2021-05-27 16:00:00,2021,27,5,16,-92.0,3.383,69.7,10.5,313.7,69.49248,49.71833,905.32
2021-05-27 17:00:00,2021,27,5,17,-92.0,3.167,72.8,9.1,319.0,69.49247,49.71837,905.32
2021-05-27 18:00:00,2021,27,5,18,-92.0,2.833,75.8,8.8,313.5,69.49247,49.71835,905.32
2021-05-27 19:00:00,2021,27,5,19,-92.0,2.883,74.9,8.1,329.3,69.49247,49.71836,905.32
2021-05-27 20:00:00,2021,27,5,20,-92.0,3.333,70.7,9.0,323.4,69.49247,49.71835,905.32
2021-05-27 21:00:00,2021,27,5,21,-92.0,2.917,73.0,7.1,328.7,69.49248,49.71833,905.32
2021-05-27 22:00:00,2021,27,5,22,-92.0,2.933,70.8,6.3,344.8,69.49246,49.71836,905.32
2021-05-27 23:00:00,2021,27,5,23,-92.0,2.533,70.5,6.9,331.6,69.49248,49.71833,905.32
2021-05-28 00:00:00,2021,28,5,0,-92.0,1.4,75.5,6.4,317.6,69.49247,49.71834,905.35
2021-05-28 01:00:00,2021,28,5,1,-91.0,1.683,69.9,7.6,306.1,69.49248,49.71836,905.35
2021-05-28 02:00:00,2021,28,5,2,-91.0,1.3,70.7,7.3,319.3,69.49247,49.71834,905.35
2021-05-28 03:00:00,2021,28,5,3,-92.0,0.767,71.8,8.0,310.3,69.49248,49.71835,905.35
2021-05-28 04:00:00,2021,28,5,4,-92.0,0.083,71.8,7.7,303.2,69.49247,49.71839,905.35
2021-05-28 05:00:00,2021,28,5,5,-93.0,-0.483,72.8,8.0,302.3,69.49247,49.71835,905.35
2021-05-28 06:00:00,2021,28,5,6,-93.0,-0.733,72.2,8.1,298.6,69.49246,49.71835,905.35
2021-05-28 07:00:00,2021,28,5,7,-94.0,-0.7,70.0,8.9,299.2,69.49246,49.71840,905.35
2021-05-28 08:00:00,2021,28,5,8,-94.0,-1.033,71.8,8.4,285.1,69.49248,49.71839,905.35
2021-05-28 09:00:00,2021,28,5,9,-95.0,-0.85,70.7,9.1,296.4,69.49249,49.71837,905.35
2021-05-28 10:00:00,2021,28,5,10,-95.0,-0.467,69.4,9.0,294.9,69.49247,49.71835,905.35
2021-05-28 11:00:00,2021,28,5,11,-96.0,-0.25,69.3,9.1,296.2,69.49247,49.71835,905.35
2021-05-28 12:00:00,2021,28,5,12,-96.0,0.533,71.5,8.4,285.9,69.49248,49.71838,905.35
2021-05-28 13:00:00,2021,28,5,13,-97.0,1.333,70.1,9.3,298.1,69.49249,49.71836,905.35
2021-05-28 14:00:00,2021,28,5,14,-97.0,1.9,72.3,8.2,304.9,69.49249,49.71832,905.35
2021-05-28 15:00:00,2021,28,5,15,-97.0,2.033,75.7,7.1,313.2,69.49247,49.71836,905.35
2021-05-28 16:00:00,2021,28,5,16,-98.0,2.45,74.6,7.2,301.0,69.49247,49.71834,905.35
2021-05-28 17:00:00,2021,28,5,17,-98.0,2.583,76.3,6.4,293.2,69.49247,49.71836,905.35
2021-05-28 18:00:00,2021,28,5,18,-98.0,2.533,78.0,6.2,286.3,69.49247,49.71832,905.35
2021-05-28 19:00:00,2021,28,5,19,-98.0,2.6,76.1,7.0,296.5,69.49248,49.71833,905.35
2021-05-28 20:00:00,2021,28,5,20,-98.0,2.733,75.5,5.9,302.5,69.49248,49.71833,905.35
2021-05-28 21:00:00,2021,28,5,21,-99.0,2.45,77.9,5.6,300.3,69.49248,49.71833,905.35
2021-05-28 22:00:00,2021,28,5,22,-99.0,2.483,77.2,5.8,303.8,69.49248,49.71835,905.35
2021-05-28 23:00:00,2021,28,5,23,-99.0,2.267,79.4,5.8,290.7,69.49248,49.71833,905.35
2021-05-29 00:00:00,2021,29,5,0,-99.0,2.133,79.1,6.6,291.0,69.49247,49.71837,905.38
2021-05-29 01:00:00,2021,29,5,1,-99.0,1.867,75.8,7.8,293.6,69.49247,49.71836,905.38
2021-05-29 02:00:00,2021,29,5,2,-100.0,1.383,73.6,8.5,287.5,69.49247,49.71837,905.38
2021-05-29 03:00:00,2021,29,5,3,-101.0,1.0,71.2,9.7,287.0,69.49247,49.71837,905.38
2021-05-29 04:00:00,2021,29,5,4,-101.0,-0.033,71.3,9.8,280.0,69.49247,49.71838,905.38
2021-05-29 05:00:00,2021,29,5,5,-102.0,0.1,69.3,9.0,277.9,69.49246,49.71835,905.38
2021-05-29 06:00:00,2021,29,5,6,-103.0,0.85,68.3,10.2,276.0,69.49246,49.71837,905.38
2021-05-29 07:00:00,2021,29,5,7,-104.0,1.6,67.7,9.9,282.6,69.49245,49.71838,905.38
2021-05-29 08:00:00,2021,29,5,8,-106.0,2.75,66.7,11.1,289.8,69.49247,49.71837,905.38
2021-05-29 09:00:00,2021,29,5,9,-106.0,3.75,66.8,11.6,294.2,69.49247,49.71839,905.38
2021-05-29 10:00:00,2021,29,5,10,-107.0,4.283,65.4,12.5,296.3,69.49247,49.71836,905.38
2021-05-29 11:00:00,2021,29,5,11,-107.0,4.2,65.3,13.5,293.9,69.49247,49.71837,905.38
2021-05-29 12:00:00,2021,29,5,12,-108.0,4.25,65.6,12.7,293.6,69.49247,49.71837,905.38
2021-05-29 13:00:00,2021,29,5,13,-108.0,4.567,65.2,13.2,295.8,69.49248,49.71835,905.38
2021-05-29 14:00:00,2021,29,5,14,-108.0,4.9,64.2,12.3,293.5,69.49247,49.71835,905.38
2021-05-29 15:00:00,2021,29,5,15,-109.0,4.65,66.5,11.8,291.2,69.49248,49.71834,905.38
2021-05-29 16:00:00,2021,29,5,16,-108.0,4.383,67.8,10.9,317.0,69.49249,49.71835,905.38
2021-05-29 17:00:00,2021,29,5,17,-107.0,3.067,75.1,9.4,331.4,69.49247,49.71834,905.38
2021-05-29 18:00:00,2021,29,5,18,-107.0,2.833,75.0,7.1,328.0,69.49247,49.71832,905.38
2021-05-29 19:00:00,2021,29,5,19,-107.0,2.733,73.7,5.9,319.5,69.49249,49.71833,905.38
2021-05-29 20:00:00,2021,29,5,20,-107.0,2.9,72.9,6.9,311.8,69.49247,49.71834,905.38
2021-05-29 21:00:00,2021,29,5,21,-107.0,2.35,77.8,3.6,334.2,69.49248,49.71834,905.38
2021-05-29 22:00:00,2021,29,5,22,-106.0,2.683,77.7,1.2,324.9,69.49247,49.71833,905.38
2021-05-29 23:00:00,2021,29,5,23,-106.0,2.983,72.6,1.3,308.9,69.49248,49.71832,905.38
2021-05-30 00:00:00,2021,30,5,0,-106.0,1.683,76.1,3.4,316.7,69.49247,49.71836,905.40
2021-05-30 01:00:00,2021,30,5,1,-106.0,1.05,77.1,4.4,332.0,69.49248,49.71838,905.40
