date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-06-20 00:00:00,-246.1,-13.92,86.3,1.4,166.8,66.47780,42.49366,2384.11
2021-06-20 01:00:00,-246.2,-14.12,87.7,0.9,182.3,66.47777,42.49367,2384.11
2021-06-20 02:00:00,-246.2,-12.3,87.3,1.6,154.6,66.47779,42.49364,2384.11
2021-06-20 03:00:00,-246.4,-12.4,86.3,1.5,183.5,66.47777,42.49367,2384.11
2021-06-20 04:00:00,-246.6,-12.42,86.2,1.0,147.3,66.47779,42.49367,2384.11
2021-06-20 05:00:00,-246.6,-12.45,86.1,0.8,144.8,66.47777,42.49366,2384.11
2021-06-20 06:00:00,-246.7,-12.13,86.1,0.9,154.3,66.47776,42.49369,2384.11
2021-06-20 07:00:00,-246.8,-12.55,85.2,1.2,124.8,66.47777,42.49365,2384.11
2021-06-20 08:00:00,-246.8,-12.45,84.5,1.0,131.8,66.47777,42.49367,2384.11
2021-06-20 09:00:00,-246.8,-10.82,82.9,0.2,96.9,66.47779,42.49368,2384.11
2021-06-20 10:00:00,-246.9,-9.47,79.5,0.4,130.1,66.47777,42.49372,2384.11
2021-06-20 11:00:00,-247.0,-8.48,81.1,1.4,118.7,66.47780,42.49369,2384.11
2021-06-20 12:00:00,-247.2,-7.75,87.7,2.4,119.2,66.47778,42.49365,2384.11
2021-06-20 13:00:00,-247.3,-5.85,88.3,3.6,175.7,66.47778,42.49366,2384.11
2021-06-20 14:00:00,-247.6,-5.55,87.8,4.3,155.5,66.47779,42.49366,2384.11
2021-06-20 15:00:00,-247.9,-5.167,87.8,5.4,164.2,66.47779,42.49367,2384.11
2021-06-20 16:00:00,-248.2,-4.9,87.7,4.8,168.7,66.47782,42.49365,2384.11
2021-06-20 17:00:00,-248.6,-4.583,89.0,5.6,159.4,66.47777,42.49366,2384.11
2021-06-20 18:00:00,-249.0,-4.9,89.9,6.4,147.7,66.47777,42.49372,2384.11
2021-06-20 19:00:00,-249.2,-4.65,89.6,7.2,171.0,66.47781,42.49363,2384.11
2021-06-20 20:00:00,-249.3,-4.583,90.3,6.1,188.1,66.47777,42.49369,2384.11
2021-06-20 21:00:00,-249.5,-4.433,87.6,4.8,207.9,66.47780,42.49363,2384.11
2021-06-20 22:00:00,-249.6,-4.983,81.0,5.2,268.3,66.47779,42.49365,2384.11
2021-06-20 23:00:00,-249.8,-7.683,82.6,4.7,267.5,66.47776,42.49365,2384.11
2021-06-21 00:00:00,-249.9,-10.35,83.0,4.7,276.7,66.47777,42.49366,2384.10
2021-06-21 01:00:00,-249.9,-13.05,85.4,4.5,298.7,66.47778,42.49365,2384.10
2021-06-21 02:00:00,-250.2,-13.65,82.9,5.4,296.8,66.47778,42.49368,2384.10
2021-06-21 03:00:00,-250.4,-15.6,83.6,5.5,305.0,66.47776,42.49366,2384.10
2021-06-21 04:00:00,-250.8,-17.25,82.8,5.7,309.2,66.47778,42.49369,2384.10
2021-06-21 05:00:00,-250.9,-16.52,82.1,7.3,318.6,66.47778,42.49363,2384.10
2021-06-21 06:00:00,-251.2,-16.03,81.3,7.4,315.1,66.47778,42.49364,2384.10
2021-06-21 07:00:00,-251.4,-15.67,80.7,8.5,311.4,66.47779,42.49367,2384.10
2021-06-21 08:00:00,-251.9,-15.2,80.0,9.0,310.3,66.47777,42.49368,2384.10
2021-06-21 09:00:00,-252.5,-14.37,80.6,10.8,312.9,66.47778,42.49366,2384.10
2021-06-21 10:00:00,-253.0,-13.87,81.7,13.0,309.6,66.47777,42.49367,2384.10
2021-06-21 11:00:00,-253.4,-11.77,83.5,14.8,315.3,66.47778,42.49364,2384.10
2021-06-21 12:00:00,-253.5,-10.22,84.3,16.1,321.1,66.47778,42.49365,2384.10
2021-06-21 13:00:00,-253.2,-9.1,85.0,15.4,330.1,66.47778,42.49365,2384.10
2021-06-21 14:00:00,-252.5,-8.55,85.0,14.5,334.8,66.47779,42.49368,2384.10
2021-06-21 15:00:00,-251.9,-8.4,84.9,13.2,338.5,66.47777,42.49368,2384.10
2021-06-21 16:00:00,-251.5,-8.07,83.3,12.2,332.7,66.47782,42.49363,2384.10
2021-06-21 17:00:00,-250.9,-7.783,83.5,11.6,326.7,66.47778,42.49366,2384.10
2021-06-21 18:00:00,-250.2,-7.667,83.4,10.9,324.9,66.47780,42.49365,2384.10
2021-06-21 19:00:00,-249.7,-7.85,83.1,10.5,328.2,66.47779,42.49366,2384.10
2021-06-21 20:00:00,-249.3,-8.27,83.4,9.9,323.9,66.47776,42.49360,2384.10
2021-06-21 21:00:00,-248.9,-8.65,83.6,9.1,327.0,66.47778,42.49365,2384.10
2021-06-21 22:00:00,-248.7,-9.4,83.1,8.5,331.5,66.47777,42.49366,2384.10
2021-06-21 23:00:00,-248.2,-10.48,82.9,7.5,321.4,66.47779,42.49367,2384.10
2021-06-22 00:00:00,-248.0,-12.0,83.7,7.3,319.7,66.47777,42.49367,2384.10
2021-06-22 01:00:00,-247.8,-13.8,83.2,7.6,316.9,66.47777,42.49364,2384.10
2021-06-22 02:00:00,-247.9,-15.53,82.8,7.5,322.4,66.47780,42.49366,2384.10
2021-06-22 03:00:00,-248.1,-17.2,82.2,7.2,322.1,66.47778,42.49370,2384.10
2021-06-22 04:00:00,-248.3,-18.32,81.7,7.0,320.5,66.47779,42.49369,2384.10
2021-06-22 05:00:00,-248.5,-19.0,80.9,6.5,326.6,66.47779,42.49364,2384.10
2021-06-22 06:00:00,-248.4,-18.93,80.8,6.2,321.0,66.47780,42.49369,2384.10
2021-06-22 07:00:00,-248.2,-18.78,80.1,6.3,317.5,66.47778,42.49368,2384.10
2021-06-22 08:00:00,-248.0,-18.62,79.8,6.4,321.0,66.47779,42.49370,2384.10
2021-06-22 09:00:00,-247.8,-17.95,79.8,6.7,325.5,66.47778,42.49368,2384.10
2021-06-22 10:00:00,-247.6,-16.5,80.4,6.9,322.0,66.47776,42.49368,2384.10
2021-06-22 11:00:00,-247.5,-14.53,80.2,7.0,324.3,66.47777,42.49366,2384.10
2021-06-22 12:00:00,-247.4,-12.15,79.1,7.6,341.1,66.47777,42.49364,2384.10
2021-06-22 13:00:00,-247.3,-10.75,77.3,7.5,343.2,66.47779,42.49365,2384.10
2021-06-22 14:00:00,-246.8,-9.37,76.7,6.8,349.2,66.47779,42.49362,2384.10
2021-06-22 15:00:00,-246.3,-8.15,74.8,5.8,340.8,66.47779,42.49365,2384.10
2021-06-22 16:00:00,-245.9,-7.233,71.2,4.9,350.1,66.47774,42.49370,2384.10
2021-06-22 17:00:00,-245.5,-6.883,69.4,4.3,344.2,66.47777,42.49364,2384.10
2021-06-22 18:00:00,-245.1,-6.6,69.4,3.0,343.8,66.47779,42.49367,2384.10
2021-06-22 19:00:00,-244.8,-6.517,70.3,3.3,335.5,66.47779,42.49365,2384.10
2021-06-22 20:00:00,-244.3,-6.75,74.2,2.0,328.0,66.47778,42.49362,2384.10
2021-06-22 21:00:00,-244.0,-7.75,78.6,2.0,356.5,66.47776,42.49364,2384.10
2021-06-22 22:00:00,-243.8,-8.58,78.6,1.6,339.2,66.47777,42.49363,2384.10
2021-06-22 23:00:00,-243.3,-9.02,81.5,1.8,334.4,66.47779,42.49371,2384.10
2021-06-23 00:00:00,-242.8,-11.6,82.0,3.0,5.2,66.47776,42.49368,2384.09
2021-06-23 01:00:00,-242.4,-13.45,81.2,2.9,1.0,66.47778,42.49368,2384.09
2021-06-23 02:00:00,-242.1,-12.97,80.4,2.7,5.6,66.47777,42.49366,2384.09
2021-06-23 03:00:00,-241.8,-12.08,80.4,2.4,3.4,66.47776,42.49366,2384.09
2021-06-23 04:00:00,-241.6,-12.05,80.0,2.4,7.1,66.47778,42.49371,2384.09
2021-06-23 05:00:00,-241.6,-13.88,81.4,3.2,18.2,66.47779,42.49370,2384.09
2021-06-23 06:00:00,-241.3,-15.97,85.0,3.3,16.5,66.47777,42.49368,2384.09
2021-06-23 07:00:00,-240.7,-16.0,85.7,3.1,13.6,66.47779,42.49369,2384.09
2021-06-23 08:00:00,-240.6,-15.63,82.5,3.7,29.7,66.47776,42.49368,2384.09
2021-06-23 09:00:00,-240.3,-14.85,78.4,3.3,34.0,66.47778,42.49366,2384.09
2021-06-23 10:00:00,-240.2,-13.02,75.6,3.7,49.3,66.47779,42.49365,2384.09
2021-06-23 11:00:00,-239.9,-11.3,74.5,2.4,67.8,66.47775,42.49372,2384.09
2021-06-23 12:00:00,-239.7,-9.82,74.9,3.2,83.4,66.47776,42.49369,2384.09
2021-06-23 13:00:00,-239.7,-8.62,75.1,4.0,108.2,66.47777,42.49366,2384.09
2021-06-23 14:00:00,-239.3,-8.08,77.4,4.3,125.2,66.47778,42.49364,2384.09
2021-06-23 15:00:00,-239.2,-7.883,79.4,4.8,125.7,66.47776,42.49364,2384.09
2021-06-23 16:00:00,-239.3,-7.65,82.9,5.1,127.4,66.47779,42.49365,2384.09
2021-06-23 17:00:00,-239.5,-7.317,84.5,6.2,132.1,66.47778,42.49362,2384.09
2021-06-23 18:00:00,-239.9,-7.467,87.0,7.8,126.9,66.47777,42.49369,2384.09
2021-06-23 19:00:00,-239.7,-7.667,88.4,8.2,133.0,66.47778,42.49366,2384.09
2021-06-23 20:00:00,-239.8,-7.583,89.1,7.6,140.1,66.47778,42.49361,2384.09
2021-06-23 21:00:00,-239.8,-7.75,89.4,7.1,144.6,66.47779,42.49365,2384.09
2021-06-23 22:00:00,-240.0,-7.967,89.4,6.8,151.1,66.47778,42.49365,2384.09
2021-06-23 23:00:00,-240.1,-8.28,89.6,6.1,152.2,66.47778,42.49367,2384.09
2021-06-24 00:00:00,-240.2,-8.3,89.8,5.6,150.9,66.47778,42.49364,2384.09
2021-06-24 01:00:00,-240.4,-8.37,90.2,4.7,141.9,66.47776,42.49364,2384.09
2021-06-24 02:00:00,-240.7,-8.37,90.5,4.3,139.4,66.47778,42.49368,2384.09
2021-06-24 03:00:00,-241.1,-8.3,90.8,4.3,131.2,66.47776,42.49368,2384.09
2021-06-24 04:00:00,-241.4,-8.23,90.9,4.6,128.2,66.47778,42.49365,2384.09
2021-06-24 05:00:00,-241.9,-8.07,91.0,4.9,125.5,66.47779,42.49368,2384.09
2021-06-24 06:00:00,-242.3,-7.967,91.0,4.8,119.4,66.47776,42.49367,2384.09
