date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-06-22 04:00:00,-292.4,-14.6,53.2,4.3,306.6,63.14898,44.81744,2892.54
2021-06-22 05:00:00,-292.3,-14.83,48.8,3.9,278.8,63.14897,44.81740,2892.54
2021-06-22 06:00:00,-291.9,-15.5,47.3,3.6,226.2,63.14897,44.81730,2892.54
2021-06-22 07:00:00,-291.6,-14.3,42.3,3.8,238.1,63.14902,44.81732,2892.54
2021-06-22 08:00:00,-291.3,-11.97,37.8,3.9,250.4,63.14900,44.81740,2892.54
2021-06-22 09:00:00,-291.2,-11.28,41.0,3.4,258.8,63.14896,44.81743,2892.54
2021-06-22 10:00:00,-291.1,-9.43,43.5,2.7,263.2,63.14900,44.81728,2892.54
2021-06-22 11:00:00,-290.9,-7.533,40.9,2.4,273.3,63.14896,44.81735,2892.54
2021-06-22 12:00:00,-290.8,-5.983,40.3,2.2,280.4,63.14902,44.81737,2892.54
2021-06-22 13:00:00,-290.4,-4.5,45.8,1.9,269.0,63.14900,44.81740,2892.54
2021-06-22 14:00:00,-290.2,-3.483,50.0,2.5,268.4,63.14903,44.81726,2892.54
2021-06-22 15:00:00,-290.0,-2.667,51.1,2.7,257.4,63.14898,44.81737,2892.54
2021-06-22 16:00:00,-289.8,-2.267,54.5,3.4,254.3,63.14908,44.81742,2892.54
2021-06-22 17:00:00,-289.5,-1.967,51.2,3.3,262.3,63.14902,44.81740,2892.54
2021-06-22 18:00:00,-289.2,-1.95,54.9,2.8,280.4,63.14904,44.81733,2892.54
2021-06-22 19:00:00,-288.9,-2.383,61.8,2.0,258.3,63.14898,44.81737,2892.54
2021-06-22 20:00:00,-288.5,-2.983,64.5,2.0,252.5,63.14902,44.81745,2892.54
2021-06-22 21:00:00,-288.3,-4.533,65.2,2.3,245.1,63.14899,44.81738,2892.54
2021-06-22 22:00:00,-288.1,-5.783,61.0,2.4,229.2,63.14897,44.81737,2892.54
2021-06-22 23:00:00,-287.8,-6.867,52.4,3.1,227.5,63.14902,44.81739,2892.54
2021-06-23 00:00:00,-287.6,-7.667,41.4,3.3,220.1,63.14894,44.81733,2892.53
2021-06-23 01:00:00,-287.3,-10.98,40.2,3.7,219.6,63.14897,44.81748,2892.53
2021-06-23 02:00:00,-287.3,-12.35,43.8,3.9,219.2,63.14896,44.81735,2892.53
2021-06-23 03:00:00,-287.4,-12.33,44.8,4.1,220.6,63.14900,44.81735,2892.53
2021-06-23 04:00:00,-287.6,-11.8,41.4,3.7,217.2,63.14901,44.81741,2892.53
2021-06-23 05:00:00,-287.6,-12.73,45.1,4.1,215.9,63.14894,44.81738,2892.53
2021-06-23 06:00:00,-287.4,-10.83,45.3,3.4,206.9,63.14894,44.81736,2892.53
2021-06-23 07:00:00,-286.9,-9.6,43.0,2.9,197.7,63.14900,44.81735,2892.53
2021-06-23 08:00:00,-286.8,-8.97,46.1,3.2,187.1,63.14896,44.81736,2892.53
2021-06-23 09:00:00,-286.7,-7.5,51.9,5.1,190.9,63.14904,44.81763,2892.53
2021-06-23 10:00:00,-286.4,-6.45,52.6,7.2,202.7,63.14898,44.81732,2892.53
2021-06-23 11:00:00,-286.6,-5.983,66.7,6.8,196.3,63.14902,44.81734,2892.53
2021-06-23 12:00:00,-286.6,-5.583,68.3,8.0,192.1,63.14900,44.81732,2892.53
2021-06-23 13:00:00,-286.8,-4.983,81.5,10.0,186.7,63.14900,44.81739,2892.53
2021-06-23 14:00:00,-286.9,-3.317,89.0,10.4,182.6,63.14900,44.81729,2892.53
