date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-06-01 00:00:00+00:00,nan,-11.6,82.5,1.2,284.5,66.48100,-46.27990,2100.00
2021-06-01 01:00:00+00:00,nan,-11.7,83.9,2.0,343.5,66.48100,-46.27990,2100.00
2021-06-01 02:00:00+00:00,nan,-11.3,84.2,1.5,333.7,66.48100,-46.27990,2100.00
2021-06-01 03:00:00+00:00,nan,-11.5,83.8,1.6,327.2,66.48100,-46.27990,2100.00
2021-06-01 04:00:00+00:00,nan,-11.9,83.3,0.9,330.6,66.48100,-46.27990,2100.00
2021-06-01 05:00:00+00:00,nan,-11.9,83.4,0.9,338.2,66.48100,-46.27990,2100.00
2021-06-01 06:00:00+00:00,nan,-11.7,83.6,0.9,339.1,66.48100,-46.27990,2100.00
2021-06-01 07:00:00+00:00,nan,-11.5,83.6,1.1,333.0,66.48100,-46.27990,2100.00
2021-06-01 08:00:00+00:00,nan,-11.4,83.6,1.1,333.9,66.48100,-46.27990,2100.00
2021-06-01 09:00:00+00:00,nan,-10.9,84.1,0.9,332.5,66.48100,-46.27990,2100.00
2021-06-01 10:00:00+00:00,nan,-9.7,84.8,0.8,334.6,66.48100,-46.27990,2100.00
2021-06-01 11:00:00+00:00,nan,nan,nan,0.5,320.6,66.48100,-46.27990,2100.00
2021-06-01 12:00:00+00:00,nan,nan,nan,0.4,303.3,66.48100,-46.27990,2100.00
2021-06-01 13:00:00+00:00,nan,nan,nan,0.1,301.1,66.48100,-46.27990,2100.00
2021-06-01 14:00:00+00:00,nan,-3.8,nan,0.3,245.2,66.48100,-46.27990,2100.00
2021-06-01 15:00:00+00:00,nan,-8.7,51.6,1.4,128.8,66.48100,-46.27990,2100.00
2021-06-01 16:00:00+00:00,nan,-8.9,57.9,1.6,122.8,66.48100,-46.27990,2100.00
2021-06-01 17:00:00+00:00,nan,-9.2,61.5,2.0,128.0,66.48100,-46.27990,2100.00
2021-06-01 18:00:00+00:00,nan,-9.3,62.9,2.1,144.8,66.48100,-46.27990,2100.00
2021-06-01 19:00:00+00:00,nan,-9.5,66.8,2.1,139.2,66.48100,-46.27990,2100.00
2021-06-01 20:00:00+00:00,nan,-10.4,70.4,2.3,134.9,66.48100,-46.27990,2100.00
2021-06-01 21:00:00+00:00,nan,-11.4,70.3,2.5,135.9,66.48100,-46.27990,2100.00
2021-06-01 22:00:00+00:00,nan,-12.9,71.3,3.0,141.3,66.48100,-46.27990,2100.00
2021-06-01 23:00:00+00:00,nan,-14.3,72.0,3.5,139.6,66.48100,-46.27990,2100.00
2021-06-02 00:00:00+00:00,nan,-16.4,73.4,3.5,144.6,66.48100,-46.27990,2100.00
2021-06-02 01:00:00+00:00,nan,-18.4,75.0,3.5,143.4,66.48100,-46.27990,2100.00
2021-06-02 02:00:00+00:00,nan,-19.7,76.9,3.5,146.5,66.48100,-46.27990,2100.00
2021-06-02 03:00:00+00:00,nan,-20.2,78.1,3.6,150.8,66.48100,-46.27990,2100.00
2021-06-02 04:00:00+00:00,nan,-21.4,76.5,3.8,150.4,66.48100,-46.27990,2100.00
2021-06-02 05:00:00+00:00,nan,-22.2,75.1,3.7,153.0,66.48100,-46.27990,2100.00
2021-06-02 06:00:00+00:00,nan,-22.2,74.7,3.7,155.4,66.48100,-46.27990,2100.00
2021-06-02 07:00:00+00:00,nan,-21.7,73.9,3.6,157.7,66.48100,-46.27990,2100.00
2021-06-02 08:00:00+00:00,nan,-20.5,72.6,3.7,154.8,66.48100,-46.27990,2100.00
2021-06-02 09:00:00+00:00,nan,-18.8,70.4,3.7,155.8,66.48100,-46.27990,2100.00
2021-06-02 10:00:00+00:00,nan,-17.3,67.8,3.8,160.3,66.48100,-46.27990,2100.00
2021-06-02 11:00:00+00:00,nan,-15.1,66.1,3.7,161.6,66.48100,-46.27990,2100.00
2021-06-02 12:00:00+00:00,nan,-13.2,64.8,3.5,162.2,66.48100,-46.27990,2100.00
2021-06-02 13:00:00+00:00,nan,-11.5,64.4,3.8,160.2,66.48100,-46.27990,2100.00
2021-06-02 14:00:00+00:00,nan,-9.9,64.7,3.8,158.5,66.48100,-46.27990,2100.00
2021-06-02 15:00:00+00:00,nan,-8.6,65.5,3.8,165.4,66.48100,-46.27990,2100.00
2021-06-02 16:00:00+00:00,nan,nan,65.0,3.8,166.4,66.48100,-46.27990,2100.00
2021-06-02 17:00:00+00:00,nan,-6.6,64.9,3.5,168.1,66.48100,-46.27990,2100.00
2021-06-02 18:00:00+00:00,nan,-6.4,66.5,3.5,165.6,66.48100,-46.27990,2100.00
2021-06-02 19:00:00+00:00,nan,-6.4,67.4,3.5,159.8,66.48100,-46.27990,2100.00
2021-06-02 20:00:00+00:00,nan,-6.9,69.7,3.8,159.6,66.48100,-46.27990,2100.00
2021-06-02 21:00:00+00:00,nan,nan,69.3,3.9,161.2,66.48100,-46.27990,2100.00
2021-06-02 22:00:00+00:00,nan,-9.1,70.5,3.9,161.8,66.48100,-46.27990,2100.00
2021-06-02 23:00:00+00:00,nan,-10.4,70.9,4.0,163.5,66.48100,-46.27990,2100.00
2021-06-03 00:00:00+00:00,nan,-12.3,71.5,3.8,163.9,66.48100,-46.27990,2100.00
2021-06-03 01:00:00+00:00,nan,-14.5,72.9,3.6,162.8,66.48100,-46.27990,2100.00
2021-06-03 02:00:00+00:00,nan,-16.4,74.4,3.5,160.4,66.48100,-46.27990,2100.00
2021-06-03 03:00:00+00:00,nan,-17.6,78.4,3.5,155.4,66.48100,-46.27990,2100.00
2021-06-03 04:00:00+00:00,nan,-16.2,78.9,3.8,156.1,66.48100,-46.27990,2100.00
2021-06-03 05:00:00+00:00,nan,-15.6,77.3,3.7,155.6,66.48100,-46.27990,2100.00
