date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-08-12 11:00:00+00:00,-222.5,-38.2,67.9,nan,193.2,78.52660,-56.83050,1995.00
2021-08-12 13:00:00+00:00,-222.5,-30.3,nan,10.2,nan,78.52660,-56.83050,1995.00
2021-08-12 14:00:00+00:00,-222.5,-29.6,74.3,6.0,nan,78.52660,-56.83050,1995.00
2021-08-13 11:00:00+00:00,-208.4,-45.1,60.3,7.8,233.1,78.52660,-56.83050,1995.00
2021-08-13 12:00:00+00:00,-208.4,-43.8,61.7,7.9,nan,78.52660,-56.83050,1995.00
2021-08-13 13:00:00+00:00,-207.8,-43.1,62.0,7.6,235.6,78.52660,-56.83050,1995.00
2021-08-13 14:00:00+00:00,nan,-33.7,71.8,16.9,213.3,78.52660,-56.83050,1995.00
2021-08-13 15:00:00+00:00,-218.7,-28.3,76.1,6.7,192.9,78.52660,-56.83050,1995.00
2021-08-13 16:00:00+00:00,-219.4,-27.7,76.7,9.1,202.8,78.52660,-56.83050,1995.00
2021-08-13 17:00:00+00:00,-220.2,-34.5,70.9,16.8,218.8,78.52660,-56.83050,1995.00
2021-08-13 18:00:00+00:00,-220.3,-27.2,76.6,9.8,193.2,78.52660,-56.83050,1995.00
2021-08-13 19:00:00+00:00,-219.1,-36.3,69.3,15.8,226.3,78.52660,-56.83050,1995.00
2021-08-13 20:00:00+00:00,-219.0,-37.0,68.6,15.7,219.1,78.52660,-56.83050,1995.00
2021-08-13 21:00:00+00:00,-219.0,-37.0,68.6,15.9,nan,78.52660,-56.83050,1995.00
2021-08-13 23:00:00+00:00,-207.8,nan,80.2,4.7,157.6,78.52660,-56.83050,1995.00
2021-08-14 00:00:00+00:00,-198.7,-43.4,62.5,5.7,219.2,78.52660,-56.83050,1995.00
2021-08-14 01:00:00+00:00,-197.8,-44.3,61.8,5.7,214.4,78.52660,-56.83050,1995.00
2021-08-14 02:00:00+00:00,nan,nan,82.0,6.6,179.7,78.52660,-56.83050,1995.00
2021-08-14 03:00:00+00:00,-196.7,-47.1,69.5,5.7,206.0,78.52660,-56.83050,1995.00
2021-08-14 04:00:00+00:00,nan,nan,81.9,6.8,171.1,78.52660,-56.83050,1995.00
2021-08-14 06:00:00+00:00,-210.3,nan,81.7,6.6,175.8,78.52660,-56.83050,1995.00
2021-08-14 07:00:00+00:00,-213.0,nan,82.4,6.3,173.3,78.52660,-56.83050,1995.00
2021-08-14 09:00:00+00:00,nan,-47.3,59.0,6.1,226.0,78.52660,-56.83050,1995.00
2021-08-14 10:00:00+00:00,nan,nan,59.7,7.1,nan,78.52660,-56.83050,1995.00
2021-08-14 11:00:00+00:00,nan,-45.2,60.3,7.1,198.5,78.52660,-56.83050,1995.00
2021-08-14 12:00:00+00:00,-195.1,-44.2,61.2,7.2,nan,78.52660,-56.83050,1995.00
2021-08-14 13:00:00+00:00,-195.1,-43.0,62.2,6.9,nan,78.52660,-56.83050,1995.00
2021-08-14 14:00:00+00:00,nan,-42.4,62.5,7.2,nan,78.52660,-56.83050,1995.00
2021-08-14 15:00:00+00:00,nan,-41.8,63.1,7.8,251.6,78.52660,-56.83050,1995.00
2021-08-14 16:00:00+00:00,nan,-41.2,63.7,7.8,242.1,78.52660,-56.83050,1995.00
2021-08-14 17:00:00+00:00,-203.3,-40.9,64.0,7.5,241.3,78.52660,-56.83050,1995.00
2021-08-14 18:00:00+00:00,-203.3,-40.7,64.2,7.0,252.0,78.52660,-56.83050,1995.00
2021-08-14 19:00:00+00:00,-201.4,-40.8,65.5,6.8,133.6,78.52660,-56.83050,1995.00
2021-08-14 20:00:00+00:00,-201.4,-41.1,64.0,5.9,nan,78.52660,-56.83050,1995.00
2021-08-14 21:00:00+00:00,-200.0,-41.6,63.9,5.5,227.4,78.52660,-56.83050,1995.00
2021-08-14 22:00:00+00:00,-200.0,-42.4,63.3,5.7,nan,78.52660,-56.83050,1995.00
2021-08-15 00:00:00+00:00,-200.9,-41.5,64.3,7.5,188.1,78.52660,-56.83050,1995.00
2021-08-15 01:00:00+00:00,-201.6,-42.3,63.6,7.6,187.2,78.52660,-56.83050,1995.00
2021-08-15 02:00:00+00:00,-201.6,-43.0,63.0,7.8,nan,78.52660,-56.83050,1995.00
2021-08-15 03:00:00+00:00,nan,nan,92.8,10.6,212.5,78.52660,-56.83050,1995.00
2021-08-15 04:00:00+00:00,-203.1,nan,59.4,7.7,185.2,78.52660,-56.83050,1995.00
2021-08-15 05:00:00+00:00,-202.4,-44.0,62.0,7.7,185.3,78.52660,-56.83050,1995.00
2021-08-15 06:00:00+00:00,nan,nan,92.5,10.9,213.5,78.52660,-56.83050,1995.00
2021-08-15 07:00:00+00:00,-203.5,-43.9,62.0,7.4,184.3,78.52660,-56.83050,1995.00
2021-08-15 08:00:00+00:00,-203.7,-43.2,62.5,7.8,186.2,78.52660,-56.83050,1995.00
2021-08-15 09:00:00+00:00,-203.7,nan,58.9,7.7,189.9,78.52660,-56.83050,1995.00
2021-08-15 10:00:00+00:00,nan,nan,91.6,11.4,212.2,78.52660,-56.83050,1995.00
2021-08-15 11:00:00+00:00,-203.8,-41.7,63.6,7.9,189.3,78.52660,-56.83050,1995.00
2021-08-15 12:00:00+00:00,-203.9,-38.8,65.9,7.7,191.2,78.52660,-56.83050,1995.00
2021-08-15 13:00:00+00:00,-203.9,-37.5,67.0,7.3,190.7,78.52660,-56.83050,1995.00
2021-08-15 14:00:00+00:00,-195.7,-41.4,61.1,6.2,195.0,78.52660,-56.83050,1995.00
2021-08-15 15:00:00+00:00,-196.1,-40.7,64.4,6.6,97.5,78.52660,-56.83050,1995.00
2021-08-15 16:00:00+00:00,-196.1,-39.9,65.1,7.5,193.1,78.52660,-56.83050,1995.00
2021-08-15 17:00:00+00:00,-196.4,-39.3,65.8,8.2,195.7,78.52660,-56.83050,1995.00
2021-08-15 18:00:00+00:00,-197.2,-38.1,66.9,7.2,192.7,78.52660,-56.83050,1995.00
