date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-06-01 00:00:00+00:00,-285.5,-15.0,83.3,3.3,84.7,75.00000,-29.99970,2631.00
2021-06-01 01:00:00+00:00,-285.0,-16.7,82.2,5.0,92.9,75.00000,-29.99970,2631.00
2021-06-01 02:00:00+00:00,-284.7,-17.8,83.2,6.0,92.6,75.00000,-29.99970,2631.00
2021-06-01 03:00:00+00:00,-284.4,-18.8,82.8,7.6,94.6,75.00000,-29.99970,2631.00
2021-06-01 04:00:00+00:00,-283.9,-19.2,81.3,nan,88.3,75.00000,-29.99970,2631.00
2021-06-01 05:00:00+00:00,-283.6,-19.0,81.7,8.1,80.8,75.00000,-29.99970,2631.00
2021-06-01 06:00:00+00:00,-283.1,-19.5,80.8,7.4,83.9,75.00000,-29.99970,2631.00
2021-06-01 07:00:00+00:00,-282.5,-19.4,80.7,7.8,78.8,75.00000,-29.99970,2631.00
2021-06-01 08:00:00+00:00,-282.0,-18.9,80.5,8.6,77.4,75.00000,-29.99970,2631.00
2021-06-01 09:00:00+00:00,-281.6,-18.7,80.1,9.2,78.0,75.00000,-29.99970,2631.00
2021-06-01 10:00:00+00:00,-281.3,-18.1,80.5,10.2,75.7,75.00000,-29.99970,2631.00
2021-06-01 11:00:00+00:00,-280.8,-17.5,80.5,nan,77.1,75.00000,-29.99970,2631.00
2021-06-01 12:00:00+00:00,-280.4,-16.9,80.6,10.3,74.7,75.00000,-29.99970,2631.00
2021-06-01 13:00:00+00:00,-280.0,-16.1,80.4,10.6,71.2,75.00000,-29.99970,2631.00
2021-06-01 14:00:00+00:00,-279.7,-15.8,80.3,10.7,71.1,75.00000,-29.99970,2631.00
2021-06-01 15:00:00+00:00,-279.4,-15.4,80.2,10.5,68.2,75.00000,-29.99970,2631.00
2021-06-01 16:00:00+00:00,-278.9,-15.5,79.8,10.1,65.5,75.00000,-29.99970,2631.00
2021-06-01 17:00:00+00:00,-278.6,-15.8,79.1,9.3,63.0,75.00000,-29.99970,2631.00
2021-06-01 18:00:00+00:00,-278.3,-15.8,78.2,8.1,62.1,75.00000,-29.99970,2631.00
2021-06-01 19:00:00+00:00,-278.2,-15.9,77.9,7.4,61.4,75.00000,-29.99970,2631.00
2021-06-01 20:00:00+00:00,-278.0,-16.1,78.5,6.8,59.7,75.00000,-29.99970,2631.00
2021-06-01 21:00:00+00:00,-278.0,-16.7,78.9,6.1,57.1,75.00000,-29.99970,2631.00
2021-06-01 22:00:00+00:00,-277.9,-17.5,78.5,4.8,54.3,75.00000,-29.99970,2631.00
2021-06-01 23:00:00+00:00,-277.9,-18.8,78.7,3.9,53.9,75.00000,-29.99970,2631.00
2021-06-02 00:00:00+00:00,nan,nan,nan,nan,nan,75.00000,-29.99970,2631.00
2021-06-02 01:00:00+00:00,nan,-21.4,79.3,2.1,53.9,75.00000,-29.99970,2631.00
2021-06-02 02:00:00+00:00,-279.3,-22.1,79.2,4.2,49.8,75.00000,-29.99970,2631.00
2021-06-02 03:00:00+00:00,-279.4,-23.2,78.1,3.9,58.6,75.00000,-29.99970,2631.00
2021-06-02 04:00:00+00:00,-280.0,-23.3,78.0,5.2,54.8,75.00000,-29.99970,2631.00
2021-06-02 05:00:00+00:00,-280.4,-23.2,78.2,5.0,53.9,75.00000,-29.99970,2631.00
2021-06-02 06:00:00+00:00,-280.5,-21.9,80.2,5.3,54.9,75.00000,-29.99970,2631.00
2021-06-02 07:00:00+00:00,-280.5,-20.9,80.3,5.5,52.9,75.00000,-29.99970,2631.00
