date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-06-01 00:00:00+00:00,-227.9,-14.7,83.1,1.4,86.5,73.83330,-49.49530,2368.00
2021-06-01 01:00:00+00:00,-228.0,-14.7,86.3,1.6,95.4,73.83330,-49.49530,2368.00
2021-06-01 02:00:00+00:00,-228.0,-14.5,86.9,2.0,112.2,73.83330,-49.49530,2368.00
2021-06-01 03:00:00+00:00,-228.1,-14.3,87.4,2.5,128.5,73.83330,-49.49530,2368.00
2021-06-01 04:00:00+00:00,-228.0,-14.5,87.7,2.2,142.6,73.83330,-49.49530,2368.00
2021-06-01 05:00:00+00:00,-228.1,-14.4,87.5,2.5,130.1,73.83330,-49.49530,2368.00
2021-06-01 06:00:00+00:00,-228.2,-14.4,87.1,3.4,114.1,73.83330,-49.49530,2368.00
2021-06-01 07:00:00+00:00,-228.3,-14.2,85.8,4.8,102.5,73.83330,-49.49530,2368.00
2021-06-01 08:00:00+00:00,-228.2,-14.7,86.5,3.8,130.1,73.83330,-49.49530,2368.00
2021-06-01 09:00:00+00:00,-227.9,-14.4,86.7,3.7,199.8,73.83330,-49.49530,2368.00
2021-06-01 10:00:00+00:00,-227.7,-14.2,84.5,2.4,222.8,73.83330,-49.49530,2368.00
2021-06-01 11:00:00+00:00,-226.4,-13.0,80.0,1.4,210.3,73.83330,-49.49530,2368.00
2021-06-01 12:00:00+00:00,-226.0,-12.7,81.3,2.4,173.1,73.83330,-49.49530,2368.00
2021-06-01 13:00:00+00:00,-226.2,-12.4,80.7,2.8,150.1,73.83330,-49.49530,2368.00
2021-06-01 14:00:00+00:00,-224.9,-11.8,78.1,2.9,180.2,73.83330,-49.49530,2368.00
2021-06-01 15:00:00+00:00,-225.3,-11.6,65.2,2.8,184.6,73.83330,-49.49530,2368.00
2021-06-01 16:00:00+00:00,-225.1,-11.4,70.2,2.5,162.8,73.83330,-49.49530,2368.00
2021-06-01 17:00:00+00:00,-225.3,-11.3,69.2,3.2,161.8,73.83330,-49.49530,2368.00
2021-06-01 18:00:00+00:00,-226.0,-11.6,70.0,4.3,174.2,73.83330,-49.49530,2368.00
2021-06-01 19:00:00+00:00,-226.1,-11.8,68.7,3.3,197.4,73.83330,-49.49530,2368.00
2021-06-01 20:00:00+00:00,-226.2,-11.7,71.8,3.5,179.4,73.83330,-49.49530,2368.00
2021-06-01 21:00:00+00:00,-226.4,-11.5,73.3,3.0,177.8,73.83330,-49.49530,2368.00
2021-06-01 22:00:00+00:00,-226.4,-13.5,76.7,2.4,126.1,73.83330,-49.49530,2368.00
2021-06-01 23:00:00+00:00,-227.8,-17.9,76.8,3.0,109.9,73.83330,-49.49530,2368.00
2021-06-02 00:00:00+00:00,-228.5,-19.8,78.3,3.5,114.8,73.83330,-49.49530,2368.00
2021-06-02 01:00:00+00:00,-227.4,-21.0,79.2,3.6,99.7,73.83330,-49.49530,2368.00
2021-06-02 02:00:00+00:00,-227.2,-21.0,78.0,4.8,106.8,73.83330,-49.49530,2368.00
2021-06-02 03:00:00+00:00,-227.5,-21.8,75.5,4.9,122.0,73.83330,-49.49530,2368.00
2021-06-02 04:00:00+00:00,-227.9,-22.3,73.3,nan,115.9,73.83330,-49.49530,2368.00
2021-06-02 05:00:00+00:00,-228.6,-22.4,73.1,5.3,116.1,73.83330,-49.49530,2368.00
2021-06-02 06:00:00+00:00,-229.4,-21.8,73.3,5.6,124.8,73.83330,-49.49530,2368.00
2021-06-02 07:00:00+00:00,-229.8,-21.6,73.9,5.4,113.4,73.83330,-49.49530,2368.00
2021-06-02 08:00:00+00:00,-230.0,-21.0,73.2,5.6,107.8,73.83330,-49.49530,2368.00
2021-06-02 09:00:00+00:00,-229.8,-19.7,71.9,5.8,100.1,73.83330,-49.49530,2368.00
2021-06-02 10:00:00+00:00,-229.2,-18.7,72.0,5.4,103.5,73.83330,-49.49530,2368.00
2021-06-02 11:00:00+00:00,-229.1,-17.6,72.3,6.2,119.1,73.83330,-49.49530,2368.00
2021-06-02 12:00:00+00:00,-229.0,-16.3,72.8,6.6,129.6,73.83330,-49.49530,2368.00
2021-06-02 13:00:00+00:00,-228.9,-15.0,72.7,6.7,133.9,73.83330,-49.49530,2368.00
2021-06-02 14:00:00+00:00,-228.9,-14.0,73.0,6.9,135.8,73.83330,-49.49530,2368.00
2021-06-02 15:00:00+00:00,-228.8,-12.9,73.0,6.5,143.9,73.83330,-49.49530,2368.00
2021-06-02 16:00:00+00:00,-228.6,-12.1,73.2,nan,144.8,73.83330,-49.49530,2368.00
2021-06-02 17:00:00+00:00,-228.5,-11.5,73.8,6.3,150.7,73.83330,-49.49530,2368.00
2021-06-02 18:00:00+00:00,-228.3,-11.1,74.3,6.0,154.8,73.83330,-49.49530,2368.00
2021-06-02 19:00:00+00:00,-228.1,-11.1,74.8,5.8,155.4,73.83330,-49.49530,2368.00
2021-06-02 20:00:00+00:00,-228.1,-11.4,75.8,5.2,150.9,73.83330,-49.49530,2368.00
2021-06-02 21:00:00+00:00,-228.0,-12.0,76.3,5.0,150.2,73.83330,-49.49530,2368.00
2021-06-02 22:00:00+00:00,-227.9,-13.1,76.5,5.3,145.8,73.83330,-49.49530,2368.00
2021-06-02 23:00:00+00:00,-228.0,-14.3,76.3,nan,142.9,73.83330,-49.49530,2368.00
2021-06-03 00:00:00+00:00,-228.2,-15.5,76.8,5.6,144.2,73.83330,-49.49530,2368.00
2021-06-03 01:00:00+00:00,-228.3,-16.4,76.0,5.9,145.2,73.83330,-49.49530,2368.00
2021-06-03 02:00:00+00:00,-228.3,-17.6,77.2,5.8,144.3,73.83330,-49.49530,2368.00
2021-06-03 03:00:00+00:00,-228.5,-18.9,79.0,5.7,147.8,73.83330,-49.49530,2368.00
2021-06-03 04:00:00+00:00,-228.5,-19.1,78.5,6.1,147.2,73.83330,-49.49530,2368.00
2021-06-03 05:00:00+00:00,-228.5,-19.4,75.3,5.6,147.8,73.83330,-49.49530,2368.00
2021-06-03 06:00:00+00:00,-228.4,-19.3,75.2,6.2,148.2,73.83330,-49.49530,2368.00
2021-06-03 07:00:00+00:00,-228.2,-19.6,75.8,6.7,142.0,73.83330,-49.49530,2368.00
2021-06-03 08:00:00+00:00,-228.0,-18.8,74.1,6.6,145.2,73.83330,-49.49530,2368.00
2021-06-03 09:00:00+00:00,-227.7,-17.9,72.7,6.4,149.3,73.83330,-49.49530,2368.00
2021-06-03 10:00:00+00:00,-227.4,-16.5,71.1,5.8,154.2,73.83330,-49.49530,2368.00
2021-06-03 11:00:00+00:00,-226.9,-14.6,70.8,5.9,158.6,73.83330,-49.49530,2368.00
2021-06-03 12:00:00+00:00,-226.5,-13.8,69.5,5.8,167.0,73.83330,-49.49530,2368.00
2021-06-03 13:00:00+00:00,-226.1,-12.7,69.5,5.5,165.9,73.83330,-49.49530,2368.00
2021-06-03 14:00:00+00:00,-225.5,-11.7,70.0,5.8,173.4,73.83330,-49.49530,2368.00
2021-06-03 15:00:00+00:00,-225.1,-10.8,70.1,6.1,173.7,73.83330,-49.49530,2368.00
2021-06-03 16:00:00+00:00,-224.5,-10.3,71.0,6.1,179.1,73.83330,-49.49530,2368.00
2021-06-03 17:00:00+00:00,-224.0,-9.8,71.3,5.7,182.2,73.83330,-49.49530,2368.00
