date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-06-01 00:00:00+00:00,-272.3,-20.3,77.3,3.2,325.4,72.57940,-38.50420,3254.00
2021-06-01 01:00:00+00:00,-272.1,-21.8,79.6,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 02:00:00+00:00,-271.9,-23.4,78.5,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 03:00:00+00:00,-271.8,-25.1,75.8,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 04:00:00+00:00,-271.7,-24.9,76.5,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 05:00:00+00:00,-271.4,-25.0,76.0,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 06:00:00+00:00,-271.3,-24.3,76.2,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 07:00:00+00:00,-271.2,-24.2,73.5,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 08:00:00+00:00,-271.0,-24.5,73.8,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 09:00:00+00:00,-270.9,-23.2,66.5,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 10:00:00+00:00,-270.8,-23.9,69.4,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 11:00:00+00:00,-270.7,-23.4,73.3,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 12:00:00+00:00,-270.6,-22.2,71.8,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 13:00:00+00:00,-270.5,-21.1,72.5,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 14:00:00+00:00,-270.5,-19.9,73.8,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 15:00:00+00:00,-270.5,-19.2,73.8,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 16:00:00+00:00,-270.5,-18.8,73.3,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 17:00:00+00:00,-270.6,-18.6,73.8,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 18:00:00+00:00,-270.8,-18.5,73.4,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 19:00:00+00:00,-270.8,-18.5,72.9,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 20:00:00+00:00,-270.8,-18.8,72.9,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 21:00:00+00:00,-270.9,-19.7,72.2,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 22:00:00+00:00,-270.9,-21.4,74.1,nan,nan,72.57940,-38.50420,3254.00
2021-06-01 23:00:00+00:00,-271.0,-23.3,77.2,nan,nan,72.57940,-38.50420,3254.00
2021-06-02 00:00:00+00:00,-271.0,-25.8,76.5,nan,nan,72.57940,-38.50420,3254.00
