date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-08-18 01:00:00,-239.9,-6.633,84.6,6.9,142.2,73.84057,49.53154,2338.24
2021-08-18 02:00:00,-239.9,-5.183,85.2,6.7,154.0,73.84057,49.53159,2338.24
2021-08-18 03:00:00,-239.9,-4.833,86.9,9.1,161.7,73.84053,49.53150,2338.24
2021-08-18 04:00:00,-239.9,-5.567,87.2,8.4,162.7,73.84056,49.53157,2338.24
2021-08-18 05:00:00,-240.0,-6.817,87.5,7.6,159.6,73.84055,49.53154,2338.24
2021-08-18 06:00:00,-239.9,-7.5,88.1,7.7,160.6,73.84058,49.53157,2338.24
2021-08-18 07:00:00,-239.9,-9.27,88.2,6.9,161.1,73.84056,49.53153,2338.24
2021-08-18 08:00:00,-239.5,-10.07,88.3,5.6,157.9,73.84056,49.53134,2338.24
2021-08-18 09:00:00,-239.4,-10.18,87.9,4.7,154.6,73.84055,49.53156,2338.24
2021-08-18 10:00:00,-239.2,-9.85,87.1,4.6,155.0,73.84055,49.53150,2338.24
2021-08-18 11:00:00,-239.0,-8.98,85.4,4.2,149.2,73.84055,49.53158,2338.24
2021-08-18 12:00:00,-238.9,-7.733,83.9,4.6,151.2,73.84057,49.53158,2338.24
2021-08-18 13:00:00,-238.9,-6.717,83.5,5.0,149.2,73.84055,49.53165,2338.24
2021-08-18 14:00:00,-239.0,-5.483,83.4,5.2,152.7,73.84056,49.53147,2338.24
2021-08-18 15:00:00,-239.0,-4.65,84.4,5.6,155.9,73.84054,49.53152,2338.24
2021-08-18 16:00:00,-239.1,-3.833,84.8,5.3,159.2,73.84059,49.53156,2338.24
2021-08-18 17:00:00,-239.2,-3.417,84.0,5.3,160.1,73.84058,49.53156,2338.24
2021-08-18 18:00:00,-239.3,-2.783,82.4,5.5,171.0,73.84055,49.53150,2338.24
2021-08-18 19:00:00,-239.2,-2.8,84.0,5.9,171.2,73.84057,49.53155,2338.24
2021-08-18 20:00:00,-239.1,-2.983,86.5,5.4,173.8,73.84056,49.53156,2338.24
2021-08-18 21:00:00,-239.1,-4.233,89.1,3.5,143.2,73.84057,49.53152,2338.24
2021-08-18 22:00:00,-239.2,-5.567,90.9,3.5,149.2,73.84058,49.53159,2338.24
2021-08-18 23:00:00,-239.4,-7.45,92.6,nan,131.9,73.84054,49.53152,2338.24
2021-08-19 00:00:00,-239.4,-8.05,95.9,3.7,141.8,73.84054,49.53155,2338.22
2021-08-19 01:00:00,-239.6,-8.13,95.1,3.3,146.3,73.84057,49.53164,2338.22
2021-08-19 02:00:00,-239.7,-8.17,94.4,3.0,144.8,73.84054,49.53155,2338.22
2021-08-19 03:00:00,-240.0,-8.2,93.4,2.9,146.9,73.84055,49.53148,2338.22
2021-08-19 04:00:00,-240.1,-7.95,92.8,2.9,152.2,73.84055,49.53162,2338.22
2021-08-19 05:00:00,-240.3,-6.2,94.2,2.7,149.9,73.84054,49.53148,2338.22
2021-08-19 06:00:00,-240.6,-4.45,94.8,2.9,157.3,73.84053,49.53154,2338.22
2021-08-19 07:00:00,-240.8,-4.85,94.7,2.5,160.7,73.84056,49.53150,2338.22
2021-08-19 08:00:00,-241.0,-4.783,94.5,2.4,158.2,73.84056,49.53144,2338.22
2021-08-19 09:00:00,-241.2,-3.133,96.0,1.7,164.5,73.84058,49.53153,2338.22
2021-08-19 10:00:00,-241.3,-1.933,96.6,2.0,166.9,73.84057,49.53153,2338.22
2021-08-19 11:00:00,-241.4,-1.283,97.0,2.4,168.7,73.84054,49.53158,2338.22
2021-08-19 12:00:00,-241.5,-1.133,96.9,4.3,170.5,73.84056,49.53162,2338.22
2021-08-19 13:00:00,-241.4,-0.517,96.8,4.6,176.3,73.84055,49.53156,2338.22
