date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-06-01 00:00:00,-54.0,-0.842,100.1,2.4,158.4,nan,nan,nan
2021-06-01 01:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 02:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 03:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 04:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 05:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 06:00:00,-52.0,2.002,70.7,3.9,13.1,nan,nan,nan
2021-06-01 07:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 08:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 09:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 10:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 11:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 12:00:00,-50.1,3.368,53.1,4.8,335.3,nan,nan,nan
2021-06-01 13:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 14:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 15:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 16:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 17:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 18:00:00,-50.7,2.228,77.4,1.1,107.4,nan,nan,nan
2021-06-01 19:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 20:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 21:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 22:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 23:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 00:00:00,-52.6,2.905,71.9,4.8,33.9,nan,nan,nan
2021-06-02 01:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 02:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 03:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 04:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 05:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 06:00:00,-51.6,2.084,59.6,4.1,345.0,nan,nan,nan
2021-06-02 07:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 08:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 09:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 10:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 11:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 12:00:00,-47.9,1.789,63.3,4.1,5.6,nan,nan,nan
2021-06-02 13:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 14:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 15:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 16:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 17:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 18:00:00,-46.5,1.936,78.5,2.7,168.7,nan,nan,nan
2021-06-02 19:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 20:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 21:00:00,nan,,nan,nan,nan,nan,nan,nan
