date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2021-06-01 00:00:00,-114.0,-5.528,90.7,2.6,330.6,nan,nan,nan
2021-06-01 01:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 02:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 03:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 04:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 05:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 06:00:00,-111.4,-3.314,61.7,6.0,289.3,nan,nan,nan
2021-06-01 07:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 08:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 09:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 10:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 11:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 12:00:00,-108.8,-0.382,62.0,4.0,288.9,nan,nan,nan
2021-06-01 13:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 14:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 15:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 16:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 17:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 18:00:00,-109.3,1.315,59.0,4.1,274.1,nan,nan,nan
2021-06-01 19:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 20:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 21:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 22:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-01 23:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 00:00:00,-111.0,0.0,58.8,6.4,302.5,nan,nan,nan
2021-06-02 01:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 02:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 03:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 04:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 05:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 06:00:00,-110.8,-2.868,58.1,5.5,265.7,nan,nan,nan
2021-06-02 07:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 08:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 09:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 10:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 11:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 12:00:00,-107.6,-1.274,46.0,7.2,255.8,nan,nan,nan
2021-06-02 13:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 14:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 15:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 16:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 17:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 18:00:00,-106.1,0.551,39.5,2.6,271.2,nan,nan,nan
2021-06-02 19:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 20:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 21:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 22:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-02 23:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 00:00:00,-106.1,-2.698,58.0,4.6,255.7,nan,nan,nan
2021-06-03 01:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 02:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 03:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 04:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 05:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 06:00:00,-106.2,-6.738,60.6,6.7,276.5,nan,nan,nan
2021-06-03 07:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 08:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 09:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 10:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 11:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 12:00:00,-106.7,-0.849,41.6,5.9,253.4,nan,nan,nan
2021-06-03 13:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 14:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 15:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 16:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 17:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 18:00:00,-104.9,1.888,39.9,3.9,253.4,nan,nan,nan
2021-06-03 19:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 20:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 21:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 22:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-03 23:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-04 00:00:00,-99.9,-3.378,57.5,5.8,287.1,nan,nan,nan
2021-06-04 01:00:00,nan,,nan,nan,nan,nan,nan,nan
2021-06-04 02:00:00,nan,,nan,nan,nan,nan,nan,nan
