date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-01-01 00:00:00,2022,1,1,0,-212.1,-26.9,55.2,13.4,124.2,69.87241,-47.03784,1915.07
2022-01-01 01:00:00,2022,1,1,1,-212.1,-27.7,62.0,12.5,119.2,69.87228,-47.03768,1915.07
2022-01-01 02:00:00,2022,1,1,2,-212.4,-27.3,59.3,13.6,124.1,69.87224,-47.03780,1915.07
2022-01-01 03:00:00,2022,1,1,3,-212.3,-28.0,65.7,12.9,118.8,69.87220,-47.03776,1915.07
2022-01-01 04:00:00,2022,1,1,4,-212.6,-26.7,55.8,13.9,130.1,69.87225,-47.03776,1915.07
2022-01-01 05:00:00,2022,1,1,5,-212.6,-25.5,50.3,13.6,126.7,69.87222,-47.03789,1915.07
2022-01-01 06:00:00,2022,1,1,6,-213.0,-25.2,49.6,14.0,123.4,69.87228,-47.03759,1915.07
2022-01-01 07:00:00,2022,1,1,7,-212.7,-25.0,49.9,13.5,133.4,69.87229,-47.03775,1915.07
2022-01-01 08:00:00,2022,1,1,8,-212.9,-25.2,51.6,12.4,130.6,69.87229,-47.03765,1915.07
2022-01-01 09:00:00,2022,1,1,9,-213.3,-24.9,51.2,13.1,122.0,69.87228,-47.03775,1915.07
2022-01-01 10:00:00,2022,1,1,10,-213.1,-25.6,53.2,11.7,137.4,69.87229,-47.03772,1915.07
2022-01-01 11:00:00,2022,1,1,11,-212.9,-25.9,54.3,11.4,126.5,69.87227,-47.03775,1915.07
2022-01-01 12:00:00,2022,1,1,12,-213.1,-25.5,53.7,11.8,125.8,69.87234,-47.03756,1915.07
2022-01-01 13:00:00,2022,1,1,13,-212.8,-25.8,52.6,11.1,134.4,69.87229,-47.03778,1915.07
2022-01-01 14:00:00,2022,1,1,14,-212.9,-25.7,51.2,11.2,147.9,69.87233,-47.03752,1915.07
