date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-06-16 16:00:00,2022,16,6,16,-229.3,-5.4,69.2,6.9,186.6,66.48233,-46.29342,2122.51
2022-06-16 17:00:00,2022,16,6,17,-229.3,-5.3,70.5,6.2,184.6,66.48229,-46.29335,2122.51
2022-06-16 18:00:00,2022,16,6,18,-229.5,-5.5,73.8,6.2,168.4,66.48233,-46.29337,2122.51
2022-06-16 19:00:00,2022,16,6,19,-229.5,-5.8,74.5,6.3,160.6,66.48239,-46.29333,2122.51
2022-06-16 20:00:00,2022,16,6,20,-229.4,-6.6,76.1,5.9,163.2,66.48227,-46.29328,2122.51
2022-06-16 21:00:00,2022,16,6,21,-229.8,-8.6,77.8,5.5,171.4,66.48231,-46.29335,2122.51
2022-06-16 22:00:00,2022,16,6,22,-229.8,-9.5,76.0,6.9,158.1,66.48237,-46.29322,2122.51
2022-06-16 23:00:00,2022,16,6,23,-230.1,-11.5,77.0,6.9,159.3,66.48232,-46.29324,2122.51
2022-06-17 00:00:00,2022,17,6,0,-230.1,-12.0,75.8,7.2,167.1,66.48226,-46.29325,2122.50
2022-06-17 01:00:00,2022,17,6,1,-230.2,-12.2,76.4,6.9,174.2,66.48231,-46.29351,2122.50
2022-06-17 02:00:00,2022,17,6,2,-230.3,-12.8,76.6,7.2,173.9,66.48226,-46.29334,2122.50
2022-06-17 03:00:00,2022,17,6,3,-230.4,-11.3,79.9,7.4,181.0,66.48233,-46.29333,2122.50
2022-06-17 04:00:00,2022,17,6,4,-230.6,-10.7,82.1,7.7,176.4,66.48234,-46.29314,2122.50
2022-06-17 05:00:00,2022,17,6,5,-230.5,-9.8,85.6,8.8,171.6,66.48230,-46.29339,2122.50
2022-06-17 06:00:00,2022,17,6,6,-230.6,-9.2,86.1,9.3,174.6,66.48228,-46.29344,2122.50
2022-06-17 07:00:00,2022,17,6,7,-230.8,-8.7,85.9,10.2,177.3,66.48231,-46.29320,2122.50
2022-06-17 08:00:00,2022,17,6,8,-230.9,-8.6,86.8,10.7,179.5,66.48230,-46.29335,2122.50
2022-06-17 09:00:00,2022,17,6,9,-230.9,-7.9,86.0,10.0,190.6,66.48230,-46.29324,2122.50
2022-06-17 10:00:00,2022,17,6,10,-230.7,-6.3,85.8,8.4,189.3,66.48232,-46.29336,2122.50
2022-06-17 11:00:00,2022,17,6,11,-230.6,-5.2,85.8,8.8,199.4,66.48228,-46.29329,2122.50
2022-06-17 12:00:00,2022,17,6,12,-230.3,-4.4,87.9,9.7,212.7,66.48231,-46.29332,2122.50
2022-06-17 13:00:00,2022,17,6,13,-229.9,-4.2,86.3,9.1,203.8,66.48232,-46.29330,2122.50
2022-06-17 14:00:00,2022,17,6,14,-229.9,-3.9,88.7,10.7,215.5,66.48232,-46.29332,2122.50
2022-06-17 15:00:00,2022,17,6,15,-229.7,-3.3,86.8,9.0,202.6,66.48231,-46.29334,2122.50
2022-06-17 16:00:00,2022,17,6,16,-229.7,-3.9,89.5,9.7,191.4,66.48232,-46.29334,2122.50
2022-06-17 17:00:00,2022,17,6,17,-229.8,-3.9,90.4,10.0,186.9,66.48229,-46.29328,2122.50
2022-06-17 18:00:00,2022,17,6,18,-229.6,-3.2,89.9,9.7,202.7,66.48225,-46.29333,2122.50
2022-06-17 19:00:00,2022,17,6,19,-229.3,-3.0,91.2,8.1,206.7,66.48240,-46.29332,2122.50
2022-06-17 20:00:00,2022,17,6,20,-229.1,-2.9,92.9,5.8,220.2,66.48229,-46.29325,2122.50
2022-06-17 21:00:00,2022,17,6,21,-229.3,-2.8,93.2,4.6,174.3,66.48232,-46.29332,2122.50
2022-06-17 22:00:00,2022,17,6,22,-229.5,-2.8,93.8,4.8,195.7,66.48234,-46.29323,2122.50
2022-06-17 23:00:00,2022,17,6,23,-230.1,-2.9,93.8,5.3,171.3,66.48233,-46.29324,2122.50
2022-06-18 00:00:00,2022,18,6,0,-230.7,-2.3,95.2,6.8,173.0,66.48228,-46.29338,2122.48
2022-06-18 01:00:00,2022,18,6,1,-230.8,-1.3,96.7,8.2,192.6,66.48229,-46.29333,2122.48
2022-06-18 02:00:00,2022,18,6,2,-230.6,-1.2,96.9,9.4,169.1,66.48230,-46.29317,2122.48
2022-06-18 03:00:00,2022,18,6,3,-230.3,-0.8,97.4,8.2,221.2,66.48230,-46.29337,2122.48
2022-06-18 04:00:00,2022,18,6,4,-230.0,-0.4,98.3,11.5,235.6,66.48227,-46.29333,2122.48
2022-06-18 05:00:00,2022,18,6,5,-229.5,-0.1,98.5,13.7,232.9,66.48232,-46.29333,2122.48
2022-06-18 06:00:00,2022,18,6,6,-229.3,0.1,98.7,15.0,236.5,66.48229,-46.29327,2122.48
2022-06-18 07:00:00,2022,18,6,7,-228.7,0.2,98.9,14.8,232.8,66.48234,-46.29343,2122.48
2022-06-18 08:00:00,2022,18,6,8,-228.2,0.2,99.0,15.1,237.2,66.48228,-46.29342,2122.48
2022-06-18 09:00:00,2022,18,6,9,-227.7,0.3,98.9,13.9,233.8,66.48231,-46.29339,2122.48
2022-06-18 10:00:00,2022,18,6,10,-227.4,0.3,98.8,13.4,241.8,66.48230,-46.29332,2122.48
2022-06-18 11:00:00,2022,18,6,11,-226.7,0.0,98.5,12.9,237.8,66.48230,-46.29329,2122.48
2022-06-18 12:00:00,2022,18,6,12,-225.8,-0.1,97.8,11.5,245.9,66.48229,-46.29327,2122.48
2022-06-18 13:00:00,2022,18,6,13,-224.9,-0.5,97.4,10.9,243.3,66.48228,-46.29339,2122.48
2022-06-18 14:00:00,2022,18,6,14,-224.2,-0.3,97.2,8.2,240.3,66.48229,-46.29323,2122.48
2022-06-18 15:00:00,2022,18,6,15,-223.7,-0.6,96.6,7.9,237.7,66.48234,-46.29317,2122.48
2022-06-18 16:00:00,2022,18,6,16,-222.7,-1.2,96.5,7.4,262.7,66.48230,-46.29334,2122.48
2022-06-18 17:00:00,2022,18,6,17,-221.6,-2.2,96.6,8.3,265.4,66.48228,-46.29334,2122.48
2022-06-18 18:00:00,2022,18,6,18,-220.8,-3.4,95.8,5.0,272.8,66.48230,-46.29329,2122.48
2022-06-18 19:00:00,2022,18,6,19,-220.2,-4.2,95.3,4.9,288.1,66.48232,-46.29330,2122.48
2022-06-18 20:00:00,2022,18,6,20,-219.8,-4.4,95.9,5.0,290.8,66.48229,-46.29328,2122.48
2022-06-18 21:00:00,2022,18,6,21,-219.0,-4.8,95.5,3.4,310.8,66.48235,-46.29333,2122.48
2022-06-18 22:00:00,2022,18,6,22,-219.2,-4.7,96.3,0.4,216.9,66.48235,-46.29326,2122.48
2022-06-18 23:00:00,2022,18,6,23,-219.3,-5.5,95.5,2.8,185.0,66.48233,-46.29331,2122.48
2022-06-19 00:00:00,2022,19,6,0,-220.0,-5.2,95.9,4.7,131.6,66.48242,-46.29353,2122.47
2022-06-19 01:00:00,2022,19,6,1,-220.7,-5.3,95.4,5.1,111.9,66.48231,-46.29326,2122.47
2022-06-19 02:00:00,2022,19,6,2,-221.4,-5.3,95.4,5.5,111.5,66.48231,-46.29329,2122.47
2022-06-19 03:00:00,2022,19,6,3,-222.0,-4.9,95.8,5.4,142.6,66.48230,-46.29337,2122.47
2022-06-19 04:00:00,2022,19,6,4,-222.5,-3.5,97.7,3.3,181.9,66.48231,-46.29315,2122.47
2022-06-19 05:00:00,2022,19,6,5,-222.8,-2.7,98.2,3.3,240.9,66.48228,-46.29334,2122.47
2022-06-19 06:00:00,2022,19,6,6,-223.0,-2.9,98.0,3.3,250.8,66.48229,-46.29335,2122.47
2022-06-19 07:00:00,2022,19,6,7,-223.1,-2.9,97.1,2.9,239.2,66.48231,-46.29326,2122.47
2022-06-19 08:00:00,2022,19,6,8,-223.1,-2.8,97.2,3.8,230.4,66.48232,-46.29335,2122.47
2022-06-19 09:00:00,2022,19,6,9,-223.1,-2.5,96.7,2.6,216.6,66.48231,-46.29342,2122.47
2022-06-19 10:00:00,2022,19,6,10,-223.0,-1.7,95.7,4.5,241.1,66.48231,-46.29327,2122.47
2022-06-19 11:00:00,2022,19,6,11,-222.9,-1.5,95.4,4.2,262.6,66.48232,-46.29330,2122.47
2022-06-19 12:00:00,2022,19,6,12,-222.9,-1.5,95.2,4.2,261.8,66.48230,-46.29325,2122.47
2022-06-19 13:00:00,2022,19,6,13,-222.7,-1.2,95.4,4.2,259.2,66.48230,-46.29327,2122.47
2022-06-19 14:00:00,2022,19,6,14,-222.7,-0.7,94.8,2.5,265.2,66.48237,-46.29329,2122.47
2022-06-19 15:00:00,2022,19,6,15,-222.6,-0.7,96.0,3.7,262.1,66.48230,-46.29337,2122.47
2022-06-19 16:00:00,2022,19,6,16,-222.4,-0.5,96.8,3.6,288.8,66.48238,-46.29324,2122.47
2022-06-19 17:00:00,2022,19,6,17,-222.3,-0.7,95.7,2.6,267.4,66.48232,-46.29329,2122.47
2022-06-19 18:00:00,2022,19,6,18,-221.9,-0.8,96.5,3.1,289.2,66.48231,-46.29325,2122.47
2022-06-19 19:00:00,2022,19,6,19,-221.7,-0.9,96.5,1.9,289.8,66.48231,-46.29317,2122.47
2022-06-19 20:00:00,2022,19,6,20,-221.5,-0.9,96.4,1.0,273.9,66.48228,-46.29336,2122.47
2022-06-19 21:00:00,2022,19,6,21,-221.3,-0.9,97.0,0.8,277.9,66.48233,-46.29335,2122.47
2022-06-19 22:00:00,2022,19,6,22,-221.0,-1.2,97.9,0.8,271.4,66.48233,-46.29323,2122.47
2022-06-19 23:00:00,2022,19,6,23,-221.0,-1.8,99.1,2.3,245.3,66.48228,-46.29341,2122.47
2022-06-20 00:00:00,2022,20,6,0,-220.8,-1.9,99.5,2.2,246.0,66.48234,-46.29332,2122.45
2022-06-20 01:00:00,2022,20,6,1,-220.6,-1.9,99.8,1.4,230.8,66.48229,-46.29331,2122.45
2022-06-20 02:00:00,2022,20,6,2,-220.6,-2.0,99.3,1.9,163.3,66.48231,-46.29330,2122.45
2022-06-20 03:00:00,2022,20,6,3,-220.6,-2.0,99.2,3.0,164.8,66.48229,-46.29322,2122.45
2022-06-20 04:00:00,2022,20,6,4,-220.5,-2.0,99.5,2.2,192.7,66.48233,-46.29326,2122.45
2022-06-20 05:00:00,2022,20,6,5,-220.4,-1.6,99.6,3.1,236.6,66.48223,-46.29332,2122.45
2022-06-20 06:00:00,2022,20,6,6,-220.0,-1.8,99.7,2.8,224.4,66.48230,-46.29340,2122.45
2022-06-20 07:00:00,2022,20,6,7,-220.0,-1.7,99.2,3.9,215.8,66.48233,-46.29339,2122.45
2022-06-20 08:00:00,2022,20,6,8,-220.0,-1.3,98.8,3.5,213.5,66.48232,-46.29342,2122.45
2022-06-20 09:00:00,2022,20,6,9,-220.1,-0.6,97.6,3.7,211.8,66.48233,-46.29336,2122.45
2022-06-20 10:00:00,2022,20,6,10,-220.0,-0.4,98.1,4.5,205.5,66.48233,-46.29330,2122.45
2022-06-20 11:00:00,2022,20,6,11,-220.0,0.2,98.1,4.2,202.3,66.48231,-46.29327,2122.45
2022-06-20 12:00:00,2022,20,6,12,-220.1,-0.6,96.9,8.8,251.2,66.48227,-46.29339,2122.45
2022-06-20 13:00:00,2022,20,6,13,-220.2,-0.9,96.7,9.1,238.8,66.48232,-46.29333,2122.45
2022-06-20 14:00:00,2022,20,6,14,-220.2,-0.9,96.6,8.7,243.7,66.48234,-46.29325,2122.45
2022-06-20 15:00:00,2022,20,6,15,-220.3,-1.9,96.7,10.2,241.3,66.48231,-46.29329,2122.45
2022-06-20 16:00:00,2022,20,6,16,-220.4,-2.2,96.1,9.5,240.3,66.48232,-46.29332,2122.45
2022-06-20 17:00:00,2022,20,6,17,-220.3,-3.6,95.7,11.0,245.2,66.48226,-46.29322,2122.45
2022-06-20 18:00:00,2022,20,6,18,-220.5,-4.3,95.2,8.4,243.9,66.48234,-46.29333,2122.45
2022-06-20 19:00:00,2022,20,6,19,-220.6,-4.8,95.0,9.4,249.8,66.48237,-46.29317,2122.45
2022-06-20 20:00:00,2022,20,6,20,-220.6,-5.2,94.9,10.8,247.1,66.48230,-46.29334,2122.45
2022-06-20 21:00:00,2022,20,6,21,-220.8,-6.3,94.3,11.6,240.4,66.48230,-46.29323,2122.45
2022-06-20 22:00:00,2022,20,6,22,-220.9,-6.4,93.5,9.4,249.8,66.48237,-46.29335,2122.45
2022-06-20 23:00:00,2022,20,6,23,-221.2,-6.6,95.2,7.8,255.0,66.48229,-46.29339,2122.45
2022-06-21 00:00:00,2022,21,6,0,-221.9,-7.2,95.0,8.2,254.2,66.48229,-46.29336,2122.44
2022-06-21 01:00:00,2022,21,6,1,-222.3,-7.9,94.5,8.6,252.9,66.48231,-46.29330,2122.44
2022-06-21 02:00:00,2022,21,6,2,-222.4,-8.4,94.3,6.1,269.0,66.48229,-46.29330,2122.44
2022-06-21 03:00:00,2022,21,6,3,-222.5,-8.6,94.0,6.4,278.6,66.48229,-46.29330,2122.44
2022-06-21 04:00:00,2022,21,6,4,-222.8,-9.2,93.3,5.6,274.3,66.48235,-46.29323,2122.44
2022-06-21 05:00:00,2022,21,6,5,-223.0,-9.7,93.0,6.0,284.1,66.48227,-46.29332,2122.44
2022-06-21 06:00:00,2022,21,6,6,-223.1,-9.9,92.7,8.9,295.2,66.48229,-46.29329,2122.44
