date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-06-19 15:00:00,2022,19,6,15,-205.2,-9.3,73.1,0.8,248.2,78.52885,-56.84422,1967.82
2022-06-19 16:00:00,2022,19,6,16,-205.2,-8.3,68.5,0.4,272.7,78.52884,-56.84425,1967.82
2022-06-19 17:00:00,2022,19,6,17,-205.2,-7.6,67.9,0.4,331.0,78.52886,-56.84394,1967.82
2022-06-19 18:00:00,2022,19,6,18,-205.0,-7.3,66.0,0.1,171.1,78.52876,-56.84403,1967.82
2022-06-19 19:00:00,2022,19,6,19,-204.8,-8.3,71.3,0.7,210.5,78.52881,-56.84421,1967.82
2022-06-19 20:00:00,2022,19,6,20,-204.7,-9.3,76.6,1.3,204.0,78.52881,-56.84412,1967.82
2022-06-19 21:00:00,2022,19,6,21,-204.7,-10.2,77.5,1.7,211.9,78.52883,-56.84434,1967.82
2022-06-19 22:00:00,2022,19,6,22,-204.6,-11.5,79.2,2.2,197.8,78.52882,-56.84417,1967.82
2022-06-19 23:00:00,2022,19,6,23,-204.4,-12.4,78.3,2.6,201.9,78.52881,-56.84412,1967.82
2022-06-20 00:00:00,2022,20,6,0,-204.6,-12.9,79.7,2.6,199.9,78.52877,-56.84410,1967.82
2022-06-20 01:00:00,2022,20,6,1,-204.7,-13.4,83.8,2.5,202.5,78.52881,-56.84411,1967.82
2022-06-20 02:00:00,2022,20,6,2,-204.8,-13.9,82.6,2.6,182.8,78.52880,-56.84415,1967.82
2022-06-20 03:00:00,2022,20,6,3,-205.0,-13.1,83.3,2.9,195.8,78.52879,-56.84412,1967.82
2022-06-20 04:00:00,2022,20,6,4,-205.2,-13.0,83.6,3.2,185.1,78.52877,-56.84408,1967.82
2022-06-20 05:00:00,2022,20,6,5,-205.2,-12.8,82.6,3.3,196.9,78.52881,-56.84403,1967.82
2022-06-20 06:00:00,2022,20,6,6,-205.3,-12.2,80.9,3.9,177.8,78.52890,-56.84411,1967.82
2022-06-20 07:00:00,2022,20,6,7,-205.3,-11.9,81.4,4.0,195.5,78.52881,-56.84418,1967.82
2022-06-20 08:00:00,2022,20,6,8,-205.3,-11.6,80.7,4.4,198.7,78.52881,-56.84404,1967.82
