date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-08-03 14:00:00,2022,3,8,14,-95.8,2.2,76.4,7.7,105.8,69.49483,-49.66996,923.86
2022-08-03 15:00:00,2022,3,8,15,-96.6,2.4,74.9,8.3,105.0,69.49483,-49.67000,923.86
2022-08-03 16:00:00,2022,3,8,16,-97.6,2.2,75.3,8.9,104.9,69.49481,-49.66996,923.86
2022-08-03 17:00:00,2022,3,8,17,-98.7,2.4,75.1,7.6,103.5,69.49481,-49.66997,923.86
2022-08-03 18:00:00,2022,3,8,18,-100.0,2.9,74.2,8.9,104.2,69.49483,-49.66997,923.86
2022-08-03 19:00:00,2022,3,8,19,-101.3,3.2,71.2,11.1,110.2,69.49480,-49.66997,923.86
2022-08-03 20:00:00,2022,3,8,20,-102.2,3.8,70.0,10.5,107.7,69.49481,-49.66998,923.86
2022-08-03 21:00:00,2022,3,8,21,-103.8,3.8,68.9,12.6,109.4,69.49481,-49.66992,923.86
2022-08-03 22:00:00,2022,3,8,22,-104.5,4.0,67.8,12.2,114.3,69.49481,-49.67000,923.86
2022-08-03 23:00:00,2022,3,8,23,-104.9,3.6,70.2,11.3,117.7,69.49482,-49.66999,923.86
2022-08-04 00:00:00,2022,4,8,0,-104.9,3.6,73.6,10.6,125.2,69.49481,-49.66996,923.86
2022-08-04 01:00:00,2022,4,8,1,-105.6,3.3,79.3,11.2,113.3,69.49482,-49.66999,923.86
2022-08-04 02:00:00,2022,4,8,2,-105.8,3.2,84.5,10.7,123.2,69.49480,-49.67002,923.86
2022-08-04 03:00:00,2022,4,8,3,-105.9,3.3,83.7,10.2,126.5,69.49482,-49.67000,923.86
2022-08-04 04:00:00,2022,4,8,4,-106.2,3.0,86.3,11.2,118.0,69.49481,-49.66998,923.86
2022-08-04 05:00:00,2022,4,8,5,-106.0,2.5,91.1,9.8,119.5,69.49481,-49.66999,923.86
2022-08-04 06:00:00,2022,4,8,6,-105.8,2.3,91.4,9.6,121.0,69.49480,-49.66995,923.86
2022-08-04 07:00:00,2022,4,8,7,-105.8,2.2,91.1,9.4,124.0,69.49481,-49.67001,923.86
2022-08-04 08:00:00,2022,4,8,8,-105.7,2.4,90.8,9.3,128.0,69.49481,-49.67002,923.86
2022-08-04 09:00:00,2022,4,8,9,-105.4,2.3,91.8,9.5,125.3,69.49479,-49.66995,923.86
2022-08-04 10:00:00,2022,4,8,10,-105.4,2.3,94.0,9.6,126.3,69.49481,-49.67000,923.86
2022-08-04 11:00:00,2022,4,8,11,-105.6,2.2,93.0,9.5,125.5,69.49479,-49.66992,923.86
2022-08-04 12:00:00,2022,4,8,12,-105.0,2.3,96.1,8.6,134.6,69.49480,-49.66991,923.86
2022-08-04 13:00:00,2022,4,8,13,-104.1,1.4,97.9,7.0,145.6,69.49482,-49.67000,923.86
2022-08-04 14:00:00,2022,4,8,14,-103.5,1.2,98.0,5.9,138.2,69.49482,-49.66998,923.86
2022-08-04 15:00:00,2022,4,8,15,-103.3,1.6,98.4,6.5,136.1,69.49483,-49.66994,923.86
2022-08-04 16:00:00,2022,4,8,16,-103.5,2.3,87.2,8.8,133.8,69.49482,-49.66993,923.86
2022-08-04 17:00:00,2022,4,8,17,-103.0,2.1,87.5,7.3,139.8,69.49481,-49.66999,923.86
2022-08-04 18:00:00,2022,4,8,18,-102.4,1.7,90.5,5.9,148.9,69.49482,-49.66998,923.86
2022-08-04 19:00:00,2022,4,8,19,-101.7,1.0,96.7,7.5,149.1,69.49482,-49.67000,923.86
2022-08-04 20:00:00,2022,4,8,20,-100.9,0.6,98.6,6.4,162.0,69.49482,-49.67000,923.86
2022-08-04 21:00:00,2022,4,8,21,-100.5,0.6,98.8,5.6,147.7,69.49482,-49.66997,923.86
2022-08-04 22:00:00,2022,4,8,22,-99.9,0.7,99.1,6.4,132.0,69.49481,-49.67000,923.86
2022-08-04 23:00:00,2022,4,8,23,-99.1,0.9,99.3,7.3,146.3,69.49481,-49.66996,923.86
2022-08-05 00:00:00,2022,5,8,0,-99.0,0.8,98.0,5.8,129.2,69.49482,-49.66996,923.85
2022-08-05 01:00:00,2022,5,8,1,-99.0,0.8,98.6,5.9,140.8,69.49482,-49.66994,923.85
2022-08-05 02:00:00,2022,5,8,2,-99.0,0.5,99.1,6.2,140.9,69.49481,-49.67003,923.85
2022-08-05 03:00:00,2022,5,8,3,-99.3,0.4,99.4,6.1,140.1,69.49481,-49.67001,923.85
2022-08-05 04:00:00,2022,5,8,4,-99.2,0.5,99.6,6.3,135.8,69.49481,-49.66998,923.85
2022-08-05 05:00:00,2022,5,8,5,-99.2,0.4,99.5,5.8,145.7,69.49482,-49.67004,923.85
2022-08-05 06:00:00,2022,5,8,6,-99.5,0.4,99.7,4.7,136.9,69.49481,-49.67003,923.85
2022-08-05 07:00:00,2022,5,8,7,-99.9,0.7,99.7,4.9,113.3,69.49482,-49.67001,923.85
2022-08-05 08:00:00,2022,5,8,8,-100.7,1.4,92.9,5.9,120.2,69.49482,-49.67002,923.85
2022-08-05 09:00:00,2022,5,8,9,-101.3,1.8,90.3,5.5,116.0,69.49482,-49.67001,923.85
2022-08-05 10:00:00,2022,5,8,10,-101.7,2.1,88.6,6.8,127.1,69.49479,-49.67001,923.85
2022-08-05 11:00:00,2022,5,8,11,-102.3,2.0,89.0,5.3,124.7,69.49479,-49.66997,923.85
2022-08-05 12:00:00,2022,5,8,12,-102.9,2.1,89.4,5.5,123.8,69.49482,-49.66997,923.85
2022-08-05 13:00:00,2022,5,8,13,-103.4,2.0,90.5,7.0,126.2,69.49482,-49.66997,923.85
2022-08-05 14:00:00,2022,5,8,14,-103.6,1.8,93.5,6.3,130.7,69.49481,-49.67000,923.85
2022-08-05 15:00:00,2022,5,8,15,-103.8,1.4,95.7,5.8,116.7,69.49484,-49.67000,923.85
2022-08-05 16:00:00,2022,5,8,16,-103.9,1.3,97.7,5.0,124.7,69.49482,-49.66999,923.85
2022-08-05 17:00:00,2022,5,8,17,-104.0,1.3,98.1,5.7,119.3,69.49480,-49.67006,923.85
2022-08-05 18:00:00,2022,5,8,18,-103.8,1.3,99.5,5.5,127.7,69.49481,-49.66999,923.85
2022-08-05 19:00:00,2022,5,8,19,-103.8,1.3,99.1,5.2,127.3,69.49482,-49.66994,923.85
2022-08-05 20:00:00,2022,5,8,20,-103.5,1.1,99.7,4.5,133.1,69.49480,-49.66996,923.85
2022-08-05 21:00:00,2022,5,8,21,-103.5,1.3,98.8,5.0,128.2,69.49481,-49.66998,923.85
2022-08-05 22:00:00,2022,5,8,22,-103.3,1.3,98.3,4.9,132.8,69.49481,-49.66998,923.85
2022-08-05 23:00:00,2022,5,8,23,-103.1,1.3,99.1,4.7,119.9,69.49481,-49.67000,923.85
2022-08-06 00:00:00,2022,6,8,0,-103.0,1.1,99.8,5.4,116.7,69.49481,-49.67000,923.85
2022-08-06 01:00:00,2022,6,8,1,-102.8,1.0,99.9,5.8,124.8,69.49480,-49.66996,923.85
2022-08-06 02:00:00,2022,6,8,2,-102.9,1.0,100.0,5.7,129.5,69.49481,-49.67003,923.85
2022-08-06 03:00:00,2022,6,8,3,-102.8,0.9,100.0,6.3,129.1,69.49479,-49.67004,923.85
2022-08-06 04:00:00,2022,6,8,4,-103.0,0.9,100.0,6.0,124.1,69.49479,-49.66997,923.85
2022-08-06 05:00:00,2022,6,8,5,-102.8,1.0,100.0,5.6,126.9,69.49480,-49.67002,923.85
2022-08-06 06:00:00,2022,6,8,6,-102.7,0.9,100.0,4.9,119.8,69.49482,-49.67004,923.85
2022-08-06 07:00:00,2022,6,8,7,-102.6,0.9,100.0,5.1,126.9,69.49481,-49.67000,923.85
2022-08-06 08:00:00,2022,6,8,8,-102.7,0.8,100.0,6.1,129.5,69.49481,-49.67004,923.85
2022-08-06 09:00:00,2022,6,8,9,-102.8,1.0,97.7,5.4,130.7,69.49479,-49.67000,923.85
2022-08-06 10:00:00,2022,6,8,10,-103.1,1.0,96.4,5.7,125.2,69.49479,-49.66998,923.85
2022-08-06 11:00:00,2022,6,8,11,-103.4,1.5,93.2,6.0,125.0,69.49480,-49.66999,923.85
2022-08-06 12:00:00,2022,6,8,12,-103.6,1.7,91.4,4.9,131.3,69.49482,-49.66994,923.85
2022-08-06 13:00:00,2022,6,8,13,-104.1,1.9,88.9,4.0,111.9,69.49480,-49.66997,923.85
2022-08-06 14:00:00,2022,6,8,14,-104.5,1.9,87.6,3.1,108.9,69.49481,-49.67000,923.85
2022-08-06 15:00:00,2022,6,8,15,-105.2,2.3,85.5,2.7,94.5,69.49480,-49.67000,923.85
2022-08-06 16:00:00,2022,6,8,16,-106.0,2.4,84.5,2.6,61.3,69.49482,-49.66995,923.85
2022-08-06 17:00:00,2022,6,8,17,-106.5,2.9,81.0,2.0,55.5,69.49480,-49.67000,923.85
2022-08-06 18:00:00,2022,6,8,18,-106.6,2.3,85.8,2.5,55.8,69.49482,-49.66997,923.85
2022-08-06 19:00:00,2022,6,8,19,-107.0,2.4,83.5,3.0,7.4,69.49482,-49.66996,923.85
2022-08-06 20:00:00,2022,6,8,20,-107.7,2.7,84.6,5.2,31.0,69.49479,-49.67003,923.85
2022-08-06 21:00:00,2022,6,8,21,-107.8,2.5,84.0,4.3,47.8,69.49480,-49.66999,923.85
2022-08-06 22:00:00,2022,6,8,22,-108.0,2.1,86.0,3.1,45.2,69.49482,-49.67002,923.85
2022-08-06 23:00:00,2022,6,8,23,-108.2,1.4,87.1,1.4,38.7,69.49482,-49.66999,923.85
2022-08-07 00:00:00,2022,7,8,0,-108.2,0.7,89.3,2.8,117.8,69.49480,-49.67001,923.85
2022-08-07 01:00:00,2022,7,8,1,-108.5,0.1,90.2,2.7,112.7,69.49484,-49.67007,923.85
2022-08-07 02:00:00,2022,7,8,2,-108.7,0.5,89.9,3.8,103.1,69.49480,-49.67005,923.85
2022-08-07 03:00:00,2022,7,8,3,-108.6,0.4,89.8,2.9,113.3,69.49481,-49.67007,923.85
2022-08-07 04:00:00,2022,7,8,4,-109.0,1.0,87.5,4.0,113.8,69.49480,-49.66999,923.85
2022-08-07 05:00:00,2022,7,8,5,-109.1,0.7,88.1,4.6,99.3,69.49481,-49.67000,923.85
2022-08-07 06:00:00,2022,7,8,6,-109.1,0.9,87.5,3.5,107.5,69.49483,-49.67000,923.85
2022-08-07 07:00:00,2022,7,8,7,-109.2,1.8,87.4,5.1,109.4,69.49479,-49.67004,923.85
2022-08-07 08:00:00,2022,7,8,8,-109.4,1.9,87.6,3.9,115.3,69.49481,-49.67003,923.85
2022-08-07 09:00:00,2022,7,8,9,-109.1,1.6,89.6,3.0,117.0,69.49481,-49.67001,923.85
2022-08-07 10:00:00,2022,7,8,10,-109.1,1.9,87.3,3.7,118.2,69.49480,-49.67003,923.85
2022-08-07 11:00:00,2022,7,8,11,-108.8,1.9,86.9,4.7,127.0,69.49479,-49.67000,923.85
2022-08-07 12:00:00,2022,7,8,12,-108.5,2.1,87.0,4.2,129.5,69.49483,-49.67002,923.85
2022-08-07 13:00:00,2022,7,8,13,-108.5,2.1,87.0,3.0,114.0,69.49481,-49.66999,923.85
2022-08-07 14:00:00,2022,7,8,14,-108.7,2.1,87.2,2.4,107.9,69.49483,-49.67000,923.85
2022-08-07 15:00:00,2022,7,8,15,-108.7,1.9,87.3,2.7,116.1,69.49484,-49.67003,923.85
