date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-05-28 17:00:00,2022,28,5,17,-24.8,1.6,58.3,6.0,167.2,79.91386,-24.09361,376.31
2022-05-28 18:00:00,2022,28,5,18,-24.8,1.3,62.1,6.2,164.9,79.91387,-24.09361,376.31
2022-05-28 19:00:00,2022,28,5,19,-25.0,0.4,67.4,4.0,178.6,79.91389,-24.09365,376.31
2022-05-28 20:00:00,2022,28,5,20,-25.4,0.5,67.9,6.6,158.8,79.91388,-24.09356,376.31
2022-05-28 21:00:00,2022,28,5,21,-25.7,-0.4,71.1,4.1,184.6,79.91386,-24.09363,376.31
2022-05-28 22:00:00,2022,28,5,22,-26.0,-0.8,72.3,4.7,172.6,79.91388,-24.09363,376.31
2022-05-28 23:00:00,2022,28,5,23,-26.4,-1.4,74.8,4.3,164.5,79.91387,-24.09351,376.31
2022-05-29 00:00:00,2022,29,5,0,-26.5,-1.5,74.4,3.2,166.0,79.91386,-24.09359,376.29
2022-05-29 01:00:00,2022,29,5,1,-27.0,-2.2,71.9,2.8,199.5,79.91388,-24.09367,376.29
2022-05-29 02:00:00,2022,29,5,2,-27.5,-1.7,75.1,3.5,205.9,79.91387,-24.09367,376.29
2022-05-29 03:00:00,2022,29,5,3,-27.6,-0.8,66.8,2.7,214.9,79.91387,-24.09366,376.29
2022-05-29 04:00:00,2022,29,5,4,-27.7,-0.4,65.1,3.3,221.9,79.91388,-24.09368,376.29
2022-05-29 05:00:00,2022,29,5,5,-27.9,-0.8,66.0,2.1,270.7,79.91386,-24.09361,376.29
2022-05-29 06:00:00,2022,29,5,6,-28.3,-0.1,63.6,2.5,270.3,79.91387,-24.09373,376.29
2022-05-29 07:00:00,2022,29,5,7,-28.5,-0.3,68.1,1.9,218.8,79.91389,-24.09370,376.29
2022-05-29 08:00:00,2022,29,5,8,-28.4,0.4,66.8,1.6,231.2,79.91387,-24.09362,376.29
2022-05-29 09:00:00,2022,29,5,9,-28.6,1.1,69.3,2.5,191.1,79.91388,-24.09360,376.29
2022-05-29 10:00:00,2022,29,5,10,-28.9,1.7,69.1,2.2,141.6,79.91386,-24.09370,376.29
