date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2056-04-01 01:00:00,2056,1,4,1,-81.2,-2.9,74.9,0.0,322.1,79.83488,-25.16293,868.17
2056-04-01 02:00:00,2056,1,4,2,-81.2,-1.9,75.2,nan,nan,79.83486,-25.16274,868.17
2056-04-01 03:00:00,2056,1,4,3,-81.4,-0.9,73.7,nan,nan,79.83485,-25.16262,868.17
2056-04-01 04:00:00,2056,1,4,4,-81.7,-1.0,74.4,nan,nan,79.83488,-25.16270,868.17
2056-04-01 05:00:00,2056,1,4,5,-81.8,-0.5,72.1,nan,nan,79.83489,-25.16283,868.17
2056-04-01 06:00:00,2056,1,4,6,-81.6,-0.9,73.5,nan,nan,79.83488,-25.16280,868.17
2056-04-01 07:00:00,2056,1,4,7,-81.6,-1.5,74.6,nan,nan,79.83487,-25.16269,868.17
2056-04-01 08:00:00,2056,1,4,8,-82.0,-1.6,72.3,nan,nan,79.83486,-25.16271,868.17
2056-04-01 09:00:00,2056,1,4,9,-82.0,-2.3,72.1,nan,nan,79.83489,-25.16267,868.17
2056-04-01 10:00:00,2056,1,4,10,-82.4,-2.7,70.6,nan,nan,79.83487,-25.16279,868.17
2056-04-01 11:00:00,2056,1,4,11,-82.5,-3.6,69.0,nan,nan,79.83483,-25.16268,868.17
2056-04-01 12:00:00,2056,1,4,12,-82.9,-5.3,71.5,nan,nan,79.83488,-25.16271,868.17
2056-04-01 13:00:00,2056,1,4,13,-83.2,-5.9,74.5,nan,nan,79.83486,-25.16263,868.17
2056-04-01 14:00:00,2056,1,4,14,-83.6,-4.6,71.3,nan,nan,79.83487,-25.16280,868.17
2056-04-01 15:00:00,2056,1,4,15,-83.9,-5.1,73.8,nan,nan,79.83484,-25.16272,868.17
2056-04-01 16:00:00,2056,1,4,16,-84.2,-5.6,73.6,nan,nan,79.83486,-25.16281,868.17
2056-04-01 17:00:00,2056,1,4,17,-84.4,-5.0,72.4,nan,nan,79.83484,-25.16271,868.17
2056-04-01 18:00:00,2056,1,4,18,-84.6,-4.0,71.7,nan,nan,79.83486,-25.16267,868.17
2056-04-01 19:00:00,2056,1,4,19,-84.8,-3.8,72.6,nan,nan,79.83488,-25.16268,868.17
2056-04-01 20:00:00,2056,1,4,20,-84.9,-3.2,72.3,nan,nan,79.83490,-25.16269,868.17
2056-04-01 21:00:00,2056,1,4,21,-85.0,-2.4,72.1,nan,nan,79.83488,-25.16274,868.17
2056-04-01 22:00:00,2056,1,4,22,-85.2,-2.3,74.3,nan,nan,79.83488,-25.16272,868.17
2056-04-01 23:00:00,2056,1,4,23,-85.6,-1.3,73.6,nan,nan,79.83487,-25.16285,868.17
2056-04-02 00:00:00,2056,2,4,0,-86.3,-1.0,74.7,nan,nan,79.83488,-25.16273,868.16
2056-04-02 01:00:00,2056,2,4,1,-86.5,1.2,59.9,nan,nan,79.83483,-25.16282,868.16
2056-04-02 02:00:00,2056,2,4,2,-86.9,2.0,56.7,nan,nan,79.83491,-25.16277,868.16
2056-04-02 03:00:00,2056,2,4,3,-87.3,0.4,68.3,nan,nan,79.83487,-25.16272,868.16
2056-04-02 04:00:00,2056,2,4,4,-87.5,0.1,72.7,nan,nan,79.83486,-25.16279,868.16
2056-04-02 05:00:00,2056,2,4,5,-87.8,0.3,71.8,nan,nan,79.83489,-25.16267,868.16
2056-04-02 06:00:00,2056,2,4,6,-87.9,0.4,74.5,nan,nan,79.83487,-25.16278,868.16
2056-04-02 07:00:00,2056,2,4,7,-87.2,0.5,74.6,nan,nan,79.83490,-25.16274,868.16
2056-04-02 08:00:00,2056,2,4,8,-86.9,0.2,73.9,nan,nan,79.83485,-25.16276,868.16
2056-04-02 09:00:00,2056,2,4,9,-86.5,-0.1,74.6,nan,nan,79.83484,-25.16260,868.16
2056-04-02 10:00:00,2056,2,4,10,-86.1,-0.8,74.8,nan,nan,79.83486,-25.16264,868.16
2056-04-02 11:00:00,2056,2,4,11,-85.6,-1.1,74.2,nan,nan,79.83488,-25.16259,868.16
2056-04-02 12:00:00,2056,2,4,12,-84.7,-1.7,74.3,nan,nan,79.83488,-25.16278,868.16
2056-04-02 13:00:00,2056,2,4,13,-83.9,-1.8,71.0,nan,nan,79.83485,-25.16271,868.16
2056-04-02 14:00:00,2056,2,4,14,-83.3,-2.7,70.7,nan,nan,79.83487,-25.16267,868.16
2056-04-02 15:00:00,2056,2,4,15,-82.5,-3.0,71.2,nan,nan,79.83487,-25.16275,868.16
2056-04-02 16:00:00,2056,2,4,16,-82.0,-3.8,68.5,nan,nan,79.83487,-25.16276,868.16
2056-04-02 17:00:00,2056,2,4,17,-81.3,-4.2,67.8,nan,nan,79.83485,-25.16268,868.16
2056-04-02 18:00:00,2056,2,4,18,-80.4,-3.8,67.3,nan,nan,79.83489,-25.16279,868.16
2056-04-02 19:00:00,2056,2,4,19,-79.7,-3.7,68.9,nan,nan,79.83486,-25.16283,868.16
2056-04-02 20:00:00,2056,2,4,20,-79.2,-3.6,70.8,nan,nan,79.83489,-25.16271,868.16
2056-04-02 21:00:00,2056,2,4,21,-78.7,-3.5,70.8,nan,nan,79.83487,-25.16285,868.16
2056-04-02 22:00:00,2056,2,4,22,-78.2,-2.9,70.0,nan,nan,79.83489,-25.16256,868.16
2056-04-02 23:00:00,2056,2,4,23,-77.9,-2.4,69.3,nan,nan,79.83488,-25.16274,868.16
2056-04-03 00:00:00,2056,3,4,0,-77.8,-2.2,70.2,nan,nan,79.83487,-25.16278,868.14
2056-04-03 01:00:00,2056,3,4,1,-77.2,-2.3,69.6,nan,nan,79.83487,-25.16272,868.14
2056-04-03 02:00:00,2056,3,4,2,-77.0,-1.9,69.0,nan,nan,79.83487,-25.16271,868.14
2056-04-03 03:00:00,2056,3,4,3,-77.3,-1.8,71.3,nan,nan,79.83484,-25.16273,868.14
2056-04-03 04:00:00,2056,3,4,4,-77.0,-1.6,69.1,nan,nan,79.83488,-25.16275,868.14
2056-04-03 05:00:00,2056,3,4,5,-76.5,-1.7,71.7,nan,nan,79.83486,-25.16282,868.14
2056-04-03 06:00:00,2056,3,4,6,-76.4,-2.3,73.6,nan,nan,79.83490,-25.16282,868.14
2056-04-03 07:00:00,2056,3,4,7,-76.2,-2.8,74.6,nan,nan,79.83489,-25.16278,868.14
2056-04-03 08:00:00,2056,3,4,8,-75.7,-3.3,72.5,nan,nan,79.83486,-25.16272,868.14
2056-04-03 09:00:00,2056,3,4,9,-75.0,-4.5,72.1,nan,nan,79.83490,-25.16265,868.14
2056-04-03 10:00:00,2056,3,4,10,-74.7,-5.1,71.0,nan,nan,79.83487,-25.16273,868.14
2056-04-03 11:00:00,2056,3,4,11,-74.3,-5.8,69.4,nan,nan,79.83488,-25.16281,868.14
2056-04-03 12:00:00,2056,3,4,12,-73.9,-6.3,67.9,nan,nan,79.83488,-25.16273,868.14
2056-04-03 13:00:00,2056,3,4,13,-73.6,-6.8,67.5,nan,nan,79.83485,-25.16277,868.14
2056-04-03 14:00:00,2056,3,4,14,-73.1,-7.4,70.6,nan,nan,79.83486,-25.16261,868.14
2056-04-03 15:00:00,2056,3,4,15,-72.5,-7.8,72.0,nan,nan,79.83487,-25.16274,868.14
2056-04-03 16:00:00,2056,3,4,16,-71.9,-7.3,69.6,nan,nan,79.83488,-25.16274,868.14
2056-04-03 17:00:00,2056,3,4,17,-71.0,-7.4,70.1,nan,nan,79.83487,-25.16256,868.14
2056-04-03 18:00:00,2056,3,4,18,-71.0,-7.3,70.6,nan,nan,79.83485,-25.16281,868.14
2056-04-03 19:00:00,2056,3,4,19,-70.3,-7.9,69.8,nan,nan,79.83484,-25.16269,868.14
2056-04-03 20:00:00,2056,3,4,20,-69.9,-7.2,69.0,nan,nan,79.83486,-25.16286,868.14
2056-04-03 21:00:00,2056,3,4,21,-69.2,-6.9,67.1,nan,nan,79.83487,-25.16288,868.14
2056-04-03 22:00:00,2056,3,4,22,-69.1,-6.6,68.8,nan,nan,79.83488,-25.16278,868.14
2056-04-03 23:00:00,2056,3,4,23,-69.2,-6.5,68.2,nan,nan,79.83489,-25.16288,868.14
2056-04-04 00:00:00,2056,4,4,0,-69.0,-5.9,64.4,nan,nan,79.83487,-25.16278,868.13
2056-04-04 01:00:00,2056,4,4,1,-68.9,-6.1,67.0,nan,nan,79.83485,-25.16270,868.13
2056-04-04 02:00:00,2056,4,4,2,-69.0,-6.6,74.4,nan,nan,79.83487,-25.16276,868.13
2056-04-04 03:00:00,2056,4,4,3,-69.4,-6.9,80.4,nan,nan,79.83487,-25.16268,868.13
2056-04-04 04:00:00,2056,4,4,4,-69.8,-6.8,81.0,nan,nan,79.83486,-25.16273,868.13
2056-04-04 05:00:00,2056,4,4,5,-70.3,-6.8,81.7,nan,nan,79.83488,-25.16275,868.13
2056-04-04 06:00:00,2056,4,4,6,-70.4,-7.1,83.5,nan,nan,79.83487,-25.16290,868.13
