date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-01-01 00:00:00,2022,1,1,0,-123.4,-16.1,51.0,3.5,125.9,64.50954,-49.28112,1114.81
2022-01-01 01:00:00,2022,1,1,1,-123.3,-16.0,49.1,6.1,129.7,64.50956,-49.28112,1114.81
2022-01-01 02:00:00,2022,1,1,2,-123.2,-16.3,49.3,6.1,115.3,64.50955,-49.28114,1114.81
2022-01-01 03:00:00,2022,1,1,3,-123.0,-15.8,47.1,5.5,125.1,64.50956,-49.28113,1114.81
2022-01-01 04:00:00,2022,1,1,4,-122.9,-16.2,49.3,5.3,118.5,64.50954,-49.28115,1114.81
2022-01-01 05:00:00,2022,1,1,5,-122.8,-16.1,48.2,6.1,124.8,64.50956,-49.28113,1114.81
2022-01-01 06:00:00,2022,1,1,6,-122.8,-16.1,48.3,6.3,127.0,64.50953,-49.28113,1114.81
2022-01-01 07:00:00,2022,1,1,7,-122.8,-15.8,47.4,6.8,126.8,64.50955,-49.28112,1114.81
2022-01-01 08:00:00,2022,1,1,8,-122.5,-15.9,49.6,6.8,121.9,64.50953,-49.28114,1114.81
2022-01-01 09:00:00,2022,1,1,9,-122.4,-15.5,49.2,5.4,116.6,64.50955,-49.28114,1114.81
2022-01-01 10:00:00,2022,1,1,10,-122.4,-15.4,48.5,6.4,128.3,64.50956,-49.28115,1114.81
2022-01-01 11:00:00,2022,1,1,11,-122.1,-15.4,48.8,6.6,137.1,64.50955,-49.28115,1114.81
2022-01-01 12:00:00,2022,1,1,12,-121.8,-15.2,50.1,7.0,136.6,64.50955,-49.28112,1114.81
2022-01-01 13:00:00,2022,1,1,13,-121.6,-15.2,50.6,6.8,131.5,64.50956,-49.28115,1114.81
2022-01-01 14:00:00,2022,1,1,14,-121.4,-15.2,53.4,6.5,126.9,64.50957,-49.28112,1114.81
2022-01-01 15:00:00,2022,1,1,15,-121.4,-15.2,54.9,6.6,114.3,64.50956,-49.28115,1114.81
2022-01-01 16:00:00,2022,1,1,16,-121.6,-14.8,53.2,6.2,131.7,64.50956,-49.28114,1114.81
2022-01-01 17:00:00,2022,1,1,17,-121.8,-14.6,55.1,6.0,134.0,64.50957,-49.28113,1114.81
2022-01-01 18:00:00,2022,1,1,18,-121.6,-15.4,57.4,4.0,124.1,64.50955,-49.28115,1114.81
2022-01-01 19:00:00,2022,1,1,19,-121.4,-15.5,58.4,5.0,125.4,64.50955,-49.28113,1114.81
2022-01-01 20:00:00,2022,1,1,20,-121.2,-14.6,58.4,6.0,154.0,64.50954,-49.28114,1114.81
