date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-08-29 18:00:00,2022,29,8,18,-32.1,2.8,86.7,4.9,326.9,nan,nan,nan
2022-08-29 19:00:00,2022,29,8,19,-31.9,3.4,87.0,6.4,318.7,nan,nan,nan
2022-08-29 20:00:00,2022,29,8,20,-31.6,3.0,88.6,5.5,314.4,nan,nan,nan
2022-08-29 21:00:00,2022,29,8,21,-31.2,2.8,91.1,3.3,318.3,nan,nan,nan
2022-08-29 22:00:00,2022,29,8,22,-30.9,2.3,92.3,3.1,14.1,nan,nan,nan
2022-08-29 23:00:00,2022,29,8,23,-30.7,2.1,93.5,nan,nan,nan,nan,nan
2022-08-30 00:00:00,2022,30,8,0,-30.4,2.6,90.3,1.6,126.9,nan,nan,nan
2022-08-30 01:00:00,2022,30,8,1,-30.4,2.3,90.9,1.9,26.1,nan,nan,nan
2022-08-30 02:00:00,2022,30,8,2,-30.3,2.6,91.6,nan,nan,nan,nan,nan
2022-08-30 03:00:00,2022,30,8,3,-30.0,2.5,91.8,0.9,296.1,nan,nan,nan
2022-08-30 04:00:00,2022,30,8,4,-29.4,2.0,90.7,1.4,332.2,nan,nan,nan
2022-08-30 05:00:00,2022,30,8,5,-28.9,2.0,92.6,3.3,290.3,nan,nan,nan
2022-08-30 06:00:00,2022,30,8,6,-28.1,1.9,93.4,2.0,247.9,nan,nan,nan
2022-08-30 07:00:00,2022,30,8,7,-27.6,2.2,91.5,5.9,288.0,nan,nan,nan
2022-08-30 08:00:00,2022,30,8,8,-26.3,1.8,93.4,6.3,278.8,nan,nan,nan
2022-08-30 09:00:00,2022,30,8,9,-25.5,2.0,91.7,5.2,271.0,nan,nan,nan
2022-08-30 10:00:00,2022,30,8,10,-24.8,1.9,90.5,5.8,304.8,nan,nan,nan
2022-08-30 11:00:00,2022,30,8,11,-23.8,2.6,86.0,5.2,285.3,nan,nan,nan
2022-08-30 12:00:00,2022,30,8,12,-23.0,2.9,81.8,4.4,326.0,nan,nan,nan
2022-08-30 13:00:00,2022,30,8,13,-22.6,3.7,77.7,4.4,294.9,nan,nan,nan
2022-08-30 14:00:00,2022,30,8,14,-22.3,3.4,79.9,4.5,293.9,nan,nan,nan
2022-08-30 15:00:00,2022,30,8,15,-21.5,4.3,75.9,2.0,334.9,nan,nan,nan
2022-08-30 16:00:00,2022,30,8,16,-21.0,5.1,71.2,0.9,307.5,nan,nan,nan
2022-08-30 17:00:00,2022,30,8,17,-20.4,2.8,81.4,2.3,3.7,nan,nan,nan
2022-08-30 18:00:00,2022,30,8,18,-20.3,3.9,75.4,2.7,244.5,nan,nan,nan
2022-08-30 19:00:00,2022,30,8,19,-19.7,3.7,79.4,4.0,271.3,nan,nan,nan
2022-08-30 20:00:00,2022,30,8,20,-19.1,2.9,83.3,3.0,257.2,nan,nan,nan
2022-08-30 21:00:00,2022,30,8,21,-18.4,3.0,87.4,5.4,273.4,nan,nan,nan
2022-08-30 22:00:00,2022,30,8,22,-17.9,1.8,92.5,2.6,267.8,nan,nan,nan
2022-08-30 23:00:00,2022,30,8,23,-17.6,2.1,83.9,0.7,3.5,nan,nan,nan
2022-08-31 00:00:00,2022,31,8,0,-17.4,2.8,71.8,2.2,117.7,nan,nan,nan
2022-08-31 01:00:00,2022,31,8,1,-16.9,2.4,67.6,2.4,71.6,nan,nan,nan
2022-08-31 02:00:00,2022,31,8,2,-16.6,2.0,74.0,4.9,60.2,nan,nan,nan
2022-08-31 03:00:00,2022,31,8,3,-16.2,0.9,73.7,5.1,40.4,nan,nan,nan
2022-08-31 04:00:00,2022,31,8,4,-15.6,1.1,70.4,4.9,27.3,nan,nan,nan
2022-08-31 05:00:00,2022,31,8,5,-14.7,-0.1,75.5,4.1,13.2,nan,nan,nan
2022-08-31 06:00:00,2022,31,8,6,-14.3,1.1,66.5,1.8,289.1,nan,nan,nan
2022-08-31 07:00:00,2022,31,8,7,-13.7,1.2,66.6,2.1,117.1,nan,nan,nan
2022-08-31 08:00:00,2022,31,8,8,-13.2,0.9,75.9,3.7,68.9,nan,nan,nan
2022-08-31 09:00:00,2022,31,8,9,-12.5,2.0,76.0,2.4,83.6,nan,nan,nan
2022-08-31 10:00:00,2022,31,8,10,-12.1,3.3,73.1,2.0,57.1,nan,nan,nan
2022-08-31 11:00:00,2022,31,8,11,-11.8,2.8,77.5,2.3,46.3,nan,nan,nan
2022-08-31 12:00:00,2022,31,8,12,-11.4,2.9,77.9,2.3,21.0,nan,nan,nan
2022-08-31 13:00:00,2022,31,8,13,-11.2,3.6,74.0,1.5,31.9,nan,nan,nan
2022-08-31 14:00:00,2022,31,8,14,-11.4,2.6,79.5,3.4,33.9,nan,nan,nan
2022-08-31 15:00:00,2022,31,8,15,-11.3,5.2,66.1,1.3,270.6,nan,nan,nan
2022-08-31 16:00:00,2022,31,8,16,-11.4,4.5,70.5,2.7,25.4,nan,nan,nan
2022-08-31 17:00:00,2022,31,8,17,-11.3,4.4,69.7,3.0,31.5,nan,nan,nan
2022-08-31 18:00:00,2022,31,8,18,-11.3,4.6,70.9,3.8,57.3,nan,nan,nan
2022-08-31 19:00:00,2022,31,8,19,-10.7,4.3,70.2,4.1,35.5,nan,nan,nan
2022-08-31 20:00:00,2022,31,8,20,-10.8,4.2,68.5,5.4,38.5,nan,nan,nan
2022-08-31 21:00:00,2022,31,8,21,-10.2,3.7,70.3,4.6,50.2,nan,nan,nan
2022-08-31 22:00:00,2022,31,8,22,-10.0,2.9,70.0,6.6,32.0,nan,nan,nan
2022-08-31 23:00:00,2022,31,8,23,-9.7,3.5,69.8,4.4,59.0,nan,nan,nan
2022-09-01 00:00:00,2022,1,9,0,-10.0,3.2,70.9,5.6,43.6,nan,nan,nan
