date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-08-11 15:00:00,2022,11,8,15,21.5,26.1,43.5,1.1,127.2,55.68855,-12.58220,25.42
2022-08-11 16:00:00,2022,11,8,16,21.1,24.8,45.5,1.7,133.3,55.68859,-12.58220,25.42
2022-08-11 17:00:00,2022,11,8,17,21.0,24.9,41.2,0.7,224.1,55.68858,-12.58220,25.42
2022-08-11 18:00:00,2022,11,8,18,20.8,24.3,42.8,0.5,192.2,55.68864,-12.58221,25.42
2022-08-11 19:00:00,2022,11,8,19,20.8,22.2,46.7,0.4,159.1,55.68858,-12.58218,25.42
2022-08-11 20:00:00,2022,11,8,20,21.0,21.6,51.7,0.4,254.8,55.68858,-12.58219,25.42
2022-08-11 21:00:00,2022,11,8,21,21.2,20.5,57.8,0.0,193.2,55.68862,-12.58223,25.42
2022-08-11 22:00:00,2022,11,8,22,21.3,20.1,62.1,0.0,187.9,55.68858,-12.58222,25.42
2022-08-11 23:00:00,2022,11,8,23,21.5,19.9,65.5,0.4,123.7,55.68858,-12.58222,25.42
2022-08-12 00:00:00,2022,12,8,0,21.3,19.4,63.1,0.2,131.5,55.68857,-12.58221,25.40
2022-08-12 01:00:00,2022,12,8,1,21.4,19.4,71.9,0.3,113.2,55.68858,-12.58221,25.40
2022-08-12 02:00:00,2022,12,8,2,21.3,18.8,79.0,0.1,103.2,55.68857,-12.58220,25.40
2022-08-12 03:00:00,2022,12,8,3,21.1,18.6,82.2,0.1,96.9,55.68855,-12.58216,25.40
2022-08-12 04:00:00,2022,12,8,4,20.8,18.4,82.2,0.1,183.8,55.68857,-12.58217,25.40
2022-08-12 05:00:00,2022,12,8,5,21.2,19.6,74.3,0.1,231.1,55.68860,-12.58222,25.40
2022-08-12 06:00:00,2022,12,8,6,21.1,21.2,63.2,0.2,210.5,55.68857,-12.58222,25.40
2022-08-12 07:00:00,2022,12,8,7,21.4,21.9,67.3,0.9,21.1,55.68859,-12.58222,25.40
2022-08-12 08:00:00,2022,12,8,8,21.6,22.4,62.8,0.8,352.1,55.68860,-12.58217,25.40
2022-08-12 09:00:00,2022,12,8,9,21.7,24.0,45.0,0.8,61.1,55.68858,-12.58221,25.40
2022-08-12 10:00:00,2022,12,8,10,21.3,25.3,44.1,1.0,105.2,55.68857,-12.58219,25.40
2022-08-12 11:00:00,2022,12,8,11,20.8,27.1,39.3,0.9,87.9,55.68855,-12.58219,25.40
2022-08-12 12:00:00,2022,12,8,12,20.5,28.3,39.0,0.9,51.3,55.68858,-12.58220,25.40
2022-08-12 13:00:00,2022,12,8,13,20.1,27.4,40.4,1.2,146.2,55.68857,-12.58218,25.40
2022-08-12 14:00:00,2022,12,8,14,20.0,26.7,42.2,1.2,139.1,55.68856,-12.58221,25.40
2022-08-12 15:00:00,2022,12,8,15,19.8,26.8,42.0,1.5,103.5,55.68861,-12.58224,25.40
2022-08-12 16:00:00,2022,12,8,16,19.9,26.2,35.3,2.1,113.2,55.68854,-12.58219,25.40
2022-08-12 17:00:00,2022,12,8,17,19.2,26.3,32.9,0.9,180.4,55.68859,-12.58220,25.40
2022-08-12 18:00:00,2022,12,8,18,19.0,24.0,38.9,1.5,117.0,55.68854,-12.58217,25.40
2022-08-12 19:00:00,2022,12,8,19,19.2,22.6,49.9,0.4,127.3,55.68858,-12.58214,25.40
2022-08-12 20:00:00,2022,12,8,20,19.3,22.2,57.1,0.8,70.6,55.68861,-12.58221,25.40
2022-08-12 21:00:00,2022,12,8,21,19.3,21.7,62.5,0.9,95.6,55.68857,-12.58221,25.40
2022-08-12 22:00:00,2022,12,8,22,19.3,21.0,66.9,0.5,110.1,55.68858,-12.58221,25.40
2022-08-12 23:00:00,2022,12,8,23,19.6,19.6,80.6,1.0,41.6,55.68856,-12.58221,25.40
2022-08-13 00:00:00,2022,13,8,0,19.4,19.4,79.6,0.9,52.5,55.68861,-12.58222,25.38
2022-08-13 01:00:00,2022,13,8,1,19.3,19.1,77.9,0.9,94.4,55.68857,-12.58217,25.38
2022-08-13 02:00:00,2022,13,8,2,19.1,18.8,79.6,0.9,51.3,55.68855,-12.58223,25.38
2022-08-13 03:00:00,2022,13,8,3,18.9,18.2,83.1,0.5,22.9,55.68854,-12.58217,25.38
2022-08-13 04:00:00,2022,13,8,4,18.7,18.1,85.9,nan,nan,55.68855,-12.58217,25.38
2022-08-13 05:00:00,2022,13,8,5,18.4,18.7,86.5,0.5,43.0,55.68859,-12.58221,25.38
2022-08-13 06:00:00,2022,13,8,6,18.4,20.2,80.5,0.6,82.0,55.68860,-12.58220,25.38
2022-08-13 07:00:00,2022,13,8,7,18.5,20.6,75.6,1.2,49.1,55.68857,-12.58220,25.38
2022-08-13 08:00:00,2022,13,8,8,18.8,22.4,66.8,0.7,288.1,55.68859,-12.58219,25.38
2022-08-13 09:00:00,2022,13,8,9,18.8,24.1,49.1,1.0,341.0,55.68858,-12.58221,25.38
2022-08-13 10:00:00,2022,13,8,10,18.9,26.2,36.2,0.9,103.9,55.68856,-12.58218,25.38
2022-08-13 11:00:00,2022,13,8,11,18.5,27.6,31.3,1.0,79.3,55.68856,-12.58218,25.38
2022-08-13 12:00:00,2022,13,8,12,18.1,28.3,nan,1.1,7.6,55.68859,-12.58221,25.38
2022-08-13 13:00:00,2022,13,8,13,17.8,29.2,nan,0.8,84.0,55.68858,-12.58221,25.38
2022-08-13 14:00:00,2022,13,8,14,17.3,28.4,36.7,1.2,78.8,55.68856,-12.58220,25.38
2022-08-13 15:00:00,2022,13,8,15,16.8,28.5,37.5,0.7,205.7,55.68856,-12.58221,25.38
2022-08-13 16:00:00,2022,13,8,16,16.4,28.2,36.9,0.9,182.9,55.68858,-12.58219,25.38
2022-08-13 17:00:00,2022,13,8,17,16.0,27.1,38.9,0.7,159.2,55.68857,-12.58220,25.38
2022-08-13 18:00:00,2022,13,8,18,15.8,25.5,48.4,1.0,62.0,55.68860,-12.58220,25.38
2022-08-13 19:00:00,2022,13,8,19,15.8,23.8,56.1,0.2,167.5,55.68858,-12.58218,25.38
2022-08-13 20:00:00,2022,13,8,20,15.9,22.8,62.1,1.0,103.2,55.68861,-12.58221,25.38
2022-08-13 21:00:00,2022,13,8,21,15.9,22.4,68.9,1.0,94.3,55.68861,-12.58225,25.38
