date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-01-01 00:00:00,2022,1,1,0,-32.4,-24.08,49.0,5.2,15.4,nan,nan,nan
2022-01-02 00:00:00,2022,2,1,0,-42.2,-17.25,50.9,5.1,21.7,nan,nan,nan
2022-01-03 00:00:00,2022,3,1,0,-36.2,-13.53,47.3,5.5,15.3,nan,nan,nan
2022-01-04 00:00:00,2022,4,1,0,-36.4,-19.89,68.4,4.9,19.6,nan,nan,nan
2022-01-05 00:00:00,2022,5,1,0,-44.0,-20.77,59.0,4.4,25.7,nan,nan,nan
2022-01-06 00:00:00,2022,6,1,0,-58.8,-15.52,55.5,5.3,20.8,nan,nan,nan
2022-01-07 00:00:00,2022,7,1,0,-56.0,-13.2,61.0,1.1,35.9,nan,nan,nan
2022-01-08 00:00:00,2022,8,1,0,-53.4,-8.99,75.1,1.3,64.5,nan,nan,nan
2022-01-09 00:00:00,2022,9,1,0,-48.9,-12.35,64.1,6.4,4.7,nan,nan,nan
2022-01-10 00:00:00,2022,10,1,0,-46.2,-14.33,58.3,5.1,359.9,nan,nan,nan
2022-01-11 00:00:00,2022,11,1,0,-66.1,-8.52,50.4,6.6,339.0,nan,nan,nan
2022-01-12 00:00:00,2022,12,1,0,-76.1,-16.05,53.1,nan,nan,nan,nan,nan
2022-01-13 00:00:00,2022,13,1,0,-68.2,-11.34,50.1,3.2,22.0,nan,nan,nan
2022-01-14 00:00:00,2022,14,1,0,-42.3,-15.21,54.6,5.5,341.1,nan,nan,nan
2022-01-15 00:00:00,2022,15,1,0,-46.8,-17.89,48.1,4.9,349.1,nan,nan,nan
2022-01-16 00:00:00,2022,16,1,0,-50.6,-20.47,55.5,3.7,343.5,nan,nan,nan
2022-01-17 00:00:00,2022,17,1,0,-45.6,-21.99,56.4,2.4,347.4,nan,nan,nan
2022-01-18 00:00:00,2022,18,1,0,-69.0,-14.67,41.6,7.9,13.5,nan,nan,nan
2022-01-19 00:00:00,2022,19,1,0,-40.5,-19.79,41.3,4.4,15.3,nan,nan,nan
2022-01-20 00:00:00,2022,20,1,0,-41.1,-18.51,54.6,5.3,27.3,nan,nan,nan
2022-01-21 00:00:00,2022,21,1,0,-58.0,-12.71,68.9,4.0,30.5,nan,nan,nan
2022-01-22 00:00:00,2022,22,1,0,-90.0,-11.23,45.8,6.4,136.6,nan,nan,nan
2022-01-23 00:00:00,2022,23,1,0,-77.7,-16.04,48.3,2.6,352.4,nan,nan,nan
2022-01-24 00:00:00,2022,24,1,0,-55.2,-19.3,50.0,4.2,16.5,nan,nan,nan
2022-01-25 00:00:00,2022,25,1,0,-43.0,-17.84,43.0,4.9,6.9,nan,nan,nan
2022-01-26 00:00:00,2022,26,1,0,-49.1,-15.5,44.2,2.3,55.0,nan,nan,nan
2022-01-27 00:00:00,2022,27,1,0,-46.3,-21.05,55.9,4.0,1.8,nan,nan,nan
2022-01-28 00:00:00,2022,28,1,0,-47.9,-23.27,49.4,5.6,2.4,nan,nan,nan
2022-01-29 00:00:00,2022,29,1,0,-48.5,-18.66,42.6,6.5,354.6,nan,nan,nan
2022-01-30 00:00:00,2022,30,1,0,-52.3,-19.82,53.2,0.3,72.5,nan,nan,nan
2022-01-31 00:00:00,2022,31,1,0,-46.3,-22.49,46.3,5.2,359.9,nan,nan,nan
2022-02-01 00:00:00,2022,1,2,0,-50.8,-22.77,53.4,nan,nan,nan,nan,nan
2022-02-02 00:00:00,2022,2,2,0,-45.5,-14.19,59.9,4.9,5.8,nan,nan,nan
2022-02-03 00:00:00,2022,3,2,0,-41.2,-15.16,63.3,1.9,62.0,nan,nan,nan
