date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-01-01 00:00:00,2022,1,1,0,-98.1,-24.62,37.1,4.5,322.0,nan,nan,nan
2022-01-02 00:00:00,2022,2,1,0,-104.9,-22.39,47.7,4.7,307.1,nan,nan,nan
2022-01-03 00:00:00,2022,3,1,0,-99.2,-17.32,47.0,7.9,276.3,nan,nan,nan
2022-01-04 00:00:00,2022,4,1,0,-100.6,-22.91,51.6,7.7,241.8,nan,nan,nan
2022-01-05 00:00:00,2022,5,1,0,-108.1,-25.98,49.7,4.1,180.4,nan,nan,nan
2022-01-06 00:00:00,2022,6,1,0,-120.3,-16.71,44.1,7.1,236.2,nan,nan,nan
2022-01-07 00:00:00,2022,7,1,0,-118.4,-13.12,51.7,4.5,235.8,nan,nan,nan
2022-01-08 00:00:00,2022,8,1,0,-114.7,-11.2,80.8,5.5,251.5,nan,nan,nan
2022-01-09 00:00:00,2022,9,1,0,-110.4,-15.06,53.9,5.8,265.2,nan,nan,nan
2022-01-10 00:00:00,2022,10,1,0,-108.8,-16.82,59.2,4.8,213.7,nan,nan,nan
2022-01-11 00:00:00,2022,11,1,0,-126.0,-14.4,54.8,6.4,258.7,nan,nan,nan
2022-01-12 00:00:00,2022,12,1,0,-136.0,-16.2,51.2,9.9,282.4,nan,nan,nan
2022-01-13 00:00:00,2022,13,1,0,-129.0,-14.52,54.6,5.4,258.0,nan,nan,nan
2022-01-14 00:00:00,2022,14,1,0,-104.5,-18.59,43.7,7.8,282.1,nan,nan,nan
2022-01-15 00:00:00,2022,15,1,0,-110.2,-22.46,44.2,6.5,198.8,nan,nan,nan
2022-01-16 00:00:00,2022,16,1,0,-115.0,-26.28,52.4,5.4,224.8,nan,nan,nan
2022-01-17 00:00:00,2022,17,1,0,-110.8,-27.11,46.8,2.2,264.7,nan,nan,nan
2022-01-18 00:00:00,2022,18,1,0,-129.4,-21.86,52.1,11.3,243.1,nan,nan,nan
2022-01-19 00:00:00,2022,19,1,0,-106.1,-24.41,50.4,8.2,244.5,nan,nan,nan
2022-01-20 00:00:00,2022,20,1,0,-104.9,-22.95,52.0,2.9,324.4,nan,nan,nan
2022-01-21 00:00:00,2022,21,1,0,-119.0,-8.34,55.8,5.1,250.5,nan,nan,nan
