date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-06-23 14:00:00,2022,23,6,14,-254.0,-10.4,84.4,2.7,355.0,66.00014,-44.50271,2470.40
2022-06-23 15:00:00,2022,23,6,15,-254.0,-9.5,86.1,2.4,355.0,66.00019,-44.50269,2470.40
2022-06-23 16:00:00,2022,23,6,16,-253.7,-9.2,87.6,3.0,355.0,66.00020,-44.50275,2470.40
2022-06-23 17:00:00,2022,23,6,17,-253.3,-8.7,85.8,4.5,355.0,66.00014,-44.50265,2470.40
2022-06-23 18:00:00,2022,23,6,18,-252.6,-8.6,85.8,3.3,355.0,66.00017,-44.50265,2470.40
2022-06-23 19:00:00,2022,23,6,19,-252.2,-7.8,87.9,3.2,355.0,66.00016,-44.50277,2470.40
2022-06-23 20:00:00,2022,23,6,20,-251.9,-8.1,89.0,2.0,355.0,66.00018,-44.50271,2470.40
2022-06-23 21:00:00,2022,23,6,21,-251.8,-9.0,88.3,2.1,355.0,66.00019,-44.50267,2470.40
2022-06-23 22:00:00,2022,23,6,22,-251.5,-11.5,90.8,2.3,355.0,66.00014,-44.50262,2470.40
2022-06-23 23:00:00,2022,23,6,23,-251.4,-13.5,89.3,2.2,355.0,66.00021,-44.50272,2470.40
2022-06-24 00:00:00,2022,24,6,0,-251.2,-14.7,89.5,2.7,355.0,66.00014,-44.50276,2470.38
2022-06-24 01:00:00,2022,24,6,1,-250.8,-15.6,88.7,2.2,355.0,66.00020,-44.50273,2470.38
2022-06-24 02:00:00,2022,24,6,2,-250.7,-16.7,87.9,2.5,355.0,66.00014,-44.50270,2470.38
2022-06-24 03:00:00,2022,24,6,3,-250.7,-16.8,87.7,2.7,355.0,66.00014,-44.50269,2470.38
2022-06-24 04:00:00,2022,24,6,4,-250.6,-17.0,87.2,2.1,355.0,66.00010,-44.50266,2470.38
2022-06-24 05:00:00,2022,24,6,5,-250.5,-15.0,89.3,1.7,355.0,66.00015,-44.50267,2470.38
2022-06-24 06:00:00,2022,24,6,6,-250.4,-13.7,89.5,2.8,355.0,66.00016,-44.50273,2470.38
2022-06-24 07:00:00,2022,24,6,7,-250.2,-12.3,90.2,3.4,355.0,66.00015,-44.50275,2470.38
2022-06-24 08:00:00,2022,24,6,8,-250.1,-11.0,90.0,3.9,355.0,66.00015,-44.50273,2470.38
2022-06-24 09:00:00,2022,24,6,9,-249.9,-10.5,87.4,4.2,355.0,66.00015,-44.50277,2470.38
2022-06-24 10:00:00,2022,24,6,10,-249.8,-10.1,84.4,2.8,355.0,66.00017,-44.50272,2470.38
2022-06-24 11:00:00,2022,24,6,11,-249.8,-9.2,82.9,3.4,355.0,66.00015,-44.50268,2470.38
2022-06-24 12:00:00,2022,24,6,12,-249.4,-7.9,80.4,3.4,355.0,66.00015,-44.50269,2470.38
2022-06-24 13:00:00,2022,24,6,13,-249.3,-6.8,77.8,2.4,355.0,66.00012,-44.50271,2470.38
2022-06-24 14:00:00,2022,24,6,14,-249.5,-5.6,75.8,1.7,355.0,66.00017,-44.50265,2470.38
2022-06-24 15:00:00,2022,24,6,15,-249.5,-4.8,71.6,1.2,355.0,66.00013,-44.50265,2470.38
2022-06-24 16:00:00,2022,24,6,16,-249.4,-5.0,71.1,1.5,355.0,66.00011,-44.50278,2470.38
2022-06-24 17:00:00,2022,24,6,17,-249.2,-5.1,71.6,2.4,355.0,66.00016,-44.50273,2470.38
2022-06-24 18:00:00,2022,24,6,18,-249.0,-4.5,70.5,3.0,355.0,66.00014,-44.50264,2470.38
2022-06-24 19:00:00,2022,24,6,19,-248.9,-5.1,76.8,1.1,355.0,66.00019,-44.50271,2470.38
2022-06-24 20:00:00,2022,24,6,20,-248.8,-5.1,78.9,1.5,355.0,66.00016,-44.50272,2470.38
2022-06-24 21:00:00,2022,24,6,21,-248.6,-6.7,84.5,1.8,355.0,66.00016,-44.50276,2470.38
2022-06-24 22:00:00,2022,24,6,22,-248.3,-9.5,84.4,2.6,355.0,66.00016,-44.50270,2470.38
2022-06-24 23:00:00,2022,24,6,23,-248.0,-11.8,85.9,3.1,355.0,66.00017,-44.50270,2470.38
2022-06-25 00:00:00,2022,25,6,0,-248.0,-13.8,86.4,3.6,355.0,66.00012,-44.50265,2470.36
2022-06-25 01:00:00,2022,25,6,1,-247.7,-13.4,93.2,4.6,355.0,66.00017,-44.50276,2470.36
2022-06-25 02:00:00,2022,25,6,2,-247.7,-14.5,88.9,3.1,355.0,66.00016,-44.50277,2470.36
2022-06-25 03:00:00,2022,25,6,3,-247.6,-16.0,87.7,2.8,355.0,66.00011,-44.50274,2470.36
2022-06-25 04:00:00,2022,25,6,4,-247.4,-17.2,86.7,2.6,355.0,66.00013,-44.50265,2470.36
2022-06-25 05:00:00,2022,25,6,5,-247.6,-17.0,86.0,3.7,355.0,66.00016,-44.50271,2470.36
2022-06-25 06:00:00,2022,25,6,6,-247.4,-16.1,85.7,4.3,355.0,66.00018,-44.50264,2470.36
2022-06-25 07:00:00,2022,25,6,7,-247.5,-15.0,85.2,5.0,355.0,66.00014,-44.50272,2470.36
2022-06-25 08:00:00,2022,25,6,8,-247.5,-13.2,82.2,4.8,355.0,66.00018,-44.50273,2470.36
