date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-01-01 00:00:00,2022,1,1,0,-305.6,-34.4,69.4,4.0,112.6,63.14902,-44.81736,2891.26
2022-01-01 01:00:00,2022,1,1,1,-305.6,-33.8,69.5,4.3,112.6,63.14889,-44.81735,2891.26
2022-01-01 02:00:00,2022,1,1,2,-305.4,-35.3,72.0,3.8,112.5,63.14897,-44.81742,2891.26
2022-01-01 03:00:00,2022,1,1,3,-305.4,-34.2,73.8,4.2,112.5,63.14899,-44.81739,2891.26
2022-01-01 04:00:00,2022,1,1,4,-305.4,-33.7,74.7,4.2,112.5,63.14898,-44.81726,2891.26
2022-01-01 05:00:00,2022,1,1,5,-305.3,-32.7,73.5,3.8,112.6,63.14906,-44.81729,2891.26
2022-01-01 06:00:00,2022,1,1,6,-305.2,-32.6,73.4,3.9,112.6,63.14901,-44.81732,2891.26
2022-01-01 07:00:00,2022,1,1,7,-304.8,-30.1,72.4,3.9,112.6,63.14900,-44.81733,2891.26
2022-01-01 08:00:00,2022,1,1,8,-304.7,-30.8,71.9,3.9,112.6,63.14897,-44.81743,2891.26
2022-01-01 09:00:00,2022,1,1,9,-304.4,-29.0,72.2,3.9,112.6,63.14895,-44.81737,2891.26
2022-01-01 10:00:00,2022,1,1,10,-304.1,-28.1,77.0,3.3,113.2,63.14906,-44.81746,2891.26
2022-01-01 11:00:00,2022,1,1,11,-303.9,-29.5,77.8,2.0,113.1,63.14899,-44.81743,2891.26
2022-01-01 12:00:00,2022,1,1,12,-303.7,-29.7,77.4,1.4,113.2,63.14903,-44.81739,2891.26
2022-01-01 13:00:00,2022,1,1,13,-303.6,-29.8,77.3,0.9,113.1,63.14899,-44.81743,2891.26
2022-01-01 14:00:00,2022,1,1,14,-303.2,-30.0,77.3,0.3,113.1,63.14907,-44.81739,2891.26
2022-01-01 15:00:00,2022,1,1,15,-303.1,-26.0,79.4,0.7,113.1,63.14900,-44.81741,2891.26
2022-01-01 16:00:00,2022,1,1,16,-303.0,-23.6,80.8,0.5,113.1,63.14901,-44.81736,2891.26
2022-01-01 17:00:00,2022,1,1,17,-302.9,-23.5,81.0,0.0,113.2,63.14897,-44.81739,2891.26
2022-01-01 18:00:00,2022,1,1,18,-302.5,-23.4,81.0,0.7,113.1,63.14899,-44.81730,2891.26
2022-01-01 19:00:00,2022,1,1,19,-302.2,-22.0,81.8,0.1,113.1,63.14906,-44.81725,2891.26
