date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-01-01 00:00:00,2022,1,1,0,874.0,-16.67,78.6,12.0,88.0,69.55322,-49.37295,1119.92
2022-01-01 01:00:00,2022,1,1,1,875.0,-16.53,78.8,11.4,93.8,69.55324,-49.37296,1119.92
2022-01-01 02:00:00,2022,1,1,2,874.0,-16.88,83.1,13.2,100.2,69.55321,-49.37296,1119.92
2022-01-01 03:00:00,2022,1,1,3,874.0,-17.12,85.0,13.4,106.1,69.55324,-49.37299,1119.92
2022-01-01 04:00:00,2022,1,1,4,874.0,-17.6,84.1,13.1,109.6,69.55324,-49.37295,1119.92
2022-01-01 05:00:00,2022,1,1,5,874.0,-18.12,85.8,12.8,117.5,69.55324,-49.37292,1119.92
2022-01-01 06:00:00,2022,1,1,6,875.0,-18.73,84.8,11.3,112.4,69.55324,-49.37300,1119.92
2022-01-01 07:00:00,2022,1,1,7,875.0,-18.95,83.7,10.4,102.2,69.55324,-49.37296,1119.92
2022-01-01 08:00:00,2022,1,1,8,875.0,-19.53,84.3,9.7,100.4,69.55324,-49.37295,1119.92
2022-01-01 09:00:00,2022,1,1,9,875.0,-19.77,84.3,9.0,100.5,69.55323,-49.37297,1119.92
2022-01-01 10:00:00,2022,1,1,10,875.0,-19.87,84.6,9.4,110.2,69.55324,-49.37300,1119.92
2022-01-01 11:00:00,2022,1,1,11,875.0,-20.48,85.0,9.2,94.8,69.55323,-49.37299,1119.92
2022-01-01 12:00:00,2022,1,1,12,876.0,-20.47,83.7,9.6,95.1,69.55323,-49.37297,1119.92
2022-01-01 13:00:00,2022,1,1,13,876.0,-20.73,83.3,9.5,85.7,69.55322,-49.37301,1119.92
2022-01-01 14:00:00,2022,1,1,14,876.0,-20.87,82.8,10.1,86.2,69.55327,-49.37293,1119.92
2022-01-01 15:00:00,2022,1,1,15,876.0,-21.33,82.9,9.0,81.5,69.55321,-49.37298,1119.92
2022-01-01 16:00:00,2022,1,1,16,876.0,-21.83,82.7,8.4,81.6,69.55324,-49.37303,1119.92
2022-01-01 17:00:00,2022,1,1,17,876.0,-21.62,83.2,9.1,90.7,69.55323,-49.37301,1119.92
2022-01-01 18:00:00,2022,1,1,18,875.0,-21.35,80.5,8.5,86.6,69.55318,-49.37288,1119.92
2022-01-01 19:00:00,2022,1,1,19,876.0,-22.42,82.4,7.3,77.9,69.55325,-49.37299,1119.92
2022-01-01 20:00:00,2022,1,1,20,876.0,-21.98,80.3,8.1,81.2,69.55323,-49.37298,1119.92
2022-01-01 21:00:00,2022,1,1,21,876.0,-22.32,80.5,8.6,78.6,69.55316,-49.37297,1119.92
2022-01-01 22:00:00,2022,1,1,22,876.0,-22.72,81.6,8.2,82.4,69.55322,-49.37298,1119.92
2022-01-01 23:00:00,2022,1,1,23,876.0,-22.55,82.8,9.4,82.9,69.55320,-49.37295,1119.92
2022-01-02 00:00:00,2022,2,1,0,876.0,-22.07,82.3,10.1,81.0,69.55324,-49.37301,1119.92
2022-01-02 01:00:00,2022,2,1,1,877.0,-22.3,84.5,8.2,72.3,69.55323,-49.37297,1119.92
2022-01-02 02:00:00,2022,2,1,2,877.0,-22.17,84.8,8.9,84.3,69.55323,-49.37298,1119.92
2022-01-02 03:00:00,2022,2,1,3,877.0,-21.48,83.6,9.1,87.4,69.55319,-49.37310,1119.92
2022-01-02 04:00:00,2022,2,1,4,877.0,-21.67,84.3,8.8,88.1,69.55324,-49.37298,1119.92
2022-01-02 05:00:00,2022,2,1,5,877.0,-21.5,84.1,8.5,88.2,69.55324,-49.37288,1119.92
2022-01-02 06:00:00,2022,2,1,6,877.0,-22.58,87.0,7.1,63.2,69.55324,-49.37297,1119.92
2022-01-02 07:00:00,2022,2,1,7,877.0,-22.18,86.8,7.5,69.0,69.55323,-49.37299,1119.92
2022-01-02 08:00:00,2022,2,1,8,877.0,-21.58,85.8,8.2,90.2,69.55323,-49.37297,1119.92
2022-01-02 09:00:00,2022,2,1,9,877.0,-21.35,86.4,9.0,90.8,69.55322,-49.37300,1119.92
2022-01-02 10:00:00,2022,2,1,10,877.0,-21.58,86.3,8.7,92.0,69.55323,-49.37298,1119.92
2022-01-02 11:00:00,2022,2,1,11,877.0,-21.97,88.0,8.0,91.5,69.55324,-49.37299,1119.92
2022-01-02 12:00:00,2022,2,1,12,877.0,-22.37,88.4,8.0,80.0,69.55323,-49.37298,1119.92
2022-01-02 13:00:00,2022,2,1,13,877.0,-23.15,89.7,7.8,75.2,69.55321,-49.37300,1119.92
2022-01-02 14:00:00,2022,2,1,14,877.0,-23.25,90.2,7.7,78.8,69.55325,-49.37297,1119.92
2022-01-02 15:00:00,2022,2,1,15,877.0,-22.62,89.7,8.1,83.2,69.55321,-49.37298,1119.92
2022-01-02 16:00:00,2022,2,1,16,877.0,-22.4,87.9,8.1,77.5,69.55324,-49.37299,1119.92
2022-01-02 17:00:00,2022,2,1,17,877.0,-22.57,88.8,8.8,80.6,69.55324,-49.37301,1119.92
2022-01-02 18:00:00,2022,2,1,18,877.0,-23.03,90.4,9.2,74.3,69.55318,-49.37289,1119.92
2022-01-02 19:00:00,2022,2,1,19,877.0,-22.72,89.9,9.0,71.2,69.55322,-49.37300,1119.92
2022-01-02 20:00:00,2022,2,1,20,877.0,-22.18,88.5,8.6,69.5,69.55324,-49.37300,1119.92
2022-01-02 21:00:00,2022,2,1,21,877.0,-21.63,87.0,7.6,66.9,69.55322,-49.37297,1119.92
2022-01-02 22:00:00,2022,2,1,22,877.0,-21.72,86.9,8.0,69.8,69.55322,-49.37299,1119.92
2022-01-02 23:00:00,2022,2,1,23,876.0,-21.78,88.1,9.4,70.0,69.55319,-49.37301,1119.92
2022-01-03 00:00:00,2022,3,1,0,875.0,-22.07,89.1,9.3,68.8,69.55323,-49.37298,1119.92
2022-01-03 01:00:00,2022,3,1,1,875.0,-21.63,88.1,9.0,72.1,69.55322,-49.37296,1119.92
2022-01-03 02:00:00,2022,3,1,2,874.0,-21.12,87.6,9.8,70.7,69.55324,-49.37299,1119.92
2022-01-03 03:00:00,2022,3,1,3,874.0,-20.95,88.3,10.7,73.2,69.55320,-49.37296,1119.92
2022-01-03 04:00:00,2022,3,1,4,873.0,-21.52,89.4,11.0,74.2,69.55324,-49.37300,1119.92
2022-01-03 05:00:00,2022,3,1,5,873.0,-21.83,93.1,11.3,70.1,69.55322,-49.37294,1119.92
