date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-08-02 17:00:00,2022,2,8,17,-119.0,1.4,86.8,3.5,104.6,69.59542,-49.27903,1164.47
2022-08-02 18:00:00,2022,2,8,18,-118.7,1.3,87.9,3.0,120.7,69.59542,-49.27906,1164.47
2022-08-02 19:00:00,2022,2,8,19,-118.6,1.7,85.7,3.1,120.3,69.59543,-49.27904,1164.47
2022-08-02 20:00:00,2022,2,8,20,-118.7,1.4,86.5,2.9,119.8,69.59541,-49.27905,1164.47
2022-08-02 21:00:00,2022,2,8,21,-118.7,0.8,87.7,3.5,108.6,69.59540,-49.27904,1164.47
2022-08-02 22:00:00,2022,2,8,22,-118.6,0.7,84.9,4.0,110.0,69.59542,-49.27907,1164.47
2022-08-02 23:00:00,2022,2,8,23,-118.7,0.1,82.4,4.2,108.2,69.59541,-49.27904,1164.47
2022-08-03 00:00:00,2022,3,8,0,-118.6,-0.6,85.0,4.4,103.1,69.59542,-49.27906,1164.47
2022-08-03 01:00:00,2022,3,8,1,-118.6,-0.8,88.3,4.4,97.0,69.59543,-49.27908,1164.47
2022-08-03 02:00:00,2022,3,8,2,-118.7,-0.3,89.6,4.2,110.1,69.59542,-49.27905,1164.47
2022-08-03 03:00:00,2022,3,8,3,-118.7,0.3,92.5,2.9,127.6,69.59541,-49.27905,1164.47
2022-08-03 04:00:00,2022,3,8,4,-118.7,1.2,91.7,2.3,128.4,69.59540,-49.27909,1164.47
2022-08-03 05:00:00,2022,3,8,5,-118.7,0.5,94.0,3.1,112.2,69.59539,-49.27904,1164.47
2022-08-03 06:00:00,2022,3,8,6,-118.6,-1.2,96.3,3.3,105.5,69.59541,-49.27905,1164.47
2022-08-03 07:00:00,2022,3,8,7,-118.5,0.7,96.4,3.6,103.1,69.59541,-49.27913,1164.47
2022-08-03 08:00:00,2022,3,8,8,-118.9,0.6,97.4,3.8,97.0,69.59541,-49.27907,1164.47
2022-08-03 09:00:00,2022,3,8,9,-119.2,0.0,92.4,5.6,93.9,69.59541,-49.27909,1164.47
2022-08-03 10:00:00,2022,3,8,10,-119.4,0.9,85.9,5.1,108.5,69.59540,-49.27908,1164.47
2022-08-03 11:00:00,2022,3,8,11,-119.9,1.4,83.7,5.6,105.7,69.59541,-49.27908,1164.47
2022-08-03 12:00:00,2022,3,8,12,-120.6,1.5,85.2,5.9,109.6,69.59541,-49.27905,1164.47
2022-08-03 13:00:00,2022,3,8,13,-121.2,1.5,81.3,8.1,113.9,69.59543,-49.27906,1164.47
2022-08-03 14:00:00,2022,3,8,14,-121.8,0.9,78.8,9.3,101.5,69.59542,-49.27904,1164.47
2022-08-03 15:00:00,2022,3,8,15,-122.5,0.6,79.2,9.8,115.5,69.59542,-49.27905,1164.47
2022-08-03 16:00:00,2022,3,8,16,-123.3,0.7,79.9,8.8,104.6,69.59542,-49.27905,1164.47
2022-08-03 17:00:00,2022,3,8,17,-124.4,1.5,78.3,8.6,105.1,69.59542,-49.27905,1164.47
2022-08-03 18:00:00,2022,3,8,18,-125.4,2.2,76.9,9.8,108.6,69.59542,-49.27907,1164.47
2022-08-03 19:00:00,2022,3,8,19,-126.2,2.4,76.0,10.4,114.4,69.59542,-49.27909,1164.47
2022-08-03 20:00:00,2022,3,8,20,-127.1,2.7,75.6,9.4,104.1,69.59542,-49.27908,1164.47
2022-08-03 21:00:00,2022,3,8,21,-128.3,2.8,74.4,10.8,113.7,69.59541,-49.27904,1164.47
