date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-01-01 00:00:00,2022,1,1,0,-91.0,-19.05,65.0,6.6,354.4,nan,nan,nan
2022-01-02 00:00:00,2022,2,1,0,-92.3,-23.57,45.4,4.5,331.2,nan,nan,nan
2022-01-03 00:00:00,2022,3,1,0,-98.5,-13.82,64.4,9.8,1.1,nan,nan,nan
2022-01-04 00:00:00,2022,4,1,0,-91.2,-10.98,80.7,8.4,55.0,nan,nan,nan
2022-01-05 00:00:00,2022,5,1,0,-106.8,-6.524,92.4,14.2,60.5,nan,nan,nan
2022-01-06 00:00:00,2022,6,1,0,-128.8,-6.717,85.3,11.5,36.7,nan,nan,nan
2022-01-07 00:00:00,2022,7,1,0,-136.1,-4.08,67.1,7.2,2.2,nan,nan,nan
2022-01-08 00:00:00,2022,8,1,0,-122.5,-4.631,88.8,7.4,52.9,nan,nan,nan
2022-01-09 00:00:00,2022,9,1,0,-110.3,-6.91,69.1,7.5,35.8,nan,nan,nan
2022-01-10 00:00:00,2022,10,1,0,-133.6,-5.461,92.2,22.2,53.5,nan,nan,nan
2022-01-11 00:00:00,2022,11,1,0,-126.4,-8.04,78.6,2.9,15.7,nan,nan,nan
2022-01-12 00:00:00,2022,12,1,0,-131.5,-8.63,92.8,2.2,175.4,nan,nan,nan
2022-01-13 00:00:00,2022,13,1,0,-121.4,-19.6,83.3,19.4,352.5,nan,nan,nan
2022-01-14 00:00:00,2022,14,1,0,-95.5,-15.1,80.3,5.1,41.8,nan,nan,nan
2022-01-15 00:00:00,2022,15,1,0,-96.7,-20.45,80.5,19.2,351.5,nan,nan,nan
2022-01-16 00:00:00,2022,16,1,0,-100.6,-16.23,57.2,5.7,12.1,nan,nan,nan
2022-01-17 00:00:00,2022,17,1,0,-108.6,-12.45,84.4,4.8,84.7,nan,nan,nan
2022-01-18 00:00:00,2022,18,1,0,-113.5,-18.44,82.3,18.4,359.9,nan,nan,nan
2022-01-19 00:00:00,2022,19,1,0,-87.9,-12.86,44.6,0.3,279.0,nan,nan,nan
2022-01-20 00:00:00,2022,20,1,0,-89.0,-5.716,95.1,2.9,77.8,nan,nan,nan
2022-01-21 00:00:00,2022,21,1,0,-120.4,-2.081,98.8,11.4,175.2,nan,nan,nan
2022-01-22 00:00:00,2022,22,1,0,-128.0,-19.64,84.8,21.7,12.4,nan,nan,nan
2022-01-23 00:00:00,2022,23,1,0,-130.5,-23.0,78.9,28.0,359.9,nan,nan,nan
2022-01-24 00:00:00,2022,24,1,0,-100.5,-18.1,86.5,12.9,338.6,nan,nan,nan
2022-01-25 00:00:00,2022,25,1,0,-104.1,-11.23,77.3,3.6,341.2,nan,nan,nan
2022-01-26 00:00:00,2022,26,1,0,-101.6,-19.56,81.6,7.4,351.3,nan,nan,nan
2022-01-27 00:00:00,2022,27,1,0,-99.7,-10.83,89.9,0.0,127.7,nan,nan,nan
2022-01-28 00:00:00,2022,28,1,0,-112.2,-13.8,89.5,7.8,347.0,nan,nan,nan
2022-01-29 00:00:00,2022,29,1,0,-101.3,-20.89,83.0,2.3,347.1,nan,nan,nan
2022-01-30 00:00:00,2022,30,1,0,-98.8,-22.32,79.7,5.1,351.3,nan,nan,nan
2022-01-31 00:00:00,2022,31,1,0,-99.4,-23.56,78.0,12.8,347.4,nan,nan,nan
2022-02-01 00:00:00,2022,1,2,0,-101.6,-17.93,86.4,1.3,343.0,nan,nan,nan
2022-02-02 00:00:00,2022,2,2,0,-106.3,-21.31,82.4,3.6,352.4,nan,nan,nan
2022-02-03 00:00:00,2022,3,2,0,-102.3,-20.2,84.4,3.8,350.2,nan,nan,nan
