date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-05-16 16:00:00,2022,16,5,16,nan,,nan,nan,nan,nan,nan,574.56
2022-05-16 17:00:00,2022,16,5,17,-48.3,-5.651,77.2,1.6,31.4,76.39304,-68.26492,574.56
2022-05-16 18:00:00,2022,16,5,18,nan,,nan,nan,nan,nan,nan,574.56
2022-05-16 19:00:00,2022,16,5,19,nan,,nan,nan,nan,nan,nan,574.56
2022-05-16 20:00:00,2022,16,5,20,nan,,nan,nan,nan,nan,nan,574.56
2022-05-16 21:00:00,2022,16,5,21,nan,,nan,nan,nan,nan,nan,574.56
2022-05-16 22:00:00,2022,16,5,22,nan,,nan,nan,nan,nan,nan,574.56
2022-05-16 23:00:00,2022,16,5,23,-47.4,-6.591,75.2,1.4,82.2,76.39304,-68.26499,574.56
2022-05-17 00:00:00,2022,17,5,0,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 01:00:00,2022,17,5,1,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 02:00:00,2022,17,5,2,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 03:00:00,2022,17,5,3,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 04:00:00,2022,17,5,4,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 05:00:00,2022,17,5,5,-47.5,-7.415,71.6,2.1,83.9,76.39303,-68.26498,574.54
2022-05-17 06:00:00,2022,17,5,6,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 07:00:00,2022,17,5,7,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 08:00:00,2022,17,5,8,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 09:00:00,2022,17,5,9,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 10:00:00,2022,17,5,10,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 11:00:00,2022,17,5,11,-48.0,-8.27,82.0,1.9,10.4,76.39302,-68.26498,574.54
2022-05-17 12:00:00,2022,17,5,12,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 13:00:00,2022,17,5,13,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 14:00:00,2022,17,5,14,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 15:00:00,2022,17,5,15,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 16:00:00,2022,17,5,16,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 17:00:00,2022,17,5,17,-48.2,-4.114,68.8,2.6,330.4,76.39304,-68.26492,574.54
2022-05-17 18:00:00,2022,17,5,18,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 19:00:00,2022,17,5,19,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 20:00:00,2022,17,5,20,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 21:00:00,2022,17,5,21,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 22:00:00,2022,17,5,22,nan,,nan,nan,nan,nan,nan,574.54
2022-05-17 23:00:00,2022,17,5,23,-48.4,-4.141,54.9,2.3,41.9,76.39304,-68.26498,574.54
2022-05-18 00:00:00,2022,18,5,0,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 01:00:00,2022,18,5,1,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 02:00:00,2022,18,5,2,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 03:00:00,2022,18,5,3,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 04:00:00,2022,18,5,4,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 05:00:00,2022,18,5,5,-49.4,-4.444,61.8,4.0,106.4,76.39303,-68.26498,574.51
2022-05-18 06:00:00,2022,18,5,6,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 07:00:00,2022,18,5,7,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 08:00:00,2022,18,5,8,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 09:00:00,2022,18,5,9,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 10:00:00,2022,18,5,10,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 11:00:00,2022,18,5,11,-50.4,-4.141,56.9,6.8,102.3,76.39302,-68.26498,574.51
2022-05-18 12:00:00,2022,18,5,12,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 13:00:00,2022,18,5,13,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 14:00:00,2022,18,5,14,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 15:00:00,2022,18,5,15,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 16:00:00,2022,18,5,16,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 17:00:00,2022,18,5,17,-53.0,-3.38,61.5,10.3,100.0,76.39304,-68.26495,574.51
2022-05-18 18:00:00,2022,18,5,18,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 19:00:00,2022,18,5,19,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 20:00:00,2022,18,5,20,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 21:00:00,2022,18,5,21,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 22:00:00,2022,18,5,22,nan,,nan,nan,nan,nan,nan,574.51
2022-05-18 23:00:00,2022,18,5,23,-55.2,-5.751,65.7,9.6,95.9,76.39302,-68.26497,574.51
2022-05-19 00:00:00,2022,19,5,0,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 01:00:00,2022,19,5,1,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 02:00:00,2022,19,5,2,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 03:00:00,2022,19,5,3,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 04:00:00,2022,19,5,4,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 05:00:00,2022,19,5,5,-55.6,-7.399,87.3,2.5,256.9,76.39303,-68.26497,574.48
2022-05-19 06:00:00,2022,19,5,6,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 07:00:00,2022,19,5,7,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 08:00:00,2022,19,5,8,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 09:00:00,2022,19,5,9,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 10:00:00,2022,19,5,10,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 11:00:00,2022,19,5,11,-55.4,-6.848,95.1,nan,nan,76.39303,-68.26500,574.48
2022-05-19 12:00:00,2022,19,5,12,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 13:00:00,2022,19,5,13,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 14:00:00,2022,19,5,14,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 15:00:00,2022,19,5,15,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 16:00:00,2022,19,5,16,nan,,nan,nan,nan,nan,nan,574.48
2022-05-19 17:00:00,2022,19,5,17,-54.7,-7.202,90.0,2.6,327.0,76.39304,-68.26496,574.48
