date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-05-27 17:00:00,2022,27,5,17,-213.5,-11.1,73.3,4.8,282.1,78.01912,-33.96299,2078.54
2022-05-27 18:00:00,2022,27,5,18,-213.0,-10.8,72.7,4.9,283.2,78.01909,-33.96300,2078.54
2022-05-27 19:00:00,2022,27,5,19,-212.5,-11.0,72.9,4.0,286.4,78.01909,-33.96291,2078.54
2022-05-27 20:00:00,2022,27,5,20,-212.0,-11.3,73.5,4.2,286.9,78.01911,-33.96301,2078.54
2022-05-27 21:00:00,2022,27,5,21,-211.7,-11.7,74.1,4.4,278.3,78.01909,-33.96311,2078.54
2022-05-27 22:00:00,2022,27,5,22,-211.6,-12.7,74.3,4.1,266.7,78.01909,-33.96307,2078.54
2022-05-27 23:00:00,2022,27,5,23,-211.3,-13.3,74.6,4.2,270.0,78.01908,-33.96308,2078.54
2022-05-28 00:00:00,2022,28,5,0,-211.0,-14.1,74.2,3.4,281.6,78.01909,-33.96277,2078.53
2022-05-28 01:00:00,2022,28,5,1,-210.8,-14.7,74.1,4.0,268.5,78.01910,-33.96296,2078.53
2022-05-28 02:00:00,2022,28,5,2,-210.5,-15.4,73.4,5.1,257.0,78.01908,-33.96300,2078.53
2022-05-28 03:00:00,2022,28,5,3,-210.2,-15.9,70.2,6.1,265.7,78.01909,-33.96307,2078.53
2022-05-28 04:00:00,2022,28,5,4,-210.0,-16.3,71.2,5.5,262.7,78.01908,-33.96299,2078.53
2022-05-28 05:00:00,2022,28,5,5,-209.8,-16.4,71.5,5.6,264.5,78.01909,-33.96297,2078.53
2022-05-28 06:00:00,2022,28,5,6,-209.5,-16.5,72.4,5.8,261.8,78.01909,-33.96295,2078.53
2022-05-28 07:00:00,2022,28,5,7,-209.4,-16.1,72.2,6.4,261.6,78.01907,-33.96300,2078.53
2022-05-28 08:00:00,2022,28,5,8,-209.3,-14.9,71.9,5.4,257.7,78.01912,-33.96294,2078.53
2022-05-28 09:00:00,2022,28,5,9,-209.2,-13.8,71.5,6.0,244.7,78.01911,-33.96304,2078.53
2022-05-28 10:00:00,2022,28,5,10,nan,,nan,nan,nan,nan,nan,2078.53
2022-05-28 11:00:00,2022,28,5,11,nan,,nan,nan,nan,nan,nan,2078.53
2022-05-28 12:00:00,2022,28,5,12,-208.6,-11.4,71.9,4.0,241.3,78.01910,-33.96298,2078.53
2022-05-28 13:00:00,2022,28,5,13,-208.7,-10.8,69.7,4.6,245.9,78.01906,-33.96298,2078.53
2022-05-28 14:00:00,2022,28,5,14,nan,,nan,nan,nan,nan,nan,2078.53
2022-05-28 15:00:00,2022,28,5,15,nan,,nan,nan,nan,nan,nan,2078.53
2022-05-28 16:00:00,2022,28,5,16,-209.2,-8.7,72.5,5.4,221.6,78.01909,-33.96301,2078.53
2022-05-28 17:00:00,2022,28,5,17,-209.3,-8.7,73.6,4.0,207.7,78.01910,-33.96295,2078.53
2022-05-28 18:00:00,2022,28,5,18,-209.7,-8.6,74.4,3.7,206.8,78.01911,-33.96293,2078.53
2022-05-28 19:00:00,2022,28,5,19,-209.9,-8.8,71.4,5.6,216.1,78.01911,-33.96293,2078.53
2022-05-28 20:00:00,2022,28,5,20,-210.5,-10.0,73.3,5.1,204.6,78.01910,-33.96295,2078.53
2022-05-28 21:00:00,2022,28,5,21,-210.4,-11.2,74.1,4.5,215.5,78.01908,-33.96302,2078.53
2022-05-28 22:00:00,2022,28,5,22,-210.8,-12.0,75.1,4.8,220.3,78.01909,-33.96305,2078.53
