date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-06-29 09:00:00,2022,29,6,9,-2.2,13.5,42.5,17.4,234.6,71.14149,-51.22198,11.83
2022-06-29 10:00:00,2022,29,6,10,nan,,nan,nan,nan,nan,nan,11.83
2022-06-29 11:00:00,2022,29,6,11,-0.3,13.3,43.4,8.2,253.9,71.14147,-51.22206,11.83
2022-06-29 12:00:00,2022,29,6,12,0.2,13.4,44.1,5.5,216.3,71.14145,-51.22211,11.83
2022-06-29 13:00:00,2022,29,6,13,0.5,13.4,45.7,4.6,92.7,71.14147,-51.22210,11.83
2022-06-29 14:00:00,2022,29,6,14,2.7,12.8,49.0,3.2,80.5,71.14148,-51.22205,11.83
2022-06-29 15:00:00,2022,29,6,15,3.5,13.3,47.7,5.1,219.1,71.14146,-51.22210,11.83
2022-06-29 16:00:00,2022,29,6,16,4.1,13.1,49.3,4.5,290.0,71.14148,-51.22206,11.83
2022-06-29 17:00:00,2022,29,6,17,nan,,nan,nan,nan,nan,nan,11.83
2022-06-29 18:00:00,2022,29,6,18,5.9,11.5,53.9,1.1,54.0,71.14145,-51.22202,11.83
2022-06-29 19:00:00,2022,29,6,19,nan,,nan,nan,nan,nan,nan,11.83
2022-06-29 20:00:00,2022,29,6,20,6.7,12.2,51.0,0.4,114.8,71.14148,-51.22208,11.83
2022-06-29 21:00:00,2022,29,6,21,7.2,12.3,49.7,1.4,81.0,71.14149,-51.22208,11.83
2022-06-29 22:00:00,2022,29,6,22,nan,,nan,nan,nan,nan,nan,11.83
2022-06-29 23:00:00,2022,29,6,23,8.0,8.8,63.4,1.3,96.1,71.14154,-51.22200,11.83
2022-06-30 00:00:00,2022,30,6,0,8.6,8.3,64.2,0.6,120.1,71.14145,-51.22205,11.83
2022-06-30 01:00:00,2022,30,6,1,9.0,5.7,81.1,0.7,108.0,71.14145,-51.22207,11.83
2022-06-30 02:00:00,2022,30,6,2,9.2,5.1,85.8,2.2,106.9,71.14145,-51.22207,11.83
2022-06-30 03:00:00,2022,30,6,3,9.7,5.2,85.2,2.1,72.8,71.14145,-51.22205,11.83
2022-06-30 04:00:00,2022,30,6,4,10.1,5.6,83.1,0.8,89.2,71.14146,-51.22208,11.83
2022-06-30 05:00:00,2022,30,6,5,10.8,5.2,86.1,0.2,146.3,71.14147,-51.22207,11.83
2022-06-30 06:00:00,2022,30,6,6,11.5,5.0,86.1,0.4,111.1,71.14146,-51.22211,11.83
2022-06-30 07:00:00,2022,30,6,7,nan,,nan,nan,nan,nan,nan,11.83
2022-06-30 08:00:00,2022,30,6,8,13.0,4.7,88.7,2.3,68.0,71.14147,-51.22197,11.83
2022-06-30 09:00:00,2022,30,6,9,13.4,4.6,89.0,1.8,74.0,71.14146,-51.22206,11.83
2022-06-30 10:00:00,2022,30,6,10,13.9,4.4,90.0,0.8,51.3,71.14148,-51.22207,11.83
2022-06-30 11:00:00,2022,30,6,11,14.3,5.2,85.6,1.3,62.9,71.14147,-51.22207,11.83
2022-06-30 12:00:00,2022,30,6,12,14.6,4.7,89.6,1.2,61.8,71.14147,-51.22211,11.83
2022-06-30 13:00:00,2022,30,6,13,15.0,5.0,87.9,1.2,97.2,71.14150,-51.22207,11.83
2022-06-30 14:00:00,2022,30,6,14,nan,,nan,nan,nan,nan,nan,11.83
2022-06-30 15:00:00,2022,30,6,15,15.4,4.7,89.1,1.4,86.9,71.14147,-51.22212,11.83
2022-06-30 16:00:00,2022,30,6,16,15.9,4.9,90.5,0.4,75.4,71.14147,-51.22201,11.83
2022-06-30 17:00:00,2022,30,6,17,15.8,4.3,92.7,2.1,95.7,71.14145,-51.22203,11.83
2022-06-30 18:00:00,2022,30,6,18,15.9,5.2,87.2,0.0,65.3,71.14145,-51.22202,11.83
2022-06-30 19:00:00,2022,30,6,19,15.7,4.9,89.9,1.3,80.9,71.14152,-51.22207,11.83
2022-06-30 20:00:00,2022,30,6,20,15.6,4.9,90.5,1.3,99.3,71.14148,-51.22204,11.83
2022-06-30 21:00:00,2022,30,6,21,15.6,5.4,89.1,0.6,69.1,71.14147,-51.22207,11.83
2022-06-30 22:00:00,2022,30,6,22,15.1,5.2,89.9,0.7,100.6,71.14145,-51.22207,11.83
2022-06-30 23:00:00,2022,30,6,23,15.0,5.0,89.9,0.7,141.9,71.14149,-51.22203,11.83
2022-07-01 00:00:00,2022,1,7,0,14.9,4.9,89.4,0.5,46.9,71.14146,-51.22207,11.83
2022-07-01 01:00:00,2022,1,7,1,14.5,5.2,88.2,0.1,145.7,71.14146,-51.22206,11.83
2022-07-01 02:00:00,2022,1,7,2,nan,,nan,nan,nan,nan,nan,11.83
2022-07-01 03:00:00,2022,1,7,3,13.5,4.4,92.9,0.0,258.6,71.14147,-51.22208,11.83
2022-07-01 04:00:00,2022,1,7,4,13.0,3.4,97.3,0.4,334.8,71.14147,-51.22207,11.83
2022-07-01 05:00:00,2022,1,7,5,12.5,4.3,91.3,0.4,107.4,71.14145,-51.22207,11.83
2022-07-01 06:00:00,2022,1,7,6,12.2,3.6,93.8,nan,nan,71.14147,-51.22210,11.83
2022-07-01 07:00:00,2022,1,7,7,11.7,3.9,95.8,0.6,39.5,71.14149,-51.22207,11.83
2022-07-01 08:00:00,2022,1,7,8,11.3,4.5,94.0,0.6,61.1,71.14144,-51.22197,11.83
2022-07-01 09:00:00,2022,1,7,9,10.9,3.9,93.4,1.7,67.7,71.14142,-51.22207,11.83
2022-07-01 10:00:00,2022,1,7,10,10.5,5.6,88.8,1.7,58.6,71.14147,-51.22208,11.83
2022-07-01 11:00:00,2022,1,7,11,10.1,5.6,88.7,1.0,97.3,71.14146,-51.22203,11.83
2022-07-01 12:00:00,2022,1,7,12,9.7,6.7,84.5,0.5,40.1,71.14149,-51.22211,11.83
2022-07-01 13:00:00,2022,1,7,13,nan,,nan,nan,nan,nan,nan,11.83
2022-07-01 14:00:00,2022,1,7,14,9.0,7.4,85.6,1.4,89.1,71.14150,-51.22214,11.83
2022-07-01 15:00:00,2022,1,7,15,8.6,8.0,82.3,1.3,81.8,71.14146,-51.22205,11.83
2022-07-01 16:00:00,2022,1,7,16,8.5,8.0,81.0,2.3,65.3,71.14147,-51.22207,11.83
2022-07-01 17:00:00,2022,1,7,17,8.6,8.1,82.4,2.6,77.1,71.14147,-51.22206,11.83
2022-07-01 18:00:00,2022,1,7,18,9.0,9.6,73.4,1.2,84.7,71.14154,-51.22207,11.83
2022-07-01 19:00:00,2022,1,7,19,9.1,10.2,71.7,0.9,72.6,71.14147,-51.22208,11.83
2022-07-01 20:00:00,2022,1,7,20,9.4,10.3,73.3,0.6,63.7,71.14148,-51.22204,11.83
2022-07-01 21:00:00,2022,1,7,21,9.8,10.8,63.3,0.6,78.7,71.14147,-51.22207,11.83
2022-07-01 22:00:00,2022,1,7,22,9.9,9.0,77.9,1.2,108.9,71.14147,-51.22201,11.83
2022-07-01 23:00:00,2022,1,7,23,10.1,9.3,71.7,0.4,111.6,71.14148,-51.22209,11.83
2022-07-02 00:00:00,2022,2,7,0,10.6,8.1,78.2,1.0,117.9,71.14145,-51.22203,11.83
2022-07-02 01:00:00,2022,2,7,1,11.3,8.5,75.0,0.2,105.9,71.14146,-51.22201,11.83
2022-07-02 02:00:00,2022,2,7,2,11.8,7.4,82.8,1.6,78.5,71.14148,-51.22204,11.83
