date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-04-01 00:00:00+00:00,nan,-15.7,76.0,3.9,155.3,66.48100,-46.27990,2100.00
2022-04-01 01:00:00+00:00,nan,-17.0,77.5,4.1,156.8,66.48100,-46.27990,2100.00
2022-04-01 02:00:00+00:00,nan,-17.4,77.9,4.3,156.3,66.48100,-46.27990,2100.00
2022-04-01 03:00:00+00:00,nan,-17.0,77.8,4.0,154.7,66.48100,-46.27990,2100.00
2022-04-01 04:00:00+00:00,nan,-14.7,77.3,3.6,158.2,66.48100,-46.27990,2100.00
2022-04-01 05:00:00+00:00,nan,-13.4,77.0,3.3,159.6,66.48100,-46.27990,2100.00
2022-04-01 06:00:00+00:00,nan,-12.5,76.8,3.4,164.1,66.48100,-46.27990,2100.00
2022-04-01 07:00:00+00:00,nan,-12.4,76.4,3.4,162.4,66.48100,-46.27990,2100.00
2022-04-01 08:00:00+00:00,nan,-12.8,75.2,3.5,156.9,66.48100,-46.27990,2100.00
2022-04-01 09:00:00+00:00,nan,-16.0,74.1,4.5,157.4,66.48100,-46.27990,2100.00
2022-04-01 10:00:00+00:00,nan,-16.9,54.0,4.1,159.8,66.48100,-46.27990,2100.00
2022-04-01 11:00:00+00:00,nan,-16.3,nan,4.5,160.9,66.48100,-46.27990,2100.00
2022-04-01 12:00:00+00:00,nan,-15.3,nan,4.3,159.0,66.48100,-46.27990,2100.00
2022-04-01 13:00:00+00:00,nan,-13.6,nan,4.8,158.8,66.48100,-46.27990,2100.00
2022-04-01 14:00:00+00:00,nan,-12.8,nan,4.9,158.6,66.48100,-46.27990,2100.00
2022-04-01 15:00:00+00:00,nan,-11.9,nan,4.8,154.2,66.48100,-46.27990,2100.00
2022-04-01 16:00:00+00:00,nan,-10.9,nan,5.1,149.7,66.48100,-46.27990,2100.00
2022-04-01 17:00:00+00:00,nan,-10.2,nan,5.5,143.9,66.48100,-46.27990,2100.00
2022-04-01 18:00:00+00:00,nan,-10.0,nan,5.8,140.8,66.48100,-46.27990,2100.00
2022-04-01 19:00:00+00:00,nan,-9.8,nan,6.3,143.8,66.48100,-46.27990,2100.00
2022-04-01 20:00:00+00:00,nan,-10.0,nan,6.3,145.1,66.48100,-46.27990,2100.00
2022-04-01 21:00:00+00:00,nan,-10.1,nan,6.7,156.2,66.48100,-46.27990,2100.00
2022-04-01 22:00:00+00:00,nan,-9.1,nan,7.2,167.6,66.48100,-46.27990,2100.00
2022-04-01 23:00:00+00:00,nan,-9.4,nan,7.5,164.6,66.48100,-46.27990,2100.00
2022-04-02 00:00:00+00:00,nan,-8.9,nan,7.4,162.6,66.48100,-46.27990,2100.00
2022-04-02 01:00:00+00:00,nan,-8.9,nan,8.1,164.4,66.48100,-46.27990,2100.00
2022-04-02 02:00:00+00:00,nan,-9.8,nan,8.2,164.3,66.48100,-46.27990,2100.00
2022-04-02 03:00:00+00:00,nan,-10.6,55.0,6.9,168.1,66.48100,-46.27990,2100.00
2022-04-02 04:00:00+00:00,nan,-11.4,78.9,6.2,162.9,66.48100,-46.27990,2100.00
2022-04-02 05:00:00+00:00,nan,-11.1,79.1,6.4,158.1,66.48100,-46.27990,2100.00
2022-04-02 06:00:00+00:00,nan,-10.2,78.7,6.7,158.4,66.48100,-46.27990,2100.00
2022-04-02 07:00:00+00:00,nan,-10.4,78.4,6.9,156.8,66.48100,-46.27990,2100.00
2022-04-02 08:00:00+00:00,nan,-10.6,78.8,6.7,154.8,66.48100,-46.27990,2100.00
2022-04-02 09:00:00+00:00,nan,-11.0,78.6,6.5,148.9,66.48100,-46.27990,2100.00
2022-04-02 10:00:00+00:00,nan,-11.2,77.4,6.4,145.2,66.48100,-46.27990,2100.00
2022-04-02 11:00:00+00:00,nan,-10.6,55.4,5.9,141.1,66.48100,-46.27990,2100.00
2022-04-02 12:00:00+00:00,nan,-9.6,nan,6.6,139.1,66.48100,-46.27990,2100.00
2022-04-02 13:00:00+00:00,nan,-9.1,nan,6.7,138.1,66.48100,-46.27990,2100.00
2022-04-02 14:00:00+00:00,nan,-8.8,nan,6.5,134.2,66.48100,-46.27990,2100.00
2022-04-02 15:00:00+00:00,nan,-8.8,nan,5.9,127.2,66.48100,-46.27990,2100.00
2022-04-02 16:00:00+00:00,nan,-8.4,nan,5.1,118.1,66.48100,-46.27990,2100.00
2022-04-02 17:00:00+00:00,nan,nan,nan,4.6,109.1,66.48100,-46.27990,2100.00
2022-04-02 18:00:00+00:00,nan,nan,nan,4.8,138.3,66.48100,-46.27990,2100.00
2022-04-02 19:00:00+00:00,nan,nan,nan,6.4,158.0,66.48100,-46.27990,2100.00
2022-04-02 20:00:00+00:00,nan,-8.5,nan,7.5,167.9,66.48100,-46.27990,2100.00
2022-04-02 21:00:00+00:00,nan,-9.1,nan,6.9,169.3,66.48100,-46.27990,2100.00
2022-04-02 22:00:00+00:00,nan,-10.7,nan,6.3,167.6,66.48100,-46.27990,2100.00
