date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-04-11 11:00:00+00:00,nan,-38.2,nan,0.0,22.2,77.45000,-51.06000,2450.00
2022-04-11 12:00:00+00:00,nan,-37.3,nan,nan,21.7,77.45000,-51.06000,2450.00
2022-04-11 13:00:00+00:00,nan,-36.4,nan,nan,27.3,77.45000,-51.06000,2450.00
2022-04-11 14:00:00+00:00,nan,nan,nan,nan,22.8,77.45000,-51.06000,2450.00
2022-04-11 15:00:00+00:00,nan,nan,nan,nan,27.8,77.45000,-51.06000,2450.00
2022-04-11 16:00:00+00:00,nan,nan,nan,nan,28.8,77.45000,-51.06000,2450.00
2022-04-11 17:00:00+00:00,nan,nan,nan,nan,29.9,77.45000,-51.06000,2450.00
2022-04-11 18:00:00+00:00,nan,nan,nan,nan,30.8,77.45000,-51.06000,2450.00
2022-04-11 19:00:00+00:00,nan,nan,nan,nan,24.8,77.45000,-51.06000,2450.00
2022-04-11 20:00:00+00:00,nan,nan,nan,nan,22.5,77.45000,-51.06000,2450.00
2022-04-11 21:00:00+00:00,nan,nan,nan,nan,23.9,77.45000,-51.06000,2450.00
2022-04-11 22:00:00+00:00,nan,nan,nan,nan,22.5,77.45000,-51.06000,2450.00
2022-04-11 23:00:00+00:00,nan,nan,nan,nan,19.0,77.45000,-51.06000,2450.00
2022-04-12 00:00:00+00:00,nan,nan,nan,nan,20.1,77.45000,-51.06000,2450.00
2022-04-12 01:00:00+00:00,nan,-36.1,nan,0.0,15.4,77.45000,-51.06000,2450.00
2022-04-12 02:00:00+00:00,nan,-36.5,nan,0.0,15.9,77.45000,-51.06000,2450.00
2022-04-12 03:00:00+00:00,nan,-36.5,nan,0.0,13.3,77.45000,-51.06000,2450.00
2022-04-12 04:00:00+00:00,nan,-36.4,nan,0.0,17.6,77.45000,-51.06000,2450.00
2022-04-12 05:00:00+00:00,nan,-36.1,nan,0.0,19.3,77.45000,-51.06000,2450.00
2022-04-12 06:00:00+00:00,nan,-35.9,nan,0.0,17.7,77.45000,-51.06000,2450.00
2022-04-12 07:00:00+00:00,nan,-36.3,nan,0.0,15.8,77.45000,-51.06000,2450.00
2022-04-12 08:00:00+00:00,nan,-36.4,nan,0.0,18.8,77.45000,-51.06000,2450.00
2022-04-12 09:00:00+00:00,nan,-36.1,nan,0.0,19.5,77.45000,-51.06000,2450.00
2022-04-12 10:00:00+00:00,nan,-35.4,nan,0.0,23.1,77.45000,-51.06000,2450.00
2022-04-12 11:00:00+00:00,nan,nan,nan,0.0,20.4,77.45000,-51.06000,2450.00
2022-04-12 12:00:00+00:00,nan,nan,nan,0.0,22.2,77.45000,-51.06000,2450.00
2022-04-12 13:00:00+00:00,nan,nan,nan,0.0,23.3,77.45000,-51.06000,2450.00
2022-04-12 14:00:00+00:00,nan,nan,nan,0.0,25.7,77.45000,-51.06000,2450.00
2022-04-12 15:00:00+00:00,nan,nan,nan,0.0,26.4,77.45000,-51.06000,2450.00
2022-04-12 16:00:00+00:00,nan,nan,nan,0.0,25.3,77.45000,-51.06000,2450.00
2022-04-12 17:00:00+00:00,nan,nan,nan,0.0,26.5,77.45000,-51.06000,2450.00
2022-04-12 18:00:00+00:00,nan,nan,nan,0.0,26.3,77.45000,-51.06000,2450.00
2022-04-12 19:00:00+00:00,nan,nan,nan,0.0,25.5,77.45000,-51.06000,2450.00
