date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-04-01 00:00:00,-60.0,-0.339,70.6,3.5,103.1,67.09398,49.96365,636.06
2022-04-02 00:00:00,-68.2,1.059,69.5,5.4,125.6,67.09399,49.96365,636.08
2022-04-03 00:00:00,-72.0,-2.013,86.9,3.5,111.0,67.09399,49.96365,636.10
2022-04-04 00:00:00,-65.2,-4.429,70.5,6.0,101.2,67.09399,49.96370,636.12
2022-04-05 00:00:00,-67.3,-2.203,76.1,4.3,116.8,67.09398,49.96371,636.15
2022-04-06 00:00:00,-59.4,-5.044,78.0,3.4,90.0,67.09397,49.96368,636.17
2022-04-07 00:00:00,-62.2,-7.311,91.4,4.7,18.0,67.09397,49.96369,636.19
2022-04-08 00:00:00,-63.7,-12.79,89.1,2.7,55.9,67.09396,49.96363,636.21
2022-04-09 00:00:00,-63.0,-11.73,94.3,0.8,259.1,67.09400,49.96371,636.23
2022-04-10 01:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 02:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 03:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 04:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 05:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 06:00:00,-62.5,-11.48,58.2,4.6,114.0,67.09397,49.96371,636.25
2022-04-10 07:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 08:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 09:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 10:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 11:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 12:00:00,-62.1,-8.56,56.0,4.6,110.9,67.09398,49.96373,636.25
2022-04-10 13:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 14:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 15:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 16:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 17:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 18:00:00,-61.9,-5.124,56.9,2.6,132.5,67.09396,49.96367,636.25
2022-04-10 19:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 20:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 21:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 22:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-10 23:00:00,nan,,nan,nan,nan,nan,nan,636.25
2022-04-11 00:00:00,-60.6,-7.079,68.7,3.9,107.8,67.09399,49.96374,636.27
2022-04-11 01:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 02:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 03:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 04:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 05:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 06:00:00,-59.5,-9.97,65.4,5.0,102.9,67.09397,49.96372,636.27
2022-04-11 07:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 08:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 09:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 10:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 11:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 12:00:00,-58.8,-8.54,59.6,5.6,106.0,67.09397,49.96373,636.27
2022-04-11 13:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 14:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 15:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 16:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 17:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 18:00:00,-59.9,-4.571,60.5,2.0,109.6,67.09396,49.96366,636.27
2022-04-11 19:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 20:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 21:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 22:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-11 23:00:00,nan,,nan,nan,nan,nan,nan,636.27
2022-04-12 00:00:00,-60.6,-9.05,65.8,4.1,96.3,67.09397,49.96373,636.30
2022-04-12 01:00:00,nan,,nan,nan,nan,nan,nan,636.30
2022-04-12 02:00:00,nan,,nan,nan,nan,nan,nan,636.30
2022-04-12 03:00:00,nan,,nan,nan,nan,nan,nan,636.30
2022-04-12 04:00:00,nan,,nan,nan,nan,nan,nan,636.30
2022-04-12 05:00:00,nan,,nan,nan,nan,nan,nan,636.30
2022-04-12 06:00:00,-63.0,-9.69,61.0,4.9,105.9,67.09397,49.96374,636.30
2022-04-12 07:00:00,nan,,nan,nan,nan,nan,nan,636.30
2022-04-12 08:00:00,nan,,nan,nan,nan,nan,nan,636.30
2022-04-12 09:00:00,nan,,nan,nan,nan,nan,nan,636.30
2022-04-12 10:00:00,nan,,nan,nan,nan,nan,nan,636.30
2022-04-12 11:00:00,nan,,nan,nan,nan,nan,nan,636.30
2022-04-12 12:00:00,-65.2,-6.419,47.8,6.7,147.2,67.09397,49.96376,636.30
