date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-04-01 00:00:00,-18.4,-26.19,65.7,4.2,8.2,79.91080,24.08093,360.89
2022-04-02 00:00:00,-15.6,-29.99,70.4,7.1,38.7,79.91081,24.08096,360.93
2022-04-03 00:00:00,-18.1,-25.8,58.9,6.9,307.4,79.91081,24.08095,360.96
2022-04-04 00:00:00,-22.4,-26.16,55.1,7.7,303.9,79.91082,24.08099,360.99
2022-04-05 00:00:00,-22.8,-23.13,45.0,0.9,340.4,79.91081,24.08092,361.02
2022-04-06 00:00:00,-27.8,-26.19,64.2,1.2,18.4,79.91081,24.08091,361.05
2022-04-07 00:00:00,-25.9,-25.53,58.2,4.4,4.3,79.91079,24.08097,361.09
2022-04-08 00:00:00,-21.8,-20.27,57.0,5.8,39.1,79.91081,24.08093,361.12
2022-04-09 00:00:00,-22.4,-24.04,69.9,3.6,10.2,79.91080,24.08098,361.15
2022-04-10 01:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 02:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 03:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 04:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 05:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 06:00:00,-19.2,-27.03,61.2,3.6,291.4,79.91079,24.08095,361.18
2022-04-10 07:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 08:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 09:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 10:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 11:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 12:00:00,-18.1,-24.73,45.2,1.8,299.7,79.91081,24.08105,361.18
2022-04-10 13:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 14:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 15:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 16:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 17:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 18:00:00,-18.8,-22.59,46.2,1.5,35.9,79.91081,24.08096,361.18
2022-04-10 19:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 20:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 21:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 22:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-10 23:00:00,nan,,nan,nan,nan,nan,nan,361.18
2022-04-11 00:00:00,-18.7,-24.0,57.8,5.1,325.1,79.91080,24.08097,361.21
2022-04-11 01:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 02:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 03:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 04:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 05:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 06:00:00,-20.9,-22.44,67.5,4.6,40.3,79.91080,24.08098,361.21
2022-04-11 07:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 08:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 09:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 10:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 11:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 12:00:00,-22.4,-21.25,69.1,4.9,31.2,79.91080,24.08102,361.21
2022-04-11 13:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 14:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 15:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 16:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 17:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 18:00:00,-25.0,-20.78,70.4,4.7,56.6,79.91081,24.08099,361.21
2022-04-11 19:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 20:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 21:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 22:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-11 23:00:00,nan,,nan,nan,nan,nan,nan,361.21
2022-04-12 00:00:00,-26.1,-24.48,71.3,6.3,43.3,79.91081,24.08095,361.25
2022-04-12 01:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 02:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 03:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 04:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 05:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 06:00:00,-26.1,-24.72,68.7,3.9,60.9,79.91080,24.08102,361.25
2022-04-12 07:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 08:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 09:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 10:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 11:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 12:00:00,-26.9,-22.77,60.4,2.9,30.2,79.91081,24.08104,361.25
2022-04-12 13:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 14:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 15:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 16:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 17:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 18:00:00,-28.1,-21.15,59.2,1.1,39.3,79.91080,24.08095,361.25
2022-04-12 19:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 20:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 21:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 22:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-12 23:00:00,nan,,nan,nan,nan,nan,nan,361.25
2022-04-13 00:00:00,-28.9,-25.09,55.1,4.8,344.6,79.91080,24.08095,361.28
2022-04-13 01:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 02:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 03:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 04:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 05:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 06:00:00,-29.5,-24.26,50.5,1.1,23.8,79.91078,24.08098,361.28
2022-04-13 07:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 08:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 09:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 10:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 11:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 12:00:00,-31.0,-24.41,55.9,3.0,255.4,79.91081,24.08103,361.28
2022-04-13 13:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 14:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 15:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 16:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 17:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 18:00:00,-32.4,-24.82,66.6,0.6,228.3,79.91081,24.08103,361.28
2022-04-13 19:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 20:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 21:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 22:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-13 23:00:00,nan,,nan,nan,nan,nan,nan,361.28
2022-04-14 00:00:00,-31.8,-26.84,72.0,1.5,12.5,79.91082,24.08101,361.31
2022-04-14 01:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 02:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 03:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 04:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 05:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 06:00:00,-30.5,-26.14,64.9,1.6,24.7,79.91078,24.08097,361.31
2022-04-14 07:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 08:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 09:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 10:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 11:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 12:00:00,-29.1,-25.35,63.9,4.0,44.8,79.91080,24.08097,361.31
2022-04-14 13:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 14:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 15:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 16:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 17:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 18:00:00,-28.7,-25.97,66.6,4.9,9.4,79.91081,24.08099,361.31
2022-04-14 19:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 20:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 21:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 22:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-14 23:00:00,nan,,nan,nan,nan,nan,nan,361.31
2022-04-15 00:00:00,-28.9,-26.21,63.9,2.9,359.9,79.91081,24.08095,361.34
2022-04-15 01:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 02:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 03:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 04:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 05:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 06:00:00,-29.2,-26.83,64.0,4.6,3.4,79.91080,24.08100,361.34
2022-04-15 07:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 08:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 09:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 10:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 11:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 12:00:00,-29.7,-23.91,54.2,5.5,46.7,79.91081,24.08103,361.34
2022-04-15 13:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 14:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 15:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 16:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 17:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 18:00:00,-31.1,-23.05,51.8,4.8,20.7,79.91079,24.08096,361.34
2022-04-15 19:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 20:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 21:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 22:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-15 23:00:00,nan,,nan,nan,nan,nan,nan,361.34
2022-04-16 00:00:00,-33.1,-25.57,52.0,5.6,338.7,79.91081,24.08095,361.38
2022-04-16 01:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 02:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 03:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 04:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 05:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 06:00:00,-32.9,-25.52,52.2,4.5,350.2,79.91080,24.08101,361.38
2022-04-16 07:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 08:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 09:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 10:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 11:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 12:00:00,-31.2,-23.71,44.4,1.0,305.9,79.91080,24.08105,361.38
2022-04-16 13:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 14:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 15:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 16:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 17:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 18:00:00,-29.7,-23.78,49.0,1.7,302.5,79.91080,24.08099,361.38
2022-04-16 19:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 20:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 21:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 22:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-16 23:00:00,nan,,nan,nan,nan,nan,nan,361.38
2022-04-17 00:00:00,-30.3,-23.38,49.0,2.6,17.9,79.91081,24.08094,361.41
2022-04-17 01:00:00,nan,,nan,nan,nan,nan,nan,361.41
2022-04-17 02:00:00,nan,,nan,nan,nan,nan,nan,361.41
2022-04-17 03:00:00,nan,,nan,nan,nan,nan,nan,361.41
2022-04-17 04:00:00,nan,,nan,nan,nan,nan,nan,361.41
2022-04-17 05:00:00,nan,,nan,nan,nan,nan,nan,361.41
