date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-04-01 00:00:00,-242.1,-14.15,89.8,0.0,0.0,66.47770,42.49338,2383.74
2022-04-01 01:00:00,-242.1,-15.93,88.3,nan,nan,66.47771,42.49337,2383.74
2022-04-01 02:00:00,-242.3,-16.23,88.0,nan,nan,66.47769,42.49340,2383.74
2022-04-01 03:00:00,-242.2,-16.65,87.6,nan,nan,66.47771,42.49342,2383.74
2022-04-01 04:00:00,-242.3,-18.43,86.2,nan,nan,66.47771,42.49346,2383.74
2022-04-01 05:00:00,-242.2,-18.78,85.9,nan,nan,66.47770,42.49347,2383.74
2022-04-01 06:00:00,-242.4,-19.4,85.3,nan,nan,66.47769,42.49343,2383.74
2022-04-01 07:00:00,-242.4,-19.02,85.6,nan,nan,66.47769,42.49343,2383.74
2022-04-01 08:00:00,-242.3,-21.15,84.4,nan,nan,66.47770,42.49345,2383.74
2022-04-01 09:00:00,-242.2,-22.55,83.4,nan,nan,66.47770,42.49342,2383.74
2022-04-01 10:00:00,-242.2,-21.15,83.7,nan,nan,66.47771,42.49345,2383.74
2022-04-01 11:00:00,-242.2,-19.58,84.4,nan,nan,66.47769,42.49344,2383.74
2022-04-01 12:00:00,-242.0,-18.03,85.4,nan,nan,66.47772,42.49343,2383.74
2022-04-01 13:00:00,-241.9,-16.05,87.2,nan,nan,66.47774,42.49345,2383.74
2022-04-01 14:00:00,-241.9,-13.42,89.3,nan,nan,66.47771,42.49340,2383.74
2022-04-01 15:00:00,-242.2,-12.2,90.3,nan,nan,66.47772,42.49342,2383.74
2022-04-01 16:00:00,-242.8,-11.83,90.5,nan,nan,66.47770,42.49344,2383.74
2022-04-01 17:00:00,-242.9,-11.25,91.0,nan,nan,66.47772,42.49336,2383.74
2022-04-01 18:00:00,-243.2,-11.8,90.4,nan,nan,66.47772,42.49342,2383.74
2022-04-01 19:00:00,-243.3,-14.0,88.9,nan,nan,66.47770,42.49338,2383.74
2022-04-01 20:00:00,-243.5,-15.13,88.4,nan,nan,66.47773,42.49344,2383.74
2022-04-01 21:00:00,-243.4,-15.48,88.4,nan,nan,66.47772,42.49342,2383.74
2022-04-01 22:00:00,-243.6,-14.85,88.9,nan,nan,66.47770,42.49340,2383.74
2022-04-01 23:00:00,-243.6,-13.98,89.6,nan,nan,66.47770,42.49340,2383.74
2022-04-02 00:00:00,-243.7,-13.22,90.3,nan,nan,66.47770,42.49337,2383.76
2022-04-02 01:00:00,-243.9,-12.4,91.0,nan,nan,66.47773,42.49341,2383.76
2022-04-02 02:00:00,-243.9,-12.8,90.7,nan,nan,66.47770,42.49343,2383.76
2022-04-02 03:00:00,-244.4,-12.67,90.8,nan,nan,66.47769,42.49339,2383.76
2022-04-02 04:00:00,-244.8,-12.7,90.8,nan,nan,66.47769,42.49344,2383.76
2022-04-02 05:00:00,-245.2,-12.6,90.9,nan,nan,66.47770,42.49344,2383.76
2022-04-02 06:00:00,-245.4,-14.67,89.2,nan,nan,66.47770,42.49342,2383.76
2022-04-02 07:00:00,-245.6,-14.37,89.5,nan,nan,66.47771,42.49342,2383.76
2022-04-02 08:00:00,-245.8,-14.42,89.4,nan,nan,66.47773,42.49344,2383.76
2022-04-02 09:00:00,-246.1,-15.28,88.7,nan,nan,66.47772,42.49341,2383.76
2022-04-02 10:00:00,-246.5,-13.53,90.3,nan,nan,66.47770,42.49345,2383.76
2022-04-02 11:00:00,-247.2,-11.42,91.7,nan,nan,66.47769,42.49345,2383.76
2022-04-02 12:00:00,-247.8,-10.55,92.4,1.1,90.0,66.47768,42.49345,2383.76
2022-04-02 13:00:00,-248.6,-9.92,93.0,7.0,94.0,66.47769,42.49345,2383.76
2022-04-02 14:00:00,-249.4,-9.38,93.5,7.2,94.4,66.47769,42.49344,2383.76
2022-04-02 15:00:00,-250.2,-8.77,94.0,8.0,102.8,66.47771,42.49341,2383.76
2022-04-02 16:00:00,-250.7,-8.37,94.3,8.2,110.8,66.47770,42.49342,2383.76
2022-04-02 17:00:00,-251.2,-8.08,94.5,7.7,114.7,66.47771,42.49339,2383.76
2022-04-02 18:00:00,-251.5,-8.1,94.6,7.5,122.1,66.47770,42.49340,2383.76
2022-04-02 19:00:00,-251.8,-8.43,94.4,7.9,131.8,66.47771,42.49342,2383.76
2022-04-02 20:00:00,-252.1,-8.9,94.0,7.5,131.9,66.47772,42.49343,2383.76
2022-04-02 21:00:00,-252.3,-9.73,93.4,7.6,135.7,66.47771,42.49342,2383.76
2022-04-02 22:00:00,-252.0,-10.4,92.8,6.5,157.6,66.47769,42.49344,2383.76
2022-04-02 23:00:00,-251.8,-11.28,92.1,5.4,178.8,66.47770,42.49341,2383.76
2022-04-03 00:00:00,-251.6,-12.07,91.5,2.6,198.2,66.47771,42.49342,2383.78
2022-04-03 01:00:00,-251.5,-12.78,91.0,1.5,216.4,66.47769,42.49337,2383.78
2022-04-03 02:00:00,-251.4,-13.62,90.2,2.6,236.6,66.47768,42.49339,2383.78
2022-04-03 03:00:00,-251.2,-14.47,89.5,2.5,245.5,66.47769,42.49343,2383.78
2022-04-03 04:00:00,-251.3,-15.55,88.7,1.2,228.0,66.47773,42.49347,2383.78
2022-04-03 05:00:00,-251.1,-15.77,88.4,1.7,215.7,66.47772,42.49343,2383.78
2022-04-03 06:00:00,-250.9,-15.37,88.6,2.0,250.7,66.47768,42.49345,2383.78
2022-04-03 07:00:00,-250.6,-17.43,87.4,3.1,307.7,66.47768,42.49346,2383.78
2022-04-03 08:00:00,-250.2,-22.82,83.9,3.2,325.1,66.47769,42.49344,2383.78
2022-04-03 09:00:00,-249.9,-22.23,83.3,3.2,319.7,66.47770,42.49344,2383.78
