date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-04-01 00:00:00,-16.9,3.979,69.6,5.2,50.7,61.03047,46.84974,243.09
2022-04-02 00:00:00,-23.7,6.792,50.3,10.2,81.8,61.03049,46.84958,243.21
2022-04-03 00:00:00,-20.8,1.08,100.1,0.0,43.8,61.03048,46.84963,243.34
2022-04-04 00:00:00,-23.9,4.065,75.8,4.3,46.3,61.03051,46.84968,243.46
2022-04-05 00:00:00,-23.4,2.688,79.5,3.3,58.8,61.03051,46.84966,243.59
2022-04-06 00:00:00,-12.8,0.127,100.2,0.2,16.1,61.03057,46.84972,243.72
2022-04-07 00:00:00,-16.2,-1.271,100.2,1.6,160.2,61.03046,46.84953,243.84
2022-04-08 00:00:00,-22.1,-2.881,96.2,1.6,315.0,61.03047,46.84983,243.97
2022-04-09 00:00:00,-20.9,-5.765,81.7,3.5,48.4,61.03048,46.84969,244.10
2022-04-10 01:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 02:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 03:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 04:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 05:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 06:00:00,-11.0,-4.918,60.5,5.4,48.6,61.03050,46.84969,244.22
2022-04-10 07:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 08:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 09:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 10:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 11:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 12:00:00,-12.6,-1.778,49.1,3.5,89.7,61.03064,46.84952,244.22
2022-04-10 13:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 15:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 16:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 17:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 18:00:00,-13.5,0.211,52.9,1.3,326.5,61.03050,46.84968,244.22
2022-04-10 19:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 20:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 21:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-10 22:00:00,nan,,nan,nan,nan,nan,nan,244.22
2022-04-11 00:00:00,-12.6,-3.053,62.1,2.2,18.8,61.03049,46.84972,244.35
2022-04-11 02:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 03:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 04:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 05:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 06:00:00,-15.0,-5.173,45.1,4.7,59.0,61.03048,46.84953,244.35
2022-04-11 07:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 08:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 09:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 11:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 13:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 14:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 15:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 17:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 18:00:00,-18.0,3.576,50.1,5.4,104.0,61.03049,46.84970,244.35
2022-04-11 19:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 20:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 21:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-11 22:00:00,nan,,nan,nan,nan,nan,nan,244.35
2022-04-12 00:00:00,-20.4,1.461,42.7,11.9,68.2,61.03050,46.84969,244.47
