date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-04-01 00:00:00,-292.8,-19.08,84.7,1.9,45.3,63.14904,44.81732,2891.90
2022-04-01 01:00:00,-292.6,-15.85,87.0,1.6,nan,63.14897,44.81735,2891.90
2022-04-01 02:00:00,-292.4,-14.32,88.6,1.4,nan,63.14897,44.81748,2891.90
2022-04-01 03:00:00,-292.6,-15.8,87.4,1.2,nan,63.14902,44.81737,2891.90
2022-04-01 04:00:00,-293.0,-16.93,86.5,1.2,nan,63.14907,44.81761,2891.90
2022-04-01 05:00:00,-292.9,-14.3,88.4,0.6,45.2,63.14901,44.81737,2891.90
2022-04-01 06:00:00,-293.1,-13.83,89.0,0.5,nan,63.14898,44.81741,2891.90
2022-04-01 07:00:00,-293.1,-13.17,89.5,0.6,45.3,63.14898,44.81730,2891.90
2022-04-01 08:00:00,-293.2,-13.03,89.7,0.4,45.3,63.14900,44.81741,2891.90
2022-04-01 09:00:00,-293.4,-13.25,89.5,0.6,45.3,63.14898,44.81741,2891.90
2022-04-01 10:00:00,-293.4,-12.88,89.8,0.7,45.3,63.14895,44.81744,2891.90
2022-04-01 11:00:00,-293.4,-12.38,90.2,0.3,45.4,63.14897,44.81735,2891.90
2022-04-01 12:00:00,-293.3,-12.12,90.4,0.4,45.4,63.14898,44.81759,2891.90
2022-04-01 13:00:00,-293.4,-11.47,90.9,1.2,45.4,63.14898,44.81735,2891.90
2022-04-01 14:00:00,-293.7,-11.4,91.0,2.1,45.5,63.14898,44.81739,2891.90
2022-04-01 15:00:00,-294.1,-11.38,91.0,2.8,45.5,63.14901,44.81738,2891.90
2022-04-01 16:00:00,-294.7,-11.52,90.9,3.4,45.5,63.14900,44.81738,2891.90
2022-04-01 17:00:00,-295.1,-11.6,90.8,3.4,45.7,63.14901,44.81736,2891.90
2022-04-01 18:00:00,-294.9,-11.72,90.7,1.8,45.7,63.14901,44.81734,2891.90
2022-04-01 19:00:00,-295.2,-12.3,90.3,2.5,45.6,63.14906,44.81740,2891.90
2022-04-01 20:00:00,-295.2,-12.52,90.0,2.3,45.6,63.14892,44.81741,2891.90
2022-04-01 21:00:00,-295.1,-12.25,90.4,2.6,45.6,63.14899,44.81732,2891.90
2022-04-01 22:00:00,-294.8,-12.35,90.3,2.2,45.6,63.14899,44.81730,2891.90
2022-04-01 23:00:00,-294.8,-12.65,90.1,2.4,45.6,63.14902,44.81743,2891.90
2022-04-02 00:00:00,-295.2,-12.8,90.0,2.8,nan,63.14910,44.81735,2891.92
2022-04-02 01:00:00,-296.0,-12.67,90.2,4.2,45.7,63.14902,44.81745,2891.92
2022-04-02 02:00:00,-296.8,-12.72,90.1,5.1,45.6,63.14895,44.81739,2891.92
2022-04-02 03:00:00,-297.4,-12.85,90.0,5.3,45.6,63.14901,44.81753,2891.92
2022-04-02 04:00:00,-297.9,-12.92,89.9,5.4,45.6,63.14899,44.81739,2891.92
2022-04-02 05:00:00,-298.2,-13.1,89.7,5.7,45.7,63.14894,44.81740,2891.92
2022-04-02 06:00:00,-298.7,-13.07,89.7,6.1,nan,63.14897,44.81746,2891.92
2022-04-02 07:00:00,-299.2,-12.98,89.8,6.5,45.7,63.14897,44.81738,2891.92
2022-04-02 08:00:00,-299.6,-12.82,89.9,6.6,nan,63.14897,44.81740,2891.92
2022-04-02 09:00:00,-300.2,-12.8,90.0,7.1,45.6,63.14901,44.81740,2891.92
2022-04-02 10:00:00,-300.1,-12.88,89.8,6.3,45.6,63.14899,44.81734,2891.92
2022-04-02 11:00:00,-300.6,-13.08,89.6,6.3,45.6,63.14898,44.81739,2891.92
2022-04-02 12:00:00,-301.2,-13.05,89.5,6.0,45.5,63.14895,44.81736,2891.92
2022-04-02 13:00:00,-301.5,-12.83,89.7,4.8,45.7,63.14885,44.81747,2891.92
2022-04-02 14:00:00,-301.7,-12.57,89.9,4.1,45.9,63.14900,44.81736,2891.92
2022-04-02 15:00:00,-301.6,-12.13,90.2,2.4,45.9,63.14896,44.81736,2891.92
2022-04-02 16:00:00,-301.6,-11.52,90.8,0.7,45.8,63.14898,44.81739,2891.92
2022-04-02 17:00:00,-301.5,-11.28,91.2,0.5,45.6,63.14894,44.81732,2891.92
2022-04-02 18:00:00,-301.6,-11.38,91.3,0.4,45.5,63.14903,44.81738,2891.92
2022-04-02 19:00:00,-301.4,-11.25,91.5,0.8,45.5,63.14902,44.81738,2891.92
2022-04-02 20:00:00,-301.0,-11.5,91.2,1.7,45.5,63.14892,44.81743,2891.92
2022-04-02 21:00:00,-300.6,-12.52,90.5,1.7,45.5,63.14900,44.81735,2891.92
2022-04-02 22:00:00,-300.6,-14.93,88.7,1.9,45.4,63.14894,44.81744,2891.92
2022-04-02 23:00:00,-300.4,-16.62,87.0,1.8,45.5,63.14893,44.81738,2891.92
2022-04-03 00:00:00,-299.8,-15.93,87.5,2.2,45.4,63.14906,44.81734,2891.94
2022-04-03 01:00:00,-299.3,-15.03,88.4,1.1,45.3,63.14900,44.81733,2891.94
2022-04-03 02:00:00,-299.2,-18.45,85.8,0.7,45.2,63.14893,44.81738,2891.94
2022-04-03 03:00:00,-299.2,-19.1,84.9,0.1,45.2,63.14901,44.81740,2891.94
2022-04-03 04:00:00,-299.2,-18.2,85.5,0.3,45.2,63.14902,44.81754,2891.94
2022-04-03 05:00:00,-298.9,-17.33,86.3,0.3,45.3,63.14899,44.81737,2891.94
2022-04-03 06:00:00,-298.8,-17.58,86.0,0.4,45.2,63.14892,44.81739,2891.94
2022-04-03 07:00:00,-298.4,-18.22,86.1,0.3,45.2,63.14900,44.81733,2891.94
2022-04-03 08:00:00,-298.4,-21.32,83.6,1.0,45.2,63.14898,44.81742,2891.94
2022-04-03 09:00:00,-298.2,-21.85,83.1,2.5,45.6,63.14899,44.81747,2891.94
2022-04-03 10:00:00,-298.0,-20.8,83.5,2.0,45.7,63.14892,44.81743,2891.94
2022-04-03 11:00:00,-297.7,-18.83,84.6,2.1,46.0,63.14900,44.81735,2891.94
2022-04-03 12:00:00,-297.4,-16.37,86.6,2.2,46.1,63.14899,44.81740,2891.94
2022-04-03 13:00:00,-297.1,-14.8,88.0,2.7,46.0,63.14895,44.81738,2891.94
2022-04-03 14:00:00,-297.0,-13.05,89.4,2.3,46.0,63.14898,44.81737,2891.94
2022-04-03 15:00:00,-296.8,-12.58,90.4,0.9,46.0,63.14905,44.81754,2891.94
2022-04-03 16:00:00,-296.6,-11.33,91.6,0.8,46.0,63.14899,44.81732,2891.94
2022-04-03 17:00:00,-296.7,-10.43,92.6,1.0,45.8,63.14900,44.81742,2891.94
2022-04-03 18:00:00,-296.7,-11.08,91.9,0.8,45.7,63.14902,44.81737,2891.94
2022-04-03 19:00:00,-296.5,-9.63,92.9,1.6,nan,63.14896,44.81735,2891.94
