date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-04-01 00:00:00,-117.0,-5.317,81.4,6.8,289.4,69.55309,49.37358,1120.63
2022-04-01 01:00:00,-116.0,-6.5,83.8,5.7,289.8,69.55307,49.37357,1120.63
2022-04-01 02:00:00,-116.0,-6.983,82.4,6.4,281.3,69.55305,49.37359,1120.63
2022-04-01 03:00:00,-116.0,-6.883,81.6,7.3,287.6,69.55304,49.37358,1120.63
2022-04-01 04:00:00,-116.0,-6.75,83.4,6.0,281.0,69.55305,49.37361,1120.63
2022-04-01 05:00:00,-116.0,-6.833,83.2,5.5,267.3,69.55307,49.37357,1120.63
2022-04-01 06:00:00,-116.0,-7.0,82.0,6.4,270.4,69.55304,49.37363,1120.63
2022-04-01 07:00:00,-116.0,-7.217,81.5,6.2,270.8,69.55306,49.37362,1120.63
2022-04-01 08:00:00,-116.0,-6.917,81.1,6.3,270.3,69.55308,49.37364,1120.63
2022-04-01 09:00:00,-115.0,-6.867,81.1,6.2,264.7,69.55302,49.37367,1120.63
2022-04-01 10:00:00,-115.0,-6.667,80.5,6.1,271.3,69.55304,49.37361,1120.63
2022-04-01 11:00:00,-115.0,-7.083,82.5,5.1,253.6,69.55303,49.37362,1120.63
2022-04-01 12:00:00,-115.0,-7.017,81.8,5.2,257.5,69.55303,49.37362,1120.63
2022-04-01 13:00:00,-115.0,-6.667,80.6,5.9,262.3,69.55304,49.37361,1120.63
2022-04-01 14:00:00,-115.0,-6.083,78.9,6.8,262.0,69.55305,49.37366,1120.63
2022-04-01 15:00:00,-115.0,-6.017,79.0,7.2,262.7,69.55304,49.37371,1120.63
2022-04-01 16:00:00,-116.0,-5.417,78.5,7.0,262.8,69.55306,49.37363,1120.63
2022-04-01 17:00:00,-116.0,-4.617,78.2,6.9,259.4,69.55307,49.37359,1120.63
2022-04-01 18:00:00,-116.0,-4.05,78.9,7.2,261.7,69.55308,49.37357,1120.63
2022-04-01 19:00:00,-117.0,-3.933,79.9,6.7,257.4,69.55306,49.37365,1120.63
2022-04-01 20:00:00,-117.0,-3.783,78.7,7.2,260.6,69.55305,49.37357,1120.63
2022-04-01 21:00:00,-117.0,-4.25,78.0,7.5,255.4,69.55306,49.37358,1120.63
2022-04-01 22:00:00,-118.0,-4.75,77.1,7.2,255.7,69.55307,49.37359,1120.63
2022-04-01 23:00:00,-118.0,-5.417,76.4,8.1,258.8,69.55304,49.37358,1120.63
2022-04-02 00:00:00,-119.0,-6.467,77.3,7.8,252.1,69.55308,49.37356,1120.63
2022-04-02 01:00:00,-119.0,-6.533,78.1,8.6,263.5,69.55304,49.37358,1120.63
2022-04-02 02:00:00,-119.0,-7.3,77.9,9.6,258.6,69.55304,49.37360,1120.63
2022-04-02 03:00:00,-120.0,-7.95,78.1,9.6,251.6,69.55305,49.37360,1120.63
2022-04-02 04:00:00,-121.0,-8.22,78.7,10.6,255.4,69.55305,49.37366,1120.63
2022-04-02 05:00:00,-122.0,-8.08,82.8,10.7,255.1,69.55307,49.37359,1120.63
2022-04-02 06:00:00,-123.0,-7.3,84.6,10.8,272.9,69.55305,49.37364,1120.63
2022-04-02 07:00:00,-123.0,-7.05,84.9,10.5,281.7,69.55306,49.37361,1120.63
2022-04-02 08:00:00,-124.0,-7.083,85.6,9.7,288.3,69.55301,49.37362,1120.63
2022-04-02 09:00:00,-124.0,-7.117,85.6,8.9,271.9,69.55303,49.37366,1120.63
2022-04-02 10:00:00,-124.0,-7.417,84.7,9.3,281.0,69.55307,49.37364,1120.63
2022-04-02 11:00:00,-124.0,-7.833,83.0,9.9,281.9,69.55304,49.37366,1120.63
2022-04-02 12:00:00,-124.0,-7.783,79.2,9.1,280.2,69.55305,49.37368,1120.63
2022-04-02 13:00:00,-124.0,-7.067,78.2,9.1,287.2,69.55305,49.37369,1120.63
2022-04-02 14:00:00,-124.0,-6.233,77.7,9.0,290.2,69.55305,49.37365,1120.63
2022-04-02 15:00:00,-124.0,-5.267,77.1,9.6,285.1,69.55305,49.37369,1120.63
2022-04-02 16:00:00,-124.0,-4.5,77.6,9.3,290.4,69.55305,49.37365,1120.63
2022-04-02 17:00:00,-124.0,-3.7,77.7,9.1,285.1,69.55305,49.37359,1120.63
2022-04-02 18:00:00,-124.0,-3.25,78.6,9.4,289.7,69.55304,49.37358,1120.63
2022-04-02 19:00:00,-125.0,-2.95,79.2,9.2,289.4,69.55303,49.37362,1120.63
2022-04-02 20:00:00,-125.0,-2.883,79.6,8.7,294.6,69.55305,49.37357,1120.63
2022-04-02 21:00:00,-125.0,-3.017,80.3,7.9,290.9,69.55307,49.37363,1120.63
2022-04-02 22:00:00,-125.0,-3.35,80.3,7.6,283.8,69.55307,49.37359,1120.63
2022-04-02 23:00:00,-125.0,-3.7,81.0,6.8,273.0,69.55304,49.37366,1120.63
2022-04-03 00:00:00,-126.0,-3.583,82.8,5.8,263.8,69.55306,49.37362,1120.64
2022-04-03 01:00:00,-126.0,-5.35,85.0,5.9,248.5,69.55306,49.37358,1120.64
2022-04-03 02:00:00,-126.0,-5.75,84.1,6.2,246.6,69.55305,49.37364,1120.64
2022-04-03 03:00:00,-126.0,-5.433,82.4,5.9,252.0,69.55304,49.37361,1120.64
