date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-05-31 00:00:00+00:00,-264.8,-11.6,77.1,0.0,178.4,75.62480,-35.97290,2661.00
2022-05-31 01:00:00+00:00,-265.0,-11.8,76.9,0.1,243.1,75.62480,-35.97290,2661.00
2022-05-31 02:00:00+00:00,-264.9,-13.3,81.3,0.3,191.6,75.62480,-35.97290,2661.00
2022-05-31 03:00:00+00:00,-265.1,-13.5,82.6,0.6,317.1,75.62480,-35.97290,2661.00
2022-05-31 04:00:00+00:00,-265.6,-13.6,82.6,1.1,183.2,75.62480,-35.97290,2661.00
2022-05-31 05:00:00+00:00,-266.0,-13.2,82.9,1.7,181.1,75.62480,-35.97290,2661.00
2022-05-31 06:00:00+00:00,-266.2,-12.5,82.8,2.4,187.5,75.62480,-35.97290,2661.00
2022-05-31 07:00:00+00:00,-266.9,-12.2,82.8,3.1,189.0,75.62480,-35.97290,2661.00
2022-05-31 08:00:00+00:00,-267.5,-11.9,83.1,3.6,197.5,75.62480,-35.97290,2661.00
2022-05-31 09:00:00+00:00,-268.1,-11.2,83.2,3.9,205.9,75.62480,-35.97290,2661.00
2022-05-31 10:00:00+00:00,-268.6,-10.1,83.0,3.2,208.1,75.62480,-35.97290,2661.00
2022-05-31 11:00:00+00:00,-269.2,-8.2,83.8,2.7,218.9,75.62480,-35.97290,2661.00
2022-05-31 12:00:00+00:00,-269.6,-6.9,83.8,4.1,234.8,75.62480,-35.97290,2661.00
2022-05-31 13:00:00+00:00,-269.9,-6.1,82.7,4.8,238.2,75.62480,-35.97290,2661.00
2022-05-31 14:00:00+00:00,-270.0,-5.8,83.5,4.8,235.9,75.62480,-35.97290,2661.00
2022-05-31 15:00:00+00:00,-270.2,-5.6,83.5,5.2,239.1,75.62480,-35.97290,2661.00
2022-05-31 16:00:00+00:00,-270.6,-5.9,84.1,5.4,238.5,75.62480,-35.97290,2661.00
2022-05-31 17:00:00+00:00,nan,-6.1,nan,2.3,23.5,75.62480,-35.97290,2661.00
2022-05-31 18:00:00+00:00,nan,-6.4,84.3,5.4,239.1,75.62480,-35.97290,2661.00
2022-05-31 19:00:00+00:00,-271.2,-6.7,84.5,5.8,241.4,75.62480,-35.97290,2661.00
2022-05-31 20:00:00+00:00,-271.2,-7.0,84.6,5.5,240.7,75.62480,-35.97290,2661.00
2022-05-31 21:00:00+00:00,-271.4,nan,84.0,5.4,240.1,75.62480,-35.97290,2661.00
2022-05-31 22:00:00+00:00,-271.6,nan,84.3,5.2,241.4,75.62480,-35.97290,2661.00
2022-05-31 23:00:00+00:00,-271.9,-8.4,84.7,5.2,241.3,75.62480,-35.97290,2661.00
2022-06-01 00:00:00+00:00,-272.1,-9.3,80.3,9.6,131.7,75.62480,-35.97290,2661.00
2022-06-01 01:00:00+00:00,-272.4,-10.2,80.1,8.8,133.2,75.62480,-35.97290,2661.00
2022-06-01 02:00:00+00:00,-272.2,-11.6,76.4,5.3,189.6,75.62480,-35.97290,2661.00
2022-06-01 03:00:00+00:00,-271.8,-14.3,73.2,3.6,211.9,75.62480,-35.97290,2661.00
2022-06-01 04:00:00+00:00,-271.9,-15.7,72.5,3.3,205.3,75.62480,-35.97290,2661.00
2022-06-01 05:00:00+00:00,-271.8,-16.5,74.4,4.1,219.5,75.62480,-35.97290,2661.00
2022-06-01 06:00:00+00:00,-272.0,-17.6,73.4,3.6,231.5,75.62480,-35.97290,2661.00
2022-06-01 07:00:00+00:00,-272.0,-17.6,68.7,1.6,210.0,75.62480,-35.97290,2661.00
2022-06-01 08:00:00+00:00,-272.1,-16.9,65.5,1.2,195.5,75.62480,-35.97290,2661.00
2022-06-01 09:00:00+00:00,-272.1,-16.9,66.0,2.2,203.4,75.62480,-35.97290,2661.00
2022-06-01 10:00:00+00:00,-272.2,-17.4,66.1,3.0,239.0,75.62480,-35.97290,2661.00
2022-06-01 11:00:00+00:00,-271.9,-17.2,67.4,3.3,236.9,75.62480,-35.97290,2661.00
2022-06-01 12:00:00+00:00,-272.0,-15.7,68.1,4.2,249.6,75.62480,-35.97290,2661.00
2022-06-01 13:00:00+00:00,-271.9,-15.3,67.0,4.3,249.2,75.62480,-35.97290,2661.00
2022-06-01 14:00:00+00:00,-271.8,-15.2,67.0,4.7,255.8,75.62480,-35.97290,2661.00
2022-06-01 15:00:00+00:00,-271.6,-15.1,65.6,5.1,256.3,75.62480,-35.97290,2661.00
2022-06-01 16:00:00+00:00,-271.5,-15.0,64.7,5.2,253.0,75.62480,-35.97290,2661.00
2022-06-01 17:00:00+00:00,-271.5,-15.2,64.1,5.8,249.7,75.62480,-35.97290,2661.00
2022-06-01 18:00:00+00:00,-271.3,-15.3,61.0,5.7,246.5,75.62480,-35.97290,2661.00
2022-06-01 19:00:00+00:00,-271.2,-15.3,62.6,5.1,247.1,75.62480,-35.97290,2661.00
2022-06-01 20:00:00+00:00,-271.0,-15.7,64.0,4.5,246.9,75.62480,-35.97290,2661.00
2022-06-01 21:00:00+00:00,-271.0,-16.5,64.3,3.6,233.6,75.62480,-35.97290,2661.00
2022-06-01 22:00:00+00:00,-270.9,-17.6,64.6,3.1,220.9,75.62480,-35.97290,2661.00
2022-06-01 23:00:00+00:00,-270.8,-19.1,65.5,3.3,221.4,75.62480,-35.97290,2661.00
2022-06-02 00:00:00+00:00,-270.8,-20.6,65.8,3.3,218.7,75.62480,-35.97290,2661.00
2022-06-02 01:00:00+00:00,-270.8,-22.1,66.5,3.7,221.4,75.62480,-35.97290,2661.00
2022-06-02 02:00:00+00:00,-270.8,-23.5,66.5,3.7,219.5,75.62480,-35.97290,2661.00
2022-06-02 03:00:00+00:00,-270.8,-24.3,66.7,3.9,225.0,75.62480,-35.97290,2661.00
2022-06-02 04:00:00+00:00,-270.8,-25.1,66.4,4.7,228.7,75.62480,-35.97290,2661.00
2022-06-02 05:00:00+00:00,-270.8,-25.3,65.6,4.8,231.5,75.62480,-35.97290,2661.00
2022-06-02 06:00:00+00:00,-270.7,-25.1,65.5,5.9,232.7,75.62480,-35.97290,2661.00
2022-06-02 07:00:00+00:00,-270.5,-25.1,64.1,5.2,232.4,75.62480,-35.97290,2661.00
2022-06-02 08:00:00+00:00,-270.4,-24.2,64.6,6.2,246.2,75.62480,-35.97290,2661.00
2022-06-02 09:00:00+00:00,-270.1,-23.9,63.8,6.1,241.7,75.62480,-35.97290,2661.00
2022-06-02 10:00:00+00:00,-270.0,-23.0,63.6,5.8,239.4,75.62480,-35.97290,2661.00
2022-06-02 11:00:00+00:00,-270.0,-22.0,64.6,6.2,242.1,75.62480,-35.97290,2661.00
2022-06-02 12:00:00+00:00,-270.0,-20.8,66.9,7.2,250.0,75.62480,-35.97290,2661.00
2022-06-02 13:00:00+00:00,-270.1,-19.7,67.7,7.9,253.8,75.62480,-35.97290,2661.00
2022-06-02 14:00:00+00:00,-270.0,-18.8,67.8,7.6,254.8,75.62480,-35.97290,2661.00
2022-06-02 15:00:00+00:00,-270.1,-18.1,67.6,7.7,259.5,75.62480,-35.97290,2661.00
2022-06-02 16:00:00+00:00,-269.9,-17.5,67.8,7.7,260.4,75.62480,-35.97290,2661.00
2022-06-02 17:00:00+00:00,-269.8,-17.0,67.5,7.4,261.7,75.62480,-35.97290,2661.00
2022-06-02 18:00:00+00:00,-269.8,-16.8,67.1,7.1,262.5,75.62480,-35.97290,2661.00
2022-06-02 19:00:00+00:00,-269.7,-16.8,66.8,7.1,261.7,75.62480,-35.97290,2661.00
2022-06-02 20:00:00+00:00,-269.7,-17.0,66.0,6.4,260.0,75.62480,-35.97290,2661.00
2022-06-02 21:00:00+00:00,-269.5,-17.5,64.8,5.4,257.1,75.62480,-35.97290,2661.00
2022-06-02 22:00:00+00:00,-269.6,-18.3,65.2,5.4,254.1,75.62480,-35.97290,2661.00
2022-06-02 23:00:00+00:00,-269.7,-19.4,64.7,5.2,247.7,75.62480,-35.97290,2661.00
2022-06-03 00:00:00+00:00,-269.7,-20.4,64.3,5.5,245.1,75.62480,-35.97290,2661.00
2022-06-03 01:00:00+00:00,-269.6,-21.2,63.7,5.8,251.9,75.62480,-35.97290,2661.00
2022-06-03 02:00:00+00:00,-269.7,-22.5,63.9,4.7,252.5,75.62480,-35.97290,2661.00
2022-06-03 03:00:00+00:00,-269.9,-23.2,64.7,5.2,253.3,75.62480,-35.97290,2661.00
2022-06-03 04:00:00+00:00,-270.1,-23.4,63.3,5.0,256.5,75.62480,-35.97290,2661.00
2022-06-03 05:00:00+00:00,-270.2,-24.3,61.7,4.3,242.6,75.62480,-35.97290,2661.00
2022-06-03 06:00:00+00:00,-270.4,-24.4,60.8,4.6,239.0,75.62480,-35.97290,2661.00
2022-06-03 07:00:00+00:00,-270.7,-24.2,58.9,4.0,243.8,75.62480,-35.97290,2661.00
2022-06-03 08:00:00+00:00,-270.7,-23.6,58.9,4.9,242.2,75.62480,-35.97290,2661.00
2022-06-03 09:00:00+00:00,-270.8,-22.9,59.8,5.1,240.8,75.62480,-35.97290,2661.00
2022-06-03 10:00:00+00:00,-271.0,-21.6,63.3,6.0,242.4,75.62480,-35.97290,2661.00
2022-06-03 11:00:00+00:00,-271.2,-19.9,65.6,5.9,247.2,75.62480,-35.97290,2661.00
2022-06-03 12:00:00+00:00,-271.4,-18.4,66.2,6.0,250.7,75.62480,-35.97290,2661.00
2022-06-03 13:00:00+00:00,-271.5,-17.2,67.0,6.5,252.5,75.62480,-35.97290,2661.00
2022-06-03 14:00:00+00:00,-271.7,-16.1,67.7,6.8,254.4,75.62480,-35.97290,2661.00
