date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-05-31 00:00:00+00:00,-259.5,-9.4,90.4,5.3,319.4,75.00000,-29.99970,2631.00
2022-05-31 01:00:00+00:00,-259.8,-9.4,90.5,5.3,302.0,75.00000,-29.99970,2631.00
2022-05-31 02:00:00+00:00,-260.1,-9.7,90.8,4.7,298.8,75.00000,-29.99970,2631.00
2022-05-31 03:00:00+00:00,-260.3,-9.6,91.1,4.3,288.9,75.00000,-29.99970,2631.00
2022-05-31 04:00:00+00:00,-260.5,-9.6,91.0,3.8,283.8,75.00000,-29.99970,2631.00
2022-05-31 05:00:00+00:00,-260.7,-9.4,91.0,3.2,274.1,75.00000,-29.99970,2631.00
2022-05-31 06:00:00+00:00,-260.8,-8.8,91.5,2.6,263.1,75.00000,-29.99970,2631.00
2022-05-31 07:00:00+00:00,-261.0,-8.9,91.2,6.5,261.8,75.00000,-29.99970,2631.00
2022-05-31 08:00:00+00:00,-261.1,-8.8,91.1,7.2,259.7,75.00000,-29.99970,2631.00
2022-05-31 09:00:00+00:00,-261.2,-8.7,90.4,8.4,251.8,75.00000,-29.99970,2631.00
2022-05-31 10:00:00+00:00,-261.1,-8.9,90.2,9.1,251.0,75.00000,-29.99970,2631.00
2022-05-31 11:00:00+00:00,-261.2,-8.7,89.9,9.4,254.0,75.00000,-29.99970,2631.00
2022-05-31 12:00:00+00:00,-261.2,-8.9,89.5,9.7,253.9,75.00000,-29.99970,2631.00
2022-05-31 13:00:00+00:00,-261.1,-8.9,89.2,9.8,253.2,75.00000,-29.99970,2631.00
2022-05-31 14:00:00+00:00,-261.1,-8.7,88.8,9.5,252.5,75.00000,-29.99970,2631.00
2022-05-31 15:00:00+00:00,-261.2,-8.6,88.7,9.1,255.4,75.00000,-29.99970,2631.00
2022-05-31 16:00:00+00:00,-261.3,-8.6,89.0,9.3,254.0,75.00000,-29.99970,2631.00
2022-05-31 17:00:00+00:00,-261.6,-8.7,88.7,9.8,253.6,75.00000,-29.99970,2631.00
2022-05-31 18:00:00+00:00,-261.8,-8.8,88.7,9.6,256.0,75.00000,-29.99970,2631.00
2022-05-31 19:00:00+00:00,-262.0,-8.8,88.9,9.4,252.4,75.00000,-29.99970,2631.00
2022-05-31 20:00:00+00:00,-262.2,-9.0,89.1,9.3,251.3,75.00000,-29.99970,2631.00
2022-05-31 21:00:00+00:00,-262.3,-9.0,89.8,8.8,247.1,75.00000,-29.99970,2631.00
2022-05-31 22:00:00+00:00,-262.4,-9.1,90.4,8.4,246.2,75.00000,-29.99970,2631.00
2022-05-31 23:00:00+00:00,-262.7,-9.3,90.8,8.3,248.2,75.00000,-29.99970,2631.00
2022-06-01 00:00:00+00:00,-262.8,-9.4,90.8,8.2,242.4,75.00000,-29.99970,2631.00
2022-06-01 01:00:00+00:00,-263.0,-9.5,91.1,7.3,239.5,75.00000,-29.99970,2631.00
2022-06-01 02:00:00+00:00,-263.4,-9.7,90.9,7.7,242.2,75.00000,-29.99970,2631.00
2022-06-01 03:00:00+00:00,-263.7,-10.1,90.7,7.1,237.4,75.00000,-29.99970,2631.00
2022-06-01 04:00:00+00:00,-264.0,-9.9,91.0,7.0,237.2,75.00000,-29.99970,2631.00
2022-06-01 05:00:00+00:00,-264.4,-9.9,90.8,6.3,236.2,75.00000,-29.99970,2631.00
2022-06-01 06:00:00+00:00,-264.8,-10.1,90.6,6.7,234.4,75.00000,-29.99970,2631.00
2022-06-01 07:00:00+00:00,-264.9,-9.8,90.8,6.9,229.8,75.00000,-29.99970,2631.00
2022-06-01 08:00:00+00:00,-265.1,-10.0,90.1,6.8,231.4,75.00000,-29.99970,2631.00
2022-06-01 09:00:00+00:00,-265.2,-10.1,89.6,6.1,232.1,75.00000,-29.99970,2631.00
2022-06-01 10:00:00+00:00,-265.3,-9.5,89.3,5.9,226.8,75.00000,-29.99970,2631.00
2022-06-01 11:00:00+00:00,-265.6,-9.4,88.5,6.0,228.7,75.00000,-29.99970,2631.00
2022-06-01 12:00:00+00:00,-265.7,-9.3,87.3,6.7,218.7,75.00000,-29.99970,2631.00
2022-06-01 13:00:00+00:00,-265.8,-8.8,86.2,6.1,204.8,75.00000,-29.99970,2631.00
2022-06-01 14:00:00+00:00,-265.9,-9.2,81.4,4.1,180.2,75.00000,-29.99970,2631.00
2022-06-01 15:00:00+00:00,-266.1,-11.3,77.3,2.7,147.3,75.00000,-29.99970,2631.00
2022-06-01 16:00:00+00:00,-266.2,-12.0,76.2,3.5,123.9,75.00000,-29.99970,2631.00
2022-06-01 17:00:00+00:00,-266.5,-12.8,76.4,4.7,104.1,75.00000,-29.99970,2631.00
2022-06-01 18:00:00+00:00,-266.7,-13.2,75.6,6.0,97.2,75.00000,-29.99970,2631.00
2022-06-01 19:00:00+00:00,-266.7,-13.6,76.4,6.0,84.0,75.00000,-29.99970,2631.00
2022-06-01 20:00:00+00:00,-266.6,-14.2,77.8,5.5,75.0,75.00000,-29.99970,2631.00
2022-06-01 21:00:00+00:00,-266.6,-14.7,77.9,5.3,70.8,75.00000,-29.99970,2631.00
2022-06-01 22:00:00+00:00,-266.5,-15.9,78.4,4.0,70.1,75.00000,-29.99970,2631.00
2022-06-01 23:00:00+00:00,-266.5,-17.4,77.0,3.9,76.8,75.00000,-29.99970,2631.00
2022-06-02 00:00:00+00:00,-266.7,-19.2,76.7,3.1,79.1,75.00000,-29.99970,2631.00
2022-06-02 01:00:00+00:00,-266.7,-20.7,76.9,2.3,82.0,75.00000,-29.99970,2631.00
2022-06-02 02:00:00+00:00,-266.8,-22.0,77.2,1.8,86.3,75.00000,-29.99970,2631.00
2022-06-02 03:00:00+00:00,-266.9,-22.9,76.9,2.3,87.9,75.00000,-29.99970,2631.00
