date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-06-16 00:00:00,-1210.4,-8.65,74.1,5.3,122.5,69.87216,47.03867,1948.54
2022-06-16 01:00:00,-1210.5,-10.02,72.1,5.9,120.1,69.87214,47.03871,1948.54
2022-06-16 02:00:00,-1210.7,-11.32,71.4,5.4,99.6,69.87210,47.03867,1948.54
2022-06-16 03:00:00,-1211.1,-12.48,71.1,6.0,100.2,69.87212,47.03868,1948.54
2022-06-16 04:00:00,-1211.6,-13.52,72.3,5.5,97.9,69.87214,47.03873,1948.54
2022-06-16 05:00:00,-1211.9,-13.73,74.0,5.7,104.1,69.87210,47.03858,1948.54
2022-06-16 06:00:00,-1212.2,-14.38,73.7,6.5,92.8,69.87214,47.03872,1948.54
2022-06-16 07:00:00,-1212.4,-14.42,73.2,6.1,96.0,69.87207,47.03873,1948.54
2022-06-16 08:00:00,-1212.5,-13.53,72.2,6.7,105.7,69.87209,47.03864,1948.54
2022-06-16 09:00:00,-1212.5,-11.88,75.1,7.4,123.1,69.87212,47.03877,1948.54
2022-06-16 10:00:00,-1212.6,-10.5,75.8,7.0,126.7,69.87209,47.03870,1948.54
2022-06-16 11:00:00,-1212.7,-9.17,75.2,6.9,130.5,69.87207,47.03881,1948.54
2022-06-16 12:00:00,-1212.8,-7.683,76.3,7.7,138.9,69.87216,47.03864,1948.54
2022-06-16 13:00:00,-1212.8,-6.583,74.9,7.9,145.5,69.87216,47.03884,1948.54
2022-06-16 14:00:00,-1212.8,-6.033,73.3,7.8,146.5,69.87212,47.03866,1948.54
2022-06-16 15:00:00,-1212.9,-5.45,73.1,7.5,142.3,69.87210,47.03874,1948.54
2022-06-16 16:00:00,-1213.2,-4.917,73.2,8.0,143.5,69.87215,47.03878,1948.54
2022-06-16 17:00:00,-1213.3,-4.317,74.2,7.6,139.3,69.87211,47.03871,1948.54
2022-06-16 18:00:00,-1213.6,-4.167,74.0,8.1,148.1,69.87212,47.03881,1948.54
2022-06-16 19:00:00,-1213.8,-4.267,76.7,8.1,155.0,69.87213,47.03879,1948.54
2022-06-16 20:00:00,-1213.9,-4.533,78.0,8.2,149.3,69.87209,47.03871,1948.54
2022-06-16 21:00:00,-1213.8,-4.867,78.8,7.2,147.8,69.87212,47.03878,1948.54
2022-06-16 22:00:00,-1213.9,-5.583,79.1,6.8,140.2,69.87215,47.03870,1948.54
2022-06-16 23:00:00,-1214.1,-6.767,79.2,7.2,140.0,69.87214,47.03875,1948.54
2022-06-17 00:00:00,-1214.1,-7.867,78.7,7.0,139.7,69.87211,47.03878,1948.53
2022-06-17 01:00:00,-1214.2,-9.0,77.9,6.8,135.0,69.87210,47.03863,1948.53
2022-06-17 02:00:00,-1214.3,-10.42,76.8,7.6,133.5,69.87211,47.03878,1948.53
2022-06-17 03:00:00,-1214.7,-11.57,75.1,8.0,132.7,69.87211,47.03872,1948.53
2022-06-17 04:00:00,-1215.0,-12.13,74.4,8.7,135.6,69.87211,47.03876,1948.53
2022-06-17 05:00:00,-1215.1,-12.8,73.5,8.3,128.1,69.87211,47.03862,1948.53
2022-06-17 06:00:00,-1215.3,-12.72,73.2,8.4,130.2,69.87211,47.03869,1948.53
2022-06-17 07:00:00,-1215.3,-12.4,73.1,8.4,132.2,69.87215,47.03886,1948.53
2022-06-17 08:00:00,-1215.2,-12.78,72.7,8.5,131.3,69.87212,47.03870,1948.53
2022-06-17 09:00:00,-1215.3,-11.9,74.3,8.4,127.1,69.87216,47.03883,1948.53
2022-06-17 10:00:00,-1215.2,-10.78,75.5,8.8,130.1,69.87210,47.03878,1948.53
2022-06-17 11:00:00,-1215.5,-10.07,75.6,10.1,133.8,69.87213,47.03872,1948.53
2022-06-17 12:00:00,-1215.5,-9.1,76.7,10.5,139.2,69.87215,47.03870,1948.53
2022-06-17 13:00:00,-1215.4,-8.07,79.2,10.4,139.7,69.87214,47.03883,1948.53
2022-06-17 14:00:00,-1215.2,-7.3,79.6,10.3,143.0,69.87214,47.03887,1948.53
2022-06-17 15:00:00,-1215.4,-6.65,82.5,11.3,145.0,69.87213,47.03870,1948.53
2022-06-17 16:00:00,-1215.7,-6.3,85.8,12.3,154.8,69.87209,47.03873,1948.53
2022-06-17 17:00:00,-1215.8,-6.217,87.1,12.0,150.0,69.87212,47.03872,1948.53
2022-06-17 18:00:00,-1215.7,-5.333,88.1,10.4,156.0,69.87214,47.03873,1948.53
2022-06-17 19:00:00,-1215.9,-4.533,89.0,9.7,158.6,69.87214,47.03873,1948.53
2022-06-17 20:00:00,-1215.9,-4.2,91.0,9.3,172.3,69.87209,47.03871,1948.53
2022-06-17 21:00:00,-1215.6,-4.2,90.6,9.1,184.2,69.87216,47.03869,1948.53
2022-06-17 22:00:00,-1215.7,-4.567,91.6,6.3,183.5,69.87214,47.03876,1948.53
2022-06-17 23:00:00,-1215.9,-5.5,91.9,5.5,200.4,69.87216,47.03871,1948.53
2022-06-18 00:00:00,-1215.9,-5.583,92.4,4.1,189.8,69.87212,47.03871,1948.52
2022-06-18 01:00:00,-1216.1,-5.183,93.4,5.4,176.0,69.87213,47.03881,1948.52
2022-06-18 02:00:00,-1216.3,-4.767,93.6,7.0,176.7,69.87210,47.03863,1948.52
2022-06-18 03:00:00,-1216.6,-4.75,93.2,8.7,173.6,69.87210,47.03871,1948.52
2022-06-18 04:00:00,-1217.0,-5.417,92.4,10.5,166.8,69.87211,47.03888,1948.52
2022-06-18 05:00:00,-1217.4,-5.683,92.0,11.2,162.6,69.87214,47.03878,1948.52
2022-06-18 06:00:00,-1217.7,-5.717,92.1,10.7,170.0,69.87210,47.03879,1948.52
2022-06-18 07:00:00,-1218.2,-5.433,92.6,10.1,176.6,69.87213,47.03884,1948.52
2022-06-18 08:00:00,-1217.9,-4.3,94.1,9.2,191.6,69.87211,47.03862,1948.52
2022-06-18 09:00:00,-1217.3,-3.8,94.6,8.1,203.5,69.87214,47.03876,1948.52
2022-06-18 10:00:00,-1216.7,-3.983,94.2,7.4,208.8,69.87211,47.03873,1948.52
2022-06-18 11:00:00,-1216.4,-3.967,94.0,5.9,200.6,69.87212,47.03882,1948.52
2022-06-18 12:00:00,-1216.0,-3.767,93.8,5.6,204.5,69.87213,47.03869,1948.52
2022-06-18 13:00:00,-1215.8,-3.567,93.4,8.1,206.1,69.87213,47.03884,1948.52
2022-06-18 14:00:00,-1215.4,-4.017,92.9,9.7,211.0,69.87211,47.03885,1948.52
2022-06-18 15:00:00,-1214.7,-4.133,92.1,10.0,222.2,69.87214,47.03876,1948.52
2022-06-18 16:00:00,-1213.9,-3.983,92.0,7.7,238.6,69.87213,47.03885,1948.52
2022-06-18 17:00:00,-1212.9,-4.267,91.5,9.0,231.5,69.87212,47.03879,1948.52
2022-06-18 18:00:00,-1211.8,-5.333,90.7,10.6,247.7,69.87212,47.03870,1948.52
2022-06-18 19:00:00,-1210.0,-6.317,90.1,6.8,277.8,69.87213,47.03874,1948.52
2022-06-18 20:00:00,-1208.3,-6.9,89.9,6.7,263.7,69.87216,47.03880,1948.52
2022-06-18 21:00:00,-1206.9,-7.417,90.3,7.6,257.4,69.87208,47.03871,1948.52
2022-06-18 22:00:00,-1205.7,-7.9,90.7,6.4,249.7,69.87214,47.03874,1948.52
2022-06-18 23:00:00,-1204.7,-8.37,91.1,5.3,245.0,69.87216,47.03869,1948.52
2022-06-19 00:00:00,-1204.0,-8.3,91.8,4.2,235.8,69.87212,47.03873,1948.51
