date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-06-17 20:00:00,-1205.7,-4.06,74.7,6.4,133.2,77.18199,61.11554,1894.25
2022-06-17 21:00:00,-1205.6,-4.383,75.8,5.8,125.2,77.18194,61.11544,1894.25
2022-06-17 22:00:00,-1205.8,-5.0,75.6,5.2,122.5,77.18195,61.11553,1894.25
2022-06-17 23:00:00,-1205.8,-6.85,77.0,3.9,122.1,77.18197,61.11551,1894.25
2022-06-18 00:00:00,-1205.9,-7.467,78.5,3.8,120.7,77.18196,61.11559,1894.23
2022-06-18 01:00:00,-1206.1,-6.617,78.0,4.6,114.2,77.18193,61.11549,1894.23
2022-06-18 02:00:00,-1206.3,-7.267,78.5,4.9,113.9,77.18195,61.11556,1894.23
2022-06-18 03:00:00,-1206.5,-8.17,79.1,4.2,107.2,77.18192,61.11548,1894.23
2022-06-18 04:00:00,-1206.9,-9.53,79.5,4.9,115.3,77.18195,61.11551,1894.23
2022-06-18 05:00:00,-1207.3,-9.03,78.2,5.5,107.4,77.18199,61.11554,1894.23
2022-06-18 06:00:00,-1207.6,-11.22,78.1,5.7,110.6,77.18192,61.11546,1894.23
2022-06-18 07:00:00,-1207.9,-11.3,77.4,5.9,107.1,77.18194,61.11548,1894.23
2022-06-18 08:00:00,-1208.1,-10.28,77.2,5.7,105.2,77.18195,61.11547,1894.23
2022-06-18 09:00:00,-1208.4,-9.65,75.1,7.2,115.6,77.18196,61.11555,1894.23
2022-06-18 10:00:00,-1208.8,-8.9,73.9,6.6,111.8,77.18192,61.11557,1894.23
2022-06-18 11:00:00,-1209.0,-8.07,73.0,6.0,106.9,77.18195,61.11556,1894.23
2022-06-18 12:00:00,-1209.1,-7.683,71.3,6.4,106.6,77.18196,61.11545,1894.23
2022-06-18 13:00:00,-1209.3,-7.433,70.5,5.5,97.7,77.18196,61.11560,1894.23
2022-06-18 14:00:00,-1209.5,-6.567,69.2,4.5,96.0,77.18195,61.11551,1894.23
2022-06-18 15:00:00,-1209.4,-5.65,69.0,3.9,88.4,77.18193,61.11550,1894.23
2022-06-18 16:00:00,-1209.3,-5.25,70.3,3.6,74.2,77.18197,61.11550,1894.23
2022-06-18 17:00:00,-1209.2,-4.383,69.7,3.1,66.3,77.18196,61.11541,1894.23
2022-06-18 18:00:00,-1208.9,-4.05,73.3,3.1,65.8,77.18198,61.11536,1894.23
2022-06-18 19:00:00,-1208.4,-3.017,69.5,3.1,87.9,77.18200,61.11552,1894.23
2022-06-18 20:00:00,-1207.6,-3.383,70.0,3.1,84.2,77.18196,61.11559,1894.23
2022-06-18 21:00:00,-1206.7,-4.433,77.1,2.7,66.5,77.18197,61.11552,1894.23
2022-06-18 22:00:00,-1205.7,-5.0,78.6,3.6,65.0,77.18195,61.11550,1894.23
2022-06-18 23:00:00,-1204.8,-7.467,79.4,4.0,72.6,77.18193,61.11554,1894.23
2022-06-19 00:00:00,-1203.7,-7.45,76.8,4.5,87.6,77.18196,61.11550,1894.21
2022-06-19 01:00:00,-1202.7,-7.233,78.5,3.5,98.5,77.18192,61.11550,1894.21
