date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-05-31 00:00:00,-74.0,-6.771,65.2,4.1,3.1,79.83500,25.16254,866.49
2022-05-31 01:00:00,-74.0,-7.322,63.8,3.9,6.4,nan,nan,866.49
2022-05-31 02:00:00,-74.0,-7.561,62.3,4.0,16.1,nan,nan,866.49
2022-05-31 03:00:00,-73.0,-8.13,65.9,4.6,21.3,nan,nan,866.49
2022-05-31 04:00:00,-73.0,-8.45,67.0,4.9,27.6,nan,nan,866.49
2022-05-31 05:00:00,-72.0,-8.18,65.7,5.3,36.1,nan,nan,866.49
2022-05-31 06:00:00,-71.0,-8.25,65.7,5.6,41.1,79.83501,25.16246,866.49
2022-05-31 07:00:00,-71.0,-8.13,66.0,5.7,44.8,nan,nan,866.49
2022-05-31 08:00:00,-70.0,-8.43,64.9,5.6,46.1,nan,nan,866.49
2022-05-31 09:00:00,-70.0,-7.852,63.0,5.8,52.2,nan,nan,866.49
2022-05-31 10:00:00,-69.0,-7.323,60.8,5.8,50.0,nan,nan,866.49
2022-05-31 11:00:00,-69.0,-7.05,62.1,5.8,48.9,nan,nan,866.49
2022-05-31 12:00:00,-69.0,-6.92,61.7,5.0,56.5,79.83500,25.16259,866.49
2022-05-31 13:00:00,-69.0,-6.486,59.7,4.5,63.8,nan,nan,866.49
2022-05-31 14:00:00,-69.0,-6.757,62.0,3.6,63.2,nan,nan,866.49
2022-05-31 15:00:00,-69.0,-7.27,68.3,3.0,55.4,nan,nan,866.49
2022-05-31 16:00:00,-70.0,-7.455,75.6,2.9,37.8,nan,nan,866.49
2022-05-31 17:00:00,-70.0,-7.473,76.5,3.3,21.7,nan,nan,866.49
2022-05-31 18:00:00,-70.0,-7.631,76.6,3.0,20.5,79.83499,25.16245,866.49
2022-05-31 19:00:00,-71.0,-7.629,79.6,2.9,14.0,nan,nan,866.49
2022-05-31 20:00:00,-71.0,-7.57,80.5,2.9,17.2,nan,nan,866.49
2022-05-31 21:00:00,-71.0,-7.626,80.6,2.0,3.9,nan,nan,866.49
2022-05-31 22:00:00,-72.0,-7.36,81.4,2.1,345.1,nan,nan,866.49
2022-05-31 23:00:00,-72.0,-7.214,81.8,2.0,343.0,nan,nan,866.49
2022-06-01 00:00:00,-72.0,-7.138,83.2,1.9,345.3,79.83501,25.16252,866.46
2022-06-01 01:00:00,-73.0,-7.099,84.5,1.8,344.2,nan,nan,866.46
2022-06-01 02:00:00,-74.0,-7.212,85.5,1.9,346.5,nan,nan,866.46
2022-06-01 03:00:00,-74.0,-7.076,86.1,2.2,328.0,nan,nan,866.46
2022-06-01 04:00:00,-75.0,-7.019,85.3,2.0,340.6,nan,nan,866.46
2022-06-01 05:00:00,-76.0,-6.826,83.5,2.1,347.8,nan,nan,866.46
2022-06-01 06:00:00,-76.0,-6.584,82.6,2.5,349.9,79.83502,25.16244,866.46
2022-06-01 07:00:00,-77.0,-6.202,80.5,2.2,3.0,nan,nan,866.46
2022-06-01 08:00:00,-77.0,-6.182,78.9,1.3,3.0,nan,nan,866.46
2022-06-01 09:00:00,-77.0,-6.058,78.1,1.6,4.1,nan,nan,866.46
