date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-06-07 15:00:00,-92.0,2.267,85.5,1.7,24.9,61.17278,46.82167,884.49
2022-06-07 16:00:00,-92.0,2.617,85.6,0.8,36.2,nan,nan,884.49
2022-06-07 17:00:00,-92.0,2.25,86.7,1.2,53.0,61.17283,46.82171,884.49
2022-06-07 18:00:00,-92.0,1.867,87.8,1.4,53.5,61.17279,46.82176,884.49
2022-06-07 19:00:00,-92.0,1.8,86.6,2.1,67.7,nan,nan,884.49
2022-06-07 20:00:00,-91.0,1.75,87.7,2.5,68.1,61.17283,46.82166,884.49
2022-06-07 21:00:00,-91.0,1.267,87.4,2.1,69.7,61.17281,46.82170,884.49
2022-06-07 22:00:00,-91.0,0.7,87.1,2.2,58.5,61.17282,46.82167,884.49
2022-06-07 23:00:00,-91.0,-1.467,91.9,2.1,51.4,61.17281,46.82169,884.49
2022-06-08 00:00:00,-91.0,-1.35,91.3,2.6,39.4,61.17282,46.82169,884.47
2022-06-08 12:00:00,-90.0,2.2,86.7,2.6,22.8,61.17282,46.82171,884.47
2022-06-08 13:00:00,-90.0,2.383,86.4,2.5,28.8,61.17276,46.82177,884.47
2022-06-08 14:00:00,-90.0,2.283,87.4,2.5,31.6,nan,nan,884.47
2022-06-08 15:00:00,-90.0,2.417,87.1,2.2,43.0,nan,nan,884.47
2022-06-08 16:00:00,-91.0,2.25,87.8,1.9,55.1,nan,nan,884.47
2022-06-08 17:00:00,-91.0,2.267,87.8,2.0,44.9,nan,nan,884.47
2022-06-08 18:00:00,-91.0,2.1,89.0,2.2,47.3,nan,nan,884.47
2022-06-08 19:00:00,-91.0,2.033,89.3,1.7,58.0,nan,nan,884.47
2022-06-08 20:00:00,-91.0,1.917,89.2,1.6,50.4,nan,nan,884.47
2022-06-08 21:00:00,-91.0,1.767,89.9,1.9,51.5,61.17276,46.82168,884.47
2022-06-08 22:00:00,-91.0,1.433,90.3,1.9,45.5,61.17282,46.82164,884.47
2022-06-08 23:00:00,-91.0,0.933,90.7,2.3,53.1,nan,nan,884.47
2022-06-09 00:00:00,-91.0,-0.05,91.2,2.8,52.6,61.17278,46.82170,884.45
2022-06-09 01:00:00,-91.0,-0.667,90.9,3.1,51.9,61.17283,46.82168,884.45
2022-06-09 02:00:00,-91.0,-0.95,90.0,3.0,51.5,61.17282,46.82169,884.45
2022-06-09 03:00:00,-91.0,-1.15,89.6,3.0,43.4,61.17283,46.82169,884.45
2022-06-09 04:00:00,-91.0,-1.55,89.6,2.9,48.2,61.17282,46.82171,884.45
2022-06-09 05:00:00,-91.0,-2.067,89.9,3.0,47.3,61.17273,46.82181,884.45
2022-06-09 06:00:00,-91.0,-2.05,88.7,3.5,38.1,nan,nan,884.45
2022-06-09 07:00:00,-90.0,-1.45,87.5,3.7,34.9,61.17283,46.82171,884.45
2022-06-09 08:00:00,-90.0,-0.133,87.0,4.0,32.2,61.17281,46.82170,884.45
2022-06-09 09:00:00,-90.0,0.883,85.8,3.7,39.7,61.17281,46.82169,884.45
2022-06-09 10:00:00,-90.0,1.7,86.0,3.2,35.7,61.17283,46.82171,884.45
2022-06-09 11:00:00,-90.0,2.167,86.5,2.5,33.4,61.17281,46.82170,884.45
2022-06-09 12:00:00,-90.0,2.267,87.4,2.3,26.9,61.17282,46.82172,884.45
2022-06-09 13:00:00,-90.0,2.55,86.6,2.4,13.4,nan,nan,884.45
2022-06-09 14:00:00,-90.0,2.2,88.0,2.0,47.1,nan,nan,884.45
2022-06-09 15:00:00,-89.0,2.167,88.5,2.0,44.7,nan,nan,884.45
2022-06-09 16:00:00,-89.0,2.25,88.6,2.2,51.2,nan,nan,884.45
2022-06-09 17:00:00,-89.0,2.517,86.6,1.8,59.6,nan,nan,884.45
2022-06-09 18:00:00,-89.0,2.767,85.0,1.6,28.3,nan,nan,884.45
2022-06-09 19:00:00,-89.0,2.683,84.7,2.2,36.8,61.17281,46.82168,884.45
2022-06-09 20:00:00,-89.0,2.433,86.2,1.5,67.3,nan,nan,884.45
