date,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-05-31 00:00:00,10.0,-2.429,94.5,4.8,310.3,72.89338,54.29582,203.69
2022-05-31 01:00:00,10.0,-2.226,89.0,4.5,331.5,nan,nan,203.69
2022-05-31 02:00:00,9.0,-2.486,86.6,4.6,346.5,nan,nan,203.69
2022-05-31 03:00:00,9.0,-2.884,88.5,4.1,355.1,nan,nan,203.69
2022-05-31 04:00:00,9.0,-2.975,85.4,2.4,316.4,nan,nan,203.69
2022-05-31 05:00:00,9.0,-3.253,88.9,1.2,323.2,nan,nan,203.69
2022-05-31 06:00:00,8.0,-3.714,89.7,2.0,11.9,72.89336,54.29579,203.69
2022-05-31 07:00:00,8.0,-3.623,86.0,1.3,65.8,nan,nan,203.69
2022-05-31 08:00:00,8.0,-3.411,80.8,1.0,125.8,nan,nan,203.69
2022-05-31 09:00:00,8.0,-3.214,84.9,1.4,154.8,nan,nan,203.69
2022-05-31 10:00:00,7.0,-3.435,79.5,3.0,183.7,nan,nan,203.69
2022-05-31 11:00:00,7.0,-3.434,73.8,2.9,168.8,nan,nan,203.69
2022-05-31 12:00:00,7.0,-3.654,74.7,1.7,231.1,72.89337,54.29578,203.69
2022-05-31 13:00:00,7.0,-3.245,72.2,1.5,206.5,nan,nan,203.69
2022-05-31 14:00:00,7.0,-3.276,69.2,1.5,261.1,nan,nan,203.69
2022-05-31 15:00:00,7.0,-2.91,66.0,1.3,271.1,nan,nan,203.69
2022-05-31 16:00:00,7.0,-2.614,62.0,1.3,262.6,nan,nan,203.69
2022-05-31 17:00:00,7.0,-2.734,65.8,1.6,270.7,nan,nan,203.69
2022-05-31 18:00:00,6.0,-2.428,61.1,0.8,273.8,72.89336,54.29580,203.69
2022-05-31 19:00:00,7.0,-2.389,60.6,0.5,250.5,nan,nan,203.69
2022-05-31 20:00:00,6.0,-2.428,64.4,1.0,258.0,nan,nan,203.69
2022-05-31 21:00:00,6.0,-2.44,66.6,0.8,292.0,nan,nan,203.69
2022-05-31 22:00:00,7.0,-2.427,65.7,0.7,228.7,nan,nan,203.69
2022-05-31 23:00:00,6.0,-2.494,67.6,0.3,289.2,nan,nan,203.69
2022-06-01 00:00:00,7.0,-2.593,70.2,0.7,38.3,72.89338,54.29578,203.65
2022-06-01 01:00:00,6.0,-2.805,71.9,0.7,319.4,nan,nan,203.65
2022-06-01 02:00:00,6.0,-3.02,77.5,1.7,293.2,nan,nan,203.65
2022-06-01 03:00:00,6.0,-3.211,81.5,1.0,295.8,nan,nan,203.65
2022-06-01 04:00:00,6.0,-3.299,76.5,1.2,156.6,nan,nan,203.65
2022-06-01 05:00:00,6.0,-3.514,75.5,1.3,319.7,nan,nan,203.65
2022-06-01 06:00:00,6.0,-4.288,78.5,3.7,133.9,72.89336,54.29582,203.65
2022-06-01 07:00:00,6.0,-4.735,80.0,4.7,129.5,nan,nan,203.65
2022-06-01 08:00:00,6.0,-4.763,79.5,4.7,129.9,nan,nan,203.65
2022-06-01 09:00:00,6.0,-4.348,78.0,3.2,149.2,nan,nan,203.65
2022-06-01 10:00:00,6.0,-4.149,74.9,2.5,162.5,nan,nan,203.65
2022-06-01 11:00:00,6.0,-4.215,72.1,2.8,140.9,nan,nan,203.65
2022-06-01 12:00:00,6.0,-4.013,68.5,1.7,103.0,72.89336,54.29578,203.65
2022-06-01 13:00:00,6.0,-3.658,66.1,1.1,57.5,nan,nan,203.65
2022-06-01 14:00:00,6.0,-3.513,66.7,1.4,47.7,nan,nan,203.65
2022-06-01 15:00:00,6.0,-3.137,67.3,1.3,45.9,nan,nan,203.65
2022-06-01 16:00:00,6.0,-2.686,69.5,1.6,52.4,nan,nan,203.65
2022-06-01 17:00:00,6.0,-2.285,67.6,1.3,33.9,nan,nan,203.65
2022-06-01 18:00:00,6.0,-2.176,71.8,1.6,55.2,72.89337,54.29582,203.65
2022-06-01 19:00:00,6.0,-1.71,63.4,2.0,52.4,nan,nan,203.65
2022-06-01 20:00:00,6.0,-1.499,62.2,2.0,56.2,nan,nan,203.65
2022-06-01 21:00:00,6.0,-1.443,68.8,1.6,45.6,nan,nan,203.65
2022-06-01 22:00:00,6.0,-1.475,74.5,1.8,57.7,nan,nan,203.65
2022-06-01 23:00:00,6.0,-1.05,69.4,1.6,68.0,nan,nan,203.65
2022-06-02 00:00:00,6.0,-1.521,63.7,2.7,86.9,72.89338,54.29579,203.61
2022-06-02 01:00:00,6.0,-2.622,67.9,3.1,99.8,nan,nan,203.61
2022-06-02 02:00:00,6.0,-3.401,63.5,3.6,110.5,nan,nan,203.61
2022-06-02 03:00:00,6.0,-3.968,62.7,5.3,118.8,nan,nan,203.61
2022-06-02 04:00:00,6.0,-3.997,61.0,6.0,125.3,nan,nan,203.61
2022-06-02 05:00:00,5.0,-3.571,56.9,6.2,133.3,nan,nan,203.61
