date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-193.0,-5.1,94.1,3.8,199.7,77.18194,-61.11560,1893.86
2022-07-01 01:00:00,2022,1,7,1,-194.0,-5.517,95.6,4.0,191.4,77.18193,-61.11547,1893.86
2022-07-01 02:00:00,2022,1,7,2,-193.0,-5.75,96.0,4.8,180.8,77.18194,-61.11545,1893.86
2022-07-01 03:00:00,2022,1,7,3,-194.0,-5.4,96.1,4.6,167.4,77.18197,-61.11561,1893.86
2022-07-01 04:00:00,2022,1,7,4,-194.0,-5.217,95.0,5.2,162.1,77.18197,-61.11558,1893.86
2022-07-01 05:00:00,2022,1,7,5,-194.0,-5.217,95.1,4.4,161.3,77.18198,-61.11556,1893.86
2022-07-01 06:00:00,2022,1,7,6,-194.0,-4.767,93.2,3.4,155.4,77.18193,-61.11559,1893.86
2022-07-01 07:00:00,2022,1,7,7,-194.0,-4.75,91.9,3.3,153.8,77.18193,-61.11532,1893.86
2022-07-01 08:00:00,2022,1,7,8,-194.0,-4.433,92.0,3.5,142.3,77.18198,-61.11556,1893.86
2022-07-01 09:00:00,2022,1,7,9,-194.0,-4.05,90.6,3.7,138.4,77.18195,-61.11547,1893.86
2022-07-01 10:00:00,2022,1,7,10,-194.0,-3.75,89.9,4.0,127.1,77.18196,-61.11551,1893.86
2022-07-01 11:00:00,2022,1,7,11,-194.0,-3.333,89.4,3.9,123.5,77.18196,-61.11556,1893.86
2022-07-01 12:00:00,2022,1,7,12,-195.0,-2.833,87.4,3.9,118.5,77.18196,-61.11555,1893.86
2022-07-01 13:00:00,2022,1,7,13,-195.0,,84.4,4.0,123.2,77.18196,-61.11552,1893.86
2022-07-01 14:00:00,2022,1,7,14,-195.0,-2.383,74.2,4.3,125.8,77.18197,-61.11550,1893.86
2022-07-01 15:00:00,2022,1,7,15,-196.0,-2.383,75.0,4.0,118.6,77.18195,-61.11555,1893.86
2022-07-01 16:00:00,2022,1,7,16,-196.0,-2.4,72.8,4.9,106.5,77.18200,-61.11552,1893.86
2022-07-01 17:00:00,2022,1,7,17,-196.0,-2.683,74.1,5.3,94.0,77.18197,-61.11535,1893.86
2022-07-01 18:00:00,2022,1,7,18,-197.0,-2.967,75.2,6.1,83.7,77.18194,-61.11556,1893.86
2022-07-01 19:00:00,2022,1,7,19,-197.0,-3.383,78.0,7.1,93.3,77.18195,-61.11551,1893.86
2022-07-01 20:00:00,2022,1,7,20,-197.0,-3.767,83.3,5.9,92.5,77.18196,-61.11554,1893.86
2022-07-01 21:00:00,2022,1,7,21,-197.0,-3.867,86.6,4.5,100.3,77.18197,-61.11560,1893.86
2022-07-01 22:00:00,2022,1,7,22,-197.0,-4.2,88.7,3.8,116.1,77.18198,-61.11556,1893.86
2022-07-01 23:00:00,2022,1,7,23,-197.0,-5.767,88.8,4.2,128.6,77.18196,-61.11544,1893.86
2022-07-02 00:00:00,2022,2,7,0,-197.0,-7.317,88.8,4.9,127.4,77.18196,-61.11557,1893.84
2022-07-02 01:00:00,2022,2,7,1,-197.0,-8.58,87.7,3.9,118.0,77.18193,-61.11558,1893.84
2022-07-02 02:00:00,2022,2,7,2,-197.0,-9.55,86.6,4.3,120.7,77.18194,-61.11544,1893.84
2022-07-02 03:00:00,2022,2,7,3,-197.0,-10.17,85.1,4.4,125.7,77.18197,-61.11551,1893.84
2022-07-02 04:00:00,2022,2,7,4,-197.0,-10.75,83.7,4.2,128.0,77.18197,-61.11553,1893.84
2022-07-02 05:00:00,2022,2,7,5,-197.0,-10.83,82.8,4.2,129.6,77.18196,-61.11560,1893.84
