date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-200.7,-2.0,93.6,3.0,105.0,69.87212,-47.03875,1948.13
2022-07-01 01:00:00,2022,1,7,1,-200.8,-3.233,93.6,3.0,98.5,69.87214,-47.03884,1948.13
2022-07-01 02:00:00,2022,1,7,2,-201.2,-4.767,93.7,3.9,90.5,69.87211,-47.03890,1948.13
2022-07-01 03:00:00,2022,1,7,3,-201.5,-6.183,93.2,3.9,101.2,69.87211,-47.03882,1948.13
2022-07-01 04:00:00,2022,1,7,4,-201.6,-6.483,89.4,4.3,106.1,69.87213,-47.03887,1948.13
2022-07-01 05:00:00,2022,1,7,5,-201.9,-7.617,84.9,5.8,97.4,69.87210,-47.03880,1948.13
2022-07-01 06:00:00,2022,1,7,6,-202.1,-8.15,81.9,6.4,95.7,69.87212,-47.03894,1948.13
2022-07-01 07:00:00,2022,1,7,7,-202.4,-8.27,78.5,7.5,101.9,69.87211,-47.03884,1948.13
2022-07-01 08:00:00,2022,1,7,8,-202.7,-8.17,77.5,7.1,97.2,69.87209,-47.03880,1948.13
2022-07-01 09:00:00,2022,1,7,9,-202.9,-7.833,77.9,7.6,98.4,69.87209,-47.03878,1948.13
2022-07-01 10:00:00,2022,1,7,10,-203.1,-7.083,78.4,6.9,101.6,69.87207,-47.03896,1948.13
2022-07-01 11:00:00,2022,1,7,11,-203.4,-6.117,79.6,8.7,103.9,69.87209,-47.03870,1948.13
2022-07-01 12:00:00,2022,1,7,12,-203.3,-4.917,80.0,7.9,114.7,69.87209,-47.03886,1948.13
2022-07-01 13:00:00,2022,1,7,13,-203.5,-3.85,79.9,8.0,114.6,69.87207,-47.03885,1948.13
2022-07-01 14:00:00,2022,1,7,14,-203.7,-2.617,79.9,7.7,120.2,69.87212,-47.03890,1948.13
2022-07-01 15:00:00,2022,1,7,15,-203.9,-1.95,79.3,8.0,122.9,69.87210,-47.03887,1948.13
2022-07-01 16:00:00,2022,1,7,16,-204.0,-1.25,78.9,7.0,122.6,69.87210,-47.03886,1948.13
2022-07-01 17:00:00,2022,1,7,17,-204.1,-0.833,78.1,6.8,127.4,69.87211,-47.03879,1948.13
2022-07-01 18:00:00,2022,1,7,18,-203.8,-0.65,78.5,6.6,129.1,69.87219,-47.03884,1948.13
