date,year,day,month,hour,airpressureminus1000,temperature,relativehumidity,windspeed,winddirection,Lat_decimal,Lon_decimal,elev
2022-07-01 00:00:00,2022,1,7,0,-217.6,-8.9,89.5,6.2,138.7,66.48232,-46.29324,2122.08
2022-07-01 01:00:00,2022,1,7,1,-218.1,-10.33,90.0,6.4,133.9,66.48233,-46.29324,2122.08
2022-07-01 02:00:00,2022,1,7,2,-218.4,-11.25,89.1,6.8,137.7,66.48229,-46.29340,2122.08
2022-07-01 03:00:00,2022,1,7,3,-218.7,-12.38,89.0,6.4,137.3,66.48228,-46.29334,2122.08
2022-07-01 04:00:00,2022,1,7,4,-219.0,-12.97,89.4,6.9,146.9,66.48236,-46.29324,2122.08
2022-07-01 05:00:00,2022,1,7,5,-219.3,-12.48,89.9,5.9,140.6,66.48231,-46.29333,2122.08
2022-07-01 06:00:00,2022,1,7,6,-219.4,-11.4,90.3,5.5,136.5,66.48230,-46.29337,2122.08
2022-07-01 07:00:00,2022,1,7,7,-219.6,-9.72,91.3,5.8,143.0,66.48231,-46.29342,2122.08
2022-07-01 08:00:00,2022,1,7,8,-219.7,-8.07,91.9,5.6,137.0,66.48232,-46.29340,2122.08
2022-07-01 09:00:00,2022,1,7,9,-220.1,-6.533,93.2,5.7,146.7,66.48233,-46.29334,2122.08
2022-07-01 10:00:00,2022,1,7,10,-220.2,-4.6,94.2,5.1,145.1,66.48233,-46.29324,2122.08
2022-07-01 11:00:00,2022,1,7,11,-220.2,-2.617,95.4,4.1,161.0,66.48233,-46.29329,2122.08
2022-07-01 12:00:00,2022,1,7,12,-220.3,-1.217,95.4,3.3,195.9,66.48229,-46.29326,2122.08
2022-07-01 13:00:00,2022,1,7,13,-220.2,-0.517,93.6,4.0,254.4,66.48229,-46.29336,2122.08
2022-07-01 14:00:00,2022,1,7,14,-220.2,-1.017,93.9,5.4,255.3,66.48231,-46.29326,2122.08
2022-07-01 15:00:00,2022,1,7,15,-220.1,-1.417,93.8,5.6,256.2,66.48229,-46.29344,2122.08
2022-07-01 16:00:00,2022,1,7,16,-220.0,-1.95,92.9,6.9,251.8,66.48234,-46.29333,2122.08
2022-07-01 17:00:00,2022,1,7,17,-219.7,-2.217,92.0,6.6,260.7,66.48227,-46.29328,2122.08
2022-07-01 18:00:00,2022,1,7,18,-219.4,-2.333,91.7,5.8,259.8,66.48233,-46.29326,2122.08
2022-07-01 19:00:00,2022,1,7,19,-219.2,-2.617,92.0,4.5,270.9,66.48228,-46.29335,2122.08
2022-07-01 20:00:00,2022,1,7,20,-219.1,-3.067,92.9,2.9,275.2,66.48223,-46.29354,2122.08
2022-07-01 21:00:00,2022,1,7,21,-219.0,-3.2,93.6,1.2,298.0,66.48235,-46.29333,2122.08
2022-07-01 22:00:00,2022,1,7,22,-218.8,-3.217,93.7,0.8,253.8,66.48238,-46.29320,2122.08
2022-07-01 23:00:00,2022,1,7,23,-218.7,-3.45,95.5,1.7,252.4,66.48230,-46.29351,2122.08
2022-07-02 00:00:00,2022,2,7,0,-218.4,-4.167,96.4,3.2,268.7,66.48222,-46.29327,2122.06
2022-07-02 01:00:00,2022,2,7,1,-218.1,-4.517,96.6,2.0,275.2,66.48229,-46.29334,2122.06
2022-07-02 02:00:00,2022,2,7,2,-217.9,-4.7,96.5,2.1,266.0,66.48233,-46.29335,2122.06
2022-07-02 03:00:00,2022,2,7,3,-217.7,-5.0,96.4,1.6,279.2,66.48229,-46.29328,2122.06
2022-07-02 04:00:00,2022,2,7,4,-217.5,-5.233,96.2,1.1,279.6,66.48235,-46.29314,2122.06
2022-07-02 05:00:00,2022,2,7,5,-217.1,-5.383,96.0,1.5,287.9,66.48230,-46.29347,2122.06
2022-07-02 06:00:00,2022,2,7,6,-216.9,-5.333,95.8,1.5,309.4,66.48232,-46.29350,2122.06
2022-07-02 07:00:00,2022,2,7,7,-216.6,-5.4,95.4,1.4,288.2,66.48238,-46.29318,2122.06
2022-07-02 08:00:00,2022,2,7,8,-216.3,-5.183,95.0,1.1,268.1,66.48232,-46.29343,2122.06
2022-07-02 09:00:00,2022,2,7,9,-215.9,-4.467,94.5,2.5,259.6,66.48232,-46.29332,2122.06
2022-07-02 10:00:00,2022,2,7,10,-215.6,-4.583,93.8,2.5,259.8,66.48226,-46.29334,2122.06
2022-07-02 11:00:00,2022,2,7,11,-215.4,-4.717,93.9,2.5,269.6,66.48232,-46.29344,2122.06
2022-07-02 12:00:00,2022,2,7,12,-215.1,-3.9,91.2,2.6,291.3,66.48228,-46.29341,2122.06
2022-07-02 13:00:00,2022,2,7,13,-214.8,-3.517,89.2,2.5,274.3,66.48228,-46.29340,2122.06
2022-07-02 14:00:00,2022,2,7,14,-214.6,-2.967,85.9,3.1,247.5,66.48229,-46.29344,2122.06
2022-07-02 15:00:00,2022,2,7,15,-214.3,-2.767,84.9,4.0,255.4,66.48224,-46.29328,2122.06
2022-07-02 16:00:00,2022,2,7,16,-214.1,-2.717,84.8,3.5,262.2,66.48230,-46.29331,2122.06
2022-07-02 17:00:00,2022,2,7,17,-213.9,-2.8,84.6,3.5,252.7,66.48231,-46.29338,2122.06
2022-07-02 18:00:00,2022,2,7,18,-213.9,-3.083,85.8,3.0,259.1,66.48230,-46.29336,2122.06
2022-07-02 19:00:00,2022,2,7,19,-213.8,-3.05,86.2,2.7,286.6,66.48234,-46.29328,2122.06
2022-07-02 20:00:00,2022,2,7,20,-213.7,-3.117,85.0,1.8,267.3,66.48232,-46.29330,2122.06
2022-07-02 21:00:00,2022,2,7,21,-213.7,-3.417,86.5,1.6,319.9,66.48235,-46.29329,2122.06
2022-07-02 22:00:00,2022,2,7,22,-213.6,-4.1,89.2,1.2,312.1,66.48234,-46.29325,2122.06
